cluster	accept_name	temperature_kev	core_entropy_kev_cm2	entropy_100_kev_cm2	redshift	member_count	response_log10_sigma	response_upper_log10_sigma	response_lower_log10_sigma	cool_core_stratum	temperature_stratum	log_temperature	log_lx	log1pz	log_member_count	log_core_entropy	log_entropy_100	entropy_slope	entropy_contrast	cooling_time_proxy	core_pressure_proxy	entropy_gradient_proxy	cooling_x_slope	pressure_x_slope	entropy_contrast_x_temperature	gradient_x_temperature	cooling_squared
A2111	Abell 2111	7.13	107.4	194.0	0.2291	208	2.869818207979328	2.906335041805091	2.8382192219076257	non_cool_core	high_temperature	0.8530895298518656	0.5250448070368452	0.08958721867280478	2.3180633349627615	2.0350292822023683	2.287801729930226	0.65	-0.2527724477278577	2.199454393451687	-0.9198200986738887	0.1643020910231075	1.4296453557435966	-0.5978830641380277	-0.21563752859166338	0.14016439358458122	4.837599628873929
A2219	Abell 2219	12.75	411.6	17.0	0.2257	461	3.0610753236297916	3.0842186867392387	3.0402066275747113	non_cool_core	high_temperature	1.105510184769974	0.785329835010767	0.08838418609770297	2.663700925389648	2.615529223637133	1.2304489213782739	1.97	1.385080302258859	2.8177836506857252	-1.1595183735307644	-2.728608195449952	5.5510337918508785	-2.2842511958556058	1.5312203808714426	-3.016504150316742	7.9399047020717735
A2631	Abell 2631	7.06	308.8	29.2	0.2765	173	2.929929560084588	2.9763499790032735	2.8915374576725643	non_cool_core	high_temperature	0.8488047010518037	0.6180480967120927	0.1060208191402691	2.2380461031287955	2.491081413423187	1.4653828514484182	1.44	1.025698561974769	2.8878174190829773	-1.6146103675052714	-1.4770059292436672	4.158457083479487	-2.3250389292075906	0.8706177612662587	-1.2536895762234126	8.339489445959067
A267	Abell 267	6.79	168.3	52.0	0.2291	226	2.9876662649262746	3.0149403497929366	2.9633155113861114	non_cool_core	low_temperature	0.8318697742805017	0.6190933306267428	0.08958721867280478	2.3541084391474008	2.2286569581089353	1.7160033436347992	1.82	0.512653614474136	2.5111156628829012	-1.2633110014621485	-0.9330295783429277	4.5702305064468804	-2.2992260226611103	0.4264610465566829	-0.7761591047331629	6.305701872375832
A697	Abell 697	9.52	161.0	111.1	0.2812	185	3.0008677215312267	3.0409976924234905	2.967079734144497	non_cool_core	high_temperature	0.9786369483844743	0.7118072290411911	0.1076169299917842	2.2671717284030137	2.2095150145426308	2.0457140589408676	1.09	0.16380095560176322	2.335635573429472	-0.8676801508527601	-0.17854304160592194	2.5458427750381243	-0.9457713644295086	0.1603016673325703	-0.17472881739250168	5.4551935318692175
A963	Abell 963	6.73	22.0	205.5	0.2041	211	2.9804578922761	3.0153597554092144	2.950364854376123	cool_core	low_temperature	0.8280150642239769	0.48713837547718647	0.08066255639418253	2.3242824552976926	1.3617278360175928	2.312811826212088	0.79	-0.9510839901944952	1.2145766898024122	0.027445906533552833	0.7513563522536513	0.9595155849439057	0.02168226616150674	-0.7875118712232911	0.6221343782664001	1.475196535411385
MS0906	MS J0906.5+1110	5.38	104.2	97.3	0.1767	101	2.8221680793680175	2.8756399370041685	2.7795964912578244	non_cool_core	low_temperature	0.7307822756663892	0.5092025223311029	0.07066575345372784	2.0043213737826426	2.02201573981772	1.9881128402683519	1.15	0.033902899549368204	2.302241334060191	-1.2060679205606073	-0.03898833448177343	2.6475775341692196	-1.3869781086446984	0.024775638084376297	-0.02849198379703274	5.3003151602552485
RXJ1720	RX J1720.1+2638	6.37	20.7	109.7	0.1604	376	2.934498451243568	2.9542425094393248	2.916453948549925	cool_core	low_temperature	0.8041394323353505	0.6503075231319364	0.06460772013062654	2.575187844927661	1.3364597338485296	2.0402066275747113	1.38	-0.7037468937261817	1.2005501684374438	0.005658980065581964	0.9711707133421307	1.6567592324436722	0.00780939249050311	-0.565910627628738	0.7809566661276583	1.4413207069351746
RXJ2129	RX J2129.6+0005	5.91	18.0	100.8	0.2339	325	2.9334872878487053	2.968015713993642	2.9036325160842376	cool_core	low_temperature	0.7715874808812554	0.7520484478194386	0.09127996422883754	2.5118833609788744	1.2787536009528289	2.0034605321095063	1.24	-0.7247069311566774	1.1465429205479878	0.010838300773895249	0.8986365946342799	1.4217132214795047	0.013439492959630109	-0.5591747953883661	0.6933767462815739	1.3145606686587095
Zw3146	ZWCL 3146	7.48	11.4	105.5	0.2894	106	2.9334872878487053	2.9827233876685453	2.8937617620579434	cool_core	high_temperature	0.8739015978644614	0.9232440186302765	0.11038766587508698	2.0253058652647704	1.0934216851622351	2.0232524596337114	1.29	-0.9298307744714762	0.7662309298788913	0.5446214669178009	1.1994816990682045	0.9884378995437698	0.7025616923239631	-0.8125805995541727	1.0482289734248829	0.5871098379030705
