case,component,r_kpc,sigma_hi_msun_pc2,newton_gbar,log_extra_gbar,newton_plus_log_gbar,newton_radial_rms_deviation,log_radial_rms_deviation,newton_tangential_rms,log_tangential_rms
f4-stars-h0p1,stellar_luminosity,3.1,0.8224765605736302,956.4010825297707,368.2551776433952,1324.656260173166,113.37678497088099,13.300577658741624,102.82260905252873,13.769723232825598
f4-stars-h0p1,stellar_luminosity,3.125,0.7224761987400453,923.681676014943,365.0658921188651,1288.7475681338083,116.27378855927384,13.983604533575525,84.5739449351545,13.101717264363504
f4-stars-h0p1,stellar_luminosity,3.1500000000000004,0.6334875167116292,890.0829120602241,361.80285908472587,1251.88577114495,130.6052691880259,14.872091727313302,85.64730405263975,12.590516396886162
f4-stars-h0p1,stellar_luminosity,3.1750000000000003,0.5811259020293066,859.8247301202416,358.48121805549346,1218.305948175735,151.78368726092063,15.348411136514363,100.81909373067698,12.642460796472614
f4-stars-h0p1,stellar_luminosity,3.2,0.5604276061560974,838.4664234766191,355.0657303303877,1193.5321538070068,171.04521325475375,15.188050898991628,120.83898957262467,12.717216010480294
f4-stars-h0p1,stellar_luminosity,3.225,0.551334748545271,836.0798470407881,352.13463878434993,1188.2144858251381,185.69698061864287,14.816317619115651,138.68290121528872,12.521387555068408
f4-stars-h0p1,stellar_luminosity,3.25,0.5190253646672758,848.1993571083221,349.52716678713904,1197.7265238954612,173.41994572623466,14.360749922331726,136.64697421750995,11.97957053195577
f4-stars-h0p1,stellar_luminosity,3.2750000000000004,0.4748305481623948,852.2235979515522,346.8136061444443,1199.0372040959965,155.78338060951643,13.52422618107149,112.10511821262487,11.705833082434383
f4-stars-h0p1,stellar_luminosity,3.3000000000000003,0.46553583929322023,850.3599950518204,344.0017070303452,1194.3617020821657,140.81129547333828,12.314159945405779,113.46809783992713,12.957410558253379
f4-stars-h0p1,stellar_luminosity,3.325,0.5235015892868091,848.0720208049493,340.65244950155284,1188.724470306502,100.04352971478322,11.26927137067152,129.53318968143554,14.360705933468193
f4-stars-h0p1,stellar_luminosity,3.35,0.6504065780278496,838.8498440726723,337.4092746774784,1176.2591187501507,75.20037972292478,10.784445432796804,140.75515655389322,15.075902615796501
f4-stars-h0p1,stellar_luminosity,3.375,0.764031905831669,828.0358717610911,334.55764859808835,1162.5935203591794,67.0423578853536,10.616182956483899,149.68959398678422,15.264235589047363
f4-stars-h0p1,stellar_luminosity,3.4000000000000004,0.8070583485545412,820.4234138522459,331.9203267367671,1152.343740589013,67.67425314028046,10.503714830712429,155.20037026401684,15.152779946117267
f4-stars-h0p1,stellar_luminosity,3.4250000000000003,0.7750565135059634,816.3743181291076,329.55922009660236,1145.93353822571,84.38899917102945,10.487704654183236,151.2719070116389,14.910840061577483
f4-stars-h0p1,stellar_luminosity,3.45,0.7056045203933125,811.4444706424115,327.31578250351885,1138.7602531459304,92.34337786030284,10.44033478113107,134.75062870058778,14.330915402826928
f4-stars-h0p1,stellar_luminosity,3.475,0.6453426659295143,807.128864497395,325.47479364932167,1132.6036581467167,92.81353468919013,10.334563503015033,106.04568741781547,13.618807772981967
f4-stars-h0p1,stellar_luminosity,3.5,0.6066872796946775,801.4774291506625,323.6721120433277,1125.1495411939902,92.26872362169372,10.177678246816745,82.44949060303381,12.747143335104967
f4-stars-h0p1,stellar_luminosity,3.5250000000000004,0.5532073490815479,793.0485306456038,321.7581226534602,1114.806653299064,93.38912699225901,10.0161794904464,71.89433922197729,12.081558502529031
f4-stars-h0p1,stellar_luminosity,3.5500000000000003,0.47658537845678217,782.0718917073417,319.40277452344475,1101.4746662307864,93.75914008378432,9.844261015107643,66.99368510411163,11.501277741705543
f4-stars-h0p1,stellar_luminosity,3.575,0.39142060589942707,768.4774140628252,316.583102057175,1085.06051612,88.64555834601768,9.673816223135702,62.65648832255542,10.893825308423173
f4-stars-h0p1,stellar_luminosity,3.6,0.3256606234685844,752.1134675037462,313.2142981504257,1065.3277656541718,74.52927577155097,9.459646751883158,56.70835869119959,10.098179035129556
f4-stars-h0p1,stellar_luminosity,3.625,0.30274598798385016,732.3170861935131,309.3407779083079,1041.657864101821,74.39144767219429,9.19495269855335,52.81336042003958,9.145134685884411
f4-stars-h0p1,stellar_luminosity,3.6500000000000004,0.3068530231489259,712.0749814196929,305.63135924590233,1017.7063406655952,76.62258977101494,8.688234424289998,52.486248511736044,8.635647811229026
f4-stars-h0p1,stellar_luminosity,3.6750000000000003,0.3234145413252334,695.6971811045352,302.6475406471319,998.3447217516671,80.29212168485648,8.40516376819864,59.541005665209845,9.07129958888058
f4-stars-h0p1,stellar_luminosity,3.7,0.33593423871095146,686.8904795108829,300.4331662782713,987.3236457891542,85.7190480870846,8.618654195604574,72.276922393481,10.235090873648367
f4-stars-h0p1,stellar_luminosity,3.725,0.3420536938288925,685.9384545986369,298.88121733473133,984.8196719333682,88.21452214026588,8.98016654806828,83.40346673076854,11.35723810867263
f4-stars-h0p1,stellar_luminosity,3.75,0.344227761895033,688.7177241419396,297.4536445849826,986.1713687269222,85.21054838377128,9.159658231583617,91.25055790872362,12.140182222201599
f4-stars-h0p1,stellar_luminosity,3.7750000000000004,0.34277544268630467,692.8082738323121,295.9278194277582,988.7360932600703,79.80808590840566,9.139513851302517,92.06768487356074,12.473628574101586
