galaxy,native_stored_channel_index,cached_channel_index,maximum_absolute_replay_error,relative_rms_replay_error,replay_pass,original_background_offset_jy_per_native_beam,gaussian_sigma_native_pixels,inner_coarse_pixels,outer_coarse_pixels,inner_coarse_mad_jy_per_native_beam,outer_coarse_mad_jy_per_native_beam,coarse_inner_to_outer_mad_ratio,native_inner_to_outer_mad_ratio,coarse_inner_tail_ratio,coarse_outer_tail_ratio,coarse_inner_above3_mad,coarse_inner_belowminus3_mad,coarse_outer_above3_mad,coarse_outer_belowminus3_mad
NGC3198,0,71,0.0,0.0,True,-1.7059254183734038e-06,13.19817506817313,1972,3492,7.147527996870515e-05,5.939137578872624e-05,1.2034622707338039,1.038921047902977,0.9183825624012086,0.8546530897667453,0.0,0.0,0.002290950744558992,0.003150057273768614
NGC3198,1,70,0.0,0.0,True,-3.8934655274884425e-06,13.19817506817313,1972,3492,6.566770195489403e-05,5.870142723323573e-05,1.1186730042181003,1.016324399151535,0.9505698178451423,0.9686581362949056,0.0005070993914807302,0.0010141987829614604,0.002004581901489118,0.003150057273768614
NGC3198,70,1,0.0,0.0,True,3.163225904726566e-06,13.19817506817313,1972,3492,8.227772574420323e-05,7.342874785909551e-05,1.1205110824181324,1.0618494946522843,0.8378123468504733,0.9135781569279288,0.0,0.0,0.0,0.0
NGC3198,71,0,0.0,0.0,True,-7.717594457063573e-06,13.19817506817313,1972,3492,6.22050647956539e-05,6.712329045182081e-05,0.9267284779536088,1.00679209363157,0.9094940056140879,0.9259007762411383,0.0,0.0005070993914807302,0.0,0.0
NGC4214,0,101,0.0,0.0,True,4.18377472187624e-06,12.936707773939084,1972,3492,0.00019971334147963582,0.00016846557897663489,1.1854845523508086,1.0012993153219643,0.9457482244381895,1.0290714598689301,0.0015212981744421906,0.0,0.0,0.0
NGC4214,1,100,0.0,0.0,True,4.2364294738664874e-05,12.936707773939084,1972,3492,0.0001874555195831818,0.0001727479738991844,1.085138744912752,0.9956226549160886,1.1769836283592934,0.8770927260816276,0.006085192697768763,0.0,0.0,0.000572737686139748
NGC4214,96,5,0.0,0.0,True,-2.7902469708169832e-05,12.936707773939084,1972,3492,0.00023203593540008374,0.00017165651378032423,1.351745589433498,1.0702272677326445,1.8182508633394248,1.084350000361609,0.027890466531440162,0.0,0.000859106529209622,0.001145475372279496
NGC4214,97,4,0.0,0.0,True,-4.0923542677441356e-05,12.936707773939084,1972,3492,0.00020056251095517552,0.00018939039277745734,1.0589898886309717,1.021195210318084,1.1409118725674894,1.022330747103794,0.015720081135902637,0.0,0.0,0.0
NGC4214,98,3,0.0,0.0,True,4.817846956568602e-05,12.936707773939084,1972,3492,0.00017717041290796242,0.00020564489986576572,0.8615356521052068,0.9645132294438561,1.1073356388237658,1.044779147284145,0.0015212981744421906,0.0,0.000572737686139748,0.0
NGC4214,99,2,0.0,0.0,True,1.6362417734036148e-05,12.936707773939084,1972,3492,0.0001660093099639326,0.00018877995681627866,0.8793799551797411,0.9794190130221598,0.8969171992314238,1.1255615593844073,0.0,0.012170385395537525,0.000572737686139748,0.0014318442153493699
NGC4214,100,1,0.0,0.0,True,-2.4374216254665363e-05,12.936707773939084,1972,3492,0.0002291489099364776,0.00017143991591001112,1.336613522703534,1.0474376596469364,0.7502829069368865,1.1192693542234904,0.0,0.004563894523326572,0.000286368843069874,0.0
NGC4214,101,0,0.0,0.0,True,1.2217629888321112e-05,12.936707773939084,1972,3492,0.00023684200631735657,0.00019192284745589474,1.234048001355256,1.0423485924419151,0.7912148023213443,0.9569371998965465,0.0,0.017748478701825558,0.0,0.001145475372279496
NGC5055,0,86,0.0,0.0,True,-1.870070114613785e-05,13.287463129034064,1972,3492,0.00010068699606175322,9.690311833478929e-05,1.039048049144209,0.9923330713877748,0.8722556078995765,0.8140899972759855,0.0005070993914807302,0.002028397565922921,0.0,0.0
NGC5055,85,1,0.0,0.0,True,2.555145012738534e-06,13.287463129034064,1972,3492,0.00011042973630839519,8.660271924124953e-05,1.2751301261196042,1.0476531326193714,1.1467291582914312,1.2432968261296904,0.019269776876267748,0.0,0.007731958762886598,0.0
NGC5055,86,0,0.0,0.0,True,-1.1866200377799439e-05,13.287463129034064,1972,3492,9.224950841884094e-05,9.007483308825579e-05,1.024142984849657,1.0249811923963863,1.2025833537059978,0.933367664212493,0.0,0.0,0.0,0.0
NGC6946,0,114,0.0,0.0,True,1.1583352764549521e-05,13.481040328007076,1972,3492,7.081114052948698e-05,6.148200619423584e-05,1.1517376369563845,0.9721254490789147,0.8790584388157345,0.9192451159135295,0.0,0.0030425963488843813,0.001718213058419244,0.0037227949599083618
NGC6946,114,0,0.0,0.0,True,3.8897558217389353e-07,13.481040328007076,1972,3492,7.67427732472067e-05,7.30522342537762e-05,1.050519180297894,0.9746051775009857,1.2580509291017696,0.9549285529547418,0.0010141987829614604,0.0,0.0,0.0
UGC04305,0,53,0.0,0.0,True,6.5041958674641875e-06,13.020773937395154,1972,3492,0.00024109792908079614,0.00021834584186567445,1.1042020632072247,0.9793399058581973,1.0104695164242272,1.045362372947712,0.0,0.0,0.000572737686139748,0.001145475372279496
UGC04305,53,0,0.0,0.0,True,-1.268251993103753e-05,13.020773937395154,1972,3492,0.00022327914554156258,0.00022690269222051064,0.9840303936304705,0.9593100199784568,1.1101295566178249,1.0946685851403029,0.005578093306288032,0.0,0.0,0.0
