Name	Rin	Rout	nelec	neerr	Kitpl	Kflat	Kerr	Pitpl	Pflat	Perr	Mgrav	Merr	Tx	Txerr	Lambda	tcool5/2	t52err	tcool3/2	t32err
MACS_J1149.5+2223	6.3463e-01	6.6636e-01	1.1096e-03	2.2565e-04	7.7660e+02	7.7660e+02	1.6321e+02	1.4963e-11	1.4963e-11	3.8771e-12	3.5213e+14	4.1469e+13	7.7110e+00	1.3883e+00	2.2922e-23	8.8504e+01	2.4038e+01	5.3102e+01	1.4423e+01
MACS_J1149.5+2223	6.0289e-01	6.3463e-01	1.0822e-03	2.5670e-04	7.9686e+02	7.9686e+02	1.7865e+02	1.4726e-11	1.4726e-11	4.2046e-12	4.1178e+14	4.7990e+13	7.7999e+00	1.3493e+00	2.3089e-23	9.1126e+01	2.6753e+01	5.4676e+01	1.6052e+01
MACS_J1149.5+2223	5.7116e-01	6.0289e-01	1.2324e-03	2.5381e-04	7.3736e+02	7.3736e+02	1.5395e+02	1.6921e-11	1.6921e-11	4.3849e-12	3.1156e+14	3.5936e+13	7.8892e+00	1.3471e+00	2.3252e-23	8.0375e+01	2.1503e+01	4.8225e+01	1.2902e+01
MACS_J1149.5+2223	5.3943e-01	5.7116e-01	1.2989e-03	2.6230e-04	7.1834e+02	7.1834e+02	1.4784e+02	1.7994e-11	1.7994e-11	4.5881e-12	3.9542e+14	4.5141e+13	7.9786e+00	1.3450e+00	2.3415e-23	7.6586e+01	2.0146e+01	4.5951e+01	1.2088e+01
MACS_J1149.5+2223	5.0770e-01	5.3943e-01	1.5648e-03	2.5153e-04	6.4009e+02	6.4009e+02	1.2014e+02	2.1870e-11	2.1870e-11	4.8699e-12	3.2131e+14	3.6309e+13	8.0680e+00	1.3428e+00	2.3578e-23	6.3840e+01	1.4772e+01	3.8304e+01	8.8632e+00
MACS_J1149.5+2223	4.7597e-01	5.0770e-01	1.7653e-03	2.6460e-04	5.9586e+02	5.9586e+02	1.0866e+02	2.4889e-11	2.4889e-11	5.3228e-12	3.0006e+14	3.3565e+13	8.1573e+00	1.3407e+00	2.3740e-23	5.6825e+01	1.2640e+01	3.4095e+01	7.5841e+00
MACS_J1149.5+2223	4.4424e-01	4.7597e-01	2.0330e-03	2.6743e-04	5.4706e+02	5.4706e+02	9.5531e+01	2.8914e-11	2.8914e-11	5.7907e-12	1.7227e+14	1.9077e+13	8.2467e+00	1.3386e+00	2.3903e-23	4.9542e+01	1.0351e+01	2.9725e+01	6.2103e+00
MACS_J1149.5+2223	4.1251e-01	4.4424e-01	2.1666e-03	2.9309e-04	5.2887e+02	5.2887e+02	9.2343e+01	3.1081e-11	3.1081e-11	6.2667e-12	1.4617e+14	1.6026e+13	8.3361e+00	1.3364e+00	2.4066e-23	4.6673e+01	9.7904e+00	2.8004e+01	5.8743e+00
MACS_J1149.5+2223	3.8078e-01	4.1251e-01	2.3022e-03	3.1454e-04	5.1224e+02	5.1224e+02	8.9035e+01	3.3309e-11	3.3309e-11	6.7101e-12	8.3008e+13	9.0114e+12	8.4255e+00	1.3343e+00	2.4229e-23	4.4097e+01	9.2230e+00	2.6458e+01	5.5338e+00
MACS_J1149.5+2223	3.4904e-01	3.8078e-01	2.2391e-03	3.8008e-04	5.2626e+02	5.2626e+02	9.7454e+01	3.2672e-11	3.2672e-11	7.3276e-12	1.0698e+14	1.1500e+13	8.5148e+00	1.3321e+00	2.4391e-23	4.5514e+01	1.0507e+01	2.7309e+01	6.3040e+00
MACS_J1149.5+2223	3.1731e-01	3.4904e-01	2.5377e-03	3.7391e-04	4.8820e+02	4.8820e+02	8.5567e+01	3.7341e-11	3.7341e-11	7.7234e-12	8.9620e+13	9.5402e+12	8.6042e+00	1.3300e+00	2.4554e-23	4.0311e+01	8.6083e+00	2.4187e+01	5.1650e+00
MACS_J1149.5+2223	2.8558e-01	3.1731e-01	2.5894e-03	4.3841e-04	4.8571e+02	4.8571e+02	8.8775e+01	3.8420e-11	3.8420e-11	8.5334e-12	1.1328e+14	1.1942e+13	8.6936e+00	1.3278e+00	2.4717e-23	3.9654e+01	9.0421e+00	2.3793e+01	5.4252e+00
MACS_J1149.5+2223	2.5385e-01	2.8558e-01	3.2282e-03	4.0541e-04	4.2279e+02	4.2279e+02	6.9832e+01	4.8295e-11	4.8295e-11	9.1688e-12	8.6745e+13	9.0572e+12	8.7830e+00	1.3257e+00	2.4879e-23	3.1925e+01	6.2685e+00	1.9155e+01	3.7611e+00
MACS_J1149.5+2223	2.2212e-01	2.5385e-01	3.3935e-03	4.8197e-04	4.1230e+02	4.1230e+02	7.0033e+01	5.1186e-11	5.1186e-11	1.0245e-11	8.0115e+13	8.2852e+12	8.8723e+00	1.3235e+00	2.5042e-23	3.0479e+01	6.2778e+00	1.8287e+01	3.7667e+00
MACS_J1149.5+2223	1.9039e-01	2.2212e-01	3.9305e-03	5.2291e-04	3.7689e+02	3.7689e+02	6.2362e+01	5.9769e-11	5.9769e-11	1.1530e-11	4.9681e+13	5.0892e+12	8.9617e+00	1.3214e+00	2.5205e-23	2.6409e+01	5.2446e+00	1.5845e+01	3.1468e+00
MACS_J1149.5+2223	1.5866e-01	1.9039e-01	4.3223e-03	5.8633e-04	3.5661e+02	3.5661e+02	5.8950e+01	6.6258e-11	6.6258e-11	1.2839e-11	4.0697e+13	4.1297e+12	9.0511e+00	1.3193e+00	2.5368e-23	2.4098e+01	4.7983e+00	1.4459e+01	2.8790e+00
MACS_J1149.5+2223	1.2693e-01	1.5866e-01	4.6048e-03	7.1764e-04	3.4462e+02	3.4462e+02	5.9276e+01	7.1156e-11	7.1156e-11	1.4769e-11	2.4366e+13	2.4494e+12	9.1404e+00	1.3171e+00	2.5530e-23	2.2698e+01	4.8177e+00	1.3619e+01	2.8906e+00
MACS_J1149.5+2223	9.5190e-02	1.2693e-01	5.4220e-03	8.3745e-04	3.1152e+02	3.1152e+02	5.3093e+01	8.4450e-11	8.4450e-11	1.7369e-11	1.3462e+13	1.3408e+12	9.2298e+00	1.3150e+00	2.5693e-23	1.9342e+01	4.0643e+00	1.1605e+01	2.4386e+00
MACS_J1149.5+2223	6.3460e-02	9.5190e-02	5.8378e-03	1.1524e-03	2.9889e+02	2.9889e+02	5.6255e+01	9.1644e-11	9.1644e-11	2.1894e-11	7.3377e+12	7.2405e+11	9.3192e+00	1.3128e+00	2.5856e-23	1.8024e+01	4.3711e+00	1.0815e+01	2.6227e+00
MACS_J1149.5+2223	3.1730e-02	6.3460e-02	6.3906e-03	1.7294e-03	2.8360e+02	2.8360e+02	6.3618e+01	1.0111e-10	1.0111e-10	3.0501e-11	-1.5723e+12	-1.5372e+11	9.4086e+00	1.3107e+00	2.6019e-23	1.6519e+01	5.0277e+00	9.9114e+00	3.0166e+00
MACS_J1149.5+2223	0.0000e+00	3.1730e-02	6.0940e-03	2.9134e-03	2.9500e+02	2.9500e+02	1.0178e+02	9.7165e-11	9.7165e-11	4.8194e-11	-7.9224e+11	-7.6754e+10	9.4979e+00	1.3085e+00	2.6181e-23	1.7379e+01	8.6465e+00	1.0427e+01	5.1879e+00
