galaxy,split,original_split_sha256,excluded_split_sha256,duplicate_of,calibration_pixels,validation_pixels,removed_calibration_pixels,removed_validation_pixels,validation_quadrant_counts,support_gates,sufficient_support,diagnostic_pass,status,mean_square,channel_lag1,quadrant_min,quadrant_max,failed_gates
IC2574,9062034-forward,c92b9ec07f2416e923f5451e9878712d47b71dea18fe73823d372ac3b646b28f,81222ae2d15dbdaeec6502b9727cec2b401428abe3a754607bc41552bd03221d,,141,18,225,22,"[0, 7, 9, 2]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062034-reverse,0667425d201a76e860fd46d176062bf6c88dbafb8a37db13e1a1013934abd79c,a5584b193339229e25a3a1b834040f6cf1fdec57b926fd5d0dce7c22bc53fa43,,144,13,226,24,"[1, 10, 2, 0]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062035-forward,d8463b7bc30025ff40ee6d37340fde3df672bc298376de8e9522acb22e5b856f,2cfc4dae3459cf1772c443e45a12d5fdb9119f34321ef60aaf9a0725a8e7d743,,151,12,208,26,"[0, 7, 3, 2]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
IC2574,9062035-reverse,678ec1126646d8708edf1a8ee1ef8861d490ba78b97e18dfdb8539f41b9c897e,f10cfbbdebae2c0268a16f413f418c7eb36e0d4a65c106f2c1f142ae6f1c7df5,,134,19,243,20,"[1, 10, 8, 0]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062028-forward,f7a948db3e67c8c5e52f70bcba322a25d4f56ba879549407a71138c178e67e3d,839efb7883b4cee7978923fe2099d033702e6bbd747f3062859c1a2e280692f1,,141,21,159,15,"[10, 2, 3, 6]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062028-reverse,d162c068a02beea8409aeec2034535dfc85dede1fb98b75dba626b5464078d31,fe55a350db85dd1996c95a37f3fca3fcca8432bab0de8d63818db7974d7d077d,,243,15,178,18,"[7, 0, 0, 8]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062029-forward,7b2e53f4c3713fcce6b3f26f5253a7a19d59bac371b115cd1b849f6e572a382c,aa90823e6e6a2342dac60276d4cbaca39b5f1462a9fa77ea86414c68cc3d2a07,,239,16,176,19,"[8, 0, 0, 8]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062029-reverse,c427b5b58ec9dd21629202649ef1af5618f75a6c0940e505a1217c1cd90fa626,0f8c4f3c653b0b0c1bcd5f5a33b17ea76e197b1e71508ef64ae6dd69dbe64571,,145,20,161,14,"[9, 2, 3, 6]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062030-forward,2b70f59f3b842f7a4c93a0c08754a6bc805ee6df7125a4acbd3bc0a48027afd2,245018b491620c9daca29c96eb618673fee7766be37ed56e222c3cd3cdcd97af,,170,19,192,14,"[8, 2, 3, 6]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062030-reverse,cb6a834db4e468d30e9bfd3dd1e11efdc2288c330b4f0797ee3cf0c6aba34c03,2f2d13d1dd7d98dcaf06904d770c8ecdf096a59dcc839d6604a1e442a0467898,,214,17,145,19,"[9, 0, 0, 8]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062031-forward,34a09e2caa7cab66f1525387dc778e3c1ab709f4f0b12bb044b2ee0144fefd6d,7e7c5017da8539230552907447c2f2b0cb3f127215cf9bd0d4b6a31933494eff,,237,14,138,20,"[8, 0, 0, 6]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062031-reverse,27af8dd583af03bac5a2d7a298e6de9c1e0c765d653687125f81bef60add6b33,466c2bd24115b2f31873dd59fafec03df64c6486fc2fdabd9057ab3cbe73c089,,147,22,199,13,"[9, 2, 3, 8]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062032-forward,3616b7a67869870466e85a365249a4a31479991b2e91586e9c17ed4bd92c789a,cec766edc27f2e38d66d3cb0da8a55be4d507cc69b0cd9608b769fc875b503ff,,199,16,156,16,"[8, 2, 0, 6]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062032-reverse,5b2c01509a04e367b272df32c3cff5fe036b8731b0a9baa7f5a58a34a11b7b4e,6df2a8ba76954e01f48e808cd348a211dc00354b8fbfa86add78eda2fa5fb4ae,,185,20,181,17,"[9, 0, 3, 8]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062033-forward,01ce395b6b6c3100b2b77eb6a067cbe669a3b23e413701beb32181f401efa2c4,2a9bece56d8faada4d1e4e0db6a9ec1051594b4c2c1b84520994e42a1238266e,,143,21,171,13,"[10, 2, 3, 6]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062033-reverse,c6890be8088c1bf6e121e827c0ce1486f092eec6f494aaeaf9015df482dc294b,e7bc8d4e20f11215ed5f527ec51058f475433210b5a8d0a72ffc60e10cb9a3a0,,241,15,166,20,"[7, 0, 0, 8]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062034-forward,0c598e2b95e8f6c5a777aa2e6695763f73910851562240d33642abbcabc61c13,41ff2a0048d9ffe12325a4a898d6107f4e90aa0808fbebcc4bc74c423337553c,,179,18,158,16,"[10, 2, 0, 6]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062034-reverse,2ea2ea6564294a1d05a1c9a79ec4bbaaac1614a0764046796592a18272731382,260008fa22dbc60cf020935eb1cafb272afaf5c57b23cf67bb61bc0994aba898,,205,18,179,17,"[7, 0, 3, 8]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062035-forward,ddcc2e47651473a47fad10b22c5fa475f774fd8007dd7281e3caa55c1f149b46,f691c414261f6f7df564c8530684045de67d46026f1ea5ba12bd3e832e7cc1bb,,147,20,152,16,"[9, 2, 3, 6]","{'calibration_pixels': False, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2841,9062035-reverse,7d2a116073c6b94ed1144525c09d751ffb164829d20d506db46480293d451e7b,3283842f8ade084cad66468ae59431bbbd555c64fc5b1fc52592c1d7a512cdc0,,237,16,185,17,"[8, 0, 0, 8]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062028-forward,56bf969f6f8fa323a31e8aca170e76eced343a93e765ef44627f87883f3df020,c818c731688312792c6693aaf08722a0f8de04760c32b075906fab71cd2fa384,,211,24,153,14,"[0, 11, 10, 3]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062028-reverse,fa918ff0b9de6aa0fbb25af8a2de43c4d5a94d8d4c8af4729ca82841ea00e0b4,2f1583af60c550692b3a47c7f915af1c44ada0f7aa7248588cef5a8e2fa297b8,,213,20,145,16,"[2, 10, 8, 0]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062029-forward,c7be281cda22394040e2789d7b55044c8a5be7fb24fbb841135d806207dbaabf,8513a785a3c49746669063c6c4dcdc9c913eb309b00f60b43e47710b22a20a4f,,232,20,132,18,"[0, 10, 10, 0]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062029-reverse,c5c36dd937431549ec82990d80eb56051f4f9333ffb66d7a625bad3ef3a2f085,2acbff5c78aaf21acf70aae5d4275560464a0ce0707f1e8e96fe62e8aa5ffb2a,,192,24,166,12,"[2, 11, 8, 3]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062030-forward,3b773d1a7ded3c684ed2106d5ce4f2d03f2ebf9108a2761e7132946b87efc3c7,3303cdf8fab750a50c83d70d2938940dfa7a5deb0042bd93e7918f9dbebb3b49,,163,25,147,14,"[2, 10, 10, 3]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062030-reverse,ece78c111603604a276d6bfedb5f96981a856754712b98f83fd88692b52c13db,396641adfa32b62ca4c8c6fc952e34356b2567de9b67a4f7dcb7c681f24cb77f,,261,19,151,16,"[0, 11, 8, 0]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062031-forward,87a25417be90e0d7e6ff7e1b272415f45712e5f19f051deae6986b4d01da3f67,c357b4b9fdb7dcc60d3581dbe48f4fceeb5c8d2eba2768391a130d7ed4519982,,163,25,147,14,"[2, 10, 10, 3]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062031-reverse,6b098cc1dcbcfdd28bbcbe2878a5ae665a20dde1246cfc0d7b039ef32a5d3401,cfd6ccd46aaaaec989bad327165c02d7fa2e7d7c8ad67c6f45a3d4d9c9ea5d50,,261,19,151,16,"[0, 11, 8, 0]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062032-forward,fb35491a0bd3be47b2001550dfd699d73193c155648f54e23109f3d02647cc9a,57dfa31aa1ee34bef0b7e77123290abee609cd962ccda98b793d47409fba5cf5,,224,22,150,14,"[0, 11, 8, 3]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062032-reverse,36f6e90dbabc1010ee0ac081e7f986fd4c93e4a16cfdc5936973b9adffd012b0,c7034ebe3fe1b75273b056873fd707144a196c68ddf02585d2f3aef3ccb389a9,,200,22,148,16,"[2, 10, 10, 0]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062033-forward,06a66fdcf93f90be9b96605a78cf3c4dc494cb39c09eab1a43dfa9ac19f04218,58bdf0353715db3bd898c9c39cd5be902a65ac88eb7ba296c2fa097a0917171f,,229,21,151,16,"[2, 11, 8, 0]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062033-reverse,f20943d2feeddc8543adbd9f649f97c0d6692cba29a4fa58161687b468c03228,5a3dd6bb0685484f4678690ac5990d4ef9c58492a249271a661140501d17bbf5,,195,23,147,14,"[0, 10, 10, 3]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062034-forward,8cceca245f08c779682f0cb0db0adef6693919502b1db8acec7dad59e67d7422,eff30e7b46493bd286d2b37c984d31fc04e703904bc14cbbd245dabfad21e9bf,,164,25,144,14,"[2, 10, 10, 3]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062034-reverse,fea148bfc3566a7cef6271295c91d187f577549796f396fc2793adb339d7dff5,c2b3f07bbe23306cd58d8dc5434ed99c5be3e19026a7c6513dbc2890d58fc2a1,,260,19,154,16,"[0, 11, 8, 0]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062035-forward,fc1097742d7bcd63911a6108f4f2c222ba33ddcc9dfac6d04d0003ae08019dc5,48f180ef2a4f6cfd8f50c044ed0c16828fabef451f387f33bcc104d4807de8dc,,194,23,148,14,"[0, 10, 10, 3]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2903,9062035-reverse,290bb69c2c48032292fea848ea86c0330c9549a783267bd52fdaaef82a866734,0a16ec876d7c378a8920f2357acd572ecd4f6160517bc9a63a08d53a65047efc,,230,21,150,16,"[2, 11, 8, 0]","{'calibration_pixels': True, 'validation_pixels': False, 'validation_quadrants': False}",False,False,INSUFFICIENT_BACKGROUND_SUPPORT,,,,,
NGC2976,9062028-forward,330c123c2724c4c26ca12bf7fd8e042fd639cd33f3e5fdeaeea890c7435cf3a3,330c123c2724c4c26ca12bf7fd8e042fd639cd33f3e5fdeaeea890c7435cf3a3,,324,36,0,0,"[9, 10, 8, 9]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': True}",True,True,BACKGROUND_DIAGNOSTIC_EVALUATED,1.0116820749070836,0.029000501885535428,0.9213082367107612,1.0633849129165853,
NGC2976,9062028-reverse,8c68a53a7a458b39dbd394d4ac9c08a828bcab002f7aaae86699c47fe01e1446,8c68a53a7a458b39dbd394d4ac9c08a828bcab002f7aaae86699c47fe01e1446,,395,33,0,0,"[8, 10, 7, 8]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': True}",True,True,BACKGROUND_DIAGNOSTIC_EVALUATED,0.9353422430853655,-0.01174545948583916,0.9131807861794516,0.9711937728322445,
NGC2976,9062029-forward,881ac66e4fd01d1f35ad85614cea8a41284c3267b688ada681be6eb961280f56,881ac66e4fd01d1f35ad85614cea8a41284c3267b688ada681be6eb961280f56,,331,36,0,0,"[9, 10, 8, 9]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': True}",True,True,BACKGROUND_DIAGNOSTIC_EVALUATED,0.9264522526303733,-0.01739112397332074,0.8757290676923141,0.9773042438365485,
NGC2976,9062029-reverse,863dfaeca4638f810ba4b7a75371c801f7049889d43360de4cbe4e2b548436b3,863dfaeca4638f810ba4b7a75371c801f7049889d43360de4cbe4e2b548436b3,,388,33,0,0,"[8, 10, 7, 8]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': True}",True,True,BACKGROUND_DIAGNOSTIC_EVALUATED,1.0407080436484628,0.0271366402846292,1.0117652492367701,1.0454740888543261,
NGC2976,9062030-forward,90df8d6d74a4087fc9c55bbe75207eba51f4d61c73d70391e62c2a297bef2766,90df8d6d74a4087fc9c55bbe75207eba51f4d61c73d70391e62c2a297bef2766,,355,35,0,0,"[9, 10, 8, 8]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': True}",True,True,BACKGROUND_DIAGNOSTIC_EVALUATED,0.965582403486714,0.03928802027360261,0.8819274771062802,1.0214787440650808,
NGC2976,9062030-reverse,2b3aa79584b2520c75966ebcca5d83410b807c8cb453f2234f4934e5f5112916,2b3aa79584b2520c75966ebcca5d83410b807c8cb453f2234f4934e5f5112916,,364,34,0,0,"[8, 10, 7, 9]","{'calibration_pixels': True, 'validation_pixels': True, 'validation_quadrants': True}",True,True,BACKGROUND_DIAGNOSTIC_EVALUATED,0.9679249826302657,-0.0131554219288318,0.8787409828143963,1.0721700302774217,
