group	richness_bin	members	metadata_redshift	lr195	d10	log10_member_luminosity	log10_rms_radius_kpc	log10_richness	projected_axis_ratio	projected_ellipticity	quadrupole	m3	m4	inner_outer_axis_ratio_difference	inner_outer_quadrupole_difference	centroid_shift_profile	axis_twist_inner_outer_sin2	outer_multipole_energy	mst_length_per_rms_radius	mst_diameter_efficiency	projected_linearity	angular_gap_entropy	luminosity_half_radius_kpc	rms_radius_kpc	sigma_gap_km_s	sigma_mad_km_s	unique_member_redshifts	log10_eta_lum	log10_sigma_gap	log10_eta_half_radius	log10_eta_mad
1162	1	23	4.365207600000e-02	5.119511900000e+01	6.931106080000e+00	1.723912959207e+00	2.602067012821e+00	1.361727836018e+00	4.225570403841e-01	5.774429596159e-01	6.969941405459e-01	3.599593329973e-01	6.898191382113e-01	2.873600320950e-01	-3.671096254709e-01	9.934017203965e-01	6.552142020788e-01	6.498084147029e-01	1.753411507722e+00	7.041703996602e-01	5.774429596159e-01	7.946515893566e-01	2.695281600722e+02	4.000064670861e+02	3.301921102059e+02	3.430170288086e+02	23	5.915687437167e+00	2.518766691777e+00	5.744224570956e+00	5.948785415180e+00
1398	2	88	4.567607700000e-02	1.502867770000e+02	1.188171252000e+01	2.193240060794e+00	2.876317296219e+00	1.944482672150e+00	8.601049497126e-01	1.398950502874e-01	1.495702887879e-01	2.380946877879e-01	6.790190149456e-02	6.009519576962e-02	-6.742095743393e-02	5.863333904570e-01	9.972294822108e-01	3.678258786675e-01	1.800041208747e+00	4.489611769932e-01	1.398950502874e-01	8.788779018349e-01	7.055437349935e+02	7.521722315147e+02	6.043848753678e+02	5.362157927251e+02	88	6.245704410735e+00	2.781313587655e+00	6.217911054332e+00	6.141756436936e+00
1537	2	197	2.472541800000e-02	1.301749110000e+02	1.595420571000e+01	2.181470631753e+00	2.939418188084e+00	2.294466226162e+00	7.533721345616e-01	2.466278654384e-01	2.758604366131e-01	3.128081144222e-01	1.442268429220e-01	1.852274620245e-01	-2.204046828340e-01	1.188364593655e-01	9.663543938766e-01	4.413968519960e-01	1.820151541963e+00	3.662627319464e-01	2.466278654384e-01	9.037451992244e-01	7.984121577290e+02	8.697975661233e+02	6.534027294245e+02	6.190668455949e+02	197	6.388309444928e+00	2.815180944298e+00	6.351118398343e+00	6.341422647927e+00
1540	2	32	2.222466100000e-02	2.040516100000e+01	1.216443746000e+01	1.382892731188e+00	2.436229436239e+00	1.505149978320e+00	4.831112234292e-01	5.168887765708e-01	6.215386327602e-01	2.348687763774e-01	3.653340353359e-01	-4.786117915077e-02	5.962155890903e-02	2.414115200133e-01	6.437027913787e-01	4.096246271908e-01	2.017663077550e+00	6.051091003622e-01	5.168887765708e-01	8.648128526903e-01	1.836899748211e+02	2.730419873015e+02	7.890519345364e+02	6.727190304310e+02	32	6.847547882928e+00	2.897105588939e+00	6.675403901314e+00	6.709004132126e+00
1544	1	19	2.653765900000e-02	1.184810000000e+01	5.314586820000e+00	1.162459852626e+00	2.588270731411e+00	1.278753600953e+00	4.954840877531e-01	5.045159122469e-01	6.057750334599e-01	7.271233630171e-01	7.294217793915e-01	2.105611030328e-01	-2.654356242437e-01	3.465669579297e-01	9.453793987893e-01	8.287064658478e-01	1.755348468024e+00	6.344841671324e-01	5.045159122469e-01	8.476940695864e-01	2.772987462617e+02	3.874991296706e+02	5.208927151440e+02	3.356277062436e+02	19	6.859307446233e+00	2.716748283724e+00	6.713984620848e+00	6.477526488533e+00
1558	2	46	2.333365400000e-02	1.844578700000e+01	1.155796696000e+01	1.390412527227e+00	2.806939168397e+00	1.662757831682e+00	6.713172563537e-01	3.286827436463e-01	3.786762881054e-01	2.099944803892e-01	5.440106723228e-01	1.705454349668e-02	-2.215276069177e-02	5.667211335306e-01	9.107851370855e-01	5.894577408012e-01	2.004505151340e+00	5.970249221816e-01	3.286827436463e-01	8.685330294646e-01	5.339165622523e+02	6.411197686873e+02	6.751137022615e+02	8.080612434173e+02	46	7.075280486406e+00	2.829376922618e+00	6.995814711021e+00	7.231415196061e+00
1560	0	13	2.258183400000e-02	9.876890000000e+00	7.827162810000e+00	1.072376453398e+00	2.813525203697e+00	1.113943352307e+00	1.062507688221e-01	8.937492311779e-01	9.776735960664e-01	4.317986876342e-01	9.545247027309e-01	-3.771277903251e-01	3.918342400001e-01	2.005467586981e+00	5.452465384104e-01	1.111243101467e+00	1.093849145285e+00	7.974600256469e-01	8.937492311779e-01	6.394834179350e-01	5.939456572475e+02	6.509163848023e+02	5.056224831122e+02	6.208548555876e+02	13	7.148801504560e+00	2.703826377130e+00	7.109023012111e+00	7.327128914307e+00
1742	0	13	5.757599000000e-02	3.153219900000e+01	5.101513710000e+00	1.505131113244e+00	2.565995533710e+00	1.113943352307e+00	6.631243706612e-01	3.368756293388e-01	3.891455615412e-01	7.707581300605e-01	3.004260220933e-01	-3.083368562951e-01	3.436808545505e-01	7.601810919859e-01	7.499857530709e-01	6.202888922107e-01	1.910578432242e+00	7.058091339507e-01	3.368756293388e-01	8.817612453755e-01	1.524535586653e+02	3.681251878188e+02	3.258535681282e+02	1.130450345283e+02	13	6.086909382315e+00	2.513022480924e+00	5.704051414996e+00	5.167367402138e+00
1949	2	71	3.105810600000e-02	6.169884200000e+01	1.587917269000e+01	1.849458050159e+00	2.837766004257e+00	1.851258348719e+00	6.613053832464e-01	3.386946167536e-01	3.914739286552e-01	4.694166720543e-01	5.532926651342e-01	-3.145477830051e-01	3.986500425059e-01	4.609925409644e-01	7.693905002346e-01	5.804462029651e-01	2.015362333071e+00	5.109257229806e-01	3.386946167536e-01	8.973102535271e-01	4.342714448868e+02	6.882813537951e+02	5.682126429764e+02	6.656233412409e+02	71	6.497329739566e+00	2.754510892734e+00	6.297325008982e+00	6.634765039782e+00
2412	2	50	3.564348400000e-02	4.728472200000e+01	1.446086851000e+01	1.727317139042e+00	2.807323341319e+00	1.698970004336e+00	8.300194010410e-01	1.699805989590e-01	1.841801540472e-01	3.550563267306e-01	1.389022007959e-01	4.061778431006e-02	-4.967921857646e-02	5.856156819148e-01	6.550493608979e-01	5.038273602326e-01	1.885210769319e+00	4.322016721719e-01	1.699805989590e-01	9.123525341994e-01	6.405568515326e+02	6.416871482763e+02	5.129830755822e+02	4.419635628147e+02	50	6.500212276350e+00	2.710103037037e+00	6.499446615890e+00	6.370779134094e+00
2413	2	35	3.567407100000e-02	3.091658500000e+01	1.598531848000e+01	1.529690545089e+00	2.716668136385e+00	1.544068044350e+00	7.159779614807e-01	2.840220385193e-01	3.222052648089e-01	4.006547099294e-01	1.856174158318e-01	1.065049281243e-01	-1.366616322528e-01	6.570635661868e-01	3.401645506904e-01	8.618444041704e-01	1.736269622744e+00	6.162107441330e-01	2.840220385193e-01	8.698971905229e-01	4.252547649724e+02	5.207965953113e+02	7.736561002018e+02	8.340782773430e+02	35	6.964073499808e+00	2.888547954256e+00	6.876054551997e+00	7.029391212531e+00
2417	2	31	3.450416200000e-02	2.744170600000e+01	1.427326887000e+01	1.509800979039e+00	2.537096065076e+00	1.491361693834e+00	9.332108469811e-01	6.678915301886e-02	6.901423051274e-02	3.067898719912e-01	4.714093557445e-01	-5.867595453264e-01	7.153262608085e-01	7.736979690166e-02	9.398534752828e-01	5.828232159363e-01	1.949850841189e+00	6.329262147873e-01	6.678915301886e-02	8.917957524544e-01	3.150909589617e+02	3.444261087087e+02	3.614508843628e+02	3.020762510647e+02	31	6.143393669385e+00	2.558049291674e+00	6.104733546266e+00	5.987528251666e+00
2418	1	23	3.530487600000e-02	2.053620200000e+01	1.451480264000e+01	1.353003619591e+00	2.566510501381e+00	1.361727836018e+00	4.957086397480e-01	5.042913602520e-01	6.054881293109e-01	7.740494066646e-02	4.587438406416e-01	-1.553363381806e-01	1.935714002180e-01	4.748883970957e-01	7.014604919309e-02	6.306999919631e-01	2.013179069959e+00	5.588856611354e-01	5.042913602520e-01	8.645380863369e-01	3.460661157180e+02	3.685619536919e+02	3.393938393807e+02	3.869475261076e+02	23	6.274914791417e+00	2.530703954814e+00	6.247563368449e+00	6.388811030602e+00
2419	1	19	3.715853200000e-02	1.970825700000e+01	1.252503193000e+01	1.350444569656e+00	2.665789951838e+00	1.278753600953e+00	8.109580653517e-01	1.890419346483e-01	2.065251410249e-01	1.928929742819e-01	3.431747053839e-01	1.721006044831e-02	-2.235084649629e-02	1.315744148010e+00	2.218899258572e-01	5.722620840200e-01	1.833798823200e+00	5.001822610155e-01	1.890419346483e-01	8.615306435199e-01	3.293443646248e+02	4.632228260840e+02	6.864488690467e+02	6.083111440573e+02	19	6.988561769864e+00	2.836608193841e+00	6.840422054702e+00	6.883596927514e+00
2421	2	42	3.869419300000e-02	4.584051200000e+01	1.129773878000e+01	1.691215740012e+00	2.666603309945e+00	1.623249290398e+00	7.472000118493e-01	2.527999881507e-01	2.834434416202e-01	2.697905608619e-01	1.744856780391e-01	-2.590480666783e-02	3.221978288619e-02	5.175502219386e-01	9.978492602553e-01	3.651654693567e-01	1.963054337718e+00	7.143093053998e-01	2.527999881507e-01	8.625011830691e-01	3.833611823752e+02	4.640911748331e+02	5.067700562652e+02	4.970072778604e+02	42	6.385009461192e+00	2.704810945629e+00	6.302014287087e+00	6.368113066561e+00
2424	2	97	4.037821900000e-02	1.159958710000e+02	8.172001640000e+00	2.103823520229e+00	2.822994242714e+00	1.986771734266e+00	7.888966366749e-01	2.111033633251e-01	2.327736043087e-01	1.238689864062e-01	3.547885384487e-01	-3.589037466734e-01	4.536017654788e-01	2.008248880624e-01	2.955224402040e-01	4.006744702331e-01	2.214197527168e+00	5.579288895641e-01	2.111033633251e-01	9.176842667400e-01	4.595635328835e+02	6.652643369731e+02	6.831456849207e+02	5.797609723333e+02	97	6.388197381415e+00	2.834513329465e+00	6.227548698109e+00	6.245668675841e+00
2426	2	25	3.650164900000e-02	2.290581100000e+01	1.345313093000e+01	1.399117953559e+00	2.553896573887e+00	1.397940008672e+00	7.377749596907e-01	2.622250403093e-01	2.950751797391e-01	3.544093863362e-01	4.681209763402e-01	-4.402514796665e-01	5.500938926187e-01	8.244022751622e-01	1.683724666947e-01	5.785177394947e-01	1.909043206538e+00	4.011429738547e-01	2.622250403093e-01	8.183327026049e-01	2.494826591496e+02	3.580111675117e+02	3.055036710536e+02	2.344773107599e+02	25	6.124811486858e+00	2.485016433265e+00	5.967955277370e+00	5.894980269326e+00
2497	1	20	5.234394300000e-02	3.341194500000e+01	9.430233720000e+00	1.539008564516e+00	2.834562271365e+00	1.301029995664e+00	8.213332067693e-01	1.786667932307e-01	1.943234500022e-01	1.715494019315e-01	3.076416153201e-01	-3.226398836217e-02	4.175918183307e-02	1.200407325769e+00	2.901246566713e-01	5.430218840875e-01	1.888124047236e+00	4.899502735867e-01	1.786667932307e-01	8.682463761654e-01	5.440226833301e+02	6.832226749195e+02	5.587744336145e+02	6.713728613532e+02	20	6.790026760881e+00	2.747236527016e+00	6.691081497743e+00	6.949481270746e+00
2537	2	31	2.402012900000e-02	3.452072200000e+01	5.942371480000e+00	1.581780069604e+00	2.493026596021e+00	1.491361693834e+00	8.724026337431e-01	1.275973662569e-01	1.356626515847e-01	5.845414105911e-01	1.983585689573e-01	2.102346631987e-02	-2.269269244067e-02	4.664882394838e-01	7.242706586143e-01	6.332518432756e-01	2.467945648112e+00	5.081367154400e-01	1.275973662569e-01	9.029769237255e-01	2.741403390089e+02	3.111906903208e+02	3.050006098022e+02	3.527360917052e+02	31	5.879847941723e+00	2.484300707653e+00	5.824794291201e+00	6.006146323702e+00
2672	2	64	5.517564600000e-02	1.227261390000e+02	7.033351110000e+00	2.103068423047e+00	2.856636235942e+00	1.806179973984e+00	7.205811782840e-01	2.794188217160e-01	3.164500938933e-01	2.151027946902e-01	4.533211373995e-01	-1.329416254768e-01	1.612937993824e-01	7.988822664806e-01	2.188098136016e-01	4.746106539462e-01	1.769406734517e+00	6.248241377015e-01	2.794188217160e-01	8.807465597454e-01	6.498561322357e+02	7.188466214984e+02	6.758227102270e+02	7.673295050333e+02	64	6.413233376174e+00	2.829832781639e+00	6.369414361656e+00	6.523531608559e+00
2723	2	77	2.120006900000e-02	5.734004100000e+01	4.216543960000e+00	1.817735504310e+00	2.595587942042e+00	1.886490725172e+00	8.853532986754e-01	1.146467013246e-01	1.211702107045e-01	3.140621823415e-01	5.502225807785e-01	-3.815838064993e-02	4.338711843633e-02	7.862641996414e-02	9.523678878535e-01	6.263741235367e-01	2.579612956729e+00	5.293187005795e-01	1.146467013246e-01	9.178520461003e-01	2.579148516785e+02	3.940832190674e+02	4.950605871627e+02	3.664602471108e+02	77	6.167169142914e+00	2.694658352591e+00	5.983057551990e+00	5.905906177969e+00
3258	2	25	5.510302900000e-02	5.198403800000e+01	4.777380240000e+00	1.722346354012e+00	2.597688854197e+00	1.397940008672e+00	7.756243136946e-01	2.243756863054e-01	2.487566473515e-01	5.182979237636e-01	4.238838450170e-01	-2.899645015854e-01	3.705403088777e-01	5.817310736945e-01	5.393671586634e-01	4.007350799733e-01	2.386076786687e+00	7.049678847714e-01	2.243756863054e-01	8.551373248090e-01	2.164589572472e+02	3.959942266222e+02	4.708547810415e+02	4.295601168207e+02	25	6.221116469361e+00	2.672886984588e+00	5.958803177142e+00	6.141390403814e+00
3366	1	22	5.101651900000e-02	2.852908600000e+01	3.884827190000e+00	1.518943415781e+00	2.395964941566e+00	1.342422680822e+00	4.915638934464e-01	5.084361065536e-01	6.107792557350e-01	4.808915774195e-01	2.235954565902e-01	-4.192941782008e-01	4.214998985939e-01	7.017307068720e-01	4.462815732139e-01	5.161235830264e-01	2.515364283466e+00	6.377903709734e-01	5.084361065536e-01	8.304002411509e-01	1.878113863761e+02	2.488656413317e+02	3.066478523767e+02	2.443548491847e+02	22	5.850301380648e+00	2.486639927431e+00	5.728058357632e+00	5.653063449700e+00
3398	0	12	5.525058800000e-02	3.735402700000e+01	3.985100760000e+00	1.572340834898e+00	2.481870375720e+00	1.079181246048e+00	9.720318144407e-01	2.796818555934e-02	2.835913795627e-02	5.123154863907e-01	4.345744653671e-01	-3.302339562658e-01	4.018638384267e-01	1.227449316356e+00	9.654224722334e-01	8.491816871222e-01	2.432914918673e+00	7.161582315374e-01	2.796818555934e-02	8.704234401453e-01	2.476425479932e+02	3.032985790982e+02	3.333289667742e+02	3.241558567909e+02	12	5.955275653074e+00	2.522873056125e+00	5.867230541171e+00	5.931037286355e+00
3566	1	19	4.858461400000e-02	2.259754100000e+01	5.219090670000e+00	1.382484603442e+00	2.546977681553e+00	1.278753600953e+00	6.051247896834e-01	3.948752103166e-01	4.639402125098e-01	8.211061959682e-01	7.715331775709e-01	1.194137561573e-02	-1.550641788090e-02	7.824715252918e-01	9.767744303218e-01	9.078207182148e-01	1.937519328392e+00	5.991139051304e-01	3.948752103166e-01	8.773944800573e-01	1.826299267083e+02	3.523527631255e+02	3.890473808580e+02	3.390043266565e+02	19	6.344498069925e+00	2.590002495907e+00	6.059092333199e+00	6.224903560246e+00
3628	1	20	4.611120500000e-02	3.875665500000e+01	5.719804350000e+00	1.610747971111e+00	2.633453592120e+00	1.301029995664e+00	3.273215932052e-01	6.726784067948e-01	8.064572123032e-01	2.672164632808e-01	7.093200032934e-01	4.967597121984e-02	-4.967050118209e-02	9.211212911828e-01	6.791396083796e-01	9.086789365686e-01	1.703066182584e+00	5.387488648734e-01	6.726784067948e-01	8.288684295848e-01	3.936258861080e+02	4.299852837684e+02	2.976032721703e+02	3.258806157927e+02	20	5.969981025010e+00	2.473637702000e+00	5.931611084194e+00	6.048822677596e+00
3669	2	40	4.743509900000e-02	6.375280400000e+01	4.751316700000e+00	1.820467211061e+00	2.754922313139e+00	1.602059991328e+00	8.554309364156e-01	1.445690635844e-01	1.548930508644e-01	1.105594613417e-01	2.121394548950e-01	-2.849242581080e-01	3.422631408876e-01	6.016436095984e-01	9.984277161786e-01	2.567814964255e-01	1.989905410934e+00	4.245570702091e-01	1.445690635844e-01	9.056682937738e-01	5.028333289425e+02	5.687511831865e+02	4.296093257919e+02	4.207945242482e+02	40	6.200602502657e+00	2.633073700289e+00	6.147104245516e+00	6.182595261593e+00
3902	1	17	5.520205900000e-02	4.472559200000e+01	2.681364700000e+00	1.654338962676e+00	2.616794892744e+00	1.230448921378e+00	7.295831668272e-01	2.704168331728e-01	3.052345934032e-01	7.379302782665e-01	5.766871227405e-01	-3.920585751987e-01	4.926392404529e-01	4.451651951115e-01	9.783728592249e-01	7.439265888186e-01	1.926519926341e+00	8.886696365384e-01	2.704168331728e-01	8.471650050672e-01	2.338305401605e+02	4.138041984953e+02	4.429642844247e+02	4.581985722037e+02	17	6.255193352254e+00	2.646368711093e+00	6.007299692414e+00	6.284563393162e+00
4047	2	40	5.697589400000e-02	7.256613100000e+01	6.530913940000e+00	1.868567798344e+00	2.689159372473e+00	1.602059991328e+00	5.542089366193e-01	4.457910633807e-01	5.300491570323e-01	2.763340661130e-02	4.697069712490e-01	-1.940838850829e-01	2.440370044988e-01	1.851097556873e-02	6.763790087800e-03	4.768997781058e-01	1.791462491225e+00	5.806286945911e-01	4.457910633807e-01	8.458225335226e-01	4.850888344311e+02	4.888317123603e+02	4.243487817108e+02	4.346716520848e+02	40	6.076037493471e+00	2.627722959671e+00	6.072699399334e+00	6.096914209722e+00
4245	2	49	2.391901000000e-02	3.619553800000e+01	4.355006800000e+00	1.624506179357e+00	2.521931599293e+00	1.690196080029e+00	8.357869796262e-01	1.642130203738e-01	1.774819237799e-01	2.029716959470e-01	2.433488065789e-01	-4.011323660150e-01	5.056762425780e-01	4.441953535521e-01	9.649918781787e-01	3.368936526631e-01	2.295570048505e+00	5.456783101072e-01	1.642130203738e-01	8.848379498398e-01	2.044782470261e+02	3.326071640563e+02	3.291886400353e+02	3.090707217124e+02	49	5.932315099413e+00	2.517444839739e+00	5.721030613446e+00	5.877541152476e+00
4247	0	12	2.266928000000e-02	7.580499000000e+00	3.935272850000e+00	9.284394843689e-01	2.498959350386e+00	1.079181246048e+00	5.650654465054e-01	4.349345534946e-01	5.159566272735e-01	3.596203594337e-01	1.597063840495e-01	3.163453964490e-01	-4.029237504316e-01	8.309626236167e-01	2.652909066604e-01	7.998229091526e-01	1.993391322281e+00	5.530557783856e-01	4.349345534946e-01	8.596744124607e-01	2.983834546321e+02	3.154709331299e+02	2.776316010721e+02	2.235323418739e+02	12	6.457457661269e+00	2.443468897626e+00	6.433273048715e+00	6.269200602216e+00
4472	2	49	3.720750500000e-02	4.946430800000e+01	1.065352395000e+01	1.745272210095e+00	2.725284228093e+00	1.690196080029e+00	7.680276310129e-01	2.319723689871e-01	2.579673028917e-01	5.307590808880e-01	2.090753911133e-01	-3.774339176952e-01	4.774993073036e-01	8.184094451882e-01	6.255779299955e-01	7.069148803115e-01	1.746916931468e+00	6.223343083523e-01	2.319723689871e-01	8.249510737513e-01	4.419168414086e+02	5.312320002486e+02	4.662793545856e+02	4.154581754661e+02	49	6.317304391313e+00	2.668646186657e+00	6.237360716019e+00	6.217066637037e+00
4654	2	25	2.313351100000e-02	1.891704900000e+01	6.828198540000e+00	1.350361075288e+00	2.454703650720e+00	1.397940008672e+00	3.939956986309e-01	6.060043013691e-01	7.312530669177e-01	4.135671059383e-01	4.872932125792e-01	2.176600975712e-02	-2.691668320196e-02	7.837445183203e-01	5.741043733231e-01	4.112065718682e-01	2.270743816713e+00	7.101256120709e-01	6.060043013691e-01	8.523363844610e-01	1.095722613033e+02	2.849073483388e+02	3.042268794887e+02	3.269029904922e+02	25	6.070737741072e+00	2.483197582820e+00	5.655734714869e+00	6.133180362438e+00
4918	1	19	4.867916600000e-02	3.048911000000e+01	4.977645200000e+00	1.524521134180e+00	2.560566947633e+00	1.278753600953e+00	3.436142504842e-01	6.563857495158e-01	7.887955609166e-01	6.629390082047e-02	7.508253464804e-01	1.164084590503e-01	-1.365569862830e-01	1.314946976909e-01	9.072129531521e-01	7.680714899989e-01	1.725240929315e+00	6.008810349272e-01	6.563857495158e-01	8.669425696792e-01	1.094287742041e+02	3.635523427735e+02	3.043083697756e+02	2.774224280198e+02	19	6.002673608392e+00	2.483313897469e+00	5.481238195141e+00	5.922328950226e+00
5082	2	31	5.255251100000e-02	5.602799500000e+01	3.313726350000e+00	1.757941363617e+00	2.544144002373e+00	1.491361693834e+00	5.537983810831e-01	4.462016189169e-01	5.305818126089e-01	2.350276671401e-01	4.181760170579e-01	3.069141856321e-01	-3.809653712832e-01	3.943306229337e-01	1.680965553541e-02	3.984178897375e-01	2.309763462509e+00	5.339349559861e-01	4.462016189169e-01	8.956987073453e-01	1.635586839158e+02	3.500612202869e+02	3.687584851228e+02	2.935984733199e+02	31	5.919686683167e+00	2.566742022205e+00	5.589216288116e+00	5.721710224688e+00
5311	0	13	3.863635400000e-02	3.270664300000e+01	7.594031390000e+00	1.525572640094e+00	2.398910066665e+00	1.113943352307e+00	6.928594880063e-01	3.071405119937e-01	3.513018004654e-01	4.175052312086e-01	2.663010257813e-01	-2.876145625011e-01	2.688016821145e-01	1.157225325858e+00	2.608985960137e-01	1.009050963038e+00	1.955022423406e+00	8.671284214753e-01	3.071405119937e-01	8.591026302359e-01	1.846227308574e+02	2.505590343773e+02	2.872232637292e+02	1.845522526961e+02	13	5.789776652169e+00	2.458219612799e+00	5.657151756073e+00	5.405576127938e+00
