NSA	W20i	e_W20i
64377	232	14
64398	158	3
64417	158	4
64671	41	1
65466	125	2
65518	164	5
65722	104	21
65730	172	35
65759	205	27
65780	164	2
65875	193	4
65912	202	7
65974	134	12
65998	195	4
66146	147	3
66180	141	23
66219	86	14
66220	133	27
66241	171	39
66363	73	2
66402	120	12
66439	93	25
66447	72	23
66913	157	12
66918	99	4
66920	261	11
66929	90	12
66931	79	11
66967	164	10
67042	52	6
67060	223	58
67292	112	12
67345	166	2
67508	189	37
67942	25	6
68194	190	2
68209	59	6
68369	183	16
69599	94	3
69628	51	12
69676	40	3
70290	185	21
70378	134	23
70589	82	6
70775	168	26
70792	115	24
70818	186	18
70888	179	28
70996	212	8
71034	131	34
71037	45	2
71093	156	34
71109	158	5
71339	135	3
71342	167	27
71372	212	9
71448	105	1
71449	181	4
71957	75	4
72036	79	6
72272	44	1
72393	143	24
72451	90	18
72594	267	4
72597	122	2
72838	84	3
73147	189	6
73161	55	7
73367	159	2
73377	97	4
73400	63	11
73406	69	2
73431	170	34
73773	55	4
73775	50	5
73776	165	2
73852	99	10
73922	304	50
73943	75	4
73973	137	32
73989	160	6
74028	118	28
74095	82	3
74097	52	1
74099	137	18
74222	42	21
74223	209	19
74252	148	12
74429	137	13
74631	207	24
74650	112	28
74713	101	33
74766	158	2
74776	207	45
74879	161	3
74949	186	10
74953	203	28
74959	87	12
74997	222	39
74998	81	29
75006	140	8
75009	102	18
75022	176	3
75026	200	1
75029	230	30
75126	167	18
75146	146	39
75181	80	7
75315	143	8
75424	142	26
75745	139	7
75747	175	24
75770	165	17
76101	58	21
76265	146	6
77038	122	27
77126	134	14
77164	43	14
77610	61	6
77849	167	52
78291	110	22
78323	117	23
78397	208	7
78407	169	19
78451	72	3
78634	152	10
78756	259	4
78805	84	5
78904	161	3
78918	112	2
79425	287	85
79873	107	3
79899	115	9
80017	144	6
80492	68	2
80506	130	39
80539	187	15
80608	106	10
80652	244	12
80674	109	12
81228	172	5
81687	75	1
81840	209	29
81937	324	71
82005	151	19
82046	281	42
82049	165	16
82250	30	1
83825	159	15
84544	88	5
84560	50	5
84563	91	4
84573	153	42
84655	145	2
84663	215	4
85029	111	20
85181	53	5
86574	29	1
89424	40	1
90338	74	1
91088	42	4
91355	43	4
91425	74	4
91484	164	37
94066	69	15
94080	90	1
94427	26	2
94467	75	5
94524	167	6
94976	235	1
95002	190	4
95060	275	6
95091	197	4
95186	221	43
95289	212	3
95546	168	15
95746	129	2
95747	104	11
95919	254	11
96198	205	23
96270	141	8
96419	34	2
96492	186	46
96926	119	27
97497	58	3
97563	38	11
97585	18	4
97589	60	4
97610	97	11
99390	70	19
99635	55	2
100446	136	10
100622	91	6
100742	159	17
100754	144	27
101262	133	4
101497	160	4
101702	282	2
101778	343	75
101969	156	26
102848	54	14
103675	204	17
103681	185	27
104374	167	30
104439	187	5
104469	217	59
104520	162	40
104591	76	5
104702	161	19
106246	213	13
106495	202	3
106570	161	6
106597	138	4
106637	174	23
106677	92	3
106681	280	43
106964	31	7
107002	179	2
107026	229	36
107040	66	11
107072	61	11
107216	107	7
107256	151	20
107402	87	18
107433	147	26
107489	194	2
107817	173	43
107873	79	3
107887	160	23
107938	183	29
108144	77	35
108335	54	1
109487	95	12
109650	182	36
109768	87	2
109793	128	21
109801	130	7
109873	61	10
109876	93	3
109882	212	74
110018	199	11
110037	190	5
110118	99	3
110205	121	5
110338	147	19
110715	39	1
111055	160	21
111206	131	16
112025	109	8
112476	32	1
112543	179	19
112915	302	84
112930	286	13
113575	180	31
113597	275	37
113600	178	70
113601	95	25
113603	125	2
113765	35	2
113767	38	1
113982	143	17
114216	166	36
114424	146	33
114478	149	18
114557	107	1
114657	145	3
114965	190	4
114968	106	2
114969	172	52
115010	177	34
115126	279	58
115218	163	20
115233	102	5
115413	135	4
115419	169	3
115461	55	13
115641	168	40
115932	245	41
115935	166	11
115938	93	8
115953	227	26
116082	197	3
116094	41	27
116100	71	1
116135	232	9
116172	133	43
116222	159	3
116282	242	18
116338	68	37
116440	175	35
116443	88	2
116514	97	2
116585	203	38
116668	195	11
116677	150	6
116790	132	24
116859	95	2
116920	140	19
116964	231	17
116997	100	7
117142	194	9
117145	101	2
118133	99	19
118849	26	3
119511	47	7
119660	284	41
119870	195	9
119983	121	6
120013	113	21
120018	194	3
120063	136	5
120109	187	24
120414	145	3
120571	242	37
120576	173	3
120750	172	13
120925	181	26
120950	100	5
120997	123	34
121009	156	30
121043	28	4
121062	35	3
121064	142	6
121103	188	41
121108	35	7
121130	55	6
121739	248	45
122304	167	19
122313	273	18
122382	181	1
123454	41	11
123467	178	7
123500	178	3
123588	62	1
123591	45	3
123653	57	2
124130	78	2
124455	150	4
124726	171	23
124825	139	17
124853	113	15
134918	234	4
135448	100	5
135877	183	28
136097	283	4
136124	123	3
137880	169	6
143380	156	18
145251	134	2
145805	311	62
154896	241	3
156255	127	8
156859	201	24
157025	138	11
157068	181	21
157129	260	2
157143	126	5
157293	169	5
157328	214	33
157357	257	3
157366	220	36
157375	116	51
157418	235	2
157548	136	1
157560	163	2
157603	153	3
157819	124	2
157857	112	13
157910	182	3
157940	224	1
158077	250	22
158543	123	16
158600	216	3
158968	172	4
159224	243	17
159301	208	4
159348	295	3
159436	208	30
159836	134	2
160399	138	2
160611	160	2
161325	254	5
161416	186	33
161831	180	8
162169	158	3
162191	156	11
162376	210	39
163339	205	45
163441	237	4
163961	173	9
164135	167	7
164282	83	2
164483	59	14
164692	196	6
164773	288	78
165130	203	7
165324	139	13
165408	133	2
165849	65	20
166038	247	33
166294	189	21
166413	177	35
166538	53	2
166541	210	25
166650	178	9
168788	139	3
169294	224	8
169691	215	6
169825	271	3
169831	205	2
169832	188	3
169834	152	1
169910	215	2
169931	274	3
169965	157	4
169967	170	4
169973	77	3
170012	155	13
170017	328	7
170267	216	37
170419	197	20
170427	144	13
170451	118	3
170465	244	13
170471	206	33
170482	187	2
170499	188	4
170530	205	10
170610	163	7
170739	205	20
170802	293	60
170859	185	4
170860	127	15
170918	179	4
170927	210	27
170928	192	6
170935	191	13
170938	193	23
170951	140	7
170954	314	4
171063	201	3
171112	170	9
171138	200	32
