group,branch,draw,center,kind,amplitude,peak_selected,true_flux_fraction_retained,reference_flux_jy_kms,post_continuum_flux_over_reference,selected_noisy_flux_over_reference,paired_selected_flux_difference_over_reference,selected_voxel_fraction
gaussian,boxcar_independent,13,20,rotation,5,True,0.77121125556865,0.2594832572510335,1.0000000000000002,0.9250531768683794,0.9250531768683794,0.009322765838540872
gaussian,boxcar_independent,13,20,rotation,10,True,0.9141964025525066,0.518966514502067,1.0000000000000002,1.0064329659412248,1.0064329659412248,0.019948323789201704
gaussian,boxcar_independent,13,20,warp,5,True,0.7602146037243409,0.25948325725103355,1.0,0.9193764386329235,0.9193764386329235,0.009395344786291289
gaussian,boxcar_independent,13,20,warp,10,True,0.9240255974724101,0.5189665145020671,1.0,1.0273947463223,1.0273947463223,0.020746692214456276
gaussian,boxcar_independent,13,20,streaming,5,True,0.7345714278830482,0.25948325725103355,0.9999999999999997,0.9259744835626897,0.9259744835626897,0.0094497789971041
gaussian,boxcar_independent,13,20,streaming,10,True,0.9278834995805351,0.5189665145020671,0.9999999999999997,1.0356410624931542,1.0356410624931542,0.021679331693049114
gaussian,boxcar_independent,13,30,rotation,5,True,0.7277747460463915,0.2594832572510335,1.0,0.7776480992408394,0.7776480992408394,0.00963848426125518
gaussian,boxcar_independent,13,30,rotation,10,True,0.9324501984621588,0.518966514502067,1.0,1.061026176215519,1.061026176215519,0.022194642222077066
gaussian,boxcar_independent,13,30,warp,5,True,0.719734750759624,0.2594832572510335,1.0,0.7588307707967913,0.7588307707967913,0.009798157946306094
gaussian,boxcar_independent,13,30,warp,10,True,0.9276910862039907,0.518966514502067,1.0,1.0625763479014252,1.0625763479014252,0.02259745538209187
gaussian,boxcar_independent,13,30,streaming,5,True,0.6526147924788913,0.25948325725103355,0.9999999999999921,0.685438894817881,0.685438894817881,0.00902882110015169
gaussian,boxcar_independent,13,30,streaming,10,True,0.9421718770486325,0.5189665145020671,0.9999999999999921,1.0857349857138625,1.0857349857138625,0.02447362118144011
gaussian,boxcar_independent,14,10,rotation,5,True,0.8107129818740543,0.25948325725103355,0.999999999999415,0.8026062669925152,0.8026062669925152,0.009671144787742867
gaussian,boxcar_independent,14,10,rotation,10,True,0.9580694251142925,0.5189665145020671,0.999999999999415,0.999774254184068,0.999774254184068,0.022807934330568075
gaussian,boxcar_independent,14,10,warp,5,True,0.8000338699650295,0.2594832572510335,0.999999999999415,0.8077231984774693,0.8077231984774693,0.009653000050805263
gaussian,boxcar_independent,14,10,warp,10,True,0.9546584089587353,0.518966514502067,0.999999999999415,1.0039900944854165,1.0039900944854165,0.0228297080148932
gaussian,boxcar_independent,14,10,streaming,5,True,0.7334811388995822,0.25948325725103305,0.9999999999810905,0.7605092643021559,0.7605092643021559,0.008912694783751025
gaussian,boxcar_independent,14,10,streaming,10,True,0.9288901602859663,0.5189665145020661,0.9999999999810905,1.0011194078521628,1.0011194078521628,0.022724468540655098
gaussian,boxcar_independent,14,20,rotation,5,True,0.6890062097470155,0.2594832572510335,1.0000000000000002,0.6676709761306334,0.6676709761306334,0.007341360564954529
gaussian,boxcar_independent,14,20,rotation,10,True,0.882885997494718,0.518966514502067,1.0000000000000002,0.942376679440931,0.942376679440931,0.018228202727516858
gaussian,boxcar_independent,14,20,warp,5,True,0.6820342326416771,0.25948325725103355,1.0,0.6776050595442914,0.6776050595442914,0.007497405302617922
gaussian,boxcar_independent,14,20,warp,10,True,0.8788834950285446,0.5189665145020671,1.0,0.9473919061338231,0.9473919061338231,0.01818828430625413
gaussian,boxcar_independent,14,20,streaming,5,True,0.591617782242287,0.25948325725103355,0.9999999999999997,0.6013481305075588,0.6013481305075588,0.00678250266727633
gaussian,boxcar_independent,14,20,streaming,10,True,0.867605719236263,0.5189665145020671,0.9999999999999997,0.9538767187825214,0.9538767187825214,0.018823350099070265
gaussian,boxcar_independent,14,30,rotation,5,True,0.7488431921419894,0.2594832572510335,1.0,0.8587543023801384,0.8587543023801384,0.008938097415463671
gaussian,boxcar_independent,14,30,rotation,10,True,0.9462260024684308,0.518966514502067,1.0,1.005671499367222,1.005671499367222,0.021875294851975237
gaussian,boxcar_independent,14,30,warp,5,True,0.7295115924215435,0.2594832572510335,1.0,0.8352019849064022,0.8352019849064022,0.008767536888250195
gaussian,boxcar_independent,14,30,warp,10,True,0.941955541408975,0.518966514502067,1.0,1.0150655252545226,1.0150655252545226,0.021632155377011342
gaussian,boxcar_independent,14,30,streaming,5,True,0.7054852781738575,0.25948325725103355,0.9999999999999921,0.7763399313525622,0.7763399313525622,0.00870221583527482
gaussian,boxcar_independent,14,30,streaming,10,True,0.9237834906783079,0.5189665145020671,0.9999999999999921,0.9986831192696048,0.9986831192696048,0.02156683432403597
gaussian,boxcar_independent,15,10,rotation,5,True,0.6978781395282281,0.25948325725103355,0.999999999999415,0.8013966652837202,0.7806812544638595,0.008433673728598283
