group,branch,center,amplitude,kind,mean_retention_difference,sd,minimum,maximum,transfer_gate_pass
noiseless,boxcar_independent,20,10,warp,-0.0059653299956171635,0.0,-0.0059653299956171635,-0.0059653299956171635,True
noiseless,boxcar_independent,20,10,streaming,-0.031285253774192334,0.0,-0.031285253774192334,-0.031285253774192334,True
noiseless,boxcar_independent,30,5,warp,-0.005771856886848781,0.0,-0.005771856886848781,-0.005771856886848781,True
noiseless,boxcar_independent,30,5,streaming,-0.014505533846625562,0.0,-0.014505533846625562,-0.014505533846625562,True
noiseless,boxcar_independent,30,10,warp,-0.003486752950005778,0.0,-0.003486752950005778,-0.003486752950005778,True
noiseless,boxcar_independent,30,10,streaming,-0.024692859806858314,0.0,-0.024692859806858314,-0.024692859806858314,True
noiseless,boxcar_hanning_full,10,5,warp,-0.006930847591572364,0.0,-0.006930847591572364,-0.006930847591572364,True
noiseless,boxcar_hanning_full,10,5,streaming,-0.025470423604374792,0.0,-0.025470423604374792,-0.025470423604374792,True
noiseless,boxcar_hanning_full,10,10,warp,-0.0035226034247809457,0.0,-0.0035226034247809457,-0.0035226034247809457,True
noiseless,boxcar_hanning_full,10,10,streaming,-0.01943960083943408,0.0,-0.01943960083943408,-0.01943960083943408,True
noiseless,boxcar_hanning_full,20,5,warp,-0.014199361882775485,0.0,-0.014199361882775485,-0.014199361882775485,True
noiseless,boxcar_hanning_full,20,5,streaming,-0.04171090122489929,0.0,-0.04171090122489929,-0.04171090122489929,True
noiseless,boxcar_hanning_full,20,10,warp,-0.005135841285356824,0.0,-0.005135841285356824,-0.005135841285356824,True
noiseless,boxcar_hanning_full,20,10,streaming,-0.02529251628204554,0.0,-0.02529251628204554,-0.02529251628204554,True
noiseless,boxcar_hanning_full,30,5,warp,-0.007643960649670434,0.0,-0.007643960649670434,-0.007643960649670434,True
noiseless,boxcar_hanning_full,30,5,streaming,-0.012193066790500362,0.0,-0.012193066790500362,-0.012193066790500362,True
noiseless,boxcar_hanning_full,30,10,warp,-0.003712423359928496,0.0,-0.003712423359928496,-0.003712423359928496,True
noiseless,boxcar_hanning_full,30,10,streaming,-0.029113770636836067,0.0,-0.029113770636836067,-0.029113770636836067,True
noiseless,boxcar_hanning_decimated,10,5,warp,-0.009742723052727165,0.0,-0.009742723052727165,-0.009742723052727165,True
noiseless,boxcar_hanning_decimated,10,5,streaming,-0.022593999778766638,0.0,-0.022593999778766638,-0.022593999778766638,True
noiseless,boxcar_hanning_decimated,10,10,warp,-0.003357487911866852,0.0,-0.003357487911866852,-0.003357487911866852,True
noiseless,boxcar_hanning_decimated,10,10,streaming,-0.02379035543501551,0.0,-0.02379035543501551,-0.02379035543501551,True
noiseless,boxcar_hanning_decimated,20,5,warp,-0.016670372631693797,0.0,-0.016670372631693797,-0.016670372631693797,True
noiseless,boxcar_hanning_decimated,20,5,streaming,-0.05819246874765971,0.0,-0.05819246874765971,-0.05819246874765971,False
noiseless,boxcar_hanning_decimated,20,10,warp,-0.005611252811130285,0.0,-0.005611252811130285,-0.005611252811130285,True
noiseless,boxcar_hanning_decimated,20,10,streaming,-0.031528439214745574,0.0,-0.031528439214745574,-0.031528439214745574,True
noiseless,boxcar_hanning_decimated,30,5,warp,-0.006965822134155419,0.0,-0.006965822134155419,-0.006965822134155419,True
noiseless,boxcar_hanning_decimated,30,5,streaming,-0.014852788286931151,0.0,-0.014852788286931151,-0.014852788286931151,True
noiseless,boxcar_hanning_decimated,30,10,warp,-0.0033055561170857173,0.0,-0.0033055561170857173,-0.0033055561170857173,True
noiseless,boxcar_hanning_decimated,30,10,streaming,-0.025256534448113932,0.0,-0.025256534448113932,-0.025256534448113932,True
