plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip
11977-3701	123.7129	1.149741	-83.78197	147.053
11977-9102	89.28907	0.9535548	-151.8235	136.9938
11979-1901	49.91666	0.9532771	-21.48749	14.98205
11979-1902	224.3071	1.592358	-87.45192	142.7133
11979-3703	126.4295	1.041947	-132.5436	160.1141
11979-3704	135.0264	1.092555	-171.1297	202.1916
7960-3701	143.9224	1.011365	-79.3364	93.54354
7962-3702	261.8117	1.110809	-26.31269	52.71846
8131-1901	317.0982	1.027203	-18.9019	31.58388
8131-1902	222.6085	1.035867	-54.44022	69.94707
8255-6104	246.1498	0.9374282	-42.96322	72.94156
8256-6104	206.3159	0.9628803	-124.5034	131.8106
8258-3703	204.7116	1.0002	-77.50577	95.30036
8259-3701	147.9986	1.332993	-123.8515	146.7155
8259-6103	126.9068	0.9325409	-98.03946	83.88596
8263-3702	253.3831	1.093061	-54.63797	84.93967
8314-1902	125.4654	1.926906	-46.1524	37.1515
8315-12705	55.64171	0.8731606	-7.685187	36.1698
8320-12702	81.81862	0.9009281	-128.635	170.836
8320-9102	118.6139	0.8997248	-175.4574	194.1651
8322-6104	114.423	1.00212	-136.0945	132.0682
8326-6102	121.3067	1.396103	-186.7255	140.6791
8328-12701	126.4132	0.9669893	-208.3382	160.0418
8333-3704	308.9165	0.9783815	-92.43491	137.9185
8439-3704	239.0492	1.246639	4.119632	74.20463
8454-12704	259.6205	0.9538038	-30.03102	44.93375
8459-3702	141.8184	1.028622	-159.2954	147.956
8459-6104	245.4231	1.008455	-9.640987	37.41738
8485-6102	54.70921	0.8863426	-85.05116	96.55318
8486-3701	262.4968	1.050401	-20.44005	28.85849
8488-3701	62.16892	0.9122691	-75.92275	69.4586
8549-12701	153.6775	1.205993	-219.5442	167.6162
8550-12702	119.1272	0.9226422	-252.0944	261.4839
8550-3704	85.06832	1.029835	-77.52697	40.48386
8551-3703	200.7363	1.015504	-25.95789	73.18365
8565-6101	52.98317	0.9414531	-12.51196	43.32442
8565-9102	65.05233	0.9998745	-1.009228	216.1723
8567-12702	230.4446	1.061856	-327.2244	132.4634
8598-12704	56.30949	0.9629323	-59.50455	10.43298
8601-6101	189.5364	1.148421	-213.5229	167.2119
8609-1901	239.7512	1.193695	-143.2968	257.3525
8609-3701	242.6554	1.085251	-76.42323	93.5291
8613-9101	112.9919	0.8986269	-167.2802	198.7238
8621-6104	28.37058	0.8799977	-38.96024	23.74881
8656-6103	98.53587	0.916683	-96.50481	55.25217
8715-3703	162.4784	1.019928	-126.4544	107.789
8724-3701	111.7725	1.071889	-91.49166	66.71876
8724-6104	89.61649	1.02051	-109.5101	119.0903
8725-3703	80.14608	0.8801944	-141.0161	118.8615
8935-1901	51.48998	0.9367955	-25.32527	7.489753
8938-1902	116.1314	1.28952	-113.6938	117.6291
8943-3704	306.4103	1.108289	-52.40148	93.18575
8946-3701	89.20132	0.959751	-31.52697	10.03757
8982-3704	233.3786	1.235013	-38.14015	63.6404
8985-3703	173.9781	1.231581	-118.2594	138.1733
8991-1901	142.123	1.397336	-113.0161	159.9257
8993-12702	137.8833	0.8470594	-261.0253	270.5838
8993-3704	297.5517	1.079349	-36.35277	37.8521
8994-1901	55.58843	0.8990122	-80.97027	84.49622
8996-12705	100.4634	0.9021297	-208.1996	218.1847
8996-1902	124.2001	1.236158	-141.7852	138.9399
8997-6104	164.9783	1.08923	-185.1904	161.5687
9028-3703	249.4746	1.045503	7.51237	50.49849
9031-12704	75.79681	0.9109924	-146.7958	98.31767
9031-6104	55.39266	0.8870457	-106.0233	67.7827
9032-6102	194.1326	1.096702	-38.8297	47.84054
9032-6103	150.9842	0.9863833	-5.835885	12.191
9033-3701	215.1451	1.204933	-196.4945	189.3619
9035-3701	60.80502	0.9437304	-48.64215	49.46643
9039-12704	117.6683	0.8860023	-179.7308	201.1592
9044-6104	282.7193	0.9187517	-13.59077	59.55871
9046-3701	57.0028	0.9473522	-40.68551	82.80542
9048-1902	113.3851	5.552179	-68.80331	65.66142
9048-6103	205.2769	0.9356561	-88.68739	87.88017
9049-6102	67.02642	0.9476187	-80.73627	130.1358
9050-6102	43.81695	0.9038573	-23.97345	41.79246
9050-6103	183.2933	0.9447572	-35.00178	35.1824
9086-6103	158.1483	0.9637898	-8.546848	28.44328
9089-6103	264.5012	1.09555	-170.1339	199.0725
9090-12705	186.0429	0.9370075	-195.1571	219.6162
9090-1901	122.0284	1.13264	-67.07598	102.7915
9090-6104	141.5573	0.9908971	-86.98026	130.5584
9092-12701	195.9973	1.085004	-336.261	57.07584
9092-6104	281.5577	0.9645829	-44.22648	26.75646
9093-3703	78.85509	1.021606	-11.28309	31.45336
9093-9101	104.8178	0.9371832	-119.2544	135.2579
9094-9102	306.9244	0.9740458	-13.5791	53.27505
9095-3703	168.6772	1.097076	-86.87551	133.8386
9181-12705	125.4215	0.9310478	-209.092	140.6896
9194-3702	153.5184	1.20216	-94.51139	111.2377
9486-6104	181.3209	0.9883364	-26.52555	47.07526
9487-3702	118.3133	1.579952	-68.43557	63.72057
9487-9101	140.3361	0.8696746	-121.3603	116.6883
9493-6102	157.0694	0.970028	-120.3099	238.1623
9503-3702	77.00096	1.13958	-109.8829	87.30939
9864-12703	55.05282	0.8576579	-88.4091	107.3743
9864-3703	91.47639	0.916553	-51.61744	63.79688
9864-6104	278.2951	0.9061791	-23.73209	60.09737
9866-1901	61.98877	1.037404	-57.71459	65.0158
9866-3701	111.4304	1.094015	-105.6636	111.4729
9866-6104	131.1078	0.9550872	-66.56625	100.5129
9872-12705	103.7047	0.9221346	-135.1413	199.575
9873-12703	140.5008	1.424496	-17.66309	49.47321
9875-12701	53.19576	0.9806291	-30.55115	61.02435
9876-6102	47.28339	0.8981718	-82.89317	101.6555
9876-9102	56.60237	0.8889432	-103.5845	95.58173
9879-9101	49.40319	0.8533396	-57.90094	41.30189
9880-1902	158.6579	1.628241	-53.13906	90.81445
9885-3702	62.57735	0.8933704	-74.937	88.12267
9886-6103	132.6267	0.9074644	-67.79829	93.72805
9887-1901	211.002	12.11238	328.6396	529.4003
9887-1902	240.6824	0.9312496	-82.87523	28.45204
9888-12701	146.1773	0.9002785	-227.808	137.7717
9889-3702	174.9847	1.202604	-133.8309	181.7486
9889-3703	230.1815	0.9375343	-43.24243	62.96905
9889-6103	85.50305	0.8961782	-68.85144	59.82209
9892-9101	81.1625	0.897824	-74.57127	81.16351
