axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	halpha_ew	hbeta	hdelta_a	hgamma_a	log_half_light_radius	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_size_crossing_proxy	plateifu	ra	redshift	sersic_index	sfr_1re	sfr_tot	snr_med_g	minimum_predecessor_separation_arcsec	stellar_mass_msun	half_light_radius_kpc	dimensionless_potential	log_dimensionless_potential	internal_acceleration_m_s2	mean_stellar_density_msun_kpc3	log_mean_stellar_density	gema_zcomp_1mpc_percent	gema_zcomp_5mpc_percent	gema_footprint_1mpc	gema_footprint_5mpc	gema_nneigh	gema_q_nn	gema_dnn_mpc	gema_q_lss	gema_eta_k	gema_dkn_mpc
4.400250000000e-01	1.836404000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.013629531860e+01	1.603722000000e+00	0.000000000000e+00	7.964000000000e-01	8.284196000000e+00	3.043555000000e+00	2.190321000000e+00	-5.697646000000e-01	7.037065543279e-01	9.637570952030e-01	-1.133495265072e+01	1.045477018541e+01	-5.056013231352e-01	9.047357076759e+00	1-122535	-4.171825261216e+00	10496-12701	1.246722030640e+02	6.100540000000e-02	1.647270000000e+00	1.317703000000e-01	3.454627000000e-01	9.199349000000e+00	2.184763869645e+03	2.849509999968e+10	5.054830000000e+00	2.697631224968e-07	-6.569017420086e+00	1.554414669627e-10	5.266982957754e+07	7.721561913124e+00	5.000000000000e+01	5.400000000000e+01	1	1	27	-4.514030900000e+00	1.087265500000e+00	-4.134383200000e+00	-1.176677600000e+00	2.429683400000e+00
7.847240000000e-01	1.738294000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.892467308044e+01	1.570501000000e+00	0.000000000000e+00	7.792000000000e-01	7.412900000000e+00	3.102286000000e+00	1.951734000000e+00	-1.078000000000e+00	7.031331112947e-01	8.486305792696e-01	-1.133712571729e+01	1.071514057971e+01	-6.529073988183e-01	9.308874357124e+00	1-299794	-4.302870622915e+00	10499-12704	1.331947784424e+02	8.179230000000e-02	1.731360000000e+00	2.387893000000e-01	4.902508000000e-01	7.057170000000e+00	4.152992909835e+03	5.189679999954e+10	5.048160000000e+00	4.919561762147e-07	-6.308073582753e+00	2.838469072511e-10	9.630584286515e+07	7.983652636523e+00	6.666699981689e+01	6.052600097656e+01	1	1	23	-2.007786800000e+00	1.540781000000e-01	-1.942686400000e+00	-6.072371000000e-01	1.569409100000e+00
8.393880000000e-01	2.122822000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.262321853638e+01	1.901510000000e+00	0.000000000000e+00	7.708000000000e-01	1.094860000000e-01	2.087014000000e+00	-1.683819000000e+00	-5.251591000000e+00	8.683640251964e-01	7.635879791446e-01	-1.298840432846e+01	1.088946866364e+01	-4.872911954116e-01	9.152740613249e+00	1-231694	-4.142188294026e+00	10500-9101	1.354635009766e+02	5.304900000000e-02	5.331640000000e+00	7.962773000000e-03	1.226302000000e-02	5.802137000000e+00	2.457388577598e+03	7.752979999968e+10	7.385229999999e+00	5.023698733480e-07	-6.298976412724e+00	1.981300835671e-10	4.595026059824e+07	7.662287978748e+00	1.000000000000e+02	4.693899917603e+01	1	1	24	-2.086266800000e+00	2.264085000000e-01	-1.634838300000e+00	1.178306200000e+00	3.986163000000e-01
7.331220000000e-01	1.627354000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.331115341187e+01	1.463061000000e+00	0.000000000000e+00	9.419000000000e-01	1.073357000000e+01	3.118213000000e+00	3.090105000000e+00	3.907683000000e-01	4.246268628962e-01	1.391782213905e+00	-1.118057128660e+01	9.550552423770e+00	6.142344975321e-02	8.701298697977e+00	1-605814	-4.138335917541e+00	10504-12701	1.404429931641e+02	2.246830000000e-02	4.013420000000e+00	2.344127000000e-02	7.681797000000e-02	2.464803000000e+01	8.728782885385e+02	3.552650000003e+09	2.658440000000e+00	6.395058324514e-08	-7.194155490294e+00	7.006619080758e-11	4.514225251544e+07	7.654583225779e+00	8.636399841309e+01	4.280400085449e+01	1	1	137	-3.856708000000e+00	9.133010000000e-02	-2.372191700000e+00	1.693911400000e+00	2.683408000000e-01
7.598390000000e-01	1.877461000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.369520950317e+01	1.657246000000e+00	0.000000000000e+00	6.803000000000e-01	1.963535000000e-01	1.743315000000e+00	8.721092000000e-01	-2.617360000000e+00	4.484094763437e-01	7.536777967555e-01	-1.282371299938e+01	8.957372599298e+00	-7.393300800564e-01	8.060553646611e+00	1-300680	-3.806072085134e+00	10505-3704	1.397605895996e+02	2.349320000000e-02	1.601580000000e+00	1.360378000000e-04	5.264623000000e-04	5.671237000000e+00	2.597144292639e+02	9.065099999991e+08	2.808080000000e+00	1.544834898503e-08	-7.811117928214e+00	1.602372400792e-11	9.773622506720e+06	6.990055560964e+00	8.636399841309e+01	4.713100051880e+01	1	1	136	-3.179884200000e+00	1.266878000000e-01	-2.029900100000e+00	1.705682600000e+00	2.659273000000e-01
7.764220000000e-01	2.210132000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.374975585938e+01	2.027390000000e+00	0.000000000000e+00	8.617000000000e-01	2.285332000000e-01	2.047963000000e+00	-2.106173000000e+00	-6.080975000000e+00	1.084093460228e+00	1.282296439849e+00	-1.244799889697e+01	1.103167501905e+01	5.535883356182e-02	8.863488098590e+00	1-585543	-3.889697319181e+00	10505-6102	1.399452667236e+02	2.317610000000e-02	4.415620000000e+00	3.834212000000e-02	3.852442000000e-02	1.915563000000e+01	8.003412930080e+01	1.075660000010e+11	1.213649999999e+01	4.241314796846e-07	-6.372499492346e+00	1.017883109993e-10	1.436501318884e+07	7.157306029064e+00	8.400000000000e+01	4.410599899292e+01	1	1	137	2.265442000000e-01	1.510000000000e-02	2.414662000000e-01	2.786260600000e+00	1.160300000000e-01
7.660650000000e-01	2.056646000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.486220932007e+01	1.880069000000e+00	0.000000000000e+00	7.390000000000e-01	-1.716036000000e-04	2.249936000000e+00	-7.080858000000e-01	-3.544255000000e+00	7.290432350485e-01	8.189075571169e-01	-1.285852336090e+01	9.819056067360e+00	-3.886168278263e-01	8.360969597263e+00	1-232168	-3.815963181107e+00	10506-6103	1.397477722168e+02	2.284170000000e-02	4.647700000000e+00	9.131302000000e-04	1.597416000000e-03	6.590336000000e+00	6.936540960719e+02	6.592590000001e+09	5.358500000000e+00	5.887511672222e-08	-7.230068218856e+00	3.200216843877e-11	1.022910773979e+07	7.009837752912e+00	6.666699981689e+01	4.275099945068e+01	1	1	138	-3.949644100000e+00	2.011344000000e-01	-2.787931000000e+00	7.692789000000e-01	5.456291000000e-01
4.140940000000e-01	1.790901000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.847523880005e+01	1.511600000000e+00	0.000000000000e+00	8.925000000000e-01	2.001946000000e+01	3.048807000000e+00	3.421865000000e+00	6.580257000000e-01	7.111151799331e-01	1.063286060694e+00	-1.087687494367e+01	1.034131381549e+01	-4.870218607785e-01	8.919083455622e+00	1-617503	-4.103984137845e+00	10507-12704	1.779427337646e+02	5.436440000000e-02	1.354180000000e+00	2.913660000000e-01	5.900873000000e-01	1.156874000000e+01	7.485304125729e+02	2.194390000008e+10	5.141800000000e+00	2.042290816101e-07	-6.689882415611e+00	1.156893191235e-10	3.853715647424e+07	7.585879666388e+00	5.000000000000e+01	6.891899871826e+01	1	1	51	-3.761114100000e+00	3.397216000000e-01	-3.435071500000e+00	-3.854088000000e-01	1.323711800000e+00
6.693870000000e-01	1.902022000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.913849258423e+01	1.691238000000e+00	0.000000000000e+00	7.074000000000e-01	1.673615000000e+00	2.557789000000e+00	-1.347909000000e-01	-3.304516000000e+00	5.985421111889e-01	9.310709016385e-01	-1.189087125446e+01	1.039007979986e+01	-3.645414872318e-01	9.192995577484e+00	1-174690	-4.297226733147e+00	10507-6103	1.768580932617e+02	5.483520000000e-02	6.000000000000e+00	3.156520000000e-02	6.331649000000e-02	8.532394000000e+00	1.696343739767e+03	2.455159999992e+10	3.967730000000e+00	2.961124294695e-07	-6.528543362497e+00	2.173728937720e-10	9.383499970998e+07	7.972364856991e+00	1.000000000000e+02	4.594599914551e+01	1	1	17	-4.019714800000e+00	4.403694000000e-01	-3.972294800000e+00	-1.474474900000e+00	3.053623200000e+00
5.486520000000e-01	2.323374000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.625059890747e+01	2.074920000000e+00	0.000000000000e+00	7.884000000000e-01	2.538792000000e-01	1.786996000000e+00	-1.916513000000e+00	-5.448737000000e+00	8.252943163353e-01	9.307917809719e-01	-1.288784588121e+01	1.096839841635e+01	-4.523231141583e-01	9.317809783677e+00	1-618223	-4.246257733671e+00	10510-6104	1.800578155518e+02	6.369750000000e-02	5.000000000000e-01	1.203795000000e-02	3.565745000000e-02	8.526912000000e+00	2.871151367851e+03	9.298190000046e+10	6.687970000000e+00	6.653084644697e-07	-6.176976951153e+00	2.897474303970e-10	7.420392162476e+07	7.870426858042e+00	6.969699859619e+01	6.973699951172e+01	1	1	55	3.345822100000e+00	5.729700000000e-03	3.345880500000e+00	1.924206500000e+00	2.248649000000e-01
9.410250000000e-01	1.499971000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.880589962006e+00	1.387488000000e+00	0.000000000000e+00	6.502000000000e-01	1.774946000000e+01	3.508059000000e+00	4.419954000000e+00	1.821646000000e+00	6.477388674726e-01	8.128854272689e-01	-1.080098618122e+01	1.058186094816e+01	-4.992107144649e-01	9.286383213218e+00	1-214312	-4.319322172872e+00	10511-3703	1.327977447510e+02	7.742610000000e-02	2.867000000000e+00	6.037745000000e-01	1.005007000000e+00	6.499582000000e+00	5.405253193570e+02	3.818219999976e+10	4.443640000000e+00	4.111885658817e-07	-6.385958970481e+00	2.695212565217e-10	1.038856918578e+08	8.016555736440e+00	6.666699981689e+01	6.551699829102e+01	1	1	21	-2.589757700000e+00	8.038860000000e-02	-2.216668600000e+00	-2.891500000000e-03	9.869330000000e-01
8.900650000000e-01	2.271904000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.992205142975e+00	2.035064000000e+00	0.000000000000e+00	7.311000000000e-01	6.297469000000e-01	2.264959000000e+00	-2.476134000000e+00	-5.866549000000e+00	5.079772413915e-01	7.048874194636e-01	-1.232695396206e+01	1.090682886521e+01	-4.966657701498e-01	9.890874382428e+00	1-214296	-4.691448570518e+00	10511-6104	1.319804840088e+02	9.623100000000e-02	5.177330000000e+00	3.800799000000e-02	1.538866000000e+00	5.068593000000e+00	3.455665301165e+03	8.069169999990e+10	3.220900000000e+00	1.198865803808e-06	-5.921229427349e+00	1.084137063375e-09	5.765122392654e+08	8.760808531733e+00	1.000000000000e+02	7.026999664307e+01	1	1	26	-1.793745300000e+00	2.160446000000e-01	-1.623046900000e+00	2.289381000000e-01	8.260591000000e-01
9.382360000000e-01	2.139936000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.574194550514e-01	1.916488000000e+00	0.000000000000e+00	7.818000000000e-01	6.976838000000e-01	2.154019000000e+00	-2.518532000000e+00	-5.143563000000e+00	5.993742786049e-01	7.064910197201e-01	-1.241509842692e+01	1.043086001221e+01	-5.317727819150e-01	9.232111455004e+00	1-54314	-4.316368588200e+00	10513-6102	1.415839233398e+02	5.521360000000e-02	6.000000000000e+00	1.036959000000e-02	1.957224000000e-02	5.087343000000e+00	2.120798884512e+03	2.696869999978e+10	3.975340000000e+00	3.246419829649e-07	-6.488595317563e+00	2.378599178016e-10	1.024822300146e+08	8.010648567093e+00	1.000000000000e+02	4.363600158691e+01	1	1	24	-4.408258400000e+00	8.297712000000e-01	-4.225088100000e+00	-1.210030800000e+00	2.492685100000e+00
5.599110000000e-01	2.106595000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.462832927704e+00	1.856079000000e+00	0.000000000000e+00	7.909000000000e-01	1.577381000000e+00	2.313852000000e+00	-1.294658000000e+00	-5.006891000000e+00	5.379122381037e-01	1.032501509686e+00	-1.200812980843e+01	1.027789788407e+01	-3.132739322126e-01	9.202073407862e+00	1-54999	-4.332080584879e+00	10514-6101	1.439994049072e+02	5.033360000000e-02	3.627080000000e+00	1.861093000000e-02	6.137117000000e-02	1.077709000000e+01	1.790885796155e+03	1.896260000002e+10	3.450740000000e+00	2.629690241780e-07	-6.580095405202e+00	2.219643448440e-10	1.101723366387e+08	8.042072560456e+00	5.000000000000e+01	4.489799880981e+01	1	1	22	-4.329551200000e+00	5.378904000000e-01	-4.241560900000e+00	-1.320144600000e+00	2.712514200000e+00
5.975030000000e-01	2.054229000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.979090690613e+00	1.943362000000e+00	0.000000000000e+00	7.485000000000e-01	2.586600000000e-01	1.960288000000e+00	-1.584889000000e+00	-5.298342000000e+00	7.088218637015e-01	7.627534899386e-01	-1.253257411573e+01	1.072903107771e+01	-5.318005616969e-01	9.311387350310e+00	1-182089	-4.301282743304e+00	10518-12701	1.516649322510e+02	7.761200000000e-02	6.000000000000e+00	1.572016000000e-02	1.063330000000e-01	5.790999000000e+00	2.908180999986e+03	5.358349999967e+10	5.114720000000e+00	5.013351587357e-07	-6.299871837159e+00	2.854941145910e-10	9.560417921094e+07	7.980476877303e+00	8.888899993896e+01	6.875000000000e+01	1	1	22	-1.488555000000e+00	1.374298000000e-01	-1.296772200000e+00	1.252667500000e+00	3.765026000000e-01
8.501984000000e-01	2.178652000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	9.622932076454e-01	1.980851000000e+00	0.000000000000e+00	7.708900000000e-01	4.704990000000e-01	2.260467000000e+00	-1.765293000000e+00	-4.980007000000e+00	5.919668902573e-01	8.056102675551e-01	-1.249373015540e+01	1.060568087689e+01	-4.690604538465e-01	9.421747096372e+00	1-61613	-4.414890103057e+00	10837-1901	1.599760894775e+02	6.585085000000e-02	5.462409000000e+00	1.294049000000e-02	1.830111000000e-02	6.391610000000e+00	5.100070043246e+02	4.033489000030e+10	3.908111000000e+00	4.938930734233e-07	-6.306367064535e+00	3.680924467649e-10	1.613212568088e+08	8.207691596816e+00	1.000000000000e+02	6.216199874878e+01	1	1	35	-1.949763000000e-01	5.892230000000e-02	-1.470639000000e-01	1.119415200000e+00	4.170474000000e-01
7.198630000000e-01	2.124073000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.679006099701e+00	1.895331000000e+00	0.000000000000e+00	8.200500000000e-01	1.200390000000e+00	2.461870000000e+00	-5.483311000000e-01	-4.222589000000e+00	6.201300143850e-01	7.802721518088e-01	-1.212405623623e+01	1.091074960664e+01	-6.025231961777e-01	9.670489577868e+00	1-61484	-4.525179781741e+00	10837-9101	1.597358703613e+02	9.942193000000e-02	4.548513000000e+00	6.119182000000e-02	1.977645000000e-01	6.029373000000e+00	2.652821718564e+03	8.142347000045e+10	4.169942000000e+00	9.344122881859e-07	-6.029461458913e+00	6.526786210949e-10	2.680840366241e+08	8.428270954183e+00	1.000000000000e+02	5.000000000000e+01	1	1	6	-2.629501100000e+00	3.389087000000e-01	-2.453912500000e+00	-1.939118200000e+00	4.362109700000e+00
7.549140000000e-01	1.467077000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.202031970024e+00	1.269104000000e+00	0.000000000000e+00	5.965000000000e-01	2.306696000000e+01	4.530838000000e+00	6.516103000000e+00	4.622577000000e+00	6.638046349633e-01	8.481118611444e-01	-1.057054709678e+01	1.029020762654e+01	-4.452429562737e-01	8.962598356616e+00	1-53217	-4.149396860826e+00	10839-9101	1.336174926758e+02	5.861373000000e-02	3.150474000000e+00	5.243974000000e-01	6.454061000000e-01	7.048746000000e+00	2.017996395190e+03	1.950776999990e+10	4.611101000000e+00	2.024519389037e-07	-6.693678059591e+00	1.278816308411e-10	4.750125810157e+07	7.676705112348e+00	1.000000000000e+02	4.000000000000e+01	1	1	12	6.001479000000e-01	2.280550000000e-02	6.002329000000e-01	-1.183793000000e+00	2.442988900000e+00
8.210821000000e-01	2.207675000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.968328952789e+00	2.045481000000e+00	0.000000000000e+00	8.745900000000e-01	1.568792000000e-01	1.320467000000e+00	-1.961427000000e+00	-6.312384000000e+00	3.956722927389e-01	1.197876029310e+00	-1.315923994122e+01	1.066801427751e+01	-1.450111647423e-01	9.876669692030e+00	1-60406	-4.740498699646e+00	10845-3704	1.483953094482e+02	7.096177000000e-02	6.000000000000e+00	3.226817000000e-03	7.738606000000e-03	1.577161000000e+01	8.825654788449e+02	4.656014000020e+10	2.486980000000e+00	8.959028818819e-07	-6.047739066397e+00	1.049251265047e-09	7.226180242888e+08	8.858908789991e+00	6.666699981689e+01	5.588199996948e+01	1	1	19	-6.724100000000e-01	3.236590000000e-02	-6.230878000000e-01	-4.135975000000e-01	1.352663200000e+00
8.842844000000e-01	2.058759000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.751585006714e+01	1.791744000000e+00	0.000000000000e+00	6.838000000000e-01	1.190540000000e-01	2.546082000000e+00	1.675673000000e-01	-2.523595000000e+00	9.798420387388e-01	7.141503037177e-01	-1.282965927141e+01	1.028404612837e+01	-5.330925093888e-01	8.324362050897e+00	1-457246	-3.672260006079e+00	11004-12704	1.970587768555e+02	2.443919000000e-02	6.000000000000e+00	2.846996000000e-03	6.428403000000e-03	5.177860000000e+00	4.124289086035e+02	1.923295999979e+10	9.546452999999e+00	9.641021213649e-08	-7.015876961537e+00	2.941520370943e-11	5.277538410711e+06	6.722431402851e+00	5.384600067139e+01	6.438999938965e+01	1	1	352	-2.520108500000e+00	2.092826000000e-01	-2.387087100000e+00	9.311510000000e-02	9.168229000000e-01
