theory,radius_kpc,thin_force_equivalent_speed_kms,mixed_force_equivalent_speed_kms,speed_fractional_change,thin_tangential_rms_over_inward_mean,mixed_tangential_rms_over_inward_mean,tangential_difference_over_thin_inward_mean,vector_difference_over_thin_rms
mond,10.5,203.1964556334485,201.54653434975418,-0.008119832988970233,0.05204844609430987,0.04849759079988876,0.016998291011371593,0.029083895614593003
newton,11.0,144.74165481094605,143.28469812869298,-0.010065911462433297,0.05935159980716801,0.0583668439757848,0.01735587652745802,0.031805482909499125
mond,11.0,203.4416560854203,201.94594054157542,-0.0073520613851907335,0.05414744179098611,0.053097652392475526,0.016462949735657244,0.026201944137780653
newton,11.5,141.96628070180898,140.7269795049852,-0.008729546133753097,0.05007890801165906,0.0499370020425956,0.015518001214245816,0.028999706891609533
mond,11.5,202.50544427571637,201.20321137703024,-0.006430606857725341,0.045911781393133996,0.045759823436009435,0.014307064632029467,0.023564392802327132
newton,12.0,139.68225415615072,138.4648202882821,-0.00871573755179833,0.046756552311138955,0.04860801011904316,0.01444792051177231,0.027942438567767795
mond,12.0,202.0065466581202,200.68445875275836,-0.006544777519509548,0.042557704263268215,0.044179282152353255,0.013445281046435284,0.022828654383842305
newton,12.5,137.7137968132866,136.60820187653007,-0.008028207502371654,0.04113008989138619,0.03940712944489192,0.014319226906175911,0.027577677292934217
mond,12.5,201.8412882911053,200.624217630418,-0.006029839935087877,0.03764120380684918,0.03614146058998837,0.013409041828109498,0.02262806823712786
newton,13.0,134.89178114114912,133.52367035718046,-0.010142284225138076,0.039209874649549566,0.036264725136787135,0.01637619532506004,0.03150019784927767
mond,13.0,200.56873718754824,199.03429709283716,-0.007650445010661033,0.036190900108792584,0.03286043999205865,0.015612366913577687,0.026090466282593722
newton,13.5,133.8141884415056,132.64733585411756,-0.008719946673652612,0.03854349109341156,0.037724134160270435,0.012702316475177465,0.026395159122173963
mond,13.5,201.36110243442127,200.0109286129456,-0.006705236538498749,0.03460296808976515,0.03411868470694011,0.011747661525041232,0.021595928710314124
newton,14.0,131.89715506020812,130.85947086254058,-0.007867373615404127,0.03126826007307853,0.03464522701904369,0.014217858426937268,0.026197806014313735
mond,14.0,201.0546096716622,199.86656625415264,-0.0059090583371838035,0.02847415297533235,0.031497183849937146,0.013005989742917622,0.021334041932546212
newton,14.5,131.68652194471878,130.72410915164292,-0.007308362153264802,0.03587717069262597,0.03631397286177733,0.016284957589144847,0.026128859798656073
mond,14.5,202.79572103574225,201.63280668523598,-0.005734412661997479,0.03406450983470485,0.03456909050621148,0.014741165791600272,0.02193721743828487
newton,15.0,130.35022787245225,129.638662066009,-0.00545887658239852,0.04204044726333454,0.038868310278259696,0.0115039806028901,0.021411099458675975
mond,15.0,203.06453656939465,202.19529451422036,-0.004280619697852761,0.03900858721401544,0.03617148076157153,0.010527423856825029,0.017648885170707198
