group	richness_bin	members	metadata_redshift	d10	log10_total_member_luminosity	log10_r25_kpc	log10_r50_kpc	log10_r75_kpc	log10_r90_kpc	log10_u_surface50	log10_u_volume25_75	surface_volume_log_contrast	log_geometric_mean_sources	source_balance	surface_source_radial_gradient	volume_source_inner_outer_gradient	sigma_gap_km_s	sigma_mad_km_s	unique_member_redshifts	log10_sigma_gap	log10_sigma_mad	log10_eta_r50	log10_eta_r90
3167	1	24	4.196942600000e-02	5.631459100000e+00	1.151873103285e+01	1.933059246764e+00	2.229332419629e+00	2.520106012757e+00	2.778383840975e+00	-2.175935238653e+00	-3.040662637378e+00	8.647273987244e-01	-2.608298938016e+00	4.228244476290e-01	-1.187251710836e+00	-2.038137976988e+00	3.479703013510e+02	3.829482215403e+02	24	2.541542179263e+00	2.583140056946e+00	5.793685745305e+00	6.342737166651e+00
3292	2	51	5.078624800000e-02	6.170124770000e+00	1.189407408661e+01	2.136543153172e+00	2.413744540190e+00	2.728716414718e+00	2.893936268858e+00	-2.169416426014e+00	-3.107005106006e+00	9.375886799922e-01	-2.638210766010e+00	3.711654109538e-01	-1.194287743633e+00	-1.941143012285e+00	5.106655428717e+02	4.649191172065e+02	51	2.708136554849e+00	2.667377404489e+00	5.935943563275e+00	6.416135291944e+00
3410	2	37	4.908525600000e-02	5.389904640000e+00	1.174001155868e+01	2.234743027534e+00	2.475019476211e+00	2.717584697389e+00	2.777011881644e+00	-2.446028825986e+00	-3.157980768621e+00	7.119519426351e-01	-2.802004797304e+00	5.445268886219e-01	-1.011847393240e+00	-1.415978162133e+00	3.768783777326e+02	4.182191032810e+02	37	2.576201221820e+00	2.621403866502e+00	5.887410361169e+00	6.189402766602e+00
3692	1	24	2.537207500000e-02	6.058640500000e+00	1.157389202797e+01	2.146208349352e+00	2.403543633560e+00	2.441586743802e+00	2.491465797883e+00	-2.469196671395e+00	-2.522856988733e+00	5.366031733780e-02	-2.496026830064e+00	9.961930793864e-01	-3.847117335423e-01	9.373272952462e-01	2.372699453539e+02	2.743778726737e+02	24	2.375242730238e+00	2.438349084574e+00	5.580137066065e+00	5.668059230388e+00
4084	2	43	5.773194700000e-02	8.073991520000e+00	1.180589080047e+01	2.373132016265e+00	2.529050572164e+00	2.780100546530e+00	2.921788523756e+00	-2.488211776106e+00	-3.214429281576e+00	7.262175054696e-01	-2.851320528841e+00	5.325107267450e-01	-8.276212551156e-01	-2.534930277440e+00	4.837967117949e+02	6.046619883678e+02	43	2.684662912281e+00	2.781512667860e+00	6.092485596258e+00	6.485223547849e+00
4436	2	31	4.547354000000e-02	3.397104640000e+00	1.166434839857e+01	1.900266232816e+00	2.499994423197e+00	2.836144638038e+00	2.951287401146e+00	-2.571641880075e+00	-3.579415682329e+00	1.007773802253e+00	-3.075528781202e+00	3.257637782476e-01	-1.490188840711e+00	-7.339078438777e-01	5.567721963241e+02	5.577326835793e+02	31	2.745677539669e+00	2.746426095240e+00	6.327001103970e+00	6.778294081919e+00
4474	1	21	4.168059200000e-02	4.393913960000e+00	1.140299313233e+01	2.381486958275e+00	2.506169245958e+00	2.853519151337e+00	2.958754209133e+00	-2.845346791827e+00	-3.870408037544e+00	1.025061245717e+00	-3.357877414686e+00	3.152479789848e-01	-9.892188250435e-01	-3.089120979846e+00	5.089768663641e+02	6.056486315745e+02	21	2.706698043557e+00	2.782220740297e+00	6.516572200738e+00	6.969157163913e+00
4475	1	15	3.804772200000e-02	1.035042912000e+01	1.146740711465e+01	1.840321564798e+00	2.031139132185e+00	2.452251951635e+00	2.620778603846e+00	-1.830872581966e+00	-3.087825731687e+00	1.256953149721e+00	-2.459349156826e+00	1.987564521817e-01	-1.220301418295e+00	-2.826664434781e+00	2.807316350431e+02	2.937077508131e+02	15	2.448291355102e+00	2.467915407507e+00	5.460314727738e+00	6.049954199398e+00
4561	2	31	4.632016700000e-02	5.741122430000e+00	1.170615351569e+01	2.070169625946e+00	2.473122634970e+00	2.753667476939e+00	2.900891089199e+00	-2.476093186499e+00	-3.313844142778e+00	8.377509562783e-01	-2.894968664638e+00	4.430724207788e-01	-1.301941836355e+00	-1.199908959151e+00	4.782694681015e+02	4.612036551669e+02	31	2.679672657146e+00	2.663892740541e+00	6.126314433575e+00	6.554082887805e+00
4760	2	36	4.553926400000e-02	5.737424000000e+00	1.170392034845e+01	2.135440946415e+00	2.433101019966e+00	2.809504241647e+00	2.930535332901e+00	-2.398283123732e+00	-3.523346438849e+00	1.125063315117e+00	-2.960814781291e+00	2.595357140379e-01	-1.292171435392e+00	-1.882630837984e+00	4.200294899249e+02	4.638382071951e+02	36	2.623279782927e+00	2.666366519400e+00	5.975740237374e+00	6.473174550308e+00
4832	2	48	2.973426000000e-02	7.490302960000e+00	1.178289066426e+01	2.209952399110e+00	2.387380904754e+00	2.732417857176e+00	2.790002462156e+00	-2.227872577497e+00	-3.251061819299e+00	1.023189241802e+00	-2.739467198398e+00	3.163739762186e-01	-1.086788901822e+00	-2.371697935922e+00	4.318429587439e+02	3.895309442605e+02	48	2.635325842763e+00	2.590541963646e+00	5.875141926023e+00	6.277763483424e+00
5183	2	78	5.210713400000e-02	9.826688900000e+00	1.216434744194e+01	2.438489994075e+00	2.665200278993e+00	3.006472997543e+00	3.093327887556e+00	-2.402054548289e+00	-3.417199799999e+00	1.015145251710e+00	-2.909627174144e+00	3.212475427855e-01	-1.159972654452e+00	-2.081220928516e+00	6.755491698951e+02	6.170132235277e+02	78	2.829656964664e+00	2.790294471721e+00	6.160166766377e+00	6.588294374940e+00
5255	2	25	5.488917100000e-02	6.555787480000e+00	1.166160154250e+01	2.244522402979e+00	2.515989817236e+00	2.571987772825e+00	2.817805750073e+00	-2.606379524217e+00	-2.726615127380e+00	1.202356031637e-01	-2.666497325798e+00	9.810802973794e-01	-5.429871410694e-01	-1.236639954534e+00	5.604679612111e+02	6.803828812037e+02	25	2.748550791477e+00	2.832753377997e+00	6.351489857689e+00	6.653305790527e+00
5389	1	19	2.901859000000e-02	3.367501890000e+00	1.135843932598e+01	1.391824511085e+00	2.300391168691e+00	2.659064466234e+00	2.799659133101e+00	-2.478344443648e+00	-3.554295771870e+00	1.075951328222e+00	-3.016320107759e+00	2.858155353290e-01	-1.623495729612e+00	-3.647778421351e-01	2.937924389383e+02	1.967279192871e+02	19	2.468040614567e+00	2.293865998617e+00	5.878033071845e+00	6.377301036254e+00
5509	2	32	2.748519400000e-02	4.023095480000e+00	1.162139005165e+01	2.183118229138e+00	2.563539481327e+00	2.713100676895e+00	2.770083629043e+00	-2.741690343246e+00	-3.179063479013e+00	4.373731357662e-01	-2.960376911130e+00	7.838678995972e-01	-1.099741403251e+00	-2.348871524658e-01	3.117769823480e+02	3.070348572086e+02	32	2.493844049248e+00	2.487187683080e+00	5.929837528170e+00	6.136381675886e+00
5596	2	100	3.532972300000e-02	1.199232265000e+01	1.207173756197e+01	2.363483229752e+00	2.692648341979e+00	2.889701764655e+00	2.975094063702e+00	-2.549560554233e+00	-3.129108422747e+00	5.795478685144e-01	-2.839334488490e+00	6.599311071190e-01	-1.093302073050e+00	-8.658479945858e-01	6.287367188174e+02	6.117470592042e+02	100	2.798468824298e+00	2.786571890285e+00	6.217848428605e+00	6.500294150328e+00
5905	2	78	3.270494100000e-02	5.558434660000e+00	1.192110282859e+01	2.145545593682e+00	2.400927617422e+00	2.550247118799e+00	2.804969640193e+00	-2.116753838499e+00	-2.537341167161e+00	4.205873286625e-01	-2.327047502830e+00	7.978453244959e-01	-8.210539740826e-01	-1.801765154697e+00	5.481575726778e+02	5.428794055018e+02	78	2.738905418170e+00	2.734703366713e+00	5.957635625171e+00	6.361677647943e+00
5911	2	28	3.581795700000e-02	6.503132500000e+00	1.153650377358e+01	1.724333194403e+00	2.152403819014e+00	2.398777136633e+00	2.516601016444e+00	-2.004305296699e+00	-2.739289839791e+00	7.349845430920e-01	-2.371797568245e+00	5.251829337651e-01	-1.292570924216e+00	-8.894953014420e-01	4.718052460104e+02	4.463496410630e+02	28	2.673762765504e+00	2.649675189867e+00	5.963425576447e+00	6.327622773877e+00
6058	1	21	4.542738000000e-02	2.974076310000e+00	1.142788873216e+01	2.006032821183e+00	2.258776608575e+00	2.495012230159e+00	2.862189082129e+00	-2.325665917233e+00	-3.019294091877e+00	6.936281746439e-01	-2.672480004555e+00	5.601180447180e-01	-1.024250825369e+00	-2.427490351828e+00	4.219015811292e+02	4.799643651755e+02	21	2.625211152958e+00	2.681208994496e+00	6.081310182329e+00	6.684722655883e+00
6334	2	48	2.352090100000e-02	1.252812081000e+01	1.176212952813e+01	2.330614641706e+00	2.604850345329e+00	2.698112413341e+00	2.809687047523e+00	-2.683572594773e+00	-2.927628755455e+00	2.440561606817e-01	-2.805600675114e+00	9.250270511194e-01	-7.017029991843e-01	-5.678932526578e-01	3.264285316280e+02	2.823531327161e+02	48	2.513788111439e+00	2.450792610609e+00	5.870297040078e+00	6.075133742272e+00
6337	0	11	2.651348200000e-02	4.508273160000e+00	1.109703330040e+01	1.582074395124e+00	1.887203205942e+00	2.603604962223e+00	2.710684563985e+00	-1.913374543733e+00	-4.062205374663e+00	2.148830830930e+00	-2.987789959198e+00	2.799530644393e-02	-1.532934921297e+00	-2.579286818963e+00	4.396854035078e+02	2.798909004214e+02	11	2.643142048332e+00	2.446988779277e+00	6.076454002210e+00	6.899935360254e+00
6373	1	18	2.745921800000e-02	7.140374950000e+00	1.110354313450e+01	2.534368561843e+00	2.652479613980e+00	2.857107931200e+00	2.879297835497e+00	-3.437417525710e+00	-4.001865701795e+00	5.644481760847e-01	-3.719641613753e+00	6.733127682706e-01	-5.216515243535e-01	-1.918535467945e+00	3.759114611578e+02	3.335893757227e+02	18	2.575085567112e+00	2.523212210615e+00	6.699107613709e+00	6.925925835225e+00
6602	2	31	4.726511700000e-02	7.047926950000e+00	1.174841705694e+01	2.058678070407e+00	2.414255188294e+00	2.756929481066e+00	2.849520042372e+00	-2.316094751890e+00	-3.340611873458e+00	1.024517121569e+00	-2.828353312674e+00	3.155749475043e-01	-1.316691312848e+00	-1.408678496880e+00	4.203215254363e+02	4.059996892309e+02	31	2.623581631592e+00	2.608525701150e+00	5.913001394534e+00	6.348266248612e+00
6875	0	14	4.709573200000e-02	2.709500480000e+00	1.151085654495e+01	1.859467973277e+00	2.023920036688e+00	2.204249583642e+00	2.491060578158e+00	-1.772984960675e+00	-2.271869799306e+00	4.988848386306e-01	-2.022427379991e+00	7.310998448966e-01	-6.161638545197e-01	-2.720261921977e+00	4.026162992413e+02	3.564902244413e+02	14	2.604891352588e+00	2.552047625270e+00	5.722846196917e+00	6.189986738387e+00
6905	2	31	5.777250900000e-02	6.927959130000e+00	1.160045404479e+01	2.295545575897e+00	2.548120762164e+00	2.806730663921e+00	2.918208731002e+00	-2.731788911779e+00	-3.494716404789e+00	7.629274930100e-01	-3.113252658284e+00	5.021383389483e-01	-1.066636985511e+00	-1.678364796438e+00	5.294126416218e+02	5.913425240098e+02	31	2.723794307424e+00	2.771839110656e+00	6.395255332218e+00	6.765343301056e+00
7498	2	64	5.028422200000e-02	5.966355680000e+00	1.196840710384e+01	2.319858490923e+00	2.591985984397e+00	2.757878839488e+00	2.983655418465e+00	-2.451566297198e+00	-2.927643600188e+00	4.760773029899e-01	-2.689604948693e+00	7.509011484456e-01	-9.107326719362e-01	-1.653798974478e+00	5.869280031208e+02	6.547584110916e+02	64	2.768584830779e+00	2.816081086123e+00	6.160748542113e+00	6.552417976181e+00
8050	2	70	4.784395700000e-02	8.649536510000e+00	1.206432858014e+01	2.253472894631e+00	2.427332035673e+00	2.827468007641e+00	3.003511138462e+00	-2.026336923448e+00	-3.218428146111e+00	1.192091222664e+00	-2.622382534780e+00	2.269222843969e-01	-1.168771224867e+00	-2.933892156210e+00	5.869293071312e+02	6.604586365226e+02	70	2.768585795674e+00	2.819845623627e+00	5.900175046877e+00	6.476354149666e+00
9399	2	36	3.263745700000e-02	3.460992740000e+00	1.163657514768e+01	2.266578299515e+00	2.440079514919e+00	2.771600349047e+00	2.832289296634e+00	-2.479585314404e+00	-3.460675669466e+00	9.810903550621e-01	-2.970130491935e+00	3.425131817281e-01	-1.055246686434e+00	-2.364702376199e+00	5.733626410726e+02	7.143404164909e+02	36	2.758429391951e+00	2.853905222660e+00	6.320363151141e+00	6.712572932855e+00
9471	2	36	5.295466600000e-02	8.770687950000e+00	1.174034207976e+01	2.506328291087e+00	2.616095707100e+00	2.908255718092e+00	2.969184585501e+00	-2.727850766688e+00	-3.576412670056e+00	8.485619033677e-01	-3.152131718372e+00	4.348877195453e-01	-8.129169032455e-01	-2.899704238704e+00	5.216167532373e+02	5.519650731593e+02	36	2.717351531577e+00	2.741911597631e+00	6.310456690496e+00	6.663545568897e+00
9545	1	22	3.068473400000e-02	4.520751560000e+00	1.160394150781e+01	2.026781686550e+00	2.298651723360e+00	2.419482872521e+00	2.688016813488e+00	-2.229363371159e+00	-2.562036974740e+00	3.326736035811e-01	-2.395700172950e+00	8.665456969003e-01	-7.850272121274e-01	-1.645929511164e+00	3.438762518880e+02	3.861871170917e+02	22	2.536402184458e+00	2.586797781952e+00	5.767514584469e+00	6.156879674597e+00
9771	2	33	4.462353600000e-02	3.362998010000e+00	1.171611941838e+01	2.059125992369e+00	2.396670254745e+00	2.638609500225e+00	2.724754690129e+00	-2.313222523359e+00	-3.031035840128e+00	7.178133167691e-01	-2.672129181744e+00	5.395762502062e-01	-1.176643945425e+00	-1.060702323668e+00	4.927000288692e+02	4.647315682106e+02	33	2.692582587722e+00	2.667202174166e+00	6.065716011812e+00	6.393800447195e+00
9917	2	53	2.739290600000e-02	3.560455620000e+00	1.177740675303e+01	2.430437027952e+00	2.520724644871e+00	2.617140790092e+00	2.701843407529e+00	-2.500043968962e+00	-2.649419320795e+00	1.493753518331e-01	-2.574731644879e+00	9.709982005582e-01	5.554988782808e-01	-1.730779280835e+00	3.548226856447e+02	3.487582847794e+02	53	2.550011378734e+00	2.542524533102e+00	5.843340649313e+00	6.024459411971e+00
10159	2	34	2.990016200000e-02	5.021806200000e+00	1.153772127339e+01	2.359086899912e+00	2.462057199938e+00	2.544401062338e+00	2.664029998531e+00	-2.622394558734e+00	-2.727958446908e+00	1.055638881736e-01	-2.675176502821e+00	9.853735054353e-01	5.746615826514e-01	-1.839662677065e+00	4.016438852114e+02	4.590482330505e+02	34	2.603841159475e+00	2.661858320063e+00	6.132018245501e+00	6.333991044095e+00
11118	1	15	5.763911300000e-02	1.893863710000e+00	1.145513231352e+01	1.965351947129e+00	1.967864390346e+00	2.671604631536e+00	2.756626418399e+00	-1.716597899418e+00	-3.824502096532e+00	2.107904197114e+00	-2.770549997975e+00	3.071899955133e-02	-1.324432649597e+00	-5.201471702393e+00	4.617707541923e+02	3.004456061524e+02	15	2.664426423828e+00	2.477765857084e+00	5.841584924482e+00	6.630346952535e+00
11270	1	18	3.092221700000e-02	3.528270390000e+00	1.139498336598e+01	2.194946172429e+00	2.213420795621e+00	2.523895583505e+00	2.712879555909e+00	-2.267859657511e+00	-3.152040331636e+00	8.841806741248e-01	-2.709949994574e+00	4.085920990139e-01	-5.495603924023e-01	-4.895802130401e+00	3.301461873589e+02	3.656905516951e+02	18	2.518706286257e+00	2.563113739666e+00	5.855850002159e+00	6.355308762446e+00
12171	2	81	3.116245200000e-02	9.711700700000e+00	1.196194221944e+01	2.336631539113e+00	2.613274805354e+00	2.782608835261e+00	2.906700352011e+00	-2.500608823509e+00	-2.988192517213e+00	4.875836937040e-01	-2.744400670361e+00	7.409398875715e-01	-9.301669415894e-01	-1.163275107203e+00	5.067248040589e+02	5.710616647064e+02	81	2.704772163423e+00	2.756683007012e+00	6.060876912755e+00	6.354302459412e+00
12290	0	14	5.261840400000e-02	3.601237160000e+00	1.157098354855e+01	1.861906379882e+00	2.004281251617e+00	2.490296689738e+00	2.763838773753e+00	-1.673580386932e+00	-3.125932175910e+00	1.452351788977e+00	-2.399756281421e+00	1.316995827757e-01	-1.240724678219e+00	-3.545195522442e+00	4.036092213053e+02	3.358916311124e+02	14	2.605961080053e+00	2.526199183339e+00	5.645219863176e+00	6.404777385312e+00
12349	2	45	3.727904700000e-02	6.215313720000e+00	1.184509375909e+01	2.303025099207e+00	2.531867418780e+00	2.746759639945e+00	2.927114639107e+00	-2.454642510715e+00	-3.078574249459e+00	6.239317387434e-01	-2.766608380087e+00	6.207010209482e-01	-9.247597134857e-01	-1.938967783790e+00	4.149161182899e+02	4.029409382981e+02	45	2.617960306240e+00	2.605241393409e+00	5.922694272169e+00	6.317941492496e+00
12478	1	20	4.076451400000e-02	2.701632370000e+00	1.138504472360e+01	1.923736481755e+00	2.321318077735e+00	2.565421341160e+00	2.716503720051e+00	-2.493592864117e+00	-3.220710793141e+00	7.271179290243e-01	-2.857151828629e+00	5.317560794654e-01	-1.256455489440e+00	-1.105554221160e+00	3.206874541276e+02	3.135799620613e+02	20	2.506081969876e+00	2.496348303234e+00	5.948437293888e+00	6.343622936204e+00
12534	0	11	3.784388000000e-02	2.803847950000e+00	1.141923517997e+01	2.338421338101e+00	2.566427336324e+00	2.658594570944e+00	2.668628209014e+00	-2.949620924927e+00	-3.175748413810e+00	2.261274888836e-01	-3.062684669368e+00	9.351724835450e-01	-5.098028011829e-01	6.131058097137e-01	4.345497080739e+02	4.515091732461e+02	11	2.638039462505e+00	2.654666578237e+00	6.423271081367e+00	6.525471954057e+00
14585	0	14	4.431665400000e-02	6.776778550000e+00	1.143454686942e+01	1.807951389011e+00	2.409423319928e+00	2.499969529727e+00	2.591131436169e+00	-2.620301202684e+00	-2.888279175978e+00	2.679779732936e-01	-2.754290189331e+00	9.105445512488e-01	-1.310536492257e+00	2.831005374036e-01	3.963280252198e+02	3.098590297595e+02	14	2.598054783331e+00	2.491164156666e+00	6.170986017172e+00	6.352694133414e+00
15540	0	14	4.853210900000e-02	3.018900960000e+00	1.131168754664e+01	1.959753701517e+00	2.104284859028e+00	2.370974514180e+00	2.645126351950e+00	-2.132883603661e+00	-2.906823687863e+00	7.739400842016e-01	-2.519853645762e+00	4.931943877069e-01	-8.397443902945e-01	-3.118432397312e+00	3.851304445747e+02	3.731492435577e+02	14	2.585607850973e+00	2.571882565562e+00	5.963813014334e+00	6.504654507256e+00
15600	1	18	3.124397700000e-02	2.363618860000e+00	1.157330092343e+01	1.790937774380e+00	2.138091101743e+00	2.337639185476e+00	2.546618446003e+00	-1.938882712305e+00	-2.527464563820e+00	5.885818515149e-01	-2.233173638062e+00	6.519278228328e-01	-1.127272684804e+00	-1.350049253413e+00	3.142876254807e+02	4.364043076163e+02	18	2.497327281777e+00	2.639889028728e+00	5.559444741870e+00	5.967972086130e+00
16963	1	20	4.073029400000e-02	3.644473040000e+00	1.144847411894e+01	2.137307190138e+00	2.193047127838e+00	2.453429263313e+00	2.511236450599e+00	-2.173621568981e+00	-2.902875294491e+00	7.292537255097e-01	-2.538248431736e+00	5.299679163807e-01	-4.907056633924e-01	-3.656447929411e+00	3.131441946192e+02	2.025595667030e+02	20	2.495744364726e+00	2.306552759335e+00	5.736061738349e+00	6.054251061110e+00
17781	1	23	3.247727400000e-02	1.027653876000e+01	1.154385630520e+01	2.464918380388e+00	2.731162349296e+00	2.805441640259e+00	2.813903135055e+00	-3.154469825635e+00	-3.333882035942e+00	1.794122103069e-01	-3.244175930789e+00	9.585194970840e-01	-5.988585481631e-01	1.052100588615e+00	3.542651444664e+02	2.516530550980e+02	23	2.549328424954e+00	2.400802207152e+00	6.285962894000e+00	6.368703679759e+00
17863	1	15	4.137417000000e-02	1.612485940000e+00	1.136525917124e+01	1.945212413080e+00	2.175867418081e+00	2.411059975233e+00	2.703470411893e+00	-2.222477097169e+00	-2.910309438681e+00	6.878323415116e-01	-2.566393267925e+00	5.650836037685e-01	-9.757996102522e-01	-2.373842978771e+00	2.769590365994e+02	2.566223226526e+02	15	2.442415539843e+00	2.409294431397e+00	5.695439326528e+00	6.223042320341e+00
