domain	name	mean_log_surface_source	mean_log_volume_source	local_mass_dimension_median	local_mass_dimension_iqr	surface_volume_log_ratio_median	log_transition_radius_ratio	transition_overlap_cosine	transition_area_asymmetry	log_transition_width_ratio	clipped_local_dimension_fraction
galaxy	UGC06983	-2.500602495899e+00	-3.635386263689e+00	1.139008001302e+00	5.918071195482e-01	9.684545793800e-01	-1.276115460694e-01	9.859505823259e-01	3.232174323252e-01	-2.662947977337e-02	5.882352941176e-02
galaxy	UGC07089	-2.596924803155e+00	-3.402755238406e+00	1.323018435551e+00	5.600064834528e-01	8.208071885874e-01	-1.936416728187e-01	9.890129939330e-01	1.777980322419e-01	-5.208911972622e-02	0.000000000000e+00
galaxy	UGC07125	-3.163716377803e+00	-4.163304164793e+00	1.256705773799e+00	1.045996151417e+00	8.701184566263e-01	-1.993030048838e-01	9.810968995128e-01	2.397534387534e-01	-2.713772619988e-02	1.538461538462e-01
galaxy	UGC07151	-1.995355877593e+00	-2.621936229075e+00	1.563525460728e+00	3.673810686863e-01	6.516691064411e-01	-1.401763170784e-01	9.947615298238e-01	1.769764904309e-01	-1.344092268793e-02	0.000000000000e+00
galaxy	UGC07261	-2.344971235555e+00	-3.034222734566e+00	1.461198783267e+00	8.649234154447e-01	7.193551054236e-01	-2.337475962966e-01	9.752002390754e-01	1.641995172754e-01	-7.432996642805e-04	0.000000000000e+00
galaxy	UGC07323	-2.006725621654e+00	-2.504935844825e+00	1.953489769364e+00	2.031753948571e-01	4.290737439206e-01	-8.697932857969e-02	9.965488489795e-01	1.498880615973e-01	-9.586822667365e-03	0.000000000000e+00
galaxy	UGC07399	-2.377870295793e+00	-3.311109846604e+00	1.241092261365e+00	2.684058634459e-01	8.828580400136e-01	-1.644093100019e-01	9.918758765098e-01	2.634722796325e-01	-5.685266951568e-02	0.000000000000e+00
galaxy	UGC07524	-3.012618168343e+00	-3.488874678642e+00	1.949383332768e+00	7.089952213437e-01	4.310992057130e-01	1.516329303197e-01	9.944158158919e-01	2.528465742928e-01	-7.169074428549e-03	0.000000000000e+00
galaxy	UGC07577	-3.945677255635e+00	-4.386358046932e+00	2.155883945962e+00	1.491433170759e+00	3.304114654739e-01	-1.898516106881e-01	9.762704703136e-01	9.438510061427e-02	-1.692901526629e-02	0.000000000000e+00
galaxy	UGC07603	-2.530886696132e+00	-3.792643183683e+00	8.326813402602e-01	1.053441477382e+00	1.282646214816e+00	-2.291399378449e-01	9.787311981188e-01	2.425594754814e-01	-1.307611695132e-01	1.666666666667e-01
galaxy	UGC07608	-3.391050979539e+00	-3.704254138691e+00	2.214354881539e+00	3.676644308844e-01	3.055699378171e-01	7.319259573853e-02	9.982772993748e-01	1.670371948819e-01	-1.439198692546e-02	0.000000000000e+00
galaxy	UGC07866	-3.136891186490e+00	-3.681785214658e+00	1.800743666365e+00	3.403350843930e-01	5.104125611076e-01	-3.023872386715e-03	9.970264121160e-01	2.234076561319e-01	-6.462650457163e-02	0.000000000000e+00
galaxy	UGC08286	-2.762527082859e+00	-3.696872014695e+00	1.542950405445e+00	7.739138757953e-01	6.649158574467e-01	-2.000096993696e-01	9.838678572619e-01	1.982410033733e-01	-6.933309761721e-02	1.176470588235e-01
galaxy	UGC08490	-2.763369732758e+00	-4.250562053042e+00	8.582131452627e-01	7.861752152490e-01	1.251676745010e+00	-2.985036459449e-01	9.798985665659e-01	2.291904235800e-01	-1.588260013003e-01	2.333333333333e-01
galaxy	UGC08550	-3.037112332089e+00	-3.989607925323e+00	1.428560314301e+00	1.289897608993e+00	7.419451247489e-01	-2.084468161915e-01	9.714898006372e-01	2.358647209828e-01	-3.627408897322e-02	9.090909090909e-02
galaxy	UGC08699	-4.412836048839e-02	-1.692661626582e+00	5.258655305181e-01	6.875308217598e-01	1.741322032998e+00	-7.284154089534e-01	9.141761360992e-01	4.964746771991e-02	-1.336853552804e-01	2.439024390244e-01
galaxy	UGC08837	-3.087977476926e+00	-3.409898426126e+00	1.971075851029e+00	6.569305355726e-01	4.201094509067e-01	-1.450044171695e-02	9.953966663404e-01	1.256336139612e-01	-6.804562574205e-02	0.000000000000e+00
galaxy	UGC09037	-1.394643206394e+00	-2.816845029251e+00	8.634226948159e-01	5.374953322589e-01	1.245471609459e+00	-2.423526683600e-01	9.783432980472e-01	2.280786780270e-01	-1.335709841550e-01	1.363636363636e-01
galaxy	UGC09133	-4.385154312153e-01	-2.318124107744e+00	3.825023374094e-01	4.341580902839e-01	2.059639239931e+00	-8.519809806918e-01	9.045746105288e-01	5.587593807972e-02	-1.900356503193e-01	2.941176470588e-01
galaxy	UGC09992	-2.872018860877e+00	-3.742146038097e+00	1.560766102487e+00	3.517182270474e-01	6.534354966150e-01	-8.713072495639e-02	9.941618350283e-01	2.960427730534e-01	-7.368342952034e-02	0.000000000000e+00
galaxy	UGC10310	-2.689856755596e+00	-3.445830737304e+00	1.958569921186e+00	6.340493773405e-01	4.263977137849e-01	-1.734559919001e-01	9.823953055379e-01	1.732552996329e-01	-4.183042873986e-02	1.428571428571e-01
galaxy	UGC11455	-2.682899957970e-01	-1.434791247684e+00	1.442545460028e+00	1.329826620981e+00	7.322213270337e-01	-3.145207756364e-01	9.767592147408e-01	7.781361863336e-02	-1.393767561453e-01	2.500000000000e-01
galaxy	UGC11820	-3.089013497570e+00	-3.586766786752e+00	2.155554387221e+00	8.594112611163e-01	3.305860308981e-01	-1.917653773119e-01	9.936984859629e-01	1.425439074314e-01	-5.575850605010e-02	0.000000000000e+00
galaxy	UGC11914	1.590589793604e+00	3.123793209637e-01	7.992793670646e-01	4.685413285117e-01	1.322657037108e+00	-3.685982957462e-01	9.658955394910e-01	-1.458388689368e-01	-2.559432431175e-02	3.076923076923e-02
galaxy	UGC12506	-1.766678222177e+00	-2.895076772691e+00	9.243216770871e-01	1.030363540337e+00	1.177307421218e+00	-3.109050161868e-01	9.836548061101e-01	1.392087681362e-01	-8.378469213452e-02	6.451612903226e-02
galaxy	UGCA281	-2.608803777773e+00	-3.232713109910e+00	1.553102652995e+00	1.211958472146e+00	6.583576468822e-01	-2.440567052330e-01	9.841661549103e-01	1.416923867290e-01	-1.321103954330e-02	0.000000000000e+00
galaxy	UGCA442	-3.406397669922e+00	-4.703763557216e+00	1.003424934196e+00	1.830954168226e+00	1.139921662151e+00	-2.944352214962e-01	9.676558597068e-01	1.917706240492e-01	-9.783732881721e-02	3.750000000000e-01
galaxy	UGCA444	-3.532362338196e+00	-4.344520633883e+00	1.337587261864e+00	2.016533249533e+00	8.083596555480e-01	-2.072001420280e-01	9.617727946343e-01	1.441138732031e-01	-1.718241474851e-01	1.388888888889e-01
