model,galaxy,rar_chi_square,candidate_chi_square,absolute_gain,fractional_gain
Local brightness-gradient adjustment,F583-4,15.72900775533,9.112801435919,6.616206319411001,0.42063723423170185
Local brightness-gradient adjustment,KK98-251,441.0991829173,375.3326092081,65.76657370920003,0.14909702002674158
Local brightness-gradient adjustment,NGC0024,303.3718060333,380.9165012837,-77.54469525039997,-0.2556094327430288
Local brightness-gradient adjustment,NGC0055,1073.667501403,947.3840085825,126.28349282049999,0.11761880904049048
Local brightness-gradient adjustment,NGC0100,39.23855494788,37.03654450383,2.2020104440499964,0.05611854073053645
Local brightness-gradient adjustment,NGC0247,113.3398812574,129.9362389916,-16.596357734199998,-0.1464299904859519
Local brightness-gradient adjustment,NGC0289,325.2227604244,246.4264740858,78.7962863386,0.24228404628192274
Local brightness-gradient adjustment,NGC0300,60.15162372022,90.91808957508,-30.76646585486,-0.5114818844785038
Local brightness-gradient adjustment,NGC0801,1129.408274232,1009.000709664,120.40756456799988,0.10661119394567681
Local brightness-gradient adjustment,NGC0891,616.4199387508,810.8885031053,-194.4685643544999,-0.3154806522783775
Local brightness-gradient adjustment,NGC1003,470.8041584632,324.4532781196,146.3508803436,0.31085298995938965
Local brightness-gradient adjustment,NGC1090,1061.504771615,842.2261387795,219.27863283549993,0.2065733840290552
Local brightness-gradient adjustment,NGC1705,203.6323834224,226.6001460531,-22.96776263069998,-0.11279032462659608
Local brightness-gradient adjustment,NGC2403,5521.535774968,9644.919778092,-4123.384003124001,-0.7467820858496381
Local brightness-gradient adjustment,NGC2683,23.51396650001,20.09897436869,3.4149921313199982,0.14523249964307577
Local brightness-gradient adjustment,NGC2841,4313.597529762,4156.818022313,156.77950744899954,0.03634541849750404
Local brightness-gradient adjustment,NGC2915,228.1974285668,271.5741563251,-43.37672775829998,-0.19008420923377037
Local brightness-gradient adjustment,NGC2955,190.982927747,224.6593408677,-33.676413120700005,-0.17633206024211764
Local brightness-gradient adjustment,NGC2976,82.05935852738,74.16743335633,7.891925171050005,0.09617337147982674
Local brightness-gradient adjustment,NGC2998,201.0386719591,150.0280446372,51.01062732189999,0.2537353973979582
Local brightness-gradient adjustment,NGC3109,134.2820946685,155.3410849137,-21.058990245199993,-0.15682649497826182
Local brightness-gradient adjustment,NGC3198,576.5895799647,343.8554335392,232.73414642549994,0.40363918203264865
