name	ra_deg	dec_deg	distance_mpc	inclination_deg	effective_radius_kpc	aperture_arcsec	concentration_c20	centroid_shift	quadrupole_amplitude	m3_aperture_amplitude	m4_aperture_amplitude	multipole_energy	radial_quadrupole_coherence	projected_outer_axis_ratio	background	background_mad_sigma	positive_aperture_flux	signed_aperture_flux	central_flux_snr	aperture_flux_snr	brightest_pixel_flux_fraction	aperture_pixels	center_refinement_fraction	measurement_valid	image_quality_pass	quality_failure_reason	position_angle_deg	image_sha256	image_version	s4g_family	s4g_bar_ellipticity	s4g_bar_quality
NGC6946	3.087180500000000e+02	6.015368000000000e+01	5.520000000000000e+00	3.800000000000000e+01	4.200000000000000e+00	3.923519021739131e+02	2.354370283079904e-01	1.129592671588625e-02	7.717493539705012e-02	3.092406799232381e-02	2.262189675625281e-02	8.616274628621864e-02	3.465775398863060e-01	9.365224212047838e-01	8.841892242431641e+00	1.323768397576287e+01	1.054536316188953e+07	1.265209360506880e+07	4.223333686498310e+03	4.258407013969544e+03	2.607126823455830e-03	50374	6.393606342161243e-04	True	True		1.370196533255801e+02	3a2ed0d5adf73e28152cd599949c8faaa891e9a31fa6edfa92162fcd56e2e695	unwise-neo11			
UGC00128	3.462210000000000e+00	3.599350000000000e+01	6.450000000000000e+01	5.700000000000000e+01	9.630000000000001e+00	7.698961046511627e+01	2.452731284981195e-01	5.229477041611670e-02	1.960730837739756e-01	9.365793845427040e-02	7.623881476140787e-02	2.302798742668682e-01	4.152892243716879e-01	8.169047941500682e-01	1.631334602832794e+00	2.654463065747917e+00	1.267919018898487e+04	1.255636216968112e+04	1.594808588021022e+02	1.292697349499472e+02	2.835377791345363e-02	1339	1.611432317710334e-02	True	True		1.500890802042792e+02	ac4910c16760301a568059734b0ff62e11ee1fa43122b114aeeb2535ff027569	unwise-neo11			
UGC00191	5.021500000000000e+00	1.087931000000000e+01	1.710000000000000e+01	4.500000000000000e+01	2.500000000000000e+00	7.538925438596489e+01	1.528846002994153e-01	6.429508123319648e-02	1.269456555659470e-01	5.008760541039839e-02	4.623326715972374e-02	1.440884543434282e-01	3.991187848303848e-01	6.911926767180369e-01	5.379951596260071e-01	2.192190910810232e+00	4.686439518527269e+04	4.735962709739944e+04	3.993062896730177e+02	5.280221906520155e+02	2.914108648467543e-02	1674	9.291284738688219e-03	True	True		3.589402768254888e+01	628b0002a9d699e9d4ce5865bc711e3a71d63155bbe8e9a3b91ba77ac2551c8f	unwise-neo11	0.000000000000000e+00		
UGC00731	1.768333000000000e+01	4.960219000000000e+01	1.250000000000000e+01	5.700000000000000e+01	1.400000000000000e+00	5.775419999999998e+01	1.217163262910903e-01	1.219825314091088e-01	5.704816147962748e-01	3.470298028105115e-01	3.010463727624449e-01	7.324669790595975e-01	3.266084466367068e-01	5.044691049297616e-01	5.273174524307251e+00	6.706402794474363e+00	2.731123819189071e+04	2.800284144750237e+04	9.371249008707099e+01	1.520641344829278e+02	7.035402502413851e-02	754	6.570378669354384e-03	True	True		1.213020309699544e+00	4287f2f1944cf3a937bc2fb2edd4480185f07d3af0388233981c44e842be41ef	unwise-neo11			
UGC00891	2.032954000000000e+01	1.241172000000000e+01	1.020000000000000e+01	6.000000000000000e+01	1.760000000000000e+00	8.897705882352940e+01	1.816435744158064e-01	2.753377558107471e-02	4.798275943694999e-01	4.079387040591496e-02	5.850414192377200e-02	4.850993659069787e-01	9.753210764754584e-01	9.368296288284009e-01	3.055431097745895e-01	2.229487735846639e+00	1.909082451465130e+04	1.882785529374762e+04	1.915396014534685e+02	2.080889239833624e+02	7.408118850884121e-03	1647	1.646151267399814e-02	True	True		3.995008179288735e+01	ccfcc5773cd6ca9d104383e3715f58790f8f64345a74535b24206e414495feaa	unwise-neo11	5.000000000000000e-01		3
UGC01230	2.638438000000000e+01	2.552147000000000e+01	5.370000000000000e+01	2.200000000000000e+01	6.450000000000000e+00	6.193711592178770e+01	1.905391575237720e-01	3.745949456238101e-02	2.221772895528588e-02	2.606604909259902e-02	3.005387792328587e-02	4.556645666996832e-02	2.686819708998791e-01	8.938392758429152e-01	1.350472196936607e-01	1.970007455442846e+00	1.486559649202406e+04	1.481723947548633e+04	1.887961717666038e+02	1.955759026064248e+02	5.437472395463300e-03	1479	7.235454614206997e-03	True	True		6.231990508591480e+00	4061fde4c806db1518214675e38f5a884ee04d4a761f09ac647417aa70011ca1	unwise-neo11			
UGC02259	4.198082000000000e+01	3.753844000000000e+01	1.050000000000000e+01	4.100000000000000e+01	2.400000000000000e+00	1.178657142857143e+02	2.032641020676828e-02	3.123495017327099e-01	9.348931728939043e-01	6.524602962525710e-01	5.864705742657753e-01	1.282059833778928e+00	6.055861054889794e-01	1.888098168379364e-01	3.416172742843628e+00	4.674021150970459e+00	7.418955001252745e+05	7.835188472296218e+05	2.446790707298241e+02	2.542810015720674e+03	5.328524519325084e-02	4346	3.473162337024741e-03	True	False	concentration_c20	1.410126613523413e+02	85bc92df02ad0765ec55a352f0a46312f2c03d0a52a387a224eae0ff4224ad7b	unwise-neo11			
UGC02487	4.542649000000000e+01	3.520565000000000e+01	6.909999999999999e+01	3.600000000000000e+01	9.630000000000001e+00	7.186439761215630e+01	3.524051040267524e-01	1.170673731741177e-03	2.559125784642695e-02	1.971503863150250e-03	2.657383347121863e-03	2.580428243331494e-02	8.636098392905075e-01	8.578907654580874e-01	1.496790027618408e+01	7.314215944004059e+00	3.673586876996231e+05	3.675035623826981e+05	2.131269496736787e+03	1.207661554977580e+03	1.671215503396849e-02	1731	2.146551073411611e-03	True	True		1.581029318832770e+02	57753c448b8b3f4ee4c672b2d188ecbd4132f8048a59cbb2637868789e9c873b	unwise-neo11			
UGC02916	6.064098000000000e+01	7.170592000000001e+01	6.540000000000001e+01	5.000000000000000e+01	2.800000000000000e+00	2.207729357798164e+01	1.987453385448557e-01	1.060668079972200e-02	1.866099599275374e-01	1.029104030874183e-03	1.114721402586819e-03	1.866161268568954e-01	7.029898155431245e-01	8.371255805964160e-01	7.429050445556641e+01	2.539675294647217e+01	8.204503977615357e+04	8.205108822631836e+04	2.871349677481393e+02	2.833573452221871e+02	4.427257871752902e-02	130	5.189986728971843e-03	True	True		1.537268716843578e+02	b451d658520a4f4416943961b480d4e69dc105e7a886f655402554afb7be0f37	unwise-neo11			
UGC02953	6.194545000000000e+01	6.981243000000001e+01	1.650000000000000e+01	5.000000000000000e+01	5.030000000000000e+00	1.571989318181818e+02	2.538910119539153e-01	3.106116437793731e-02	1.854662146376481e-02	7.609493728402948e-02	9.299554930694319e-02	1.215836701160179e-01	5.684175790050540e-01	7.407989550780197e-01	4.293978881835938e+01	2.635215823802948e+01	3.859094945983582e+06	4.076052371643066e+06	2.291305451278230e+03	1.905232187431751e+03	6.183901879212006e-03	6591	7.442746155635702e-04	True	True		1.292138939711048e+02	7b58347b25dbf64f1e19ac122d829d4a42f64349e0cff68b30f443da91deb0e9	unwise-neo11			
UGC03580	1.038786400000000e+02	6.956300000000000e+01	2.070000000000000e+01	6.300000000000000e+01	1.840000000000000e+00	4.583666666666666e+01	2.617222122113913e-01	1.247517639728150e-02	2.705784815233789e-01	1.398105683680563e-02	1.057453293413590e-02	2.711457271663093e-01	9.814858494441867e-01	7.410414883145279e-01	1.025056982040405e+01	8.892566439914702e+00	9.614866004400254e+04	9.618066720819473e+04	6.863288253299091e+02	5.455874748887888e+02	2.457875157810253e-02	393	8.772656931492906e-03	True	True		1.034069102056240e+02	90b2022ee8e9e852d94db025b66c50ed8ba1d4d3aebb951944a00688b68d7e8d	unwise-neo11			
UGC04305	1.247707400000000e+02	7.072002999999999e+01	3.450000000000000e+00	4.000000000000000e+01	1.230000000000000e+00	1.838448913043478e+02	7.694950917517800e-02	8.139151927866994e-02	2.215931323716099e-01	1.795112048141888e-01	1.567277823089719e-01	3.254095676460542e-01	3.606564452985139e-01	5.686228217923783e-01	1.751489460468292e+00	2.712057350912690e+00	3.099190574104262e+05	3.527579971443175e+05	4.249492267830287e+02	1.253634634220158e+03	1.317206524605985e-02	10765	7.829895682820611e-03	True	True		9.770784005485548e+01	c99603e21f3e0b4f00de5c9fa532dfd508a0229766305fec250c02d799f10bb1	unwise-neo11			
UGC04325	1.248355400000000e+02	5.000961000000000e+01	9.600000000000000e+00	4.100000000000000e+01	2.790000000000000e+00	1.498644140625000e+02	1.886469648319775e-01	7.150547111879950e-02	3.434183579282907e-01	1.653159299308628e-01	1.685178108386274e-01	4.167298619260599e-01	5.409247060493856e-01	5.908294410812451e-01	1.229621946811676e+00	3.173715368556976e+00	1.388815646958732e+05	1.445321419328905e+05	4.918638967915871e+02	5.425702352942200e+02	2.232045318119844e-02	7045	1.418052262279563e-02	True	True		2.288671951022928e+01	739a9309e782a47f651c2f9c308bf891c7230b182d9d44929b3800eabbe8c22b	unwise-neo11			
UGC04483	1.292637100000000e+02	6.977478000000001e+01	3.340000000000000e+00	5.800000000000000e+01	2.600000000000000e-01	4.014139221556886e+01	1.013852147445743e-01	7.059636033045748e-02	1.270444380933462e-01	1.124781547445998e-01	1.954405735821818e-01	2.588216419609003e-01	7.701448113746318e-01	8.505800812481098e-01	2.934332251548767e+00	2.199954334366321e+00	4.248636036472320e+03	4.181238825321198e+03	5.055508655138205e+01	1.005905540739148e+02	4.009233990571109e-02	357	1.147951319823095e-02	True	True		1.699488465111363e+02	164299db6289c9bdbd3578a0881e59ac6ba965de1fdf3e158453d9618807044c	unwise-neo11			
UGC04499	1.294228700000000e+02	5.165238000000000e+01	1.250000000000000e+01	5.000000000000000e+01	2.690000000000000e+00	1.109705700000000e+02	2.494904635700898e-01	2.811881522605847e-02	4.866886571769023e-02	4.927208889341973e-02	9.044086160569891e-03	6.984406008135144e-02	4.039895947038418e-01	7.518677871878852e-01	6.917129755020142e-01	1.912258213752508e+00	4.714783043587208e+04	4.781013185619179e+04	5.442114652796727e+02	4.366856611249954e+02	6.535342456803718e-03	3278	1.364235802233530e-03	True	True		6.570426917201890e+01	64b9c6c2dd18283a6b33a2c1e3d1e30e31c38729f9804755e8409deacde30eab	unwise-neo11	3.800000000000000e-01	4.600000000000000e-01	2
UGC05414	1.509882700000000e+02	4.076151000000000e+01	9.400000000000000e+00	5.500000000000000e+01	2.330000000000000e+00	1.278184707446808e+02	1.015763336369760e-01	1.073517808417318e-01	2.526424036001579e-01	9.862878359052962e-02	5.350687770035501e-02	2.764395178165621e-01	4.752968242607904e-01	7.238344906459584e-01	6.233693957328796e-01	1.947522952079773e+00	9.773087556599376e+04	1.013968677650420e+05	4.121351691037271e+02	8.343417600934472e+02	2.232901820042567e-02	3894	4.549139654344141e-02	True	True		1.324494049119153e+02	1e0734cb154f5186d749c6f05c0809580c912609adc17a11623e17d099c7613b	unwise-neo11			
UGC05716	1.579302800000000e+02	2.530761000000000e+01	2.130000000000000e+01	5.400000000000000e+01	1.840000000000000e+00	4.454549295774647e+01	1.564896105625507e-01	4.461665573833039e-02	9.379659832603371e-02	6.344027088355976e-02	6.567658865437215e-02	1.309041027798226e-01	2.121770145062372e-01	4.700378049966510e-01	1.228031992912292e+00	2.921261717069149e+00	5.088502642669678e+03	5.092370474908501e+03	6.099521014725070e+01	7.940100601850037e+01	1.760498065258685e-02	482	7.125968434926036e-03	True	True		1.084073410541065e+02	f7d3e3e6ae1df99e4a7a7e1eb90f0882d42524f94697a19c98e3f8176dd90bc8	unwise-neo11			
UGC05750	1.589379600000000e+02	2.099019000000000e+01	5.870000000000000e+01	6.400000000000000e+01	8.800000000000001e+00	7.730545144804088e+01	1.497744189470137e-01	8.545414367566782e-02	4.706284991518572e-01	6.689964848813036e-02	5.874791122577970e-02	4.789760581231144e-01	8.299653778436036e-01	6.551616482351570e-01	7.650739550590515e-01	2.538982156920433e+00	9.384402848975658e+03	9.147008433489893e+03	8.269773198407782e+01	1.089706018950003e+02	3.555448082585720e-02	1093	1.904623032262746e-02	True	True		7.023535816957799e+01	269421a60e5343eb77785b76244e2e032683ebba2b79924fc53a921272770656	unwise-neo11			
UGC05764	1.591797600000000e+02	3.154726000000000e+01	7.470000000000000e+00	6.000000000000000e+01	1.200000000000000e+00	8.283734939759034e+01	2.058391193087468e-01	2.762302175044828e-02	2.288554307951456e-01	1.400088207382646e-02	1.951285760135169e-02	2.301121129255205e-01	9.542634055592201e-01	7.809404066130644e-01	3.865008503198624e-01	1.976761838954687e+00	9.247503667933346e+03	9.107796679309104e+03	1.287877712617284e+02	1.221825487223329e+02	1.061990604767577e-02	1422	3.554910905688950e-02	True	True		1.479379465615500e+02	f2d95a159ebb36916fd0a5fa1074f057cdcfbf8df2a959400b11a843e2adfb80	unwise-neo11	1.000000000000000e+00		
UGC05829	1.606782800000000e+02	3.444928000000000e+01	8.640000000000001e+00	3.400000000000000e+01	2.910000000000000e+00	1.736779947916666e+02	1.753302788376642e-01	4.026631715462563e-02	7.108993923688084e-02	5.067998054524225e-02	5.711593630419335e-02	1.043286636963889e-01	4.327814947436079e-01	8.328097313012600e-01	1.128242313861847e+00	2.034109925727546e+00	4.908854483895539e+04	4.867129872929683e+04	2.079572665935619e+02	2.347984715681019e+02	3.760459284313622e-03	10385	1.396163466785765e-02	True	True		7.378223870015219e+01	fbed1705fdb4fa9c6f4dac8f8165ed85543518c19d296d07faa8f8f6861370e4	unwise-neo11	7.500000000000000e-01	7.500000000000000e-01	2
UGC05999	1.632443800000000e+02	7.619800000000000e+00	4.770000000000000e+01	2.200000000000000e+01	4.830000000000000e+00	5.221488207547169e+01	1.068486445836363e-01	7.545074628061998e-02	2.864105550475796e-01	7.652002363661557e-02	4.175241922046869e-02	2.993820044203936e-01	5.177168294851725e-01	6.337908167807254e-01	6.910157203674316e-01	1.804738047301769e+00	1.063039660604477e+04	1.065963471593661e+04	9.832032480953808e+01	1.824515289205573e+02	3.596189046841720e-02	1048	4.272698332574633e-02	True	True		4.227018468866868e+01	756c405a27848733240cd27aba9de1a787f8e24d65a547905dc59b2c2d48b498	unwise-neo11			
UGC06614	1.748118500000000e+02	1.714358000000000e+01	8.870000000000000e+01	3.600000000000000e+01	3.680000000000000e+00	2.139388951521984e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.000000000000000e+00	0	1.000000000000000e+00	False	False	measurement_error:insufficient_unWISE_background_pixels	0.000000000000000e+00	b96c59cdb18dde0a9aebe849a0a4035c69859b7287e18181cb40109b390a1fec	unwise-neo11			
UGC06628	1.750239200000000e+02	4.594216000000000e+01	1.510000000000000e+01	2.000000000000000e+01	4.140000000000000e+00	1.413803145695364e+02	1.310495238586563e-01	9.742309047576728e-02	2.731968691796808e-01	4.253546633325415e-02	2.269566134683224e-02	2.774182551126315e-01	3.947286518700825e-01	8.501964699027653e-01	4.458702057600021e-01	2.070081589686871e+00	1.461650437342507e+05	1.548523686662219e+05	5.239811408668879e+02	8.468908035932923e+02	3.469347482805934e-02	7802	8.982942872851651e-03	True	True		1.301235009850407e+02	d9fa75a720ca4953ec49a3a51f5ebdfa57ea36e29715025ba062355a02f3d29e	unwise-neo11	2.500000000000000e-01		
UGC06786	1.772893100000000e+02	2.702207000000000e+01	2.930000000000000e+01	6.400000000000000e+01	3.420000000000000e+00	6.018995733788395e+01	2.684769481980409e-01	2.906107513873164e-03	1.243888803241092e-01	1.031237528864199e-03	7.507581787752263e-03	1.246195040249571e-01	9.936865388379323e-01	5.995957739081816e-01	1.401907825469971e+01	1.092014398927689e+01	3.108517342191315e+05	3.109145032825470e+05	1.444734145663587e+03	1.106582050887806e+03	2.015767994713637e-02	662	3.087653132270521e-03	True	True		8.965202670679693e+01	e4773ae2ea0416370ed8f73f10165e3252efcc72edb5574fc36c512d3e8fb555	unwise-neo11			
UGC06917	1.791198900000000e+02	5.042839000000000e+01	1.800000000000000e+01	5.600000000000000e+01	4.520000000000000e+00	1.294885833333333e+02	6.976517718083063e-01	1.035330272056424e-02	1.561269432865079e-01	1.508811187712639e-02	6.846975037421182e-03	1.570036770498329e-01	4.748261297331144e-01	8.436296259646265e-01	1.265102982521057e+00	2.147640821340680e+00	2.719773228210830e+05	2.798871542906193e+05	7.316493604690351e+03	2.088446443921729e+03	7.203713917458135e-02	3894	8.000000000000000e-02	True	False	center_refinement	8.296431007120788e+00	671a09faf9e7a44ee6abd0078317271bc37e71124da1f672b396faff2efbf11f	unwise-neo11	1.000000000000000e+00		2
UGC06923	1.792063600000000e+02	5.316034000000000e+01	1.800000000000000e+01	6.500000000000000e+01	1.660000000000000e+00	4.755554166666666e+01	1.993299458959397e-01	6.959218734361667e-03	1.169048034590064e-01	3.542413088045379e-03	9.783440069070436e-03	1.173669351302161e-01	9.689790633743238e-01	4.933408812100123e-01	3.872671484947205e+00	3.998505785465240e+00	3.216158044184685e+04	3.217672546839714e+04	4.009462871886257e+02	4.033690574933515e+02	1.713348407015224e-02	398	1.130115957454320e-02	True	True		8.523025295261372e+01	feeae973a80ed37875519114e00e0a2d44add0acbce323fd450e28f87c377d25	unwise-neo11			
UGC06983	1.797863900000000e+02	5.270779000000000e+01	1.800000000000000e+01	4.900000000000000e+01	3.950000000000000e+00	1.131592708333333e+02	2.332432704277176e-01	1.514772099199573e-02	3.604718375179818e-02	1.463143198946364e-02	4.971444458795350e-03	3.921981028135003e-02	3.275863250922107e-01	7.334160233349341e-01	2.153137803077698e+00	2.485163837966323e+00	7.188871098418235e+04	7.186609568110341e+04	5.749111703390367e+02	4.897848353139616e+02	4.126325020741951e-03	3486	1.446655042150666e-02	True	True		9.513826302790022e+00	f7d67114ffee5a2a300ba32e12709c6d6880343016e913ad250410406d054a81	unwise-neo11	1.000000000000000e+00	5.600000000000001e-01	2
UGC07232	1.834339900000000e+02	3.663127000000000e+01	2.830000000000000e+00	5.900000000000000e+01	4.600000000000000e-01	8.381793286219080e+01	1.633985579135602e-01	5.906580316924103e-02	3.164312256969201e-01	4.551853543678425e-02	1.852902702458850e-02	3.202248936401461e-01	9.446967881399428e-01	8.450567362858794e-01	1.169831454753876e+00	2.131425109183788e+00	5.356745698153495e+04	5.361417538517714e+04	5.347914826160877e+02	6.490446683310995e+02	3.690268069698989e-03	1502	2.041788815530270e-02	True	True		1.476264781053480e+02	d7a8daa394925f047a79ec8d8806686c4a609cc0607e734c21f6ac77d4a09f2a	unwise-neo11			
UGC07261	1.838098300000000e+02	2.065908000000000e+01	1.310000000000000e+01	3.000000000000000e+01	2.660000000000000e+00	1.047070419847328e+02	2.330566021127183e-01	1.893279041363213e-02	1.775987617206737e-01	3.268522183125767e-02	8.170456603251736e-03	1.807661479701904e-01	8.767743953951653e-01	8.068980680145290e-01	2.209716677665710e+00	2.926019461226463e+00	8.427435206664086e+04	8.507405146866105e+04	5.360296445018562e+02	4.629685097982243e+02	3.425918471815423e-03	3944	6.363809460562227e-03	True	True		6.294776143628843e+01	742004146da27c8e4d7e19ae6d7f8f793c849dd968a4f180701f3ee4959885f6	unwise-neo11			
UGC07323	1.843757200000000e+02	4.561929000000000e+01	8.000000000000000e+00	4.700000000000000e+01	3.260000000000000e+00	2.101324687500000e+02	1.881633121508865e-01	2.108476492402118e-02	2.994468688220903e-01	2.214545881199854e-02	1.526174842280307e-02	3.006522402349083e-01	8.423543958774635e-01	8.628005384606591e-01	1.282901525497437e+00	2.165675052380562e+00	3.732069025629617e+05	3.956586926570125e+05	1.447562166302447e+03	1.633488651919867e+03	1.581374631635545e-03	12509	1.665203752838203e-03	True	True		1.511596261512494e+02	c63953263a7ee489170fcf1429ff95d1168dd2334e77340d8ae5de4db90deb07	unwise-neo11			
UGC07399	1.851588300000000e+02	4.629102000000000e+01	8.430000000000000e+00	5.500000000000000e+01	1.270000000000000e+00	7.768580960854092e+01	2.228662373674637e-01	2.541240590359520e-02	2.253716698846230e-01	9.883690870141256e-03	5.133758597668175e-03	2.256466982012791e-01	8.416367686575563e-01	7.817198994820855e-01	2.034070014953613e+00	2.711223559319973e+00	6.416733504879952e+04	6.424645790892746e+04	6.987121249636788e+02	6.248912104927085e+02	7.007519587484450e-03	1438	1.229905566883868e-02	True	True		5.389771830847150e+01	8a970f0fb69952f88ef311a9b6ae3ff8efaa31238dae6e3bde6d220c77ab02d9	unwise-neo11			
UGC07524	1.864538400000000e+02	3.354675000000000e+01	4.740000000000000e+00	4.600000000000000e+01	3.610000000000000e+00	3.927303006329113e+02	1.613668334122581e-01	1.870463186802620e-02	2.032843718234298e-02	1.177381204723162e-02	3.977538509956456e-03	2.382622129080034e-02	5.739684847632079e-01	8.594350884807590e-01	1.105690240859985e+00	2.039202050337195e+00	7.592302988096229e+05	8.077290364582506e+05	1.435704213088091e+03	1.877506796027888e+03	1.248620737006305e-03	44509	7.448367187044524e-03	True	True		5.402483629472299e+01	0755258cc93df88b8f7f25734478b522591c916dcd10d1904811b5058155f44d	unwise-neo11			
UGC07577	1.869245300000000e+02	4.349947000000000e+01	2.590000000000000e+00	6.300000000000000e+01	7.700000000000000e-01	1.533050675675675e+02	1.172206681124226e-01	7.648958202860211e-02	2.821578996763696e-01	1.003585234664365e-01	9.050879654332633e-02	3.128526103996334e-01	8.412826989207770e-01	7.748648899818217e-01	1.130460143089294e+00	2.124631898170709e+00	7.477783098422046e+04	7.659872993452288e+04	3.111706851057539e+02	5.413661026909984e+02	1.118485169519605e-02	4435	3.179293090625790e-02	True	True		3.462837270456725e+01	ca42207fa807ed930a1be9e69d7cd32069cd9fe2b1a7c7e176ede691d3b50606	unwise-neo11			
UGC07608	1.871836600000000e+02	4.322383000000000e+01	8.210000000000001e+00	2.500000000000000e+01	1.600000000000000e+00	1.004945188794153e+02	1.700417275295863e-01	6.853528954611511e-02	1.814449865392017e-01	4.801477823379578e-02	2.809800410606048e-02	1.897819799237954e-01	7.808206547065966e-01	8.488326463835391e-01	8.687778115272522e-01	2.426657012629509e+00	2.301944876663685e+04	2.246162949750433e+04	1.304535612441503e+02	1.501356842714705e+02	5.931106171190525e-03	3801	3.542509758289653e-02	True	True		1.773954587741252e+02	b205d9c498e01d2976ad5655174dbdb607a2c9d8fd58fe700bf6e4bd64e22116	unwise-neo11	0.000000000000000e+00		
UGC07866	1.905631500000000e+02	3.850163000000000e+01	4.570000000000000e+00	4.400000000000000e+01	9.500000000000000e-01	1.071946115973741e+02	1.824880231332603e-01	3.077852851480106e-02	7.441841142701318e-02	7.430480731814276e-02	3.108545426857391e-02	1.096613414881932e-01	3.001339114222105e-01	7.781786484607277e-01	1.288382947444916e+00	2.352054569756985e+00	3.158744769039392e+04	3.157666870630765e+04	2.079986886258275e+02	2.289966615755635e+02	4.346639870281509e-03	3437	1.355731599979178e-02	True	True		6.628241145171090e+01	26468251dcf4ea78738fbb9a277fe942ba547580c7361b4380941770964c0bbb	unwise-neo11			
UGC08490	2.024021200000000e+02	5.841873000000000e+01	4.650000000000000e+00	5.000000000000000e+01	1.140000000000000e+00	1.264204838709677e+02	2.464942067879026e-01	4.625273349653218e-03	3.902298341167226e-02	2.528373300407459e-03	6.147115278566893e-03	3.958500893194104e-02	5.350608505737552e-01	7.618529532060269e-01	2.155093312263489e+00	2.461900851488113e+00	2.012930230286979e+05	2.017376765898466e+05	1.564638181135630e+03	1.255485371049100e+03	2.351901670723865e-03	4260	6.262946836686841e-03	True	True		8.197382598244755e+01	85a997ac298eb096de90251278204413f8c353a4c1da70c968aa55680e0017b5	unwise-neo11			
UGC09037	2.121212700000000e+02	7.058000000000000e+00	8.359999999999999e+01	6.500000000000000e+01	5.690000000000000e+00	3.509712470095694e+01	1.606033693301086e-01	1.534072676599606e-02	2.067962092210542e-01	1.073022753188415e-02	6.194500087172507e-03	2.071670383106685e-01	9.204831419429339e-01	5.685844719201129e-01	2.857324719429016e+00	2.886602356374264e+00	3.206161641229153e+04	3.207572158896923e+04	6.742238081745231e+02	7.543269193830466e+02	2.779202822071463e-02	217	7.493961324917872e-03	True	True		7.662742430203284e+01	876a2a0181b997b2e2c494d22fef87e1e5cf277a3345dc23f624cf0c169c94e7	unwise-neo11			
UGC09133	2.140321300000000e+02	3.534372000000000e+01	5.710000000000000e+01	5.300000000000000e+01	5.920000000000000e+00	5.346273204903677e+01	3.531115427927308e-01	3.163377335001331e-03	6.639889360436983e-02	1.067206071486786e-03	1.708336919776215e-03	6.642943937528686e-02	9.051957411788280e-01	6.614345872616247e-01	2.541448402404785e+01	1.579434899969101e+01	2.847273883978272e+05	2.848934013214111e+05	1.182960273625157e+03	6.759906099339408e+02	2.759795660664276e-02	712	6.249042566035428e-03	True	True		1.143907432934362e+02	1328ed6e6fd9875ef0306749df6ebe3eddb2c579dccae4da133c244f4a4372b0	unwise-neo11			
UGC09992	2.354500400000000e+02	6.725389000000000e+01	1.070000000000000e+01	3.000000000000000e+01	1.620000000000000e+00	7.807226635514019e+01	1.757101826706788e-01	3.501847023467444e-02	1.467185184377639e-01	1.267875166127379e-01	1.229645943680808e-01	2.296120412554716e-01	6.040213103595623e-01	7.751231221603941e-01	1.726001024246216e+00	2.428305055032670e+00	1.988150183661461e+04	1.970457273172447e+04	1.543012178791899e+02	1.731600132468309e+02	1.312680718344925e-02	2196	5.780989728387559e-03	True	True		2.277205723374288e+01	5cd00b201c93c8a086c394580b64d586126c368757a49d985e0c7adce73bcf49	unwise-neo11			
UGC10310	2.440745900000000e+02	4.704532000000000e+01	1.520000000000000e+01	3.400000000000000e+01	3.120000000000000e+00	1.058465131578947e+02	1.952625518639529e-01	4.037872253258749e-02	1.606931789048362e-01	1.096398383225963e-01	4.450369388623806e-02	1.995589403245736e-01	3.770289498421532e-01	6.888445167495055e-01	1.165214300155640e+00	2.660205879628658e+00	4.547956726834775e+04	4.608904435971822e+04	2.684883257850881e+02	2.787894400204823e+02	1.251709584736028e-02	3862	2.601997219462024e-02	True	True		1.154444789435995e+02	bb78a623a86357f21e9fa87d49e41658d36f67fed2618b0162eabc87b9eb7b51	unwise-neo11	5.000000000000000e-01		2
UGC11820	3.273693300000000e+02	1.423094000000000e+01	1.810000000000000e+01	4.500000000000000e+01	2.740000000000000e+00	7.806161602209943e+01	1.542133390754606e-01	9.418832664568766e-02	5.667978376999954e-02	1.657673463775326e-01	2.854283606250975e-01	3.349041057711797e-01	3.412347784447525e-01	7.750298321488752e-01	2.353475093841553e+00	4.004114840537309e+00	1.784589496972084e+04	1.731097547818266e+04	8.048879079060789e+01	1.022138733663587e+02	3.268750617755813e-02	1789	1.777855589750782e-02	True	True		1.567255446655200e+02	d7bc51f26eb152bd585de358e7ef7f9c6cd17d66665361a29e4192774283c536	unwise-neo11			
UGC11914	3.319682000000000e+02	3.135926000000000e+01	1.690000000000000e+01	3.100000000000000e+01	3.120000000000000e+00	9.519923076923077e+01	3.325744510930619e-01	1.341450013509414e-03	4.081834973080262e-02	1.420905728388312e-03	1.814642852757398e-03	4.088336552337814e-02	9.530563902009935e-01	9.074633547328641e-01	5.544123840332031e+01	1.079680159950256e+01	1.829732761082306e+06	1.831263040878296e+06	5.084957336567149e+03	2.984381563149245e+03	9.084748675205007e-03	3230	2.641285136553618e-03	True	True		1.793244883490565e+02	b146cfb983df4095bc8fffb18bc11516574102d9346846949e42718a120b0234	unwise-neo11			
