atlas_id,display_name,ra_deg,dec_deg,surveys,prior_exposure,has_local_hi_cube,has_local_stellar_image,has_local_co_image,sparc_radial_rows,wallaby_profile_status,spatial_3d_baryon_reconstruction,validated_full_cube_gravity_prediction,hi_integrated_status,manga_source_quality_selection,manga_maps_local_status,manga_plateifu,manga_mangaid,manga_nsa_iauname,manga_nsa_absmag_g,manga_nsa_absmag_r,manga_nsa_absmag_i,manga_nsa_elpetro_mass,manga_nsa_sersic_mass,manga_nsa_sersic_th50,manga_nsa_sersic_ba,manga_DAPQUAL,manga_drp3qual,manga_SNR_MED_r,manga_hi_LOGMHI,manga_hi_LOGHILIM200KMS,manga_hi_SNR,manga_hi_FHI,manga_hi_EFHI,manga_hi_conflag,manga_hi_conf_prob,probes_photometry_catalog,probes_rotation_survey,probes_profile_local_status,hubble_type,distance_mpc,distance_error_mpc,distance_method,inclination_deg,inclination_error_deg,luminosity_1e9_lsun,reff_kpc,effective_sb_lsun_pc2,rdisk_kpc,central_sb_lsun_pc2,hi_mass_1e9_msun,hi_radius_kpc,quality,motion_references,wallaby_profile_radii,wallaby_prior_role,wallaby_release,wallaby_stellar_mass_map,wallaby_has_failed_release_record,position_source
MANGA:1-456589,1-456589,194.834093588,27.8860097479,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9863-12702,1-456589,J125920.17+275309.5,-18.2274,-18.9111,-19.2507,5084920000.0,6476320000.0,6.46238,0.483411,0,0,15.491564,-999.0,9.222051,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456590,1-456590,194.769340457,27.9109993819,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,8933-1901,1-456590,J125904.63+275439.5,-18.0423,-18.7614,-19.1143,4585950000.0,5818590000.0,4.91627,0.378973,0,0,22.807482,-999.0,9.182993,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456594,1-456594,194.783112227,27.8549580996,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9862-1901,1-456594,J125907.94+275117.8,-18.8916,-19.6683,-20.0583,10563300000.0,14101600000.0,5.32616,0.886074,0,0,17.740675,-999.0,9.1913395,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456600,1-456600,194.858941966,28.2875636444,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9875-12701,1-456600,J125926.14+281715.1,-17.9545,-18.6062,-18.8972,3275930000.0,3840210000.0,4.55335,0.468957,0,0,15.593141,-999.0,9.260282,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456610,1-456610,194.874838965,27.9564497072,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,8950-12703,1-456610,J125931.10+275717.6,-19.8885,-20.6477,-21.0462,26844100000.0,64859600000.0,39.2886,0.614628,0,8,7.2959166,-999.0,9.202199,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456611,1-456611,194.934241596,27.8676751064,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,11006-12705,1-456611,J125944.21+275203.6,-17.065752,-17.749632,-18.10423,1614758000.0,1453569700.0,4.25143,0.6605628,0,0,7.9275627,-999.0,9.125072,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456614,1-456614,194.877701754,27.7914236176,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9873-9101,1-456614,J125930.64+274729.1,-18.1161,-18.8198,-19.1739,4761740000.0,4718170000.0,1.19233,0.707546,0,0,21.83216,-999.0,9.346668,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456615,1-456615,194.959096858,27.9126548253,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9875-3701,1-456615,J125950.18+275445.4,-16.7176,-17.3755,-17.7893,1119220000.0,2890330000.0,21.8752,0.808106,0,0,1.8790275,-999.0,9.28436,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456616,1-456616,194.91587852,27.5764791883,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9876-3703,1-456616,J125939.80+273435.2,-17.6437,-18.0385,-18.1773,779019000.0,740456000.0,4.81228,0.818308,0,0,10.146484,-999.0,8.943255,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456617,1-456617,194.986060137,27.9300479255,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9862-6103,1-456617,J125956.65+275548.0,-18.6114,-19.367,-19.704,8009290000.0,12251800000.0,11.0986,0.586324,0,0,7.746859,-999.0,9.322026,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456618,1-456618,194.978613471,27.7959985141,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9876-1902,1-456618,J125954.86+274745.6,-17.678,-18.389,-18.6927,2791710000.0,3123930000.0,2.27347,0.846524,0,0,16.529642,-999.0,9.384861,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456623,1-456623,195.026068401,27.6852949413,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9873-12705,1-456623,J130006.25+274107.0,-18.3703,-19.0835,-19.4341,6101510000.0,7613620000.0,3.62868,0.759383,1,0,21.982327,-999.0,9.2915945,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456625,1-456625,195.078678476,28.0093027853,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9880-1901,1-456625,J130018.88+280033.5,-16.2607,-16.9704,-17.3154,844765000.0,1182060000.0,1.40726,0.823652,0,0,28.051636,-999.0,9.029939,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456627,1-456627,195.033836039,27.9769557537,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9877-12704,1-456627,J130006.10+275841.8,-21.7387,-22.5336,-22.9578,152209000000.0,196434000000.0,32.8479,0.63665,0,0,17.52109,-999.0,9.114735,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456628,1-456628,195.033307724,28.0785814036,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,11015-1902,1-456628,J130007.98+280442.8,-18.933208,-19.6995,-20.083334,11215898000.0,12308981000.0,2.615703,0.7454344,0,4096,44.928654,-999.0,9.100796,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456631,1-456631,194.990028889,28.0650886275,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,8931-3704,1-456631,J125957.61+280354.3,-16.7894,-17.4501,-17.7851,1208210000.0,1279170000.0,4.8436,0.766791,0,0,5.1871557,-999.0,8.9536085,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-456632,1-456632,195.022461664,28.0244372262,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,9863-6103,1-456632,J130005.38+280127.9,-17.6849,-18.3427,-18.6591,2790380000.0,4161230000.0,13.566,0.439162,0,0,7.875972,-999.0,8.981126,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
