sohn_objID,RAJ2000,DEJ2000,z,rmag,member_Mm,simard_matched,match_sep_arcsec,objID_agrees,simard_objID,simard_z,simard_Sp,simard_Scale,simard_gg2d,simard_rg2d,simard_Rhlr,simard_Rchl_r,simard_Rhlg,simard_Rchl_g,simard_e,simard_e_e,simard_phi,simard_e_phi,simard_ng,simard_e_ng
1237662268073837201,227.316962,+05.855111,0.36449,19.88,N,0,173.631,,,,,,,,,,,,,,,,,
1237662268073837212,227.322447,+05.924605,0.61495,21.04,N,0,68.649,,,,,,,,,,,,,,,,,
1237662268073837217,227.322682,+05.904223,0.07803,19.42,Y,0,37.501,,,,,,,,,,,,,,,,,
1237662268073837222,227.316841,+05.825347,0.19002,20.53,N,0,121.979,,,,,,,,,,,,,,,,,
1237662268073837265,227.339556,+05.977278,0.15232,20.85,N,0,54.256,,,,,,,,,,,,,,,,,
1237662268073837289,227.330105,+05.805336,0.34639,19.87,N,0,30.648,,,,,,,,,,,,,,,,,
1237662268073837299,227.334021,+05.828271,0.17261,20.02,N,0,65.689,,,,,,,,,,,,,,,,,
1237662268073837306,227.343177,+05.905129,0.27428,20.21,N,0,36.168,,,,,,,,,,,,,,,,,
1237662268073837326,227.348568,+05.924718,0.18705,20.51,N,0,93.026,,,,,,,,,,,,,,,,,
1237662268073837414,227.365916,+05.919296,0.35854,20.33,N,0,80.778,,,,,,,,,,,,,,,,,
1237662268073837477,227.385243,+05.973906,0.09784,18.75,N,0,105.591,,,,,,,,,,,,,,,,,
1237662268073837491,227.385324,+05.964020,0.37822,20.91,N,0,81.641,,,,,,,,,,,,,,,,,
1237662268073838033,227.374135,+05.940343,0.61764,20.90,N,0,48.145,,,,,,,,,,,,,,,,,
1237662268074164385,228.182111,+05.795787,0.21767,19.79,N,0,95.623,,,,,,,,,,,,,,,,,
1237662268074164398,228.198472,+05.780111,0.28175,20.10,N,0,138.694,,,,,,,,,,,,,,,,,
1237662268074164407,228.212092,+05.886110,0.38931,20.01,N,0,199.818,,,,,,,,,,,,,,,,,
1237662268074164590,228.161557,+05.862592,0.04304,15.67,N,1,0.026,0,587736546849259687,0.0431,2,0.849,16.33,15.49,2.37,2.23,2.37,2.23,0.16,0.01,69.79,0.09,6.57,0.03
