recno	Abell	RAJ2000	DEJ2000	VBCG	e_VBCG	VCl	e_VCl	SigCl	e_SigCl	Ng	AB	Notes	Alpha	Lm	Lm-2rm	Lm-4rm	Sigma	e_Sigma	rx	Xref	T6	Simbad
      17	 147	017.1579	+02.2684	 13149	  56	 13030	 115	  621	   79	  29	 0.108	15K          	 0.425	 -22.819	 -23.087	        	 289	  3	   450	R	T6	Simbad
      18	 150	017.3268	+13.1687	 17754	  38	 17750	 191	  664	  151	  12	 0.122	U00716       	 0.678	 -22.921	 -23.385	 -23.743	 258	 18	    34	R	T6	Simbad
      19	 151	017.2130	-15.4072	 15936	  49	 16011	  66	  795	   59	 144	 0.113	I0080        	 0.712	 -23.138	 -23.624	 -24.035	 308	 12	    49	R	T6	Simbad
      20	 152	017.5135	+13.9778	 17491	  35	 17611	  99	  844	   59	  72	 0.154	U00727       	 0.796	 -22.719	 -23.266	 -23.659	 239	 15	      	 	T6	Simbad
      21	 154	017.7647	+17.6518	 18236	  39	 19115	 183	  988	  146	  29	 0.276	I1635        	 0.601	 -23.225	 -23.644	 -24.018	 314	 12	    95	R	T6	Simbad
      22	 158	017.9387	+16.8862	 18958	  38	 18958	  38	     	     	   2	 0.349	             	 0.656	 -22.705	 -23.115	        	 262	 16	      	 	T6	Simbad
      23	 161	018.8433	+37.3396	 22185	  45	 22185	  45	     	     	   2	 0.279	             	 0.622	 -22.596	 -23.034	 -23.463	 228	 17	      	 	T6	Simbad
      24	 168	018.7404	+00.4311	 13546	  50	 13476	  54	  625	   36	 133	 0.149	U00797 15K   	 0.571	 -22.848	 -23.226	        	 253	  1	   286	R	T6	Simbad
      25	 171	019.3248	+16.2652	 20718	  45	 20718	  45	     	     	   2	 0.466	             	 0.561	 -23.192	 -23.569	 -23.874	 337	 10	      	 	T6	Simbad
      26	 174	020.0677	+35.8072	 22490	  43	 22490	  43	     	     	   2	 0.250	             	 0.596	 -22.622	 -23.022	        	 290	 15	      	 	T6	Simbad
      27	 179	020.5452	+19.6205	 15618	  39	 16187	 127	  284	    0	   5	 0.224	             	 0.420	 -22.420	 -22.694	        	 269	 14	      	 	T6	Simbad
      28	 189	020.8597	+01.7049	 10195	  14	  9600	  66	  332	   46	  25	 0.142	VV 509 15K   	 0.322	 -22.109	        	        	 212	 10	      	 	T6	Simbad
      29	 193	021.2814	+08.6992	 14664	  43	 14529	  78	  776	   62	  97	 0.219	I1695 15K    	 0.690	 -22.944	 -23.448	        	 462	 39	     1	C	T6	Simbad
      30	 194	021.4952	-01.3394	  5296	  20	  5390	  43	  495	   29	 132	 0.182	N0545 15K    	 0.587	 -22.611	 -22.981	        	 262	  6	    57	R	T6	Simbad
      31	 195	021.7281	+19.2139	 12915	  60	 12656	  85	  306	   58	  13	 0.236	I0115 15K    	 0.410	 -22.706	 -22.985	        	 275	  3	      	 	T6	Simbad
      32	 208	022.8873	+00.5558	 23802	  41	 23729	  76	  601	   50	  61	 0.102	             	 0.625	 -22.989	 -23.439	 -23.811	 319	  9	      	 	T6	Simbad
      33	 225	024.7043	+18.8251	 20819	  41	 20832	 269	  660	  272	   6	 0.249	             	 0.708	 -22.965	 -23.439	 -23.796	 271	 12	      	 	T6	Simbad
      34	 240	025.5252	+07.6646	 18253	  36	 18253	  36	     	     	   3	 0.181	U01191       	 0.805	 -22.788	 -23.306	        	 240	 20	      	 	T6	Simbad
      35	 245	026.0341	+06.3162	 23391	  34	 23391	  34	     	     	   2	 0.240	             	 0.427	 -22.401	 -22.628	        	 202	 28	      	 	T6	Simbad
      36	 246	026.1812	+05.8119	 22691	  51	 22617	 158	  571	  138	  13	 0.308	             	 0.525	 -22.556	 -22.900	        	 316	 16	    37	R	T6	Simbad
      37	 257	027.2851	+13.9629	 21143	  42	 21054	  72	  499	   42	  47	 0.239	             	 0.571	 -22.816	 -23.164	        	 257	 18	      	 	T6	Simbad
      38	 260	027.6790	+33.0819	 10642	  19	 10931	  90	  754	   74	  70	 0.210	I1733 15K    	 0.574	 -22.973	 -23.388	        	 298	 10	      	 	T6	Simbad
      39	 261	027.8603	-02.2532	 13965	  21	 14159	  69	  183	   61	   7	 0.125	15K          	 0.564	 -22.897	 -23.283	        	 246	 17	      	 	T6	Simbad
      40	 262	028.1928	+36.1515	  4813	  41	  4860	  44	  540	   38	 150	 0.373	N0708 15K    	 0.734	 -22.383	 -22.856	        	 232	  7	     2	C	T6	Simbad
      41	 267	028.3134	+01.0388	 17963	  34	 17878	  46	  296	   42	  40	 0.108	             	 0.732	 -22.326	 -22.827	        	 206	 22	   576	C	T6	Simbad
      42	 268	028.2052	-01.0018	 17917	  29	 17925	  35	  160	   88	  20	 0.121	             	 0.424	 -22.087	 -22.365	        	 192	 26	      	 	T6	Simbad
      43	 279	029.0707	+01.0507	 23680	  34	 24013	  78	  753	   78	  92	 0.126	             	 0.718	 -23.162	 -23.662	 -24.080	 268	 12	   206	R	T6	Simbad
      44	 292	030.5789	+19.0669	 19423	  48	 19423	  48	     	     	   3	 0.340	U01518       	 0.802	 -23.074	 -23.589	 -23.971	 289	 16	      	 	T6	Simbad
      45	 295	030.5718	-01.1279	 12813	  56	 12694	  49	  406	   37	  66	 0.122	U01525 15K   	 0.539	 -22.789	 -23.185	        	 258	 12	      	 	T6	Simbad
      46	 311	032.3687	+19.7761	 19580	  43	 19580	  43	     	     	   1	 0.751	             	 0.742	 -23.213	 -23.726	 -24.149	 248	 19	      	 	T6	Simbad
      47	 326	033.4156	-07.1453	 17052	  51	 16503	 216	  483	    0	   5	 0.126	             	 0.353	 -22.183	 -22.465	        	 336	  0	      	 	T6	Simbad
      48	 347	036.3603	+41.8242	  5234	  14	  5628	  80	  627	   61	  60	 0.251	N0910 15K    	 0.577	 -22.524	 -22.935	        	 269	 16	      	 	T6	Simbad
      49	 357	037.3652	+13.2661	 16948	  48	 16948	  48	     	     	   3	 0.461	             	 0.291	 -22.060	        	        	 225	 19	      	 	T6	Simbad
      50	 358	037.4957	-13.2649	 16951	  41	 16855	  97	  322	  232	  11	 0.073	             	 0.669	 -22.894	 -23.317	 -23.636	 260	 14	    96	R	T6	Simbad
      51	 376	041.5168	+36.9046	 14560	  36	 14394	  72	  830	   59	 130	 0.314	U02232 15K   	 0.682	 -22.861	 -23.326	 -23.686	 265	 22	    75	R	T6	Simbad
      52	 386	042.5095	-17.0484	 17835	  34	 17835	  34	     	     	   3	 0.112	             	 0.335	 -22.555	 -22.738	        	 276	  9	      	 	T6	Simbad
      53	 397	044.1205	+15.9164	 10381	  17	  9920	 111	  638	   85	  33	 0.650	U02413 15K   	 0.552	 -22.882	 -23.286	 -23.572	 314	  3	      	 	T6	Simbad
      54	 399	044.4715	+13.0305	 21415	  49	 21550	 110	 1224	   62	 122	 0.759	U02438       	 0.962	 -23.236	 -23.863	 -24.378	 242	 24	    26	C	T6	Simbad
      55	 400	044.4240	+06.0214	  7250	  10	  7281	  63	  683	   39	 116	 0.779	N1128        	 0.677	 -22.335	 -22.899	        	    	   	     5	C	T6	Simbad
      56	 401	044.7410	+13.5826	 22215	  58	 22045	 104	 1161	   76	 124	 0.678	U02450       	 0.929	 -23.344	 -23.985	 -24.490	 336	 18	    62	C	T6	Simbad
      57	 404	045.3950	+41.4873	 18420	  34	 18686	 101	  202	  145	   4	 0.525	             	 0.539	 -22.845	 -23.192	        	 264	 14	      	 	T6	Simbad
      58	 407	045.4650	+35.8409	 14059	 110	 13872	  85	  762	   62	  80	 0.843	U02489 15K   	 0.778	 -22.819	 -23.406	 -23.898	    	   	      	 	T6	Simbad
      59	 415	046.7200	-12.1063	 23588	  53	 24025	 192	  665	  130	  12	 0.257	             	 0.851	 -22.952	 -23.562	 -24.040	 253	 21	    62	R	T6	Simbad
      60	 423	047.8220	-12.1284	 23435	  49	 24147	 404	 1280	  315	  10	 0.271	             	 0.609	 -22.792	 -23.203	 -23.511	 294	 11	      	 	T6	Simbad
      61	 428	049.0522	-19.0822	 19908	  42	 20024	  62	  317	   51	  26	 0.127	             	 0.286	 -22.325	 -22.481	        	 230	 17	      	 	T6	Simbad
      62	 436	051.6473	+09.1841	 19061	  51	 19061	  51	     	     	   2	 1.189	             	 0.622	 -22.958	 -23.388	 -23.714	 326	 15	      	 	T6	Simbad
      63	 450	055.2308	+23.5922	 17685	  51	 17685	  51	     	     	   2	 0.881	             	 0.405	 -22.638	 -22.899	        	 301	 11	      	 	T6	Simbad
      64	 496	068.4070	-13.2610	  9839	   7	  9899	  42	  737	   29	 305	 0.586	15K          	 0.766	 -23.198	 -23.730	 -24.152	 290	  4	     3	C	T6	Simbad
      65	 498	069.4616	+21.2053	 17399	  55	 17399	  55	     	     	   1	 1.725	             	 0.620	 -23.300	 -23.724	 -24.019	 278	 23	      	 	T6	Simbad
      66	 500	069.7190	-22.1110	 20340	  48	 20347	  80	  771	  175	  92	 0.215	             	 0.610	 -23.114	 -23.556	 -23.957	 365	 10	    36	R	T6	Simbad
      67	 505	074.9836	+80.1784	 16017	  47	 16017	  47	     	     	   1	 0.409	U03197       	 0.735	 -23.609	 -24.108	        	 383	 14	      	 	T6	Simbad
      68	 514	071.7771	-20.4811	 21359	  49	 21638	 129	 1180	   69	  83	 0.237	             	 0.517	 -23.137	 -23.461	 -23.671	 358	 10	  1060	R	T6	Simbad
      69	 533	075.2844	-22.5828	 14384	  28	 14563	 119	  610	  157	  26	 0.151	15K          	 0.487	 -22.855	 -23.177	 -23.590	 282	  6	      	 	T6	Simbad
      70	 539	079.2297	+06.5526	  9690	  23	  8710	  94	  833	   40	  78	 0.726	15K          	 0.457	 -22.800	 -23.153	        	 282	  8	   281	C	T6	Simbad
      71	 548	087.3406	-25.3464	 11858	  19	 12293	  59	  795	   28	 178	 0.124	E488-G033 15K	 0.474	 -22.936	 -23.256	 -23.630	 222	 18	   542	R	T6	Simbad
      72	 564	105.1685	+69.9069	 23188	  34	 23188	  34	    0	   70	   3	 0.243	             	 0.338	 -22.709	        	        	 182	 16	      	 	T6	Simbad
      73	 568	106.9232	+35.0582	 23496	  48	 23025	 259	  687	    0	   7	 0.277	             	 0.557	 -23.200	 -23.613	        	 299	 35	      	 	T6	Simbad
      74	 569	107.2823	+48.6154	  5839	   3	  5949	  58	  394	   25	  45	 0.307	N2329 15K    	 0.473	 -22.708	 -23.003	        	 245	  3	      	 	T6	Simbad
      75	 576	110.5285	+55.8748	 12087	  21	 11503	  76	 1093	   37	 205	 0.325	15K          	 0.298	 -22.477	 -22.619	        	 278	 17	   387	C	T6	Simbad
      76	 582	112.0035	+41.9185	 17518	   5	 17336	  74	  324	   56	  19	 0.375	             	 0.484	 -22.819	 -23.163	        	 288	 15	      	 	T6	Simbad
      77	 592	115.7208	+09.2809	 18697	  35	 18846	  55	  123	    0	   5	 0.154	             	 0.461	 -22.948	 -23.231	        	 342	 10	      	 	T6	Simbad
      78	 595	117.1535	+52.2220	 19282	  36	 20705	  85	  601	   56	  49	 0.237	             	 0.402	 -22.789	 -23.032	        	 258	 20	   816	R	T6	Simbad
      79	 600	119.1492	+63.7397	 23302	  34	 23302	  34	     	     	   3	 0.216	             	 0.648	 -22.725	 -23.126	 -23.497	 191	 24	      	 	T6	Simbad
      80	 602	118.1166	+29.5423	 17784	  28	 18137	  93	  796	   61	  73	 0.244	             	 0.282	 -22.385	 -22.548	        	    	   	  1134	R	T6	Simbad
      81	 634	123.9371	+58.3211	  8139	  13	  7921	  38	  331	   25	  74	 0.238	U04289 15K   	 0.485	 -22.603	 -22.928	        	 251	  9	      	 	T6	Simbad
      82	 644	124.3569	-07.5128	 21176	  43	 20982	 148	  960	  114	  42	 0.471	             	 0.796	 -22.954	 -23.549	 -24.012	 262	 15	    11	C	T6	Simbad
      83	 671	127.1330	+30.4300	 14970	 120	 14877	  75	  850	   33	 126	 0.203	I2378 15K    	 0.710	 -23.306	 -23.821	 -24.232	    	   	   111	R	T6	Simbad
      84	 690	129.8163	+28.8439	 23750	 250	 24045	  66	  546	   46	  68	 0.240	             	 0.633	 -23.427	 -23.882	 -24.260	    	   	      	 	T6	Simbad
      85	 695	130.3047	+32.4161	 20560	  84	 20282	  80	  402	   52	  25	 0.168	             	 0.596	 -23.048	 -23.412	        	 363	 14	      	 	T6	Simbad
      86	 744	136.8357	+16.6514	 21865	  25	 21844	  76	  445	  920	  34	 0.150	             	 0.662	 -23.034	 -23.473	 -23.813	    	   	     2	C	T6	Simbad
      87	 754	137.1347	-09.6303	 16440	  57	 16374	  50	  995	   35	 389	 0.277	             	 0.748	 -23.358	 -23.879	        	    	   	   750	C	T6	Simbad
      88	 757	138.2826	+47.7082	 15415	   0	 15410	  46	  360	   32	  61	 0.072	             	 0.428	 -22.423	 -22.727	        	 250	  9	      	 	T6	Simbad
      89	 779	139.9450	+33.7496	  6897	   1	  6885	  39	  450	   23	 133	 0.073	N2832 15K    	 0.593	 -23.255	 -23.685	        	 327	  8	    26	R	T6	Simbad
      90	 780	139.5238	-12.0955	 16286	   8	 16356	 139	  871	  112	  39	 0.193	             	 0.794	 -23.026	 -23.532	 -23.881	 266	  7	    20	R	T6	Simbad
      91	 819	143.0709	+09.6831	 22912	  95	 22757	  96	  654	   66	  46	 0.166	             	 0.586	 -23.146	 -23.543	 -23.791	    	   	      	 	T6	Simbad
      92	 834	145.3872	+66.7105	 21307	  50	 20910	  68	  392	    0	  33	 0.602	             	 0.696	 -22.768	 -23.239	        	 254	 24	      	 	T6	Simbad
      93	 838	144.2860	-05.0417	 15668	  39	 15524	 143	  477	  120	  11	 0.201	             	 0.596	 -22.638	 -23.059	        	 226	  6	      	 	T6	Simbad
      94	 841	144.6500	-04.3353	 20838	  34	 20838	  34	     	     	   3	 0.229	             	 0.606	 -23.114	 -23.548	 -23.897	 273	 10	      	 	T6	Simbad
      95	 912	150.2892	-00.0796	 13580	   8	 13660	  66	  369	   49	  31	 0.158	15K          	 0.440	 -22.390	 -22.663	 -23.006	 207	 15	      	 	T6	Simbad
      96	 957	153.4095	-00.9254	 13387	  19	 13497	  70	  772	   52	 119	 0.181	U05515 15K   	 0.759	 -23.297	 -23.840	 -24.287	 332	  0	   169	R	T6	Simbad
      97	 970	154.3572	-10.6892	 17496	  38	 17682	  72	  841	   75	 135	 0.233	             	 0.559	 -22.388	 -22.830	        	    	   	   120	R	T6	Simbad
      98	 978	155.1107	-06.5270	 16211	  29	 16215	  87	  837	   55	  91	 0.181	             	 0.615	 -23.135	 -23.594	 -23.965	 248	  4	    23	R	T6	Simbad
      99	 979	155.0804	-07.8937	 15907	  39	 15919	 129	  484	   86	  14	 0.214	             	 0.605	 -22.869	 -23.271	 -23.561	 284	  5	      	 	T6	Simbad
     100	 993	155.4832	-04.8905	 16300	  52	 16213	  50	  513	   37	 104	 0.212	             	 0.552	 -23.221	 -23.570	 -23.800	 294	 15	    25	R	T6	Simbad
     101	 999	155.8494	+12.8349	  9750	  10	  9621	  38	  286	   25	  56	 0.175	15K          	 0.441	 -22.689	 -23.017	        	 241	 31	      	 	T6	Simbad
     102	1003	156.2570	+47.8416	 19153	  40	 18726	  72	  501	   50	  48	 0.049	VV 675       	 0.644	 -22.748	 -23.169	        	 324	 10	      	 	T6	Simbad
     103	1016	156.7830	+11.0103	  9711	   5	  9693	  30	  204	   53	  45	 0.137	I0613 15K    	 0.433	 -22.497	 -22.799	        	 255	  2	      	 	T6	Simbad
     104	1020	156.9567	+10.4416	 19611	  10	 19598	  68	  314	   41	  21	 0.148	             	 0.448	 -22.924	 -23.231	        	 302	  7	   481	R	T6	Simbad
     105	1032	157.5425	+04.0068	 19823	  40	 19990	 114	  706	   47	  38	 0.141	             	 0.391	 -22.768	 -23.007	        	 269	 16	   543	R	T6	Simbad
     106	1035	158.0584	+40.2711	 23951	 150	 23524	 115	  814	   79	  50	 0.056	             	 0.600	 -23.154	 -23.542	 -23.824	    	   	   128	R	T6	Simbad
     107	1060	159.1773	-27.5286	  3858	   5	  3714	  37	  712	   25	 371	 0.342	N3311 15K    	 0.846	 -22.764	 -23.346	        	 208	 12	     0	C	T6	Simbad
     108	1066	159.9119	+05.1751	 21216	   7	 20718	  79	  817	   55	 105	 0.110	             	 0.568	 -22.823	 -23.244	 -23.563	 308	  6	      	 	T6	Simbad
     109	1069	159.9313	-08.6870	 19612	  57	 19589	  85	  706	   66	  69	 0.175	             	 0.757	 -23.130	 -23.696	 -24.050	    	   	   110	R	T6	Simbad
     110	1090	161.4225	-18.3571	 22994	   0	 22994	   0	     	     	   1	 0.174	             	 0.518	 -22.706	 -23.078	        	    	   	      	 	T6	Simbad
     111	1100	162.1905	+22.2176	 13981	  35	 13947	  47	  451	    0	  89	 0.093	15K          	 0.562	 -22.803	 -23.184	        	 246	 32	      	 	T6	Simbad
     112	1139	164.5459	+01.6043	 11515	  20	 11839	  37	  436	   25	 136	 0.135	U06057 15K   	 0.583	 -22.744	 -23.162	        	 263	 20	   197	R	T6	Simbad
     113	1142	165.1891	+10.5532	 10138	  39	 10595	  79	  757	   44	  91	 0.125	I0664 15K    	 0.543	 -22.768	 -23.189	        	 297	  7	    52	R	T6	Simbad
     114	1145	165.3681	+16.7680	 20704	 100	 20565	  49	  322	  134	  43	 0.082	             	 0.364	 -22.254	 -22.478	        	    	   	      	 	T6	Simbad
     115	1149	165.7401	+07.6031	 21247	  35	 21522	  50	  314	   37	  39	 0.173	             	 0.609	 -22.961	 -23.346	        	 283	 12	      	 	T6	Simbad
     116	1155	166.1649	+35.2295	 22139	  95	 22063	  52	  277	   41	  28	 0.101	             	 0.504	 -22.664	 -23.016	        	    	   	      	 	T6	Simbad
     117	1169	166.9560	+43.9166	 17531	   6	 17664	  78	  738	   49	  89	 0.050	             	 0.407	 -22.437	 -22.717	        	 269	 23	   143	R	T6	Simbad
     118	1171	166.8750	+02.9101	 22666	  38	 22459	  91	  388	   56	  18	 0.225	             	 0.307	 -22.636	 -22.814	        	 258	 15	   578	R	T6	Simbad
     119	1177	167.4355	+21.7588	  9561	  26	  9597	  49	  331	   59	  45	 0.077	N3551 15K    	 0.726	 -22.888	 -23.391	 -23.826	 231	 13	      	 	T6	Simbad
     120	1185	167.6597	+28.7675	 10521	  30	  9791	  56	  758	   54	 183	 0.124	N3550 15K    	 0.621	 -22.882	 -23.270	        	    	   	   161	R	T6	Simbad
     121	1186	168.5090	+75.4309	 23540	  30	 23540	  30	     	     	   1	 0.263	             	 0.522	 -22.306	 -22.672	        	    	   	      	 	T6	Simbad
     122	1187	167.7902	+39.5976	 23714	   0	 22397	 118	  952	   55	  65	 0.094	             	 0.599	 -23.077	 -23.479	 -23.764	    	   	   428	R	T6	Simbad
     123	1190	167.9320	+40.8205	 23489	  36	 22584	  64	  671	   43	 110	 0.075	             	 0.802	 -22.935	 -23.488	 -23.875	 230	 23	      	 	T6	Simbad
     124	1203	168.4510	+40.2856	 22655	  38	 22565	  55	  552	   36	  99	 0.121	             	 0.582	 -23.078	 -23.485	 -23.800	 280	 15	      	 	T6	Simbad
     125	1213	169.0953	+29.2523	 13535	  35	 14051	  51	  572	   43	 125	 0.080	15K          	 0.516	 -22.884	 -23.185	        	 281	 19	      	 	T6	Simbad
     126	1216	169.5337	-04.4303	 15885	  24	 15994	  78	  390	   51	  25	 0.217	             	 0.452	 -22.633	 -22.921	        	    	   	      	 	T6	Simbad
     127	1228	170.3466	+34.3568	 10674	  29	 10549	  28	  246	   23	  76	 0.102	I2738 15K    	 0.428	 -22.490	 -22.784	        	    	   	   183	R	T6	Simbad
     128	1238	170.7267	+01.1142	 21628	 150	 22149	  58	  564	   46	  94	 0.155	             	 0.703	 -22.819	 -23.332	 -23.799	    	   	   130	R	T6	Simbad
     129	1257	171.3796	+35.5042	 10175	  39	 10430	 138	 1202	   58	  75	 0.098	15K          	 0.248	 -22.233	        	        	 260	  8	      	 	T6	Simbad
     130	1267	172.1517	+26.9054	  9795	  39	  9880	  34	  210	   52	  38	 0.081	15K          	 0.334	 -22.546	 -22.747	        	 257	  7	      	 	T6	Simbad
     131	1279	172.9149	+67.2414	 16258	  18	 16293	  38	  186	   30	  23	 0.050	             	 0.542	 -22.636	 -22.997	        	 236	  3	      	 	T6	Simbad
     132	1291	173.0499	+56.0477	 17556	  67	 17502	  78	  724	   53	  85	 0.080	             	 0.378	 -22.549	 -22.752	        	    	   	   298	R	T6	Simbad
     133	1308	173.2712	-04.0138	 15535	  27	 15465	  67	  375	   31	  31	 0.199	15K          	 0.550	 -23.207	 -23.613	 -23.918	 282	 12	      	 	T6	Simbad
     134	1314	173.7059	+49.0773	  9999	  31	  9877	  58	  648	   25	 123	 0.071	I0712 15K    	 0.544	 -22.888	 -23.315	 -23.718	 291	 23	    71	R	T6	Simbad
     135	1317	173.8044	-13.5519	 21632	  40	 21706	 185	  717	  111	  15	 0.160	             	 0.645	 -23.036	 -23.547	 -24.050	 313	 13	    87	R	T6	Simbad
     136	1318	174.3931	+54.8529	 17335	  37	 16992	  59	  482	   36	  66	 0.057	             	 0.477	 -22.860	 -23.169	        	 293	 12	  1458	R	T6	Simbad
     137	1334	174.7656	-04.3177	 16882	  49	 16706	 102	  687	   70	  45	 0.218	             	 0.419	 -22.701	 -22.980	        	 265	  4	      	 	T6	Simbad
     138	1344	175.2210	-10.7238	 23213	   6	 23300	  68	  137	  142	   4	 0.125	             	 0.672	 -23.190	 -23.645	 -24.041	 302	  0	      	 	T6	Simbad
     139	1365	176.1274	+30.8831	 22904	  41	 22709	  78	  369	   61	  22	 0.104	             	 0.443	 -22.812	 -23.107	        	 283	 11	    91	R	T6	Simbad
     140	1367	176.0090	+19.9496	  6276	  21	  6562	  59	  872	   42	 217	 0.100	N3842 15K    	 0.547	 -23.036	 -23.384	        	 308	  3	   354	R	T6	Simbad
     141	1371	176.3290	+15.4867	 20348	  45	 20475	  68	  577	   50	  71	 0.188	             	 0.611	 -22.827	 -23.250	 -23.663	 260	 16	   198	R	T6	Simbad
     142	1375	176.5157	-08.2711	 22338	  50	 23951	 285	  570	  530	   4	 0.209	I0734        	 0.517	 -23.344	 -23.666	 -23.850	 296	  5	      	 	T6	Simbad
     143	1377	176.8394	+55.7297	 15457	  36	 15465	  66	  745	   47	 126	 0.047	             	 0.466	 -22.759	 -23.083	 -23.339	 294	 11	   140	R	T6	Simbad
     144	1383	177.1909	+54.5190	 17988	  51	 17898	  85	  816	   39	  92	 0.057	             	 0.377	 -22.560	 -22.785	        	    	   	   947	R	T6	Simbad
     145	1400	177.8067	+55.1161	 23684	  60	 23819	  78	  332	   53	  18	 0.058	             	 0.715	 -22.536	 -22.981	        	    	   	   190	R	T6	Simbad
     146	1404	178.0518	-02.8050	 23182	  46	 23251	  74	  365	   52	  24	 0.080	             	 0.463	 -22.721	 -23.015	 -23.267	 232	  5	      	 	T6	Simbad
     147	1424	179.3710	+05.0889	 23150	  13	 22708	  77	  697	   55	  80	 0.089	             	 0.565	 -23.259	 -23.631	        	 313	  4	   168	R	T6	Simbad
     148	1436	179.8603	+56.4036	 18889	  36	 19464	  71	  703	   36	  97	 0.077	             	 0.329	 -22.638	 -22.837	        	 302	 12	   968	R	T6	Simbad
     149	1452	180.8684	+51.7153	 18229	  37	 18608	  86	  560	   63	  42	 0.098	             	 0.501	 -22.901	 -23.232	        	 327	 12	      	 	T6	Simbad
     150	1461	181.1035	+42.5615	 16180	  27	 15984	  66	  402	   35	  37	 0.045	             	 0.470	 -22.580	 -22.869	        	 250	 22	      	 	T6	Simbad
     151	1474	182.0659	+15.0380	 24327	  38	 24135	  94	  739	   42	  61	 0.138	             	 0.530	 -22.347	 -22.675	        	    	   	      	 	T6	Simbad
     152	1507	183.7030	+59.9060	 18438	  30	 18024	  50	  405	   48	  65	 0.082	N4199        	 0.640	 -22.887	 -23.305	        	    	   	   139	R	T6	Simbad
     153	1520	184.8960	-13.4368	 21260	  30	 20853	  92	  320	  180	  12	 0.238	             	 0.704	 -23.405	 -23.899	 -24.332	 290	 13	      	 	T6	Simbad
     154	1534	186.1789	+61.4705	 21008	   7	 20983	  64	  371	   55	  33	 0.081	             	 0.569	 -23.095	 -23.489	 -23.801	 299	  7	   157	R	T6	Simbad
     155	1569	189.0342	+16.6411	 23597	   4	 23814	 105	  622	 1314	  35	 0.123	I3557        	 0.719	 -23.318	 -23.776	 -24.088	 314	 12	     5	C	T6	Simbad
     156	1589	190.3230	+18.5743	 20955	   0	 21643	  99	  899	  546	  82	 0.090	             	 0.660	 -23.430	 -23.888	 -24.293	    	   	      	 	T6	Simbad
     157	1610	191.9402	+30.0769	 18174	   0	 18659	  62	  292	  403	  22	 0.070	I0822        	 0.476	 -23.242	 -23.574	 -23.807	    	   	      	 	T6	Simbad
