recno	Name	mue	re	n	mu0	r0	MAGS	MAGexp	MAGtot	S/e	alpha	elli	ello	PAi	PAo	MAGM	Simbad	NED	_RA	_DE
      12	A0114	22.73	 20.87	 5.85	     	     	-24.26	      	-24.26	     	 0.59	 0.16	 0.28	 72.9	  73.6	-23.01	Simbad	NED	013.412	-21.678
      13	A0116	21.44	  9.44	 4.52	     	     	-23.74	      	-23.74	     	 0.58	 0.17	 0.17	  5.5	  15.5	-22.93	Simbad	NED	013.983	+00.661
      14	A0117	24.06	 47.47	 6.06	     	     	-24.73	      	-24.73	     	 0.76	 0.12	 0.28	 -7.7	 -19.9	-23.20	Simbad	NED	014.083	-10.001
      15	A0119	26.71	247.61	 7.87	     	     	-25.77	      	-25.77	     	 0.83	 0.12	 0.33	 34.8	  35.9	-23.01	Simbad	NED	014.070	-01.250
      16	A0126	20.74	  3.10	 3.61	     	     	-21.78	      	-21.78	     	 0.26	 0.04	 0.09	-38.6	  38.9	-21.55	Simbad	NED	014.946	-14.213
      17	A0133	21.10	  7.64	 1.11	21.46	23.80	-22.87	-24.23	-24.50	 0.29	 0.93	 0.07	 0.43	 33.7	  22.4	-22.95	Simbad	NED	015.662	-21.954
      18	A0134	21.19	  5.86	 4.72	     	     	-22.98	      	-22.98	     	 0.47	 0.14	 0.05	 10.5	   1.6	-22.40	Simbad	NED	015.758	-02.532
      19	A0147	21.75	 10.17	 6.06	     	     	-23.64	      	-23.64	     	 0.49	 0.16	 0.09	 33.6	  31.6	-22.83	Simbad	NED	017.042	+02.167
      20	A0150	20.93	  6.34	 1.91	22.01	26.20	-22.91	-23.89	-24.26	 0.40	 0.75	 0.11	 0.43	 -2.9	  -4.8	-22.81	Simbad	NED	017.308	+13.167
      21	A0151	25.86	146.25	 8.06	     	     	-25.51	      	-25.51	     	 0.78	 0.17	 0.26	 73.5	  76.9	-23.11	Simbad	NED	017.218	-15.417
      22	A0152	18.92	  1.38	 5.65	20.93	11.80	-22.24	-23.32	-23.66	 0.37	 0.84	 0.04	 0.28	 39.0	  17.2	-22.64	Simbad	NED	017.555	+14.007
      23	A0154	21.82	 11.13	 5.21	22.33	28.00	-23.76	-23.72	-24.50	 1.04	 0.66	 0.22	 0.39	-38.9	 -44.1	-23.05	Simbad	NED	017.742	+17.666
      24	A0158	19.06	  1.66	 4.15	20.97	10.20	-22.28	-22.90	-23.39	 0.56	 0.71	 0.13	 0.12	-59.4	 -48.6	-22.58	Simbad	NED	017.937	+16.882
      25	A0160	20.38	  3.04	 1.04	21.05	12.50	-21.49	-23.18	-23.38	 0.21	 0.78	 0.03	 0.24	-73.1	 -92.1	-22.44	Simbad	NED	018.093	+15.739
      26	A0161	20.53	  3.65	 4.74	22.33	23.50	-22.64	-23.40	-23.84	 0.50	 0.67	 0.05	 0.31	  4.9	 -42.9	-22.07	Simbad	NED	018.704	+37.415
      27	A0168	24.51	 48.01	 7.41	     	     	-24.38	      	-24.38	     	 0.65	 0.06	 0.25	-25.6	 -26.5	-22.83	Simbad	NED	018.791	+00.247
      28	A0171	22.75	 17.23	 6.49	     	     	-24.04	      	-24.04	     	 0.63	 0.14	 0.12	 86.5	  30.7	-23.00	Simbad	NED	019.192	+16.263
      29	A0174	20.44	  3.71	 0.98	21.56	13.02	-21.97	-22.89	-23.27	 0.43	 0.66	 0.02	 0.16	  5.9	 -64.9	-22.53	Simbad	NED	019.954	+35.812
      30	A0179	21.14	  5.27	 3.73	21.92	16.30	-22.62	-22.93	-23.54	 0.75	 0.63	 0.22	 0.38	-27.3	 -25.6	-22.35	Simbad	NED	020.446	+19.478
      31	A0189	21.13	  7.32	 3.06	     	     	-23.15	      	-23.15	     	 0.40	 0.42	 0.50	 -2.8	  -6.7	-22.24	Simbad	NED	020.918	+01.644
      32	A0193	18.60	  1.78	 4.13	21.52	22.00	-22.84	-23.97	-24.30	 0.36	 0.59	 0.04	 0.23	-69.9	 -73.3	-22.88	Simbad	NED	021.280	+08.693
      33	A0194	18.59	  1.30	 1.53	19.95	 7.70	-21.51	-23.12	-23.34	 0.23	 0.68	 0.25	 0.36	 56.6	  60.5	-22.58	Simbad	NED	021.505	-01.367
      34	A0195	21.62	  8.16	 6.58	     	     	-23.42	      	-23.42	     	 0.50	 0.09	 0.05	-84.7	  11.2	-22.69	Simbad	NED	021.725	+19.177
      35	A0208	21.66	  7.95	 5.32	22.36	26.80	-23.37	-23.76	-24.34	 0.70	 0.67	 0.06	 0.33	 10.7	  25.5	-22.95	Simbad	NED	022.896	+00.537
      36	A0225	25.24	 84.64	 7.09	     	     	-24.95	      	-24.95	     	 0.78	 0.15	 0.27	 81.2	  81.6	-22.92	Simbad	NED	024.729	+18.887
      37	A0240	24.61	 55.91	 5.38	     	     	-24.50	      	-24.50	     	 0.86	 0.09	 0.21	  4.6	   9.3	-22.74	Simbad	NED	025.479	+07.618
      38	A0245	21.95	  8.70	 3.28	     	     	-23.02	      	-23.02	     	 0.57	 0.21	 0.27	-65.2	 -81.4	-22.30	Simbad	NED	026.025	+06.385
      39	A0246	23.73	 24.12	 6.33	     	     	-23.70	      	-23.70	     	 0.62	 0.16	 0.39	 17.8	  11.0	-22.42	Simbad	NED	026.175	+05.800
      40	A0257	19.86	  2.99	 4.26	21.13	11.90	-22.91	-23.21	-23.83	 0.75	 0.64	 0.26	 0.42	  9.9	  24.1	-22.76	Simbad	NED	027.291	+14.023
      41	A0260	20.95	  6.17	 4.50	21.85	20.90	-23.17	-23.46	-24.08	 0.76	 0.62	 0.12	 0.33	 46.3	  73.2	-22.89	Simbad	NED	027.971	+33.163
      42	A0261	20.19	  4.08	 2.60	21.69	15.30	-22.79	-23.00	-23.65	 0.83	 0.57	 0.10	 0.18	 -2.7	  -9.8	-22.81	Simbad	NED	027.858	-02.237
      43	A0262	20.33	  3.18	 1.75	21.16	16.60	-21.54	-23.33	-23.52	 0.19	 0.76	 0.07	 0.41	-73.6	  42.0	-22.21	Simbad	NED	028.210	+36.146
      44	A0267	25.90	105.21	 6.29	     	     	-24.66	      	-24.66	     	 0.90	 0.19	 0.33	 78.4	  72.0	-22.58	Simbad	NED	028.175	+01.007
      45	A0268	20.23	  2.85	 3.70	22.80	14.30	-22.31	-21.89	-22.88	 1.47	 0.47	 0.14	 0.27	  2.7	 -11.5	-22.06	Simbad	NED	028.337	-01.122
      46	A0279	22.81	 18.86	 5.29	22.56	30.60	-24.01	-23.76	-24.65	 1.25	 0.81	 0.11	 0.24	 40.2	  47.6	-23.10	Simbad	NED	029.071	+01.051
      47	A0292	23.37	 45.49	 3.11	     	     	-25.01	      	-25.01	     	 0.88	 0.31	 0.58	-84.9	 -85.6	-22.94	Simbad	NED	030.614	+19.091
      48	A0295	21.47	  4.64	 2.99	21.44	17.30	-21.84	-23.48	-23.70	 0.22	 0.66	 0.11	 0.44	 76.4	  67.0	-22.76	Simbad	NED	030.612	-01.077
      49	A0311	22.79	 15.71	 5.43	22.36	38.00	-23.59	-24.38	-24.81	 0.48	 0.80	 0.17	 0.53	 15.7	  29.0	-22.83	Simbad	NED	032.292	+19.720
      50	A0326	21.06	  5.91	 3.14	     	     	-22.87	      	-22.87	     	 0.38	 0.42	 0.11	 21.5	  87.7	-22.22	Simbad	NED	033.421	-07.117
      51	A0347	20.95	  3.99	 3.66	     	     	-21.82	      	-21.82	     	 0.32	 0.30	 0.21	-76.7	 -66.5	-21.28	Simbad	NED	036.458	+41.875
      52	A0357	21.61	  7.00	 2.51	     	     	-22.68	      	-22.68	     	 0.35	 0.41	 0.47	-42.1	 -39.9	-21.85	Simbad	NED	037.367	+13.250
      53	A0358	23.57	 32.81	 5.13	     	     	-24.34	      	-24.34	     	 0.76	 0.17	 0.28	  3.9	  11.0	-22.87	Simbad	NED	037.550	-13.195
      54	A0376	25.76	 94.82	 8.00	     	     	-24.66	      	-24.66	     	 0.73	 0.05	 0.27	-82.9	  81.7	-22.71	Simbad	NED	041.450	+36.860
      55	A0396	20.47	  2.35	 1.66	     	     	-20.87	      	-20.87	     	 0.22	 0.47	 0.35	  7.7	   7.7	-20.42	Simbad	NED	044.383	+41.600
      56	A0397	20.31	  3.82	 3.44	21.78	19.20	-22.66	-23.38	-23.83	 0.51	 0.61	 0.14	 0.40	 39.2	  60.5	-22.87	Simbad	NED	044.242	+15.950
      57	A0399	21.82	 10.41	 1.22	21.83	33.30	-22.92	-24.65	-24.85	 0.20	 1.13	 0.23	 0.43	 46.5	  39.8	-22.80	Simbad	NED	044.485	+13.016
      58	A0401	28.27	968.92	 7.46	     	     	-27.25	      	-27.25	     	 1.02	 0.26	 0.58	 35.8	  24.7	-23.01	Simbad	NED	044.737	+13.582
      59	A0404	20.33	  4.04	 1.09	21.26	12.40	-22.27	-23.03	-23.47	 0.50	 0.62	 0.27	 0.37	 22.4	  24.7	-22.57	Simbad	NED	045.287	+41.397
      60	A0415	22.20	  9.26	 3.88	21.95	26.00	-22.91	-24.02	-24.36	 0.36	 0.86	 0.12	 0.32	-20.1	 -12.5	-22.72	Simbad	NED	046.696	-12.042
      61	A0419	21.68	  7.33	 4.55	     	     	-22.85	      	-22.85	     	 0.40	 0.28	 0.32	-61.2	 -25.0	-22.06	Simbad	NED	047.066	-23.691
      62	A0423	25.05	 61.90	 6.80	     	     	-24.48	      	-24.48	     	 0.70	 0.19	 0.47	-75.5	 -70.3	-22.56	Simbad	NED	047.821	-12.112
      63	A0428	18.82	  1.65	 3.51	21.71	 6.80	-22.43	-21.29	-22.75	 2.86	 0.41	 0.03	 0.09	  8.0	  48.6	-22.18	Simbad	NED	048.992	-19.100
      64	A0450	22.01	  8.26	 4.35	     	     	-22.92	      	-22.92	     	 0.49	 0.21	 0.16	 12.5	  -2.2	-22.25	Simbad	NED	055.412	+23.493
      65	A0496	25.74	101.00	 5.62	     	     	-24.57	      	-24.57	     	 0.78	 0.16	 0.37	 -8.6	  -3.9	-22.75	Simbad	NED	068.407	-13.262
      66	A0497	20.95	  2.41	 3.58	21.51	 9.70	-21.31	-22.44	-22.77	 0.35	 0.81	 0.20	 0.28	 26.5	  31.0	-21.95	Simbad	NED	069.212	+10.633
      67	A0500	20.90	  5.92	 2.90	22.44	30.00	-23.03	-23.79	-24.23	 0.50	 0.63	 0.21	 0.37	  9.0	  33.0	-22.83	Simbad	NED	069.729	-22.099
      68	A0505	24.64	 78.09	 6.80	     	     	-25.29	      	-25.29	     	 0.84	 0.14	 0.17	-51.9	  11.0	-23.39	Simbad	NED	075.050	+80.010
      69	A0514	23.13	 21.69	 5.56	     	     	-23.98	      	-23.98	     	 0.61	 0.19	 0.31	-53.3	 -49.9	-22.90	Simbad	NED	071.917	-20.429
      70	A0533	22.59	 16.32	 4.98	     	     	-23.75	      	-23.75	     	 0.55	 0.24	 0.17	-61.2	 -44.8	-22.69	Simbad	NED	075.375	-22.612
      71	A0536	25.23	 84.14	 6.54	     	     	-25.15	      	-25.15	     	 0.84	 0.29	 0.41	-34.1	 -29.2	-23.05	Simbad	NED	076.946	-09.235
      72	A0539	21.03	  5.56	 4.76	22.31	22.30	-22.91	-23.15	-23.79	 0.80	 0.50	 0.04	 0.36	-11.3	  -2.0	-22.59	Simbad	NED	079.146	+06.454
      73	A0543	19.33	  2.39	 2.48	     	     	-22.63	      	-22.63	     	 0.27	 0.07	 0.02	-64.1	 -47.6	-22.06	Simbad	NED	082.650	-22.413
      74	A0548	21.41	  7.07	 4.08	20.39	 6.60	-22.98	-22.45	-23.50	 1.63	 0.64	 0.34	 0.14	 64.4	  82.7	-22.73	Simbad	NED	086.757	-25.616
      75	A0550	22.20	 10.71	 4.26	23.00	51.50	-23.33	-24.52	-24.83	 0.34	 0.76	 0.15	 0.38	-43.4	 -56.8	-22.79	Simbad	NED	088.158	-21.073
      76	A0553	21.69	  9.57	 3.44	23.30	57.80	-23.48	-24.46	-24.83	 0.40	 0.67	 0.16	 0.57	-68.4	 -67.1	-22.87	Simbad	NED	093.171	+48.596
      77	A0564	20.09	  3.86	 1.28	23.03	29.20	-22.64	-23.28	-23.76	 0.55	 0.39	 0.23	 0.35	 29.5	  42.1	-22.54	Simbad	NED	105.171	+69.813
      78	A0568	21.59	 11.11	 2.87	     	     	-23.84	      	-23.84	     	 0.69	 0.18	 0.11	 31.9	 -22.7	-23.07	Simbad	NED	106.904	+35.085
      79	A0569	22.11	 13.01	 4.72	     	     	-23.22	      	-23.22	     	 0.50	 0.13	 0.15	 -4.4	  34.3	-22.54	Simbad	NED	107.293	+48.619
      80	A0576	20.35	  4.19	 4.74	     	     	-22.94	      	-22.94	     	 0.32	 0.17	 0.08	-60.2	  46.9	-22.37	Simbad	NED	110.350	+55.739
      81	A0582	20.38	  3.79	 4.88	22.95	26.60	-22.92	-23.09	-23.76	 0.86	 0.51	 0.01	 0.04	-52.3	  16.2	-22.63	Simbad	NED	112.046	+41.963
      82	A0592	20.55	  4.44	 4.29	22.00	13.30	-22.17	-21.67	-22.70	 1.58	 0.52	 0.07	 0.21	 84.6	 -86.6	-22.58	Simbad	NED	115.658	+09.380
      83	A0595	21.76	  7.99	 5.62	     	     	-23.27	      	-23.27	     	 0.49	 0.06	 0.16	 76.2	  78.8	-22.51	Simbad	NED	117.363	+52.042
      84	A0600	23.54	 24.95	 4.52	     	     	-23.89	      	-23.89	     	 0.73	 0.10	 0.35	 26.8	  -1.1	-22.60	Simbad	NED	119.087	+63.750
      85	A0602	21.18	  5.32	 3.30	     	     	-22.56	      	-22.56	     	 0.47	 0.17	 0.23	 58.0	  41.3	-22.39	Simbad	NED	118.190	+29.417
      86	A0607	21.59	  8.46	 2.68	     	     	-23.26	      	-23.26	     	 0.69	 0.02	 0.07	-60.2	  31.1	-22.81	Simbad	NED	119.353	+39.352
      87	A0612	23.12	 30.92	 5.13	     	     	-24.96	      	-24.96	     	 0.96	 0.06	 0.01	-81.9	   4.2	-23.54	Simbad	NED	120.235	+34.611
      88	A0634	21.72	 10.91	 3.07	     	     	-23.22	      	-23.22	     	 0.50	 0.17	 0.14	-77.2	  67.5	-22.46	Simbad	NED	123.637	+58.048
      89	A0644	24.11	 29.04	 5.59	22.34	31.40	-23.64	-24.01	-24.59	 0.71	 0.85	 0.23	 0.49	  7.4	  10.4	-22.55	Simbad	NED	124.352	-07.513
      90	A0671	20.14	  4.99	 2.21	21.33	23.30	-23.23	-24.29	-24.64	 0.38	 0.73	 0.21	 0.27	 23.7	  30.7	-23.20	Simbad	NED	127.133	+30.405
      91	A0690	21.65	  9.54	 5.24	22.54	28.30	-23.72	-23.65	-24.44	 1.06	 0.66	 0.10	 0.20	 41.7	  53.0	-23.06	Simbad	NED	129.811	+28.836
      92	A0695	22.59	 17.78	 3.75	     	     	-23.90	      	-23.90	     	 0.70	 0.23	 0.29	-53.4	 -54.3	-22.79	Simbad	NED	130.324	+32.455
      93	A0744	24.10	 40.05	 6.33	     	     	-24.43	      	-24.43	     	 0.76	 0.03	 0.06	 71.6	 -49.6	-22.86	Simbad	NED	136.833	+16.657
      94	A0757	20.80	  4.44	 2.17	23.23	23.50	-22.31	-22.42	-23.12	 0.90	 0.49	 0.10	 0.12	 26.2	  69.8	-22.23	Simbad	NED	138.241	+47.729
      95	A0779	20.70	  7.99	 3.72	21.60	27.20	-23.57	-23.97	-24.54	 0.69	 0.58	 0.16	 0.41	-23.7	 -21.0	-23.10	Simbad	NED	139.950	+33.759
      96	A0780	21.94	 10.39	 3.70	22.30	26.25	-23.30	-23.60	-24.21	 0.76	 0.86	 0.12	 0.32	-36.5	 -34.6	-22.85	Simbad	NED	139.625	-12.262
      97	A0819	24.42	 57.38	 6.85	     	     	-24.94	      	-24.94	     	 0.71	 0.25	 0.45	-22.9	 -27.4	-22.98	Simbad	NED	143.071	+09.679
      98	A0834	17.97	  0.68	 2.87	19.55	 4.20	-21.21	-22.38	-22.70	 0.34	 0.47	 0.36	 0.27	-10.2	  -5.7	-22.17	Simbad	NED	145.162	+66.673
      99	A0838	24.18	 30.16	 7.04	     	     	-23.70	      	-23.70	     	 0.62	 0.11	 0.27	  6.5	  86.0	-22.39	Simbad	NED	144.295	-04.952
     100	A0841	21.15	  7.34	 4.35	22.88	33.50	-23.48	-23.61	-24.30	 0.89	 0.63	 0.09	 0.30	-29.8	 -28.1	-22.95	Simbad	NED	144.650	-04.193
     101	A0865	21.03	  3.79	 1.17	     	     	-21.53	      	-21.53	     	 0.23	 0.45	 0.51	-31.6	 -29.9	-21.08	Simbad	NED	146.662	+43.485
     102	A0912	22.18	  9.14	 5.75	     	     	-23.03	      	-23.03	     	 0.43	 0.11	 0.13	 68.6	  -9.1	-22.29	Simbad	NED	150.290	-00.080
     103	A0930	19.48	  1.93	 4.03	22.16	14.80	-22.14	-22.50	-23.09	 0.72	 0.58	 0.08	 0.18	-27.0	  -8.2	-22.07	Simbad	NED	151.755	-05.625
     104	A0957	22.10	 14.38	 3.89	22.90	25.20	-23.89	-23.92	-24.66	 0.97	 0.86	 0.20	 0.22	-81.9	  57.3	-23.00	Simbad	NED	153.410	-00.926
     105	A0970	21.81	  6.50	 5.24	23.01	23.90	-22.61	-22.70	-23.41	 0.92	 0.61	 0.10	 0.16	-54.6	 -61.3	-22.19	Simbad	NED	154.393	-10.700
     106	A0978	20.74	  5.67	 5.21	21.91	23.70	-23.36	-23.76	-24.33	 0.69	 0.64	 0.08	 0.24	  7.7	 -18.1	-22.99	Simbad	NED	155.111	-06.527
     107	A0979	21.87	  9.13	 4.59	22.63	20.10	-23.19	-22.68	-23.71	 1.60	 0.65	 0.07	 0.11	-50.0	 -39.3	-22.71	Simbad	NED	155.082	-07.894
     108	A0993	22.54	 12.29	 6.41	     	     	-23.35	      	-23.35	     	 0.58	 0.06	 0.06	 52.8	   1.8	-23.05	Simbad	NED	155.482	-04.891
     109	A0994	22.61	 18.69	 4.90	     	     	-23.98	      	-23.98	     	 0.54	 0.35	 0.41	-21.3	 -18.6	-22.70	Simbad	NED	155.704	+19.330
     110	A0999	20.89	  6.10	 5.08	23.28	33.50	-23.15	-22.94	-23.80	 1.22	 0.44	 0.19	 0.24	 -9.1	 -29.4	-22.55	Simbad	NED	155.842	+12.863
     111	A1003	19.43	  1.90	 2.58	20.89	11.80	-21.96	-23.30	-23.58	 0.29	 0.70	 0.06	 0.29	-31.5	 -53.8	-22.65	Simbad	NED	156.217	+47.817
     112	A1016	19.77	  2.90	 3.89	22.23	13.50	-22.52	-22.02	-23.05	 1.59	 0.43	 0.10	 0.14	  9.6	   0.1	-22.35	Simbad	NED	156.750	+10.983
     113	A1020	20.27	  3.93	 5.41	22.73	18.60	-23.10	-22.46	-23.58	 1.79	 0.53	 0.05	 0.16	-46.6	 -41.8	-22.76	Simbad	NED	156.961	+10.411
     114	A1021	20.33	  4.44	 1.58	21.67	15.70	-22.82	-23.31	-23.84	 0.64	 0.64	 0.17	 0.25	-88.3	 -89.8	-22.92	Simbad	NED	157.250	+37.667
     115	A1032	21.19	  7.93	 3.86	     	     	-23.52	      	-23.52	     	 0.50	 0.36	 0.32	 31.5	  25.1	-22.59	Simbad	NED	157.542	+04.007
     116	A1035	23.46	 28.91	 5.38	     	     	-24.33	      	-24.33	     	 0.73	 0.06	 0.15	 -9.4	 -14.6	-22.99	Simbad	NED	158.031	+40.264
     117	A1066	20.73	  6.52	 2.26	23.01	47.10	-23.31	-24.22	-24.61	 0.43	 0.72	 0.18	 0.30	-40.4	 -60.3	-22.84	Simbad	NED	159.778	+05.210
     118	A1069	21.28	  6.61	 5.03	21.20	16.30	-23.18	-23.71	-24.23	 0.62	 0.78	 0.28	 0.12	-86.8	 -85.6	-22.98	Simbad	NED	159.976	-08.611
     119	A1100	20.49	  4.99	 2.33	21.97	20.90	-22.88	-23.39	-23.92	 0.62	 0.55	 0.19	 0.38	-10.0	 -17.5	-22.74	Simbad	NED	162.190	+22.240
     120	A1139	21.39	  6.74	 4.83	22.45	22.60	-22.92	-22.99	-23.71	 0.93	 0.57	 0.06	 0.32	-51.2	 -82.0	-22.55	Simbad	NED	164.546	+01.605
     121	A1142	22.65	 15.08	 6.67	23.46	49.00	-23.51	-23.60	-24.31	 0.92	 0.54	 0.15	 0.24	 36.6	  51.1	-22.55	Simbad	NED	165.212	+10.555
     122	A1145	21.49	  6.31	 3.56	     	     	-22.70	      	-22.70	     	 0.44	 0.17	 0.16	-44.3	 -50.1	-22.12	Simbad	NED	165.383	+16.732
     123	A1149	19.97	  3.11	 3.95	21.58	16.30	-22.74	-23.35	-23.84	 0.57	 0.65	 0.11	 0.33	 68.8	  69.7	-22.76	Simbad	NED	165.742	+07.603
     124	A1169	22.08	  9.21	 6.41	     	     	-23.21	      	-23.21	     	 0.48	 0.22	 0.28	-32.0	 -75.3	-22.25	Simbad	NED	166.983	+43.919
     125	A1171	20.03	  3.54	 2.62	22.42	22.00	-22.78	-23.18	-23.75	 0.69	 0.63	 0.30	 0.49	 44.6	  43.7	-22.26	Simbad	NED	166.833	+02.991
     126	A1177	23.13	 20.88	 6.41	22.29	29.00	-23.70	-23.62	-24.41	 1.08	 0.71	 0.13	 0.42	 47.5	  39.8	-22.77	Simbad	NED	167.362	+21.695
     127	A1185	21.45	 10.10	 1.87	23.94	95.70	-23.21	-24.60	-24.87	 0.28	 0.66	 0.12	 0.07	 39.5	 -15.0	-22.87	Simbad	NED	167.631	+28.727
     128	A1187	20.80	  5.69	 2.93	21.80	16.70	-23.14	-23.25	-23.95	 0.91	 0.64	 0.18	 0.21	-81.6	 -65.2	-22.95	Simbad	NED	168.019	+39.662
     129	A1190	23.57	 21.29	 4.74	21.85	20.50	-23.48	-23.63	-24.31	 0.87	 0.95	 0.28	 0.32	 -7.6	 -12.4	-22.72	Simbad	NED	167.869	+40.830
     130	A1203	21.58	  9.28	 2.54	23.43	39.10	-23.33	-23.44	-24.14	 0.90	 0.75	 0.16	 0.17	-47.1	 -25.8	-22.81	Simbad	NED	168.394	+40.234
     131	A1213	20.93	  7.84	 2.42	     	     	-23.41	      	-23.41	     	 0.50	 0.27	 0.09	 66.5	  88.5	-22.75	Simbad	NED	169.121	+29.260
     132	A1216	19.77	  2.69	 1.85	21.22	 9.80	-22.18	-22.54	-23.12	 0.72	 0.52	 0.22	 0.30	-50.2	 -46.5	-22.38	Simbad	NED	169.437	-04.473
     133	A1228	19.39	  2.34	 4.18	21.81	12.10	-22.52	-22.25	-23.14	 1.28	 0.43	 0.06	 0.19	 13.8	 -42.3	-22.42	Simbad	NED	170.377	+34.222
     134	A1238	21.00	  4.64	 4.67	22.15	22.50	-22.67	-23.48	-23.90	 0.47	 0.68	 0.08	 0.43	-79.9	 -77.7	-22.56	Simbad	NED	170.522	+00.784
     135	A1257	17.37	  0.82	 2.54	20.26	 4.70	-21.97	-21.72	-22.61	 1.26	 0.24	 0.10	 0.13	-46.5	 -43.0	-22.10	Simbad	NED	171.437	+35.343
     136	A1267	21.28	  7.21	 4.42	     	     	-23.05	      	-23.05	     	 0.33	 0.23	 0.30	 44.9	  53.4	-22.43	Simbad	NED	171.983	+26.858
     137	A1270	20.34	  6.21	 1.59	     	     	-23.44	      	-23.44	     	 0.48	 0.43	 0.20	-46.1	 -45.3	-22.76	Simbad	NED	172.287	+54.115
     138	A1279	24.32	 38.01	 6.80	     	     	-24.07	      	-24.07	     	 0.63	 0.17	 0.31	 59.4	  55.8	-22.56	Simbad	NED	172.800	+67.223
     139	A1308	21.99	  9.41	 4.13	23.29	34.60	-23.09	-23.20	-23.90	 0.90	 0.55	 0.10	 0.12	-26.0	 -38.3	-22.61	Simbad	NED	173.244	-03.887
     140	A1314	19.76	  3.67	 2.54	21.67	23.70	-22.84	-23.82	-24.19	 0.41	 0.57	 0.19	 0.36	 86.8	 -86.2	-22.81	Simbad	NED	173.703	+49.040
     141	A1317	21.93	 10.26	 4.98	22.52	51.90	-23.50	-24.92	-25.18	 0.27	 0.73	 0.18	 0.57	 38.9	  55.4	-22.89	Simbad	NED	173.775	-13.533
     142	A1318	23.96	 35.95	 5.38	     	     	-24.18	      	-24.18	     	 0.54	 0.22	 0.29	 -8.8	  -7.6	-22.75	Simbad	NED	173.993	+55.033
     143	A1334	21.66	  8.47	 5.05	     	     	-23.32	      	-23.32	     	 0.51	 0.21	 0.22	 88.8	  77.4	-22.53	Simbad	NED	174.765	-04.318
     144	A1344	24.04	 52.80	 5.08	     	     	-24.98	      	-24.98	     	 0.72	 0.39	 0.32	 80.3	  78.8	-23.05	Simbad	NED	175.208	-10.727
     145	A1365	22.79	 15.86	 6.62	     	     	-23.80	      	-23.80	     	 0.50	 0.21	 0.22	-56.0	 -62.1	-22.67	Simbad	NED	176.125	+30.967
     146	A1367	23.00	 25.76	 5.56	     	     	-23.97	      	-23.97	     	 0.56	 0.13	 0.24	  4.1	 -10.8	-22.74	Simbad	NED	176.186	+19.700
     147	A1371	21.74	  7.06	 5.88	22.66	19.90	-22.99	-22.72	-23.62	 1.28	 0.65	 0.08	 0.19	 59.6	  44.0	-22.50	Simbad	NED	176.355	+15.507
     148	A1377	21.90	 10.47	 4.98	     	     	-23.50	      	-23.50	     	 0.54	 0.23	 0.10	 59.1	  69.5	-22.66	Simbad	NED	176.815	+55.717
     149	A1400	23.35	 22.75	 3.34	     	     	-23.66	      	-23.66	     	 0.81	 0.16	 0.23	-61.3	 -65.9	-22.45	Simbad	NED	178.127	+54.993
     150	A1424	19.58	  3.02	 4.27	20.60	 9.90	-23.17	-23.30	-23.99	 0.89	 0.63	 0.25	 0.15	 72.4	  70.3	-23.12	Simbad	NED	179.377	+05.090
     151	A1436	20.96	  5.57	 5.49	     	     	-23.21	      	-23.21	     	 0.44	 0.10	 0.10	-79.8	 -65.4	-22.56	Simbad	NED	180.066	+56.263
