recno	Cluster	BCG	RAJ2000	DEJ2000	z	Scale	Sel	HST	n1	e_n1	re1	E_re1	e_re1	SBe1	e_SBe1	n2	e_n2	re2	E_re2	e_re2	SBe2	e_SBe2	f2	e_f2	re	e_re	SBe	e_SBe	Mtot	e_Mtot	Type	CCat	Simbad	NED	LEDA
      57	A1100	MCG+04-26-010           	10 48 45.6	+22 13 05	 0.046666	 0.922	check	-    	 6.87	  0.27	 5.36e+01	 2.03e+00	 1.98e+00	25.34	 0.08	     	     	       	         	         	     	     	     	     	 3.38e+01	 4.71e+00	24.32	 0.26	-23.18	 0.07	c    	  1	Simbad	NED	LEDA
      58	A1108	NGC 3405                	10 49 43.3	+16 14 20	 0.021740	 0.442	-    	-    	 8.45	  1.01	 2.87e+01	 3.57e+00	 3.27e+00	25.50	 0.26	     	     	       	         	         	     	     	     	     	 2.41e+01	 6.22e+00	25.06	 0.52	-21.91	 0.11	c,d  	  0	Simbad	NED	LEDA
      59	A1142	IC 664                  	11 00 45.3	+10 33 12	 0.033860	 0.679	check	check	 6.10	  0.56	 2.36e+01	 1.38e+00	 1.32e+00	23.96	 0.13	     	     	       	         	         	     	     	     	     	 2.33e+01	 1.83e+00	23.76	 0.10	-22.95	 0.04	b,c,d	  2	Simbad	NED	LEDA
      60	A1155	2MASXJ11043955+3513477  	11 04 39.5	+35 13 49	 0.076788	 1.464	check	-    	10.04	  1.02	 6.14e+01	 5.66e+00	 5.29e+00	25.80	 0.19	     	     	       	         	         	     	     	     	     	 3.49e+01	 8.40e+00	24.52	 0.54	-23.27	 0.11	     	  1	Simbad	NED	LEDA
      61	A1173	2MASX J11091531+4133412 	11 09 15.3	+41 33 42	 0.076620	 1.461	-    	-    	 5.52	  0.49	 8.39e+01	 1.91e+01	 1.64e+01	26.04	 0.39	 0.35	 0.12	 443.20	 2.73e+01	 2.61e+01	28.68	 0.16	 0.39	 0.05	 1.75e+02	 1.65e+01	27.12	 0.09	-24.26	 0.04	d    	  0	Simbad	NED	LEDA
      62	A1177	NGC 3551                	11 09 44.4	+21 45 33	 0.031830	 0.640	check	check	 7.46	  1.61	 2.86e+01	 2.91e+01	 1.64e+01	24.61	 1.31	 1.38	 0.24	  72.57	 3.32e+00	 3.21e+00	25.51	 0.10	 0.53	 0.14	 4.02e+01	 1.45e+00	24.21	 0.03	-23.41	 0.02	b,c  	  1	Simbad	NED	LEDA
      63	A1185	NGC 3550                	11 10 38.4	+28 46 04	 0.035094	 0.703	check	-    	 6.36	  1.01	 2.45e+01	 2.18e+00	 2.04e+00	23.69	 0.19	     	     	       	         	         	     	     	     	     	 2.98e+01	 2.89e+00	24.31	 0.17	-23.25	 0.05	d    	  1	Simbad	NED	LEDA
      64	A1187	2MASX J11110955+3935522 	11 11 09.6	+39 35 53	 0.078380	 1.492	check	-    	12.79	  2.03	 1.49e+02	 4.11e+01	 3.40e+01	27.12	 0.52	     	     	       	         	         	     	     	     	     	 6.67e+01	 2.53e+01	25.48	 0.90	-23.95	 0.16	a    	  1	Simbad	NED	LEDA
      65	A1190	MCG+07-23-031           	11 11 43.6	+40 49 15	 0.078150	 1.488	check	-    	 2.09	  0.24	 2.57e+01	 3.29e+00	 3.00e+00	23.26	 0.21	 0.66	 0.09	 188.70	 7.98e+00	 7.74e+00	26.43	 0.12	 0.54	 0.04	 7.12e+01	 1.08e+00	24.96	 0.02	-24.13	 0.01	a    	  1	Simbad	NED	LEDA
      66	A1203	2MASX J11134824+4017083 	11 13 48.2	+40 17 09	 0.075510	 1.442	check	-    	 7.09	  0.51	 4.12e+01	 6.46e+00	 5.78e+00	24.71	 0.29	 0.63	 0.11	 309.70	 1.11e+01	 1.08e+01	28.31	 0.09	 0.37	 0.04	 1.02e+02	 9.87e+00	26.22	 0.13	-24.11	 0.04	     	  1	Simbad	NED	LEDA
      67	A1213	2MASX J11162274+2915086 	11 16 22.7	+29 15 09	 0.045300	 0.896	check	-    	 1.60	  0.17	 6.38e+00	 4.20e-01	 4.00e-01	21.23	 0.08	 3.20	 1.36	 106.80	 1.48e+01	 1.34e+01	27.30	 0.28	 0.60	 0.08	 3.12e+01	 5.41e+00	24.94	 0.24	-23.03	 0.06	c    	  1	Simbad	NED	LEDA
