recno	Cluster	BCG	RAJ2000	DEJ2000	z	Scale	Sel	HST	n1	e_n1	re1	E_re1	e_re1	SBe1	e_SBe1	n2	e_n2	re2	E_re2	e_re2	SBe2	e_SBe2	f2	e_f2	re	e_re	SBe	e_SBe	Mtot	e_Mtot	Type	CCat	Simbad	NED	LEDA
     148	A2625	2MASX J23374932+2048340 	23 37 49.3	+20 48 34	 0.059118	 1.151	check	-    	 2.82	  0.13	 1.32e+01	 3.40e-01	 3.30e-01	22.40	 0.05	     	     	       	         	         	     	     	     	     	 1.31e+01	 1.60e-01	22.42	 0.02	-22.75	 0.01	     	  1	Simbad	NED	LEDA
     149	A2626	IC 5338                 	23 36 30.6	+21 08 51	 0.055108	 1.078	check	check	 4.97	  0.33	 6.10e+01	 3.34e+00	 3.21e+00	24.83	 0.11	     	     	       	         	         	     	     	     	     	 4.72e+01	 3.63e+00	24.34	 0.19	-23.83	 0.04	d    	  1	Simbad	NED	LEDA
     150	A2630	2MASX J23380105+1554022 	23 38 01.0	+15 54 02	 0.068170	 1.313	other	-    	 5.87	  0.63	 7.17e+00	 5.20e-01	 4.90e-01	22.18	 0.15	     	     	       	         	         	     	     	     	     	 7.16e+00	 1.80e-01	22.08	 0.04	-22.16	 0.02	     	  1	Simbad	NED	LEDA
     151	A2634	NGC 7720                	23 38 29.4	+27 01 54	 0.030350	 0.611	check	check	 4.79	  0.28	 5.66e+01	 3.38e+00	 3.23e+00	24.73	 0.13	     	     	       	         	         	     	     	     	     	 4.28e+01	 3.31e+00	24.05	 0.17	-23.67	 0.04	b,d  	  1	Simbad	NED	LEDA
     152	A2637	2MASXI J2338533+212752  	23 38 53.3	+21 27 53	 0.073702	 1.410	check	-    	 9.63	  1.09	 4.65e+01	 3.79e+00	 3.57e+00	24.82	 0.17	     	     	       	         	         	     	     	     	     	 3.64e+01	 7.56e+00	24.21	 0.35	-23.76	 0.09	     	  1	Simbad	NED	LEDA
     153	A2657	2MASX J23445742+0911349 	23 44 57.4	+09 11 36	 0.041081	 0.817	M2   	check	 3.17	  0.17	 4.85e+01	 2.05e+00	 1.99e+00	24.86	 0.09	     	     	       	         	         	     	     	     	     	 3.29e+01	 1.36e+00	23.98	 0.08	-23.04	 0.03	b    	  0	Simbad	NED	LEDA
     154	A2665	MCG+01-60-039           	23 50 50.5	+06 08 59	 0.056100	 1.096	check	-    	 4.29	  0.15	 6.16e+01	 4.77e+00	 4.51e+00	24.81	 0.13	 0.19	 0.04	 170.10	 3.34e+01	 2.91e+01	27.30	 0.10	 0.22	 0.04	 7.51e+01	 4.43e+00	24.97	 0.17	-24.25	 0.03	     	  1	Simbad	NED	LEDA
     155	A2666	NGC 7768                	23 50 58.5	+27 08 51	 0.026955	 0.545	check	check	 4.79	  0.36	 3.32e+01	 1.90e+00	 1.82e+00	24.06	 0.13	     	     	       	         	         	     	     	     	     	 2.74e+01	 1.89e+00	23.80	 0.14	-23.25	 0.04	c,d  	  1	Simbad	NED	LEDA
     156	A2675	2MASX J23554260+1120355 	23 55 42.6	+11 20 36	 0.076893	 1.466	check	-    	 4.24	  0.38	 2.75e+01	 5.41e+00	 4.71e+00	23.85	 0.32	 1.87	 0.31	 751.80	 9.67e+01	 8.82e+01	28.28	 0.22	 0.80	 0.03	 4.30e+02	 6.91e+01	27.31	 0.28	-24.91	 0.10	     	  1	Simbad	NED	LEDA
     157	A2678	2MASX J23554532+1139135 	23 55 45.3	+11 39 14	 0.078125	 1.487	M2   	-    	 5.76	  0.40	 9.59e+00	 7.40e-01	 7.00e-01	22.44	 0.15	 1.02	 0.08	 370.70	 1.50e+01	 1.45e+01	27.69	 0.08	 0.74	 0.02	 2.35e+02	 1.92e+01	26.89	 0.07	-24.04	 0.05	d    	  0	Simbad	NED	LEDA
     158	AWM1 	NGC 2804                	09 16 50.0	+20 11 55	 0.027670	 0.559	-    	-    	 4.99	  0.16	 1.45e+01	 3.30e-01	 3.20e-01	23.00	 0.05	     	     	       	         	         	     	     	     	     	 1.65e+01	 6.90e-01	23.28	 0.11	-22.73	 0.02	b,c  	  0	Simbad	NED	LEDA
     159	AWM5 	NGC 6269                	16 57 58.1	+27 51 16	 0.034891	 0.699	-    	-    	 6.53	  0.16	 5.87e+01	 1.98e+00	 1.93e+00	24.69	 0.07	     	     	       	         	         	     	     	     	     	 4.17e+01	 4.22e+00	23.91	 0.20	-23.96	 0.05	     	  0	Simbad	NED	LEDA
     160	AWM7 	NGC 1129                	02 54 25.2	+41 34 37	 0.017639	 0.361	-    	check	 6.49	  0.17	 1.50e+02	 7.30e+00	 7.04e+00	26.22	 0.10	     	     	       	         	         	     	     	     	     	 8.24e+01	 1.68e+01	24.94	 0.43	-24.22	 0.09	c    	  0	Simbad	NED	LEDA
     161	L2027	LEDA 1479941            	00 43 11.8	+15 16 03	 0.078650	 1.497	-    	-    	12.12	  1.66	 4.65e+02	 1.93e+02	 1.47e+02	29.58	 0.72	     	     	       	         	         	     	     	     	     	 2.71e+02	 2.00e+02	27.66	 1.95	-23.85	 0.35	     	  1	Simbad	NED	LEDA
     162	L2030	NGC 7237                	22 14 46.9	+13 50 28	 0.026180	 0.530	-    	-    	 2.47	  0.11	 3.50e+01	 1.04e+00	 1.02e+00	24.28	 0.07	     	     	       	         	         	     	     	     	     	 3.06e+01	 6.70e-01	23.96	 0.02	-22.75	 0.02	     	  1	Simbad	NED	LEDA
     163	L2069	2MASX J01072180+1416240 	01 07 21.8	+14 16 24	 0.078512	 1.494	-    	-    	 5.04	  0.29	 6.41e+01	 2.87e+00	 2.77e+00	24.82	 0.10	     	     	       	         	         	     	     	     	     	 5.62e+01	 6.74e+00	24.43	 0.24	-24.34	 0.06	d    	  1	Simbad	NED	LEDA
     164	L2093	2MASX J01092719+1415359 	01 09 27.2	+14 15 37	 0.060780	 1.181	-    	-    	 5.60	  0.55	 2.15e+01	 1.50e+00	 1.42e+00	24.00	 0.15	     	     	       	         	         	     	     	     	     	 1.57e+01	 1.15e+00	23.50	 0.15	-22.49	 0.04	b,d  	  1	Simbad	NED	LEDA
     165	L2211	NGC 7651                	23 24 26.0	+13 58 21	 0.042460	 0.843	-    	-    	 5.34	  0.36	 2.62e+01	 1.03e+00	 1.00e+00	23.73	 0.09	     	     	       	         	         	     	     	     	     	 2.12e+01	 1.21e+00	23.32	 0.11	-23.28	 0.03	c    	  1	Simbad	NED	LEDA
     166	L3009	2MASX J09204890+4039516 	09 20 48.8	+40 39 52	 0.072690	 1.393	-    	-    	77.14	111.10	 3.43e+03	 1.78e+05	 8.05e+02	34.51	14.30	     	     	       	         	         	     	     	     	     	 3.45e+03	 3.40e+03	30.51	 5.51	-23.87	 0.67	d    	  1	Simbad	NED	LEDA
     167	L3055	2MASX J07464283+3059493 	07 46 42.9	+30 59 50	 0.056850	 1.109	-    	-    	 5.39	  0.60	 5.73e+01	 6.39e+00	 5.90e+00	25.96	 0.23	     	     	       	         	         	     	     	     	     	 4.90e+01	 7.94e+00	25.73	 0.33	-22.96	 0.08	     	  1	Simbad	NED	LEDA
     168	L3152	NGC 6338                	17 15 22.9	+57 24 41	 0.027300	 0.552	-    	check	 5.39	  0.22	 3.08e+01	 2.33e+00	 2.20e+00	24.09	 0.14	 0.25	 0.05	 175.10	 4.82e+00	 4.73e+00	27.70	 0.09	 0.22	 0.03	 3.99e+01	 1.59e+00	24.52	 0.08	-23.41	 0.02	     	  1	Simbad	NED	LEDA
     169	L3186	2MASX J17153003+6439511 	17 15 30.0	+64 39 52	 0.079040	 1.503	-    	-    	 5.38	  0.42	 4.08e+01	 2.01e+00	 1.94e+00	24.59	 0.10	     	     	       	         	         	     	     	     	     	 3.23e+01	 3.29e+00	24.02	 0.19	-23.49	 0.05	c    	  1	Simbad	NED	LEDA
     170	MKW4 	NGC 4104                	12 06 39.0	+28 10 29	 0.028605	 0.577	-    	-    	 4.20	  0.15	 3.93e+01	 1.00e+00	 9.80e-01	23.76	 0.06	     	     	       	         	         	     	     	     	     	 3.18e+01	 1.12e+00	23.29	 0.07	-23.46	 0.02	b    	  0	Simbad	NED	LEDA
