tier,match_cost,cl_CATID,cl_RA_OBJ,cl_DEC_OBJ,cl_z_spec,cl_logMstar,cl_logRd,cl_logSigma_b,cl_log_gbar_2p2Rd,cl_incl_deg,cl_morph_type,cl_Re_kpc,cl_SIGMA_RE_MGE,cl_LAMBDAR_RE,cl_VSIGMA_RE,cl_gas_star_misalign_deg,cl_cluster,cl_R_on_rtwo,cl_R_proj_Mpc_from_cat,cl_v_pec_kms,cl_host_sigma_200,cl_host_e_sigma_200,cl_host_N_mem_R200,cl_gext_over_a0,cl_host_M_200_caustic,cl_host_M_200_virial,cl_host_R_200,fi_CATID,fi_RA_OBJ,fi_DEC_OBJ,fi_z_spec,fi_logMstar,fi_logRd,fi_logSigma_b,fi_log_gbar_2p2Rd,fi_incl_deg,fi_morph_type,fi_Re_kpc,fi_SIGMA_RE_MGE,fi_LAMBDAR_RE,fi_VSIGMA_RE,fi_gas_star_misalign_deg,fi_SurfaceDensity,d_logMstar,d_logRd,d_logSigma_b,d_log_gbar_2p2Rd,d_incl_deg,d_z_spec
S1_latetype,1.3081254222665206,9011900584,13.6244,-1.17128,0.0437786,9.92497,0.15013957452385565,2.826510982594174,-9.985909831728462,53.5296708444579,2.0,2.370999874642494,62.75,0.223656,0.247816,95.0,Abell 119,0.693161,1.41405,-119.957,840.0,36.0,372.0,0.1347603141468326,8.6,9.7,2.04,278760,133.673,0.899131,0.04098,10.02,0.21398390509656878,2.793852321448747,-10.01856849287389,57.63001014371683,3.0,2.7464763369733682,65.8357,0.535977,0.698887,3.0,4.51,-0.0950299999999995,-0.06384433057271313,0.032658661145426926,0.032658661145427814,-4.100339299258934,0.0027985999999999983
S1_latetype,1.8041385471705316,9011900599,13.6757,-1.48928,0.0396555,10.7647,0.3661085392878245,3.2343030530662356,-9.5781177612564,65.90154749147865,2.0,3.898526545988409,173.36,0.653709,0.887068,0.0,Abell 119,0.7015,1.43106,-1307.04,840.0,36.0,372.0,0.13315851342314694,8.6,9.7,2.04,493832,222.604,-1.17403,0.04276,10.86,0.4560049095876164,3.1498103124666517,-9.662610501855985,72.3124734273518,2.5,4.795091138750986,,0.602248,0.811569,2.5,1.568,-0.09529999999999994,-0.08989637029979192,0.0844927405995839,0.08449274059958434,-6.410925935873152,-0.003104499999999996
S1_latetype,1.4944775318958108,9011900671,14.3146,-0.825156,0.0476159,9.52632,0.1313381599503991,2.465463811741087,-10.346957002581549,35.539434499780626,2.5,2.270545014771189,48.2996,0.282938,0.323915,53.0,Abell 119,0.763571,1.55769,980.602,840.0,36.0,372.0,0.12233359796835613,8.6,9.7,2.04,47652,213.603,-0.829341,0.03962,9.43,0.10833142994168934,2.415157271758506,-10.39726354256413,30.560667194152195,3.0,2.1533934436219044,40.8069,,,18.0,0.624,0.0963200000000004,0.023006730008709758,0.050306539982580833,0.05030653998258039,4.9787673056284305,0.0079959
S1_latetype,0.7001767029797794,9011900714,13.7968,-0.810172,0.0455699,10.3758,0.2896066850595842,2.9984067615227166,-9.81401405279992,63.51239886767786,2.0,3.2688774675992285,85.913,0.559166,0.675191,146.0,Abell 119,0.801317,1.63469,394.295,840.0,36.0,372.0,0.11657122892984521,8.6,9.7,2.04,417453,131.187,2.29354,0.04938,10.37,0.27830584862692376,3.015208434388037,-9.7972123799346,68.88052503525826,2.0,3.18491469844123,107.915,0.595172,0.847573,2.5,9.63,0.0058000000000006935,0.011300836432660444,-0.016801672865320416,-0.016801672865319972,-5.3681261675803995,-0.003810099999999997
S1_latetype,0.9802713582268584,9011900735,13.6631,-1.60064,0.0421811,9.54026,0.11966042834645045,2.502759274948984,-10.309661539373652,49.66836091330123,3.0,2.2103059095843944,47.4486,,,131.5,Abell 119,0.817492,1.66768,-579.359,840.0,36.0,372.0,0.11426522007778991,8.6,9.7,2.04,79690,222.712,0.0925941,0.04405,9.51,0.12485167511222417,2.4621167814174365,-10.3503040329052,57.369966539297536,3.0,2.2368848678965207,64.3308,,,35.0,8.646,0.030260000000000176,-0.005191246765773719,0.040642493531547697,0.04064249353154814,-7.701605625996308,-0.0018688999999999997
S1_latetype,1.0098465013168993,9011900776,13.8576,-0.742156,0.0447723,10.3883,0.14885585769842813,3.2924084162450282,-9.520012398077608,35.48920369924603,2.0,2.364001861514581,119.282,0.412638,0.470383,9.5,Abell 119,0.852839,1.73979,165.424,840.0,36.0,372.0,0.10952920882366761,8.6,9.7,2.04,548946,129.829,-0.612086,0.05048,10.42,0.16862338024072043,3.284573371160444,-9.527847443162193,42.87554191867599,2.0,2.4740891045633147,95.3314,0.135051,0.144945,5.5,1.484,-0.03170000000000073,-0.019767522542292304,0.007835045084584102,0.00783504508458499,-7.386338219429959,-0.005707699999999996
S1_latetype,1.261740770195949,9011900783,13.9333,-1.79669,0.0441928,10.0443,0.021811897947908464,3.202496335746068,-9.609924478576568,67.79883691692223,3.0,1.7644276481195953,85.3545,0.530393,0.67053,8.0,Abell 119,0.857905,1.75013,-0.976909,840.0,36.0,372.0,0.10888209574107562,8.6,9.7,2.04,62593,213.49,-0.232776,0.0387,10.03,0.05566951510185133,3.1204811014381817,-9.691939712884453,72.08361307263749,3.0,1.9074864939487983,,,,,0.542,0.014300000000000423,-0.033857617153942865,0.08201523430788615,0.08201523430788527,-4.284776155715264,0.005492799999999999
S1_latetype,0.9148739083848826,9016800008,18.7652,0.405231,0.0446384,10.9096,0.39697062792402493,3.3174788757938347,-9.494941938528802,64.29056896405693,2.0,4.185646859806702,142.339,0.530305,0.549774,5.5,Abell 168,0.476269,0.628675,-79.4887,546.0,29.0,192.0,0.12806407108230225,1.9,3.0,1.32,599310,130.972,0.352432,0.05011,10.88,0.40885682796193684,3.264106475718012,-9.548314338604623,62.72852887787969,2.0,4.301785827824143,162.348,0.505503,0.561126,0.5,1.588,0.029599999999998516,-0.01188620003791191,0.05337240007582267,0.05337240007582089,1.562040086177241,-0.0054716
S1_latetype,0.7697160700610642,9016800074,18.7867,0.29697,0.0459089,10.1253,0.21323158462177255,2.9006569623983394,-9.911763851924297,64.23935259102389,3.0,2.7417227841329357,86.083,0.597072,0.811346,5.0,Abell 168,0.212313,0.280254,284.664,546.0,29.0,192.0,0.2872775406868996,1.9,3.0,1.32,620092,223.227,0.291229,0.04351,10.14,0.24505501794527754,2.8517100957513306,-9.960710718571306,61.67080944770513,2.5,2.9501695383550888,100.208,0.998502,14.3929,5.0,7.058,-0.014700000000001268,-0.031823433323504985,0.04894686664700876,0.0489468666470092,2.568543143318756,0.0023989000000000024
S1_latetype,1.0144895254357535,9016800089,18.6284,0.324535,0.0435987,10.8497,0.5099513279042441,3.0316174758333974,-9.780803338489239,49.93406546674931,2.0,5.429293059393,,0.561001,0.630004,13.0,Abell 168,0.523195,0.690617,-377.801,546.0,29.0,192.0,0.1165779004682282,1.9,3.0,1.32,505788,221.703,-1.95865,0.04279,10.89,0.4963232747742458,3.099173582093394,-9.713247232229241,54.20546020780338,2.0,5.261568529628848,,0.462446,0.494447,15.5,2.019,-0.040300000000000225,0.013628053129998319,-0.06755610625999653,-0.06755610625999786,-4.271394741054067,0.0008086999999999955
S1_latetype,1.1957539667893913,9016800093,18.6828,0.28603,0.0453031,10.421,0.45743863009618657,2.7079428714495113,-10.104477942873125,54.443419685193305,2.0,4.810947156010249,109.578,0.69962,1.03206,3.0,Abell 168,0.363877,0.480317,111.077,546.0,29.0,192.0,0.167619884134158,1.9,3.0,1.32,77754,214.648,0.157717,0.05311,10.48,0.5036200880894826,2.6745799554629204,-10.137840858859715,57.577093937423776,2.0,5.350717774743232,111.621,0.588702,0.776724,3.0,3.276,-0.05900000000000105,-0.04618145799329598,0.03336291598659091,0.033362915986590025,-3.1336742522304704,-0.0078068999999999986
S1_latetype,1.100286316030407,9016800095,18.808,0.289318,0.0459491,10.0146,0.2569996550489419,2.702420821544001,-10.109999992778635,50.556144122379614,2.5,3.0324357748448265,71.4163,0.619947,0.913719,1.0,Abell 168,0.183071,0.241654,296.173,546.0,29.0,192.0,0.3331651033612783,1.9,3.0,1.32,319018,213.304,1.78278,0.04907,10.05,0.3049157464107486,2.6419886388203886,-10.170432175502247,55.36031399017616,3.0,3.38616177556286,78.8546,0.26178,0.298309,38.5,15.88,-0.035400000000000986,-0.04791609136180669,0.06043218272361228,0.060432182723612726,-4.804169867796546,-0.003120900000000003
S1_latetype,0.9282196941291797,9016800105,18.8737,0.331025,0.0428848,9.53093,0.024026370429695094,2.6846973907824947,-10.127723423540141,39.967866109371,3.0,1.7734474612018916,44.6087,,,6.5,Abell 168,0.314674,0.41537,-582.823,546.0,29.0,192.0,0.19382882704014823,1.9,3.0,1.32,62718,213.674,-0.284045,0.03871,9.59,0.06782715501477674,2.656165821612331,-10.156254992710304,38.26669522770609,3.0,1.9616391094416452,,,,,0.791,-0.05907000000000018,-0.043800784585081645,0.02853156917016353,0.02853156917016264,1.7011708816649147,0.004174799999999999
S1_latetype,1.1058602667335002,9016800109,18.607,0.536089,0.0410236,10.4634,0.5825444336548968,2.5001312643320914,-10.312289549990544,43.517054403390794,2.5,6.417064287220897,,0.665532,0.944533,2.0,Abell 168,0.922827,1.21813,-1117.95,546.0,29.0,192.0,0.06609366807127841,1.9,3.0,1.32,79635,222.516,0.097496,0.04006,10.46,0.5512020913686866,2.5594159489045127,-10.253004865418124,51.30535543703866,2.5,5.9702710408880115,,0.73077,1.16388,1.5,2.596,0.0033999999999991815,0.031342342286210245,-0.05928468457242131,-0.05928468457241998,-7.788301033647869,0.000963600000000002
S1_latetype,0.9583536388728143,9016800110,18.7866,0.265813,0.0428794,10.448,0.18630598776781432,3.2772081561062567,-9.535212658216379,56.294205355839814,2.0,2.576902247339202,115.315,0.542557,0.720417,12.5,Abell 168,0.143853,0.189885,-584.378,546.0,29.0,192.0,0.4239970502549773,1.9,3.0,1.32,396607,174.348,1.56165,0.04606,10.41,0.1702417083710389,3.2713367148998076,-9.541084099422829,64.30728138345447,2.0,2.4833255958316345,116.225,0.533857,0.695988,2.0,0.039,0.038000000000000256,0.016064279396775405,0.005871441206449113,0.005871441206450001,-8.013076027614652,-0.0031805999999999987
S1_latetype,0.9030079696470866,9016800123,18.8788,0.312896,0.0486476,10.063,0.08470009202630752,3.0954199475892707,-9.717000866733365,64.57748233026287,2.5,2.039351320861688,,,,,Abell 168,0.282621,0.37306,1068.11,546.0,29.0,192.0,0.21581161177201083,1.9,3.0,1.32,77845,215.194,0.0828774,0.05454,10.11,0.10621806074384638,3.0993840101541914,-9.713036804168445,60.11937120653542,3.0,2.142940028617901,,,,85.0,0.781,-0.04699999999999882,-0.02151796871753886,-0.003964062564920656,-0.003964062564920212,4.458111123727448,-0.005892399999999999
S1_latetype,1.1536616613354183,9016800144,18.6798,0.246022,0.0487612,9.56904,0.067070165710041,2.6367198002218024,-10.175701014100834,68.26273197091092,3.0,1.9582228872929033,50.1336,0.425733,0.543402,125.0,Abell 168,0.335697,0.44312,1100.56,546.0,29.0,192.0,0.18169046733992228,1.9,3.0,1.32,278846,133.945,0.801569,0.04138,9.54,0.02431540798374177,2.6931893156744007,-10.119231498648235,65.84654350231705,3.0,1.7746281428580601,57.6809,,,25.0,6.429,0.029040000000000177,0.04275475772629923,-0.05646951545259826,-0.056469515452599595,2.416188468593873,0.0073811999999999975
S1_latetype,1.0306038299452216,9016800147,18.8369,0.259305,0.0432671,10.7304,0.2627672359568259,3.4066856597282325,-9.405735154594403,55.02940784039633,2.0,3.072976170016388,157.492,0.54027,0.666312,3.5,Abell 168,0.121207,0.159994,-473.014,546.0,29.0,192.0,0.5032106196961533,1.9,3.0,1.32,491960,214.198,-1.34912,0.04927,10.71,0.2767321215264523,3.3583558885889815,-9.454064925733654,49.522232224468496,2.0,3.1733945973120052,135.23,0.377665,0.381782,9.0,1.927,0.02039999999999864,-0.01396488556962644,0.048329771139250965,0.048329771139250965,5.507175615927835,-0.0060028999999999985
S1_latetype,1.0361445840880743,9016800167,18.7843,0.227091,0.0438743,10.1873,0.20243256686001945,2.9842549979218465,-9.828165816400789,27.445929843192175,2.0,2.6743886678147337,114.052,0.474568,0.583676,1.0,Abell 168,0.0824313,0.108809,-298.714,546.0,29.0,192.0,0.7399266594460603,1.9,3.0,1.32,296934,214.044,1.54141,0.053,10.21,0.20655325529835114,2.9987136210451837,-9.813707193277452,23.4787114434389,2.5,2.69988466276762,93.8513,0.187415,0.211966,1.0,5.857,-0.022700000000000387,-0.004120688438331688,-0.014458623123337233,-0.014458623123337233,3.967218399753275,-0.0091257
S1_latetype,0.4738562703889036,9016800185,18.9363,0.332404,0.0447033,10.1554,0.3571551692538745,2.642909793134136,-10.1695110211885,56.15683566416642,3.0,3.8189777292279667,82.061,0.710729,1.12714,0.5,Abell 168,0.406645,0.536772,-60.8869,546.0,29.0,192.0,0.14999046129020582,1.9,3.0,1.32,209743,134.677,0.191433,0.04059,10.16,0.35729865611560185,2.6472228194106817,-10.165197994911955,58.404998323340884,3.0,3.8202396924460054,97.8082,0.647337,0.944372,1.0,0.228,-0.0045999999999999375,-0.0001434868617273266,-0.004313026276545617,-0.004313026276545173,-2.2481626591744615,0.0041133
S1_latetype,1.2624760036095815,9016800216,18.6244,0.215202,0.0463062,10.4483,0.22043208833374972,3.209255954974385,-9.60316485934825,71.06786586452948,2.5,2.787558849968919,112.015,0.57149,0.752926,6.0,Abell 168,0.459627,0.606708,398.431,546.0,29.0,192.0,0.1327008707445202,1.9,3.0,1.32,496966,212.592,-1.11499,0.05417,10.38,0.21285720802439323,3.156105715593099,-9.656315098729536,74.15294669708301,3.0,2.7393603443483783,109.407,0.696266,1.15476,4.5,1.892,0.06829999999999892,0.007574880309356491,0.053150239381285935,0.05315023938128505,-3.0850808325535297,-0.007863800000000004
S1_latetype,1.5103695200776053,9016800232,18.5161,0.30759,0.0458285,9.62685,0.028018223540770423,2.7726336845603434,-10.039787129762292,72.43012584010408,3.0,1.7898233930814762,53.5683,,,1.5,Abell 168,0.754277,0.995646,261.611,546.0,29.0,192.0,0.08086275632872161,1.9,3.0,1.32,585755,184.189,-0.103492,0.04027,9.7,0.08773913157673088,2.7263418684884226,-10.086078945834213,63.64968580093377,2.0,2.0536720290468837,73.3609,0.478537,0.624404,2.5,0.232,-0.07315000000000005,-0.05972090803596046,0.04629181607192079,0.04629181607192123,8.780440039170315,0.005558500000000001
S1_latetype,1.3004821382933562,9016800266,19.0079,0.372727,0.0474076,9.81235,0.07194317840244,2.8702837748370054,-9.94213703948563,76.82540648872802,3.0,1.9803189115520843,71.1425,,,2.0,Abell 168,0.599293,0.791067,713.641,546.0,29.0,192.0,0.10177479263787564,1.9,3.0,1.32,220951,184.034,1.61065,0.04978,9.74,0.003145221683501455,2.9355296882748823,-9.876891126047754,75.29901797875483,3.0,1.6901964226606028,59.6143,,,30.5,0.338,0.07235000000000014,0.06879795671893854,-0.06524591343787689,-0.06524591343787556,1.526388509973188,-0.0023723999999999967
S1_latetype,1.0490473935835056,9016800274,19.016,0.400583,0.0471599,9.78453,0.16262944484179573,2.6610912419582937,-10.151329572364341,55.81844769597165,3.0,2.4401774044883693,56.9816,0.44623,0.538826,14.5,Abell 168,0.658114,0.86871,642.785,546.0,29.0,192.0,0.09267843110781086,1.9,3.0,1.32,595088,223.427,-0.0127279,0.04304,9.72,0.15727054564451445,2.6072790403528567,-10.205141773969778,52.76549233308188,3.0,2.4102522787737723,60.6779,0.515424,0.681265,2.5,55.866,0.06452999999999953,0.005358899197281275,0.05381220160543698,0.05381220160543698,3.0529553628897688,0.004119899999999996
S1_latetype,1.1972704277477566,9016800287,18.9498,0.241045,0.0451878,10.3391,0.4452380795520594,2.6504439725377664,-10.16197684178487,48.18090933216509,3.0,4.677674912249536,63.5719,0.562258,0.783001,0.5,Abell 168,0.328621,0.433779,78.0218,546.0,29.0,192.0,0.18560299112604892,1.9,3.0,1.32,278548,132.306,0.851876,0.04329,10.25,0.4047651377840084,2.642289856073868,-10.170130958248768,54.739484418866255,3.0,4.261447027710607,69.1954,0.557797,0.759273,9.0,0.423,0.08910000000000018,0.040472941768050996,0.008154116463898298,0.00815411646389741,-6.558575086701161,0.001897799999999998
S1_latetype,0.9763782094484468,9016800318,18.7344,0.130686,0.0415913,10.7448,0.30426365492784674,3.338092821786191,-9.474327992536445,52.49339465084698,2.5,3.3810812818940335,,,,,Abell 168,0.278752,0.367952,-954.627,546.0,29.0,192.0,0.21880756155059997,1.9,3.0,1.32,371170,130.499,0.927792,0.03977,10.71,0.2908686988267086,3.3300827339884687,-9.482338080334166,43.708015814817315,2.0,3.2783902942438616,102.822,0.276751,0.276474,22.0,0.167,0.03479999999999883,0.013394956101138111,0.008010087797722498,0.00801008779772161,8.785378836029665,0.001821299999999998
S1_latetype,0.7782533706647606,9016800321,18.542,0.201719,0.0439576,10.4108,0.1384179058160639,3.335784320009757,-9.476636494312878,58.65661832131727,2.0,2.307862137894823,102.075,0.349694,0.388107,36.5,Abell 168,0.658199,0.868823,-274.782,546.0,29.0,192.0,0.09266637725712414,1.9,3.0,1.32,550328,135.167,-0.486753,0.04051,10.41,0.13590432111690273,3.34001148940808,-9.472409324914556,65.6103365237252,2.0,2.2945434056265643,158.326,0.526308,0.663374,3.0,0.891,0.0007999999999999119,0.002513584699161159,-0.004227169398322683,-0.004227169398321351,-6.953718202407927,0.003447600000000002
S1_latetype,1.352369117161516,9016800323,18.6761,0.132734,0.0411852,10.1673,0.08725868222905407,3.194602767183776,-9.61781804713886,42.80340939973583,2.0,2.0514013582093424,91.9444,0.305583,0.324412,18.0,Abell 168,0.387444,0.511426,-1071.45,546.0,29.0,192.0,0.15742390861564792,1.9,3.0,1.32,144402,179.961,-1.38195,0.03554,10.25,0.15409959896777037,3.143620933706344,-9.668799880616291,43.44272069852479,2.5,2.3927182134143417,112.238,0.582193,0.879488,5.0,0.291,-0.08270000000000088,-0.0668409167387163,0.05098183347743168,0.05098183347743124,-0.6393112987889609,0.005645199999999996
S1_latetype,1.3619507410064422,9016800386,19.006,0.198037,0.0456029,9.59843,0.05187392266019494,2.6965022863214956,-10.11591852800114,58.95743783354355,3.0,1.8908883197056254,55.6317,0.406115,0.513473,16.5,Abell 168,0.458359,0.605034,196.979,546.0,29.0,192.0,0.13306802574345633,1.9,3.0,1.32,228428,217.307,1.07186,0.03691,9.52,0.01828237735820049,2.6852553769254834,-10.127165437397153,64.89888402393893,3.0,1.7501462180465333,55.548,0.417039,0.517827,3.5,0.323,0.07843000000000089,0.03359154530199446,0.011246909396012139,0.011246909396012583,-5.941446190395382,0.008692900000000003
S1_latetype,1.486276548774787,9016800424,18.9066,0.0928021,0.0436743,9.5165,0.012594108355890761,2.693131914930104,-10.119288899392531,47.28963414838341,3.0,1.727372752795979,42.9415,,,7.5,Abell 168,0.362803,0.4789,-356.116,546.0,29.0,192.0,0.16811584858564704,1.9,3.0,1.32,573736,129.859,-0.197143,0.05104,9.44,-0.0022699012970113755,2.646359934235907,-10.166060880086729,55.910390750071635,3.0,1.6692525763226167,64.5605,0.410925,0.513058,1.5,2.697,0.07650000000000112,0.014864009652902136,0.046771980694196635,0.046771980694197524,-8.620756601688221,-0.007365700000000003
S1_latetype,1.568452127132596,9011900087,13.9649,-1.23447,0.0385574,10.1863,0.28261436504072324,2.8228914015604376,-9.989529412762199,20.5087622439811,3.0,3.216668613943897,53.3413,,,10.0,Abell 119,0.160489,0.327399,-1623.97,840.0,36.0,372.0,0.5820354436614915,8.6,9.7,2.04,55150,180.754,-0.291177,0.04046,10.12,0.2910065103631446,2.739807110915595,-10.072613703407042,30.40892128715689,3.0,3.2794307672710756,75.343,0.50773,0.613345,3.5,0.087,0.06630000000000003,-0.008392145322421385,0.0830842906448428,0.0830842906448428,-9.90015904317579,-0.0019026000000000043
