source_identity_ids,names,surveys,prior_exposures,object_group_id,source_identities,group_holdout_key
MANGA:1-109493,1-109493,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109493,1,6f2bad291502a1438e7460ae609ef496108abb8eaea47eb04ad0c71116741563
MANGA:1-109521,1-109521,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109521,1,ac7fe6090cd62dfb669e3cd2841faca313a22b369758fa46aff47984ce61f3ea
MANGA:1-109679,1-109679,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109679,1,6420d830b975ffe6dd3da9eba4b541fc9ab13260097e3fc7dc53c8eaee561bb8
MANGA:1-109808,1-109808,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109808,1,779171aa64d45e75b97f654e87d94453db2f4ecd7c310b8a7cb389197f30de24
MANGA:1-109817,1-109817,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109817,1,b14641681df1cc831807d4e1ada973dc938ddafb930f3bee0e3fdb8dc09e05a4
MANGA:1-109836,1-109836,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109836,1,424effdac54be79c01bab8d74c704dab3f04369dc6d52128f85c9fd6bc33a751
MANGA:1-109849,1-109849,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109849,1,1114fdb7f37863f9f241162cefbfb20ad5b667a735de1b3919e4f96576e9b77b
MANGA:1-109872,1-109872,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109872,1,cb04a4e397c740180b6e81ef887a9a1f05187b10e37360af30242ccd6a0ed950
MANGA:1-109909,1-109909,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109909,1,70a2b386ca225a91e81fd39fb0a22ebb73e43f621a86c30dc4777413b8015fc4
MANGA:1-109924,1-109924,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109924,1,efc332d5a12b9078c8d7d6f122192f0159506e949663735adcbadefccd93b1d5
MANGA:1-109934,1-109934,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-109934,1,b12354d5274feaf8cad7d9ec7a1e85f52cf7a9d83257395ece5a1a4c81013494
MANGA:1-110095,1-110095,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-110095,1,ae349f2f3481f9b2e8b92bd4cd8931732b428a2969560e83fe8497ba0e988545
MANGA:1-110133,1-110133,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-110133,1,f9c63ab5cf96de8255598869c974cac2c9c63d62e779719974ef35fbd0ec573c
MANGA:1-110139,1-110139,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-110139,1,349adc58603754b43409e8ad3aed617004d562264eb3f11b93c9ddddce14032c
MANGA:1-110165,1-110165,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-110165,1,4c6a23d90bd3b23b6f607c9ebf3a444ed2d697e2e00e418bce5aeda8e31abab1
MANGA:1-113,1-113,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113,1,565a1d36d0c6d32369f5b9f5e492fee71a05eeff541c9c8a575eb25bf9347d34
MANGA:1-113208,1-113208,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113208,1,89722e48dbc34fbb86e8cc21e9de5fbe15f7cfbbf295baf1699e5007e7c6d021
MANGA:1-113219,1-113219,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113219,1,7b92d04574069e321886de29bfd6839f8b9205c1a7a3382bb3fc0beed1455cd8
MANGA:1-113242,1-113242,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113242,1,2465f03ba881512a9d4e29c9ccca7968ee0704e37c85d39f7007ccfdcac1cc84
MANGA:1-113265,1-113265,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113265,1,0972d619da65a795335ee8c2df017e3e9587bc06a5e3f0574d5c70fcd3727ac8
MANGA:1-113292,1-113292,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113292,1,5e3f007966728873d2431e82b3ff8724f7bee1fa3e76e840823b68addb26e7cc
MANGA:1-113315,1-113315,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113315,1,21d43956de8c98e2ec32dd1078750704b721ba600481a8ea9a4fcae2fcfbf829
MANGA:1-113322,1-113322,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113322,1,2d2eb69f37d335671c881ce169a30c85697888ad5830059bd9b40002685b5017
MANGA:1-113343,1-113343,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113343,1,b9790df58e5378747bf8fa27b959e7c8a19d61d5f5e26da4a977ef5350f14e5b
MANGA:1-113346,1-113346,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113346,1,71247c1d163ce1394d915d1f269b84db91c4944eb6e52ed931e79c57a5bbfea7
MANGA:1-113368,1-113368,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113368,1,dc9c3a6db08004dfa3955603a2944b1fe7205e2c323ae83b2f92f41f182d1641
MANGA:1-113375,1-113375,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113375,1,08d4bd1da56dc6af248e90cc708e0a705f615b65ea3e27db970357f5cb2f11af
MANGA:1-113379,1-113379,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113379,1,70184f4c009d79f63bf5914750e46c43534c28e84370fb0495706690b375e3f7
MANGA:1-113403,1-113403,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113403,1,2cca3ced62bd421091074d11efd8e23cfc846bc14120294d51da0f8eb5e4ba0e
MANGA:1-113404,1-113404,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113404,1,8894ef247e4f0729a86265b886f623542c67e68d0f802eeff5d213449650ded4
MANGA:1-113405,1-113405,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113405,1,48da51b2e3836e95c16cd69e6e30ed6ec8ee7ebcb636e6fad2b1c82edac50814
MANGA:1-113418,1-113418,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113418,1,24821a273f971b3501cb9a32f7ba3bbf8d38697d957684987e959116beff1a9a
MANGA:1-113468,1-113468,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113468,1,8d035e99ba6449b7e37ac288f713f8fda8d103937e4d061b8d4bc405ffb9b80f
MANGA:1-113469,1-113469,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113469,1,447defcf1d1bd5c0ce41f4173057eedbbdcd4caf793a1af80c9dc868001feee0
MANGA:1-113476,1-113476,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113476,1,6f6567c9af3b2e73631f449a534ea57e07c01748ab905cc6007a76cea056c4a2
MANGA:1-113518,1-113518,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113518,1,43ff009fdad6dbdc82984b733078d703fb12f36b622da99f9f09ceb0ba8e9703
MANGA:1-113520,1-113520,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113520,1,4c42f363d3c34ce4616c1271e1903d3c6dfa9b41ec1d9fc60fe8315c65edf395
MANGA:1-113521,1-113521,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113521,1,198f5df00c3690246b983aa671fd0b3d7a2fe2c2ed6ab541d2e4e2f7e5cd1436
MANGA:1-113525,1-113525,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113525,1,98bc4c949357de8eb0db5ffd8f17f328c502e83a496e0e74cdaca8663490269b
MANGA:1-113539,1-113539,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113539,1,e8c2ec99e955a2570e56e1285ce553f97b4915d28dc56d4418846e5979033229
MANGA:1-113540,1-113540,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113540,1,7508965b45fb0a94adfd5b9ca9432c07dbd6da4333256d59656669a0fd0fddca
MANGA:1-113551,1-113551,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113551,1,e9edda2cb52bf6da5f07e46a3a4e88281759b8fba2bc2a894e4b34542165bcaa
MANGA:1-113567,1-113567,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113567,1,4f08e599f0a1472140b67f457ec5e546f647e498b2200f555544e81adf853beb
MANGA:1-113585,1-113585,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113585,1,4d45650dfadb69cc242b0708fe5c2fb28db0f8a989e3c34edc9ec81abd3867b2
MANGA:1-113587,1-113587,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113587,1,c89cee18b3feb95eda0a5be3a2ef45327ac01ae103156d05bfddfa23679c26c0
MANGA:1-113647,1-113647,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113647,1,c6b682fe77656846cd7204ac6283775dc04023f5d73fe11943ced9784c001435
MANGA:1-113651,1-113651,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113651,1,949cc02077ade5add55a61e6078a261c39477066c78bc1cc81ed4e1de26a8f02
MANGA:1-113654,1-113654,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113654,1,f0a4ba0bd2470969edd88071ea9a659b21652709659fd46a8982014d8d22a82e
MANGA:1-113663,1-113663,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113663,1,ad67cee0d67f94fef8ae15a729d1e266f4e6bc18187bf86f3727484c1fe9f7a0
MANGA:1-113668,1-113668,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113668,1,6a20caeb822b3d1ac485edd353985c655c02ef48aeb06dbdf5ecdd3a9f236717
MANGA:1-113672,1-113672,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113672,1,f2bd84817a74c14e17b83527d56d0ff37e0aabfab1b690825577166be001cbba
MANGA:1-113675,1-113675,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113675,1,77ac1767cce134867f25317e00dfa5e1c0febb221cbd5e1f791893e762fe3fa7
MANGA:1-113698,1-113698,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113698,1,de7c2e1495ac7e2db1785c8805fa8df8f028f6feab519086e06a54f44a2da060
MANGA:1-113700,1-113700,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113700,1,f7cd4b0a64a26294f5e5daf06378c793c437ab93d8c06bad1deb7e955c919dae
MANGA:1-113712,1-113712,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113712,1,40f2bfcfd43120c8d9f25af794e373611a4525b170cb451d64ce687747f5ac85
MANGA:1-113789,1-113789,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-113789,1,4338865b53b06b9f16ff6551ccdd79ce1c50643996eaa7b7f094bea2fc33d1c2
MANGA:1-114035,1-114035,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114035,1,18d14261a756f6fd1adfe3a97d9b02a6cbcda86392bb01827323f214f4a431f6
MANGA:1-114059,1-114059,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114059,1,d32c4e08619c15ef1e84a54417431894302c1038978b857e977fb0e3ab0b4e7c
MANGA:1-114063,1-114063,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114063,1,5ba18a57775cac84c42710a4aa4d273228c97bcf92bdde68cf2eb35b6d227341
MANGA:1-114073,1-114073,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114073,1,e8c3460234b55de7200c1c8dee485ebc71b38439236ee160a78ab7090962613c
MANGA:1-114082,1-114082,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114082,1,9c432b8674d4facb981b0a4b913097184c2e11c0c07b26588ee823c0bf350ecb
MANGA:1-114093,1-114093,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114093,1,169020eecda63e37fa7fb9a507cb1549757c5465292db55f8c3e670783150d71
MANGA:1-114098,1-114098,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114098,1,5aeb87577f072edf86f84bcf1c82785ca55b5e66f3a549377447f8fae12787eb
MANGA:1-114121,1-114121,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114121,1,a862ffc58337cd980e86e9cd837cac4a555950ba5f93e23eb546d0f623be6340
MANGA:1-114124,1-114124,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114124,1,8921c8eb1c10eec27a74509ac8e23c7271945ca09e3f128c523cd41133ffd6f2
MANGA:1-114128,1-114128,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114128,1,fac7e87e95cddbec5d9290b08e56dbc8f6ac7954119d9c8a18b30f0e86271d22
MANGA:1-114129,1-114129,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114129,1,37cb5d54ad326c7c6bf39ccfe22a9be276026236e7e6fe6d8b39d405a5070018
MANGA:1-114145,1-114145,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114145,1,41ac5dba57dc8ccfba47c6110b2c584fd527bbebd0385d21159a9a01936ae0c6
MANGA:1-114147,1-114147,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114147,1,1715cbbcc8e98ea84e2793d474224f5df56f2c81b9d9e1d6f381c66f1b72becc
MANGA:1-114171,1-114171,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114171,1,27427c5491090c698b90fb2278df1e2dfa38e2aff11c7665e3d86175e1e96068
MANGA:1-114214,1-114214,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114214,1,932edd3a12633bf9f3504d26de3b7da2f894826d00be86dd0af3b205d0a5bef8
MANGA:1-114230,1-114230,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114230,1,c14f2953d94efc14b5c3571d37e99910122f2e32959d9c32a0b4d216e4f7fb35
MANGA:1-114235,1-114235,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114235,1,0c64a9b928d008624a73cc0b85d5c02ea00b5efa8d1215d4c07654c7fe61613e
MANGA:1-114245,1-114245,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114245,1,e53250db6d88d1ba151439abb616da35fc0b748d8584c1fddbcece2a5cb03eb0
MANGA:1-114252,1-114252,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114252,1,6a48d41de935242f315e80cd6bfce4751f21b5b44bb0cf6be76b373ba60ea66f
MANGA:1-114253,1-114253,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114253,1,63e7e0c6b8a6ef8a678ffa9a57cccb57f082978c0d037b5d7771d9007e242017
MANGA:1-114292,1-114292,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114292,1,61fadd385843a98a4d17cdf58be6c42c85c6d7e3bbaa1fc1559883a56cded665
MANGA:1-114303,1-114303,MaNGA_local_master,previously_processed_population_catalog,MANGA:1-114303,1,91a4ec25fda78e1e8d667ea77502dbd07db6a8c862b38dfbb9a08cba950e96dd
