name,in_void_SDSS,kappa_2phase
PGC22893,0.0,5.932338692385622e-06
PGC22896,0.0,1.9705663722015064e-06
PGC22905,1.0,0.00011957271847480722
PGC22913,0.0,5.209881682229564e-05
PGC22919,0.0,-3.867866077178272e-06
PGC22928,0.0,3.487294137400599e-05
PGC22941,1.0,3.8105229732582146e-06
PGC22942,0.0,-2.959638603093087e-05
PGC22950,0.0,3.928838901751575e-05
PGC22957,0.0,9.433035646706957e-06
PGC22965,1.0,2.6711133427490257e-05
PGC22976,0.0,-1.039549251901926e-05
PGC22990,0.0,5.509571661088072e-05
PGC22992,1.0,2.1685360139927554e-05
PGC22994,1.0,4.421370926806516e-05
PGC23014,0.0,1.072653884741754e-05
PGC23016,0.0,5.887750620338818e-05
PGC23017,1.0,2.2415291663266114e-05
PGC23018,0.0,3.315900968097908e-05
PGC23026,1.0,4.784728966851651e-06
PGC23028,1.0,3.4240135469660715e-06
PGC23033,0.0,2.3548383384096248e-05
PGC23036,0.0,2.100126585194501e-05
PGC23046,0.0,6.768994223639053e-06
PGC23058,0.0,3.00720289290064e-05
PGC23069,1.0,1.563035332208998e-05
PGC23071,0.0,3.93817718088076e-07
PGC23086,0.0,6.3460963744552445e-06
PGC23092,1.0,-2.0406719218199246e-05
PGC23100,1.0,-1.8384968147268542e-06
PGC23103,0.0,5.919328428506681e-06
PGC23107,0.0,2.4786007556579927e-05
PGC23118,0.0,2.385212975776973e-05
PGC23129,0.0,2.3641231670169867e-05
PGC23130,1.0,5.073705527405071e-05
PGC23134,0.0,4.4543422506868295e-05
PGC23138,0.0,-2.4550950382971218e-05
PGC23147,0.0,3.331469794302199e-05
PGC23154,0.0,4.452850292734664e-05
PGC23173,1.0,1.7304633020060973e-05
PGC23184,0.0,6.392834811377144e-05
PGC23198,1.0,3.8365764597260305e-05
PGC23209,0.0,1.552970487896575e-05
PGC23214,1.0,3.3189795296786293e-06
PGC23227,1.0,4.0993930260051965e-05
PGC23239,1.0,3.2207925410260696e-06
PGC23254,0.0,-2.7466562019023515e-05
PGC23256,0.0,8.71661174571757e-06
PGC23262,1.0,3.3921397235274143e-06
PGC23266,1.0,3.251914242690597e-06
