name,v_pec_lin_kms,kappa_los,kappa_2phase,dlnn_dlnr,in_void_VoidFinder,in_void_REVOLVER
19940,121.97927660432624,0.0002104761055018924,-0.0004094081058895741,28.65306115663679,1.0,1.0
1994T,46.17058689587791,3.548442152888623e-05,6.8355241651929e-05,5.056516569336049,0.0,1.0
1999aw,94.20034243659882,1.6810086615607444e-05,8.62215425501976e-05,4.859316244058594,0.0,0.0
2006cz,81.92604454141816,-2.5038340284981243e-05,0.00010082679592243804,6.9627133029181785,0.0,0.0
2006oa,-114.762044808788,1.803024207033045e-06,0.00015571769405992375,7.8937987986559,0.0,0.0
2007ba,374.43105363152307,-1.0930798812404789e-05,6.988578862746391e-05,7.901116136421631,0.0,0.0
2007jg,-52.89412934248599,3.683402810959281e-05,7.463003580488733e-05,8.018712912960597,0.0,0.0
2008050,164.20862736039703,4.5366770043911345e-05,0.00011180959184860197,-3.075464521599603,1.0,1.0
2008051,83.4829121458448,1.1874757132575066e-06,5.529661094540096e-05,4.209314600856224,0.0,1.0
2031,-261.3624553063319,3.731699649444772e-05,-8.175987552450565e-05,6.243483559224424,0.0,1.0
20376,650.5545343882033,4.61771210814736e-05,-0.0008613640146063472,-17.444078497126355,1.0,1.0
20430,-119.2358653016743,0.0001021742006437181,-0.0005009453006633999,0.8460010500013042,0.0,1.0
2246,7.333911299011925,-0.0002955097253556132,0.0019128086569751561,-14.113794181405886,0.0,0.0
2635,-174.59810790714965,-1.7202174653943528e-05,0.0009605812290560037,8.967877215395502,0.0,1.0
2916,-109.84039109027216,0.00012239784140449,-0.00012820171308219547,0.28532607556840833,1.0,1.0
2992,-180.86777715584003,-0.00029258637998273,0.0008422181208559823,35.978873732055305,0.0,1.0
5395,-85.31588754485509,6.78533493329754e-05,0.0007282565044338205,11.772013226799372,0.0,0.0
5994,315.52859881586204,0.00033978811642800915,-0.0007073979392811992,2.2422470548700146,0.0,1.0
6057,69.1771925917177,0.00013554926793956452,0.00024401272414623565,21.40042396242431,0.0,0.0
