side,fold,model,core,q,logpdf
1,1,bartlett_7_0.1,training_r02_c13,1.0001571861868408,-0.38366956363447113
1,1,bartlett_7_0.1,training_r03_c14,0.954074494079003,-0.3606282175805523
1,1,bartlett_7_0.1,training_r06_c17,0.9842197227760032,-0.3757008319290524
1,1,bartlett_7_0.1,training_r07_c18,0.9685337976294673,-0.36785786935578435
1,1,bartlett_7_0.1,training_r08_c19,1.0544911808226711,-0.41083656095238635
1,1,bartlett_7_0.1,training_r11_c19,1.0087992724222503,-0.3879906067521759
1,1,bartlett_7_0.1,training_r13_c18,0.9655281543593378,-0.3663550477207196
1,1,bartlett_7_0.1,training_r15_c17,0.9450362182550907,-0.35610907966859606
1,1,bartlett_7_0.1,training_r17_c16,0.9345817578605737,-0.35088184947133766
1,1,bartlett_7_0.1,training_r18_c14,0.9360299525462727,-0.3516059468141871
1,1,bartlett_7_0.1,training_r19_c12,0.952354603223055,-0.3597682721525782
1,1,bartlett_7_0.3,training_r02_c13,0.9912992216756399,-0.38791291374241876
1,1,bartlett_7_0.3,training_r03_c14,0.9425588926719428,-0.36354274924057023
1,1,bartlett_7_0.3,training_r06_c17,0.9721382616716887,-0.3783324337404431
1,1,bartlett_7_0.3,training_r07_c18,0.9575063417218788,-0.3710164737655382
1,1,bartlett_7_0.3,training_r08_c19,1.0393439221300962,-0.41193526396964686
1,1,bartlett_7_0.3,training_r11_c19,0.9974608087441564,-0.39099370727667704
1,1,bartlett_7_0.3,training_r13_c18,0.9566003437368263,-0.370563474773012
1,1,bartlett_7_0.3,training_r15_c17,0.9332316244520724,-0.35887911513063503
1,1,bartlett_7_0.3,training_r17_c16,0.9222425710694101,-0.3533845884393038
1,1,bartlett_7_0.3,training_r18_c14,0.92323391981852,-0.35388026281385887
1,1,bartlett_7_0.3,training_r19_c12,0.9401841423307082,-0.362355374069953
1,1,pixelcorr_mixture_0.0,training_r02_c13,1.0284152015272316,-0.3739151159666007
1,1,pixelcorr_mixture_0.0,training_r03_c14,0.9972900924523441,-0.35835256142915695
1,1,pixelcorr_mixture_0.0,training_r06_c17,1.0341762867317255,-0.37679565856884767
1,1,pixelcorr_mixture_0.0,training_r07_c18,1.0081436719075216,-0.36377935115674565
1,1,pixelcorr_mixture_0.0,training_r08_c19,1.1035513316468852,-0.41148318102642734
1,1,pixelcorr_mixture_0.0,training_r11_c19,1.0501746439702913,-0.3847948371881304
1,1,pixelcorr_mixture_0.0,training_r13_c18,1.0144905466957237,-0.36695278855084673
1,1,pixelcorr_mixture_0.0,training_r15_c17,0.9892078374164103,-0.35431143391118997
1,1,pixelcorr_mixture_0.0,training_r17_c16,0.9857610712297241,-0.35258805081784683
1,1,pixelcorr_mixture_0.0,training_r18_c14,0.9800032231021232,-0.34970912675404653
1,1,pixelcorr_mixture_0.0,training_r19_c12,0.9947624135628486,-0.35708872198440916
1,1,pixelcorr_mixture_0.25,training_r02_c13,1.0284152015272316,-0.3739151159666007
1,1,pixelcorr_mixture_0.25,training_r03_c14,0.9972900924523441,-0.35835256142915695
1,1,pixelcorr_mixture_0.25,training_r06_c17,1.0341762867317255,-0.37679565856884767
1,1,pixelcorr_mixture_0.25,training_r07_c18,1.0081436719075216,-0.36377935115674565
1,1,pixelcorr_mixture_0.25,training_r08_c19,1.1035513316468852,-0.41148318102642734
1,1,pixelcorr_mixture_0.25,training_r11_c19,1.0501746439702913,-0.3847948371881304
1,1,pixelcorr_mixture_0.25,training_r13_c18,1.0144905466957237,-0.3669527885508466
1,1,pixelcorr_mixture_0.25,training_r15_c17,0.9892078374164103,-0.35431143391119013
1,1,pixelcorr_mixture_0.25,training_r17_c16,0.9857610712297241,-0.35258805081784683
1,1,pixelcorr_mixture_0.25,training_r18_c14,0.9800032231021232,-0.34970912675404653
1,1,pixelcorr_mixture_0.25,training_r19_c12,0.9947624135628486,-0.35708872198440916
1,1,pixelcorr_mixture_0.5,training_r02_c13,1.0284152015272316,-0.3739151159666007
1,1,pixelcorr_mixture_0.5,training_r03_c14,0.9972900924523441,-0.35835256142915695
1,1,pixelcorr_mixture_0.5,training_r06_c17,1.0341762867317255,-0.37679565856884767
1,1,pixelcorr_mixture_0.5,training_r07_c18,1.0081436719075216,-0.36377935115674565
1,1,pixelcorr_mixture_0.5,training_r08_c19,1.103551331646885,-0.41148318102642734
1,1,pixelcorr_mixture_0.5,training_r11_c19,1.0501746439702913,-0.3847948371881304
1,1,pixelcorr_mixture_0.5,training_r13_c18,1.0144905466957237,-0.36695278855084673
1,1,pixelcorr_mixture_0.5,training_r15_c17,0.9892078374164103,-0.35431143391119
1,1,pixelcorr_mixture_0.5,training_r17_c16,0.9857610712297241,-0.35258805081784683
1,1,pixelcorr_mixture_0.5,training_r18_c14,0.9800032231021232,-0.34970912675404653
1,1,pixelcorr_mixture_0.5,training_r19_c12,0.9947624135628486,-0.35708872198440916
