name	normalized_identity	survey	z_lens	z_source	catalog_ra_deg	catalog_dec_deg	tractor_release	tractor_brickid	tractor_brickname	tractor_objid	tractor_type	tractor_ra_deg	tractor_dec_deg	center_separation_arcsec	reff_arcsec	reff_kpc	axis_ratio	sersic	z_luminosity_Lsun	g_minus_r	r_minus_z	max_fracflux_grz	max_fracmasked_grz	shape_signal_to_noise	minimum_flux_signal_to_noise_grz
SDSSJ1545+2748	J1545+2748	BELLS	5.220000000000e-01	1.289000000000e+00	2.362649000000e+02	2.780147000000e+01	9010	485139	2362p277	2065	DEV	2.362648982150e+02	2.780147127109e+01	6.872745277499e-03	2.831580400467e+00	1.767991811240e+01	7.047055107615e-01	4.000000000000e+00	1.929413178227e+11	1.737677470376e+00	1.231738982740e+00	4.617444053292e-02	1.258989572525e-01	9.885493834558e+01	3.962051355503e+01
SDSSJ1601+2138	J1601+2138	BELLS	5.440000000000e-01	1.446000000000e+00	2.403053100000e+02	2.164275000000e+01	9010	453738	2403p217	2805	DEV	2.403053203573e+02	2.164279352900e+01	1.605047224227e-01	8.781867027283e-01	5.599817417576e+00	7.278560626435e-01	4.000000000000e+00	9.914457376039e+10	1.583289831061e+00	1.133510163622e+00	9.294994175434e-02	2.524224109948e-02	2.818130453675e+02	4.578720595820e+01
SDSSJ1631+1854	J1631+1854	BELLS	4.080000000000e-01	1.086000000000e+00	2.479596900000e+02	1.890113000000e+01	9010	438899	2479p190	2841	SER	2.479597000361e+02	1.890114071199e+01	5.161427127671e-02	1.853274345398e+00	1.007768678470e+01	8.344887961699e-01	2.776357412338e+00	2.716339793281e+11	1.554739612674e+00	8.909599133162e-01	3.317781686783e-01	5.415904335678e-03	2.958447108836e+02	8.751763332816e+01
SDSSJ2122+0409	J2122+0409	BELLS	6.260000000000e-01	1.452000000000e+00	3.207168500000e+02	4.159870000000e+00	9010	356121	3208p042	579	DEV	3.207168509540e+02	4.159879641947e+00	3.477364616810e-02	2.099566936493e+00	1.431023236881e+01	9.095036869935e-01	4.000000000000e+00	2.223435064622e+11	1.260930766110e+00	1.286332202134e+00	2.288056015968e-01	6.443672627211e-02	1.406558969708e+02	3.115107423970e+01
SDSSJ2125+0411	J2125+0411	BELLS	3.630000000000e-01	9.780000000000e-01	3.212944700000e+02	4.192100000000e+00	9010	356123	3213p042	2736	DEV	3.212944890104e+02	4.192106806999e+00	7.247406842873e-02	1.924518227577e+00	9.732643671484e+00	7.152709247649e-01	4.000000000000e+00	1.719688420762e+11	1.584400582696e+00	8.897510593132e-01	6.388131529093e-02	3.791958987713e-01	2.338075785899e+02	1.576190715663e+02
SDSSJ2303+0037	J2303+0037	BELLS	4.580000000000e-01	9.360000000000e-01	3.458965400000e+02	6.175500000000e-01	9010	334631	3458p005	6110	DEV	3.458965391785e+02	6.175388692781e-01	4.007464709862e-02	1.524876594543e+00	8.870635768096e+00	8.038818754908e-01	4.000000000000e+00	1.307247533227e+11	1.660964945967e+00	1.001903985386e+00	1.522020436823e-02	3.692257776856e-02	3.187677439565e+02	8.761106445125e+01
SDSSJ0841+3824	J0841+3824	SLACS	1.160000000000e-01	6.570000000000e-01	1.303700200000e+02	3.840381000000e+01	9011	536679	1304p385	1056	DEV	1.303700211398e+02	3.840380627171e+01	1.339744696081e-02	5.607113361359e+00	1.177856088805e+01	5.216013371460e-01	4.000000000000e+00	1.304349720561e+11	1.030922157305e+00	6.938345438207e-01	3.747443109751e-02	3.323391824961e-02	9.468742588603e+02	5.518891317516e+02
SDSSJ1330-0148	J1330-0148	SLACS	8.100000000000e-02	7.120000000000e-01	2.026897000000e+02	-1.811550000000e+00	9010	321098	2026m017	4739	DEV	2.026896986582e+02	-1.811551916942e+00	8.693411542025e-03	1.370845913887e+00	2.093290165482e+00	4.292824707108e-01	4.000000000000e+00	1.650878847983e+10	9.127704379577e-01	6.599026586686e-01	7.601972669363e-03	7.830911874771e-02	1.037041819322e+03	5.099379142050e+02
SL2SJ085559-040917	J085559-040917	SL2S	4.190000000000e-01	2.950000000000e+00	1.339996700000e+02	-4.154930000000e+00	9010	306433	1340m042	1546	SER	1.339996677852e+02	-4.154930175700e+00	8.131941878121e-03	1.887564301491e+00	1.042882850433e+01	8.120331990265e-01	6.000000000000e+00	1.165904935973e+11	1.804578347483e+00	9.357682335031e-01	2.838381193578e-02	2.087381631136e-01	1.145060643888e+02	5.548661531540e+01
SL2SJ141137+565119	J141137+565119	SL2S	3.220000000000e-01	1.420000000000e+00	2.129041700000e+02	5.685528000000e+01	9011	607703	2128p567	2329	SER	2.129043255853e+02	5.685529489821e+01	3.109034287713e-01	8.107833862305e-01	3.790208381614e+00	8.808764434076e-01	3.022513389587e+00	6.316593437964e+10	1.294801824216e+00	7.735586037347e-01	0.000000000000e+00	4.450287204236e-03	1.621033816500e+02	9.042456183923e+01
SL2SJ142031+525822	J142031+525822	SL2S	3.800000000000e-01	9.900000000000e-01	2.151328700000e+02	5.297286000000e+01	9011	595235	2149p530	3254	DEV	2.151325089121e+02	5.297277783344e+01	8.368283549688e-01	1.594246149063e+00	8.298956788296e+00	5.822266590504e-01	4.000000000000e+00	8.853962801127e+10	1.751092630017e+00	9.074049558234e-01	6.878685206175e-02	3.749424219131e-02	1.001018804949e+02	4.523705278099e+01
SDSSJ002927.38+254401.7	J00292738+2544017	BELLS	5.869000000000e-01	2.450400000000e+00	7.364110000000e+00	2.573383000000e+01	9010	474010	0073p257	2721	REX	7.364127216139e+00	2.573380631179e+01	1.018929396835e-01	7.937804460526e-01	5.252270311433e+00	1.000000000000e+00	1.000000000000e+00	1.099762976775e+11	1.248064601868e+00	1.158189322758e+00	1.798143386841e-01	4.952712450176e-03	2.888117377861e+02	4.305848365593e+01
SDSSJ023740.63-064112.9	J02374063-0641129	BELLS	4.859000000000e-01	2.249100000000e+00	3.941933000000e+01	-6.686940000000e+00	9010	291712	0393m067	7355	DEV	3.941930376428e+01	-6.686927800435e+00	1.035483484968e-01	1.411764621735e+00	8.486038052183e+00	7.521233973498e-01	4.000000000000e+00	6.703977273638e+10	1.576998521253e+00	1.007443462567e+00	2.858817204833e-02	3.796205669641e-02	1.179017283463e+02	4.480286935003e+01
SDSSJ074249.68+334148.9	J07424968+3341489	BELLS	4.936000000000e-01	2.363300000000e+00	1.157070200000e+02	3.369694000000e+01	9011	514471	1156p337	3931	DEV	1.157070573352e+02	3.369694656942e+01	1.143026596708e-01	1.245377063751e+00	7.549786725087e+00	8.855243380369e-01	4.000000000000e+00	1.148001424089e+11	1.330222965926e+00	1.042034061356e+00	1.809075325727e-01	2.608517557383e-02	9.556270561574e+01	5.459264390535e+01
SDSSJ085621.59+201040.5	J08562159+2010405	BELLS	5.074000000000e-01	2.233500000000e+00	1.340899600000e+02	2.017793000000e+01	9010	445264	1341p202	1435	DEV	1.340899311621e+02	2.017790999302e+01	1.211632051137e-01	1.002541065216e+00	6.167596275003e+00	7.538630011433e-01	4.000000000000e+00	7.663897696050e+10	1.693541214646e+00	1.098833070856e+00	1.130853518844e-01	4.643869400024e-02	6.031504494065e+01	3.522156455875e+01
SDSSJ091807.86+451856.7	J09180786+4518567	BELLS	5.238000000000e-01	2.344000000000e+00	1.395327700000e+02	4.531577000000e+01	9011	565740	1395p452	2128	REX	1.395328065370e+02	4.531573197183e+01	1.652320028970e-01	7.632684707642e-01	4.774204960442e+00	1.000000000000e+00	1.000000000000e+00	5.877879747721e+10	1.262460866871e+00	1.116502784953e+00	1.164500880986e-02	3.518820740283e-03	7.219604166721e+01	2.845887674018e+01
SDSSJ091859.21+510452.5	J09185921+5104525	BELLS	5.811000000000e-01	2.403000000000e+00	1.397467000000e+02	5.108123000000e+01	9011	587929	1398p510	1221	DEV	1.397467245870e+02	5.108122008004e+01	6.606420812212e-02	1.483756065369e+00	9.771546588530e+00	7.370401270350e-01	4.000000000000e+00	1.221468331230e+11	9.459350600538e-01	1.162527338431e+00	2.877303361893e-01	2.224487066269e-02	9.018275144543e+01	5.587376297240e+01
SDSSJ111027.11+280838.4	J11102711+2808384	BELLS	6.073000000000e-01	2.399900000000e+00	1.676129500000e+02	2.814401000000e+01	9010	487443	1676p282	1612	DEV	1.676129316799e+02	2.814402803077e+01	8.709696435865e-02	8.023399710655e-01	5.394036316563e+00	7.065174729581e-01	4.000000000000e+00	1.046627955574e+11	1.642672654308e+00	1.298385251390e+00	7.953161746264e-02	1.718316413462e-02	7.086725251968e+01	3.456255213456e+01
SDSSJ111634.55+091503.0	J11163455+0915030	BELLS	5.501000000000e-01	2.453600000000e+00	1.691439900000e+02	9.250840000000e+00	9010	384134	1692p092	691	SER	1.691440140371e+02	9.250861756551e+00	1.159030979029e-01	1.033827304840e+00	6.629102419174e+00	5.226034154542e-01	2.439413547516e+00	9.969167388595e+10	1.556830842048e+00	1.165065130046e+00	1.388520598412e-01	1.124061178416e-02	9.561543064447e+01	4.968151257452e+01
SDSSJ114154.71+221628.8	J11415471+2216288	BELLS	5.858000000000e-01	2.762400000000e+00	1.754779600000e+02	2.227469000000e+01	9010	456172	1755p222	1070	DEV	1.754779641252e+02	2.227470310280e+01	4.908121850687e-02	8.044015765190e-01	5.317829732266e+00	7.497948087271e-01	4.000000000000e+00	9.581856040151e+10	1.522744681619e+00	1.232000471580e+00	6.335975974798e-02	3.068146295846e-02	7.040375298124e+01	2.769639153806e+01
SDSSJ120159.02+474323.2	J12015902+4743232	BELLS	5.628000000000e-01	2.125800000000e+00	1.804959300000e+02	4.772311000000e+01	9011	575801	1805p477	1618	DEV	1.804959309932e+02	4.772306014887e+01	1.794826344159e-01	1.200687527657e+00	7.786191719358e+00	9.527375349850e-01	4.000000000000e+00	1.467239647580e+11	9.692479228307e-01	1.164075481047e+00	2.009044028819e-02	4.198376089334e-02	1.087322405269e+02	6.733992668993e+01
SDSSJ122656.45+545739.0	J12265645+5457390	BELLS	4.980000000000e-01	2.732200000000e+00	1.867353100000e+02	5.496079000000e+01	9011	601966	1867p550	1909	DEV	1.867352808855e+02	5.496079966536e+01	6.941132487021e-02	1.075074315071e+00	6.548453092854e+00	8.550335303541e-01	4.000000000000e+00	1.397117257927e+11	1.598774951300e+00	1.099621105272e+00	2.501995302737e-03	4.356116428971e-02	1.176245081150e+02	4.370275895370e+01
SDSSJ222825.76+120503.9	J22282576+1205039	BELLS	5.305000000000e-01	2.832400000000e+00	3.371073600000e+02	1.208443000000e+01	9012	400376	3371p120	1800	DEV	3.371073592442e+02	1.208443921648e+01	3.338768055025e-02	8.872169852257e-01	5.585844125948e+00	9.136032370603e-01	4.000000000000e+00	8.251268017247e+10	1.552751193647e+00	1.153322571647e+00	7.292859256268e-02	3.721362352371e-02	6.095625511662e+01	3.940924905070e+01
SDSSJ234248.68-012032.5	J23424868-0120325	BELLS	5.270000000000e-01	2.264900000000e+00	3.557028500000e+02	-1.342370000000e+00	9010	324590	3556m012	6858	SER	3.557028431176e+02	-1.342386642993e+00	6.483734927336e-02	1.270015001297e+00	7.968828712755e+00	6.720462670684e-01	2.776971340179e+00	1.021575721940e+11	1.509297789093e+00	1.153828119312e+00	3.615163266659e-02	1.230335608125e-02	2.415563675798e+02	7.255319262810e+01
SL2SJ023307-043838	J023307-043838	SL2S	6.710000000000e-01	1.870000000000e+00	3.827937000000e+01	-4.643950000000e+00	9010	303178	0382m047	6257	DEV	3.827947542160e+01	-4.643971581461e+00	3.861602251516e-01	1.800125837326e+00	1.264295356508e+01	9.025201819262e-01	4.000000000000e+00	1.841731436761e+11	1.394028273486e+00	1.414485638639e+00	2.514477968216e-01	5.992716178298e-02	1.304875230608e+02	4.374827184999e+01
