galaxy	response_log10_velocity	response_upper_log10_velocity	response_lower_log10_velocity	response_radius_1_4_log10_velocity	curve_shape_log_ratio	mass_quartile	mass_stratum	phase_stratum	log_mstar	log_matomic	log_mmol	log_mbar	log_lstar	log_re	log_r25	log_sfr	inclination	co_covering_fraction	rco_over_r25	co_aperture_correction	stellar_fraction	atomic_fraction	molecular_fraction	phase_entropy	atomic_molecular_boundary	stellar_gas_boundary	molecular_to_atomic	gas_to_stars	stellar_structure_mismatch	molecular_atomic_ratio_squared	phase_entropy_squared	phase_entropy_x_structure	molecular_atomic_x_structure	gas_stars_x_coverage	phase_boundary_x_coverage
NGC3137	2.0491475733575046	2.057833020408718	2.0444504490802666	2.0422873309043816	0.07245874452574555	q1	low_mass	atomic_dominant	9.88	9.813538908370218	8.555909668806787	10.160012673605989	0.47712125471966244	0.6127838567197355	1.1205739312058498	-0.3	47.2	0.3	0.53	1.35	0.52479214551242	0.4503251836097473	0.024882670877832625	0.7186615088488225	0.04482117332704356	0.997541398083564	-1.2576292395634296	-0.04310371611190302	-0.08912935449260843	1.5816313042048904	0.5164743643008662	-0.06405383638237956	0.1120916823133185	-0.022844969539308604	0.023755221863333086
NGC3351	2.3009467479101184	2.335935996592119	2.2723926404924093	2.2953201599284747	0.10340441541869623	q2	low_mass	molecular_dominant	10.37	9.063538908370218	9.145907598482074	10.414958739727528	0.3222192947339193	0.47712125471966244	1.021189299069938	0.12	45.1	0.25	0.58	1.55	0.9016567957007534	0.04452256418164507	0.05382064011760164	0.35422268966518	0.009584931615732562	0.35468727386961335	0.08236869011185677	-0.9622969055474354	-0.06988999650693829	0.006784601110743091	0.12547371387363443	-0.024756622543377717	-0.005756747464198752	-0.5581322052175125	0.005559260337124885
NGC3621	2.090733482067333	2.093811441284329	2.088419617016091	2.068749089350567	0.16146351935783307	q2	low_mass	atomic_dominant	10.06	9.793538908370218	9.05937962126774	10.275183472912971	0.3010299956639812	0.43136376415898736	0.9912260756924949	0.0	67.5	0.34	0.83	1.27	0.6092794454525429	0.32987958190350114	0.06084097264395599	0.7628296997932701	0.08028077847356221	0.9522320112063388	-0.7341592871024784	-0.1929502684301193	-0.09445818799767533	0.5389898588388192	0.5819091508866906	-0.07205551119328293	0.0693473559613652	-0.16014872279699902	0.06663304613305664
NGC3627	2.2987246604811973	2.312873883974093	2.2834651891553497	2.3001796837809882	0.043109680356227115	q4	high_mass	molecular_dominant	10.84	9.223538908370218	9.8700338895387	10.893595020466625	0.568201724066995	0.5563025007672873	1.2278867046136734	0.59	55.7	0.4	0.58	1.16	0.8839037563443937	0.021376858764940828	0.09471938489066552	0.3773138850728368	0.008099211652439308	0.41047162345865773	0.6464949811684833	-0.8815868113540922	-0.23669117979238913	0.4179557606760375	0.1423657678687579	-0.08930686860993967	-0.1530196598226267	-0.5113203505853735	0.004697542758414798
NGC4303	2.253170750360046	2.39489083164607	2.139286615292666	2.257734717598581	0.06191634009718792	q3	high_mass	molecular_dominant	10.51	9.803538908370218	9.97170393599002	10.682052920175998	0.4913616938342727	0.5314789170422551	1.2304489213782739	0.73	24.2	0.56	0.49	1.4	0.6728946569156334	0.13227750301344787	0.19482784007091877	0.7762741340045758	0.103085360808338	0.880429750440102	0.16816502761980218	-0.31325944168157877	-0.18467473328469902	0.02827947651436883	0.6026015311245541	-0.14335821865310575	-0.03105583162350101	-0.1534971264239736	0.05051182679608562
NGC4321	2.2229582564460495	2.246804415984511	2.200653361695099	2.215499120468172	0.04863527562502687	q4	high_mass	molecular_dominant	10.75	9.563538908370218	9.942485913319837	10.83666744547914	0.5563025007672873	0.7403626894942439	1.130333768495006	0.55	33.2	0.3	1.03	1.25	0.819091755351485	0.05331770689790464	0.12759053775061038	0.5301754727270918	0.027211339578932327	0.5927218066668323	0.37894700494962047	-0.6558741948265324	-0.04073176776572486	0.1436008325602877	0.2810860318813952	-0.021594984230203295	-0.015435181401124931	-0.6755504206713284	0.028027679766300297
NGC4496A	1.8278271304369813	1.846435673006914	1.8078121800441622	1.8078197290873341	0.20962348299943673	q1	low_mass	atomic_dominant	9.55	9.373538908370218	8.436273740665394	9.79131251933119	0.2787536009528289	0.47712125471966244	0.8633228601204559	-0.21	29.1	0.12	0.8	1.15	0.5737034752610854	0.3821434226620903	0.04415310207682421	0.7501666096967781	0.067491270195145	0.9782711909377542	-0.9372651677048246	-0.1289756884694039	-0.026424302725847948	0.878465994592753	0.5627499423039581	-0.019822629589450688	0.02476657852582493	-0.10318055077552313	0.05399301615611601
NGC4535	2.2297701253865876	2.3006776037190075	2.16848579611038	2.2263488783346164	0.27901310623013453	q3	high_mass	atomic_dominant	10.54	9.693538908370218	9.685995902620675	10.64801229772159	0.5797835966168101	0.7993405494535817	1.271841606536499	0.34	22.4	0.33	0.54	1.78	0.7798080287372623	0.1110520578490517	0.10913991341368601	0.6187514686441802	0.048480847912228606	0.6868298682166696	-0.007543005749542791	-0.549186222791896	-0.005235003655909915	5.68969357376356e-05	0.3828533799493299	-0.0032391662004519124	3.948766267540602e-05	-0.29656056030762384	0.02617965787260345
NGC4536	2.2208887671892694	2.227890387963482	2.211593395856277	2.2215435939890606	-0.09041220290765553	q3	high_mass	atomic_dominant	10.4	9.673538908370217	9.470881765576552	10.515763836147123	0.43136376415898736	0.6434526764861874	1.2227164711475833	0.53	67.7	0.25	0.84	1.06	0.7660130418901979	0.1438053595327911	0.09018159857701093	0.6372011291794486	0.0518743888264356	0.716948246177295	-0.20265714279366556	-0.5150445123350137	-0.012703044165481283	0.041069917525292154	0.40602527902756436	-0.00809439408626108	0.0025743626353581807	-0.43263739036141147	0.043574486614205904
NGC4548	2.283732293251436	2.33263209861282	2.2446186479687915	2.2953024112044353	-0.055972845961620214	q4	high_mass	molecular_dominant	10.7	8.973538908370218	9.286605895975763	10.724228988033367	0.47712125471966244	0.7323937598229685	1.1172712956557642	-0.28	38.3	0.25	0.69	2.0	0.945738375673799	0.017754560262072398	0.03650706406412851	0.22317264966715955	0.0025926674756716287	0.20526920180673258	0.3130669876055456	-1.2412782217053169	0.030480548610624623	0.09801093872841082	0.04980603155946073	0.0068024247967417555	0.009542453534092648	-0.8564819729766686	0.0017889405582134238
NGC4569	2.287631187361706	2.304930810390974	2.272739728745402	2.284801023493706	0.12999413025157283	q4	high_mass	molecular_dominant	10.81	8.973538908370218	9.78170393599002	10.854643606382608	0.6334684555795865	0.7708520116421442	1.320146286111054	0.12	69.7	0.33	0.58	1.4	0.9023112945456102	0.013149078011577964	0.08453962744281178	0.3263806446549627	0.004446472625261077	0.3525824891241409	0.8081650276198028	-0.9655120391349029	-0.08740840043012378	0.6531307118677167	0.10652432520538903	-0.028528410080642917	-0.07064041234781376	-0.5599969826982436	0.0025789541226514247
NGC4579	2.432559910320257	2.4905551422954098	2.378845865375944	2.428643981180026	0.06599719191315685	q4	high_mass	molecular_dominant	11.15	9.153538908370217	9.755454986713017	11.17135294980922	0.6434526764861874	0.7323937598229685	1.1846914308175989	0.33	41.3	0.49	0.72	1.38	0.9520221440332567	0.009598115208312686	0.03837974075843075	0.1970934820683377	0.0014734926938583697	0.18270392521431145	0.6019160783428001	-1.2976062138665438	-0.13585087315590036	0.36230296536757595	0.03884584067382216	-0.026775321632320468	-0.08177082480944473	-0.9342764739839116	0.0010609147395780262
NGC4654	2.188689017019076	2.2119074429641365	2.1806182171141932	2.1792817093102816	0.06761418141025723	q3	high_mass	atomic_dominant	10.57	9.883538908370218	9.737457907617907	10.701263102560107	0.6020599913279624	0.7481880270062004	1.1789769472931695	0.58	58.6	0.37	0.91	1.18	0.7391573460196378	0.15215134849878964	0.10869130548157266	0.6836819089616138	0.06615011479646067	0.7712150553793733	-0.14608100075231065	-0.4523582870915488	-0.07866392081444344	0.021339658780796585	0.46742095264139644	-0.05378109954882392	0.011491304275674418	-0.4116460412533094	0.060196604464779216
NGC4689	2.1314170801279997	2.1546906460340174	2.114063267841572	2.1275172902021655	0.1080404560947908	q2	low_mass	molecular_dominant	10.24	8.673538908370217	9.121122861704313	10.282650201445513	0.47712125471966244	0.6720978579357175	0.919078092376074	-0.39	35.3	0.41	0.7	1.19	0.9064624088822004	0.024597371867548443	0.06894021925025134	0.3318164116448669	0.006782992838115016	0.33915324066271646	0.4475839533340964	-0.9863636172637849	-0.0298153532766264	0.20033139528217858	0.11010213103687577	-0.009893223536174198	-0.01334487368960515	-0.6904545320846494	0.00474809498668051
NGC4781	1.9944271424085818	2.0116050476374334	1.974582764456122	1.9999982772951383	0.12746397241728946	q1	low_mass	atomic_dominant	9.64	9.073538908370217	8.66676519938172	9.779158586011848	0.04139268515822508	0.3010299956639812	0.785329835010767	-0.32	61.5	0.33	0.92	1.05	0.7258408625943967	0.1969610370926777	0.07719810031292568	0.6829736144316675	0.06082007159687364	0.7959836191304756	-0.40677370898849696	-0.42283868899680577	0.03484535401307469	0.16546485032425842	0.466452958009856	0.02379845737646063	-0.014174173892915599	-0.3890115938770613	0.05595446586912375
NGC4941	2.217319407564125	2.223931185429264	2.212391293141947	2.208088079778014	0.20708095205596644	q2	low_mass	molecular_dominant	10.18	8.623538908370218	8.729379621267737	10.206614284530971	0.3424226808222063	0.5314789170422551	0.8633228601204559	-0.35	39.4	0.46	0.83	1.27	0.9405582896881302	0.02611708026952437	0.03332463004234549	0.24229876599926994	0.0034813681510725615	0.22363357354827842	0.10584071289752059	-1.1992944186141992	-0.0357357202726326	0.011202256506655382	0.05870869200476897	-0.008658720924153974	-0.0037822941095618135	-0.9954143674497853	0.002889535565390226
NGC5042	2.1079365785339275	2.259050073245498	2.059472283487839	2.0855932061148046	0.09347764619952788	q1	low_mass	atomic_dominant	9.9	9.423538908370217	8.78039372332132	10.049147331846344	0.38021124171160603	0.5185139398778874	1.0086001717619175	-0.22	57.4	0.28	0.53	1.84	0.7093370887096303	0.23680538631989598	0.05385752497047378	0.6754574534911681	0.051015008027465954	0.8247119331623056	-0.6431451850488982	-0.3874630490063686	-0.08648925832640003	0.41363572905158147	0.45624277147677356	-0.058419814183489974	0.055625150051074504	-0.20535541597337537	0.02703795425455696
NGC5530	2.0128154391604833	2.01929696646426	2.006329670914713	1.9995669518118602	0.08161157448355454	q1	low_mass	atomic_dominant	10.08	9.243538908370217	8.842680698676588	10.160491888935349	0.2304489213782739	0.5314789170422551	0.9344984512435677	-0.48	66.5	0.3	0.7	1.34	0.8308222353391661	0.12107292075657448	0.04810484390425932	0.5057115478744687	0.023296775816111094	0.5622265944207893	-0.40085820969362784	-0.6911648287190526	0.07623803917129972	0.1606873042787805	0.25574416965359104	0.03855445679623236	-0.030560643892759875	-0.4838153801033368	0.016307743071277764
NGC5643	2.2031321973921805	2.296468470267476	2.138882107781364	2.198615579612257	0.030519051042466598	q2	low_mass	molecular_dominant	10.34	9.253538908370217	9.410881765576553	10.419064204457596	0.2041199826559248	0.5440680443502757	0.9867717342662449	0.41	29.9	0.41	0.76	1.06	0.833557945448641	0.06830849295867933	0.09813356159267964	0.5123569812738186	0.026813422804254725	0.5549563881123256	0.15734285720633573	-0.6996727274817515	0.11515610520166941	0.024756774713853354	0.2625096762600201	0.059001034436377615	0.018118990617184045	-0.5317512728861311	0.02037820133123359
NGC6300	2.2210149729523967	2.2493821086752086	2.2073923820734076	2.2241763129594907	-0.058703669742855416	q3	high_mass	molecular_dominant	10.47	9.263538908370219	9.334793922981964	10.525153358311758	0.3222192947339193	0.5563025007672873	0.9542425094393249	0.29	53.2	0.32	0.79	1.12	0.8807378114587003	0.05475017984004334	0.0645120087012563	0.4075310886769351	0.014128176312944893	0.4201548757025565	0.07125501461174591	-0.8683438670098246	0.009291249540686499	0.005077277107320123	0.16608158823820796	0.0037864730404850422	0.0006620481217829939	-0.6859916549377615	0.011161259287226466
NGC6744	2.286163323108625	2.2972305382141185	2.2740032005764177	2.2659723600551347		q4	high_mass	atomic_dominant	10.72	10.443538908370218	9.534908594142044	10.922597478401036	0.6812412373755872	0.8450980400142568	1.3304137733491908	0.38	53.5	0.14	0.53	2.75	0.6271949048370163	0.3318497004611077	0.040955394701876	0.7186368071858471	0.05436414185633595	0.9352858247340095	-0.9086303142281741	-0.22592068233213106	-0.0609351538540118	0.8256090479343904	0.5164388606422684	-0.04379024441102541	0.055367527993912875	-0.11973796163602947	0.028812995183858055
