model_id,fold,block_id,q_over_n,mean_logpdf_per_channel
channel_constant__bartlett3_shrink_010,1,training_r11_c19,1.0040781477420642,-0.3931119371053485
channel_constant__bartlett3_shrink_010,1,training_r13_c18,0.963098222636674,-0.37262197455265345
channel_constant__bartlett3_shrink_010,1,training_r15_c17,0.9399199299714974,-0.3610328282200651
channel_constant__bartlett3_shrink_010,1,training_r17_c16,0.9269164119207247,-0.35453106919467875
channel_constant__bartlett3_shrink_010,1,training_r18_c14,0.9280711391173168,-0.3551084327929747
channel_constant__bartlett3_shrink_010,1,training_r19_c12,0.9462718777848615,-0.36420880212674717
channel_constant__bartlett3_shrink_010,2,training_r02_c12,0.9953956951859779,-0.3872683531220777
channel_constant__bartlett3_shrink_010,2,training_r08_c18,0.937113912339997,-0.35812746169908716
channel_constant__bartlett3_shrink_010,2,training_r09_c19,0.9795994747551434,-0.37937024290666066
channel_constant__bartlett3_shrink_010,2,training_r12_c19,0.9891839664129091,-0.3841624887355434
channel_constant__bartlett3_shrink_010,2,training_r14_c18,0.927678734829703,-0.3534098729439404
channel_constant__bartlett3_shrink_010,2,training_r16_c17,0.9939833510959184,-0.38656218107704793
channel_constant__bartlett3_shrink_010,2,training_r17_c15,1.008111775103775,-0.39362639308097624
channel_constant__bartlett3_shrink_010,2,training_r18_c13,0.9735465620997618,-0.3763437865789697
channel_affine_sky__diagonal,0,training_r02_c14,1.03517730358605,-0.4144425840780722
channel_affine_sky__diagonal,0,training_r03_c15,1.0565070525942546,-0.42510745858217447
channel_affine_sky__diagonal,0,training_r04_c16,1.0195234261656305,-0.4066156453678624
channel_affine_sky__diagonal,0,training_r05_c17,1.057282691700168,-0.42549527813513116
channel_affine_sky__diagonal,0,training_r06_c18,1.0019440508158821,-0.39782595769298823
channel_affine_sky__diagonal,0,training_r09_c18,1.0326034998233748,-0.41315568219673454
channel_affine_sky__diagonal,0,training_r10_c19,1.0402386312172756,-0.4169732478936849
channel_affine_sky__diagonal,0,training_r12_c18,1.0498166577630939,-0.4217622611665941
channel_affine_sky__diagonal,0,training_r16_c16,1.0447608455506943,-0.4192343550603943
channel_affine_sky__diagonal,0,training_r18_c12,1.0021383098633954,-0.39792308721674485
channel_affine_sky__diagonal,1,training_r02_c13,1.0409050633147234,-0.4231925263055277
channel_affine_sky__diagonal,1,training_r03_c14,0.9844581265925425,-0.39496905794443726
channel_affine_sky__diagonal,1,training_r06_c17,1.0123373634744675,-0.4089086763853997
channel_affine_sky__diagonal,1,training_r07_c18,0.9919086381136686,-0.3986943137050002
channel_affine_sky__diagonal,1,training_r08_c19,1.0530815169130339,-0.42928075310468283
channel_affine_sky__diagonal,1,training_r11_c19,1.0350078666233467,-0.42024392795983934
channel_affine_sky__diagonal,1,training_r13_c18,1.005135117756666,-0.40530755352649905
channel_affine_sky__diagonal,1,training_r15_c17,0.9688572709361842,-0.3871686301162582
channel_affine_sky__diagonal,1,training_r17_c16,0.9604975978411119,-0.3829887935687219
channel_affine_sky__diagonal,1,training_r18_c14,0.9584981231659581,-0.381989056231145
channel_affine_sky__diagonal,1,training_r19_c12,0.9928071483218348,-0.39914356880908336
channel_affine_sky__diagonal,2,training_r02_c12,1.007779113733971,-0.4049792398543725
channel_affine_sky__diagonal,2,training_r08_c18,0.9582982299675786,-0.38023879797117627
channel_affine_sky__diagonal,2,training_r09_c19,1.0194526128553805,-0.4108159894150772
channel_affine_sky__diagonal,2,training_r12_c19,1.0248907540208578,-0.41353505999781587
channel_affine_sky__diagonal,2,training_r14_c18,0.9716164599811937,-0.3868979129779838
channel_affine_sky__diagonal,2,training_r16_c17,1.0418612811900498,-0.422020323582412
channel_affine_sky__diagonal,2,training_r17_c15,1.0383851695888218,-0.42028226778179784
channel_affine_sky__diagonal,2,training_r18_c13,0.998395399892006,-0.40028738293338995
channel_affine_sky__full_shrink_010,0,training_r02_c14,1.0532827805692229,-0.38121633198566296
channel_affine_sky__full_shrink_010,0,training_r03_c15,1.0204494670743383,-0.36479967523822054
channel_affine_sky__full_shrink_010,0,training_r04_c16,1.0463528032498912,-0.3777513433259971
channel_affine_sky__full_shrink_010,0,training_r05_c17,1.0444009192391708,-0.37677540132063686
channel_affine_sky__full_shrink_010,0,training_r06_c18,1.0197308479760854,-0.3644403656890941
