plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip
8486-3702	56.88251	0.9445854	-58.23765	53.85653
8546-3703	177.7274	1.178493	-8.495675	20.40611
8547-1902	251.6288	1.022397	-82.72685	124.1467
8547-6101	91.18165	0.9717818	-65.20765	81.68895
8548-3703	268.6534	0.9864178	-58.34573	81.16214
8550-1901	118.6626	1.203267	-85.48591	34.50225
8550-6101	195.6918	1.060343	-45.65378	6.347132
8551-6102	168.6074	0.9589649	-42.40477	54.03168
8552-6103	220.4169	0.9583006	-97.24463	58.66201
8555-3702	264.5505	1.107248	-85.42986	62.11882
8563-1901	50.8089	0.8896745	-58.19508	47.14928
8565-1901	104.3829	1.218972	-116.1625	124.9503
8567-6104	172.5158	1.270328	-9.754585	23.52555
8592-9102	271.9123	0.9537582	-108.6523	152.4138
8595-6104	145.8667	0.9467536	-28.56457	31.30758
8598-3703	56.57589	0.8858323	-52.35874	45.6357
8598-9101	236.8405	0.9404933	3.84726	79.22028
8604-3703	171.8931	1.024014	-96.17516	112.0004
8604-3704	92.83507	0.9656898	-6.473158	18.10431
8609-1902	119.4724	1.996813	-55.64028	55.53022
8613-6104	227.6994	0.9155941	-83.71134	76.52044
8616-12703	299.3452	0.9489734	-15.38148	38.2471
8713-3702	267.9421	0.9269636	-19.66258	48.67047
8719-6103	100.2223	0.8804024	-145.1586	147.2988
8720-3703	244.3007	0.9574721	-21.53965	43.64437
8721-9102	288.4332	0.8920395	-10.47389	55.53466
8726-3701	234.7177	0.976863	-84.70312	78.32861
8931-3704	43.8219	0.9593473	-19.24694	12.62236
8931-6103	113.5615	0.943004	-4.404702	36.44391
8932-12703	74.1343	0.8735206	-73.40195	103.6747
8933-6101	128.7184	1.353106	-35.12804	75.53164
8933-6103	160.8195	1.21666	-93.99502	94.55078
8935-1902	191.5362	1.575609	-70.03271	109.5971
8935-6102	54.06601	0.9539847	-35.87563	66.57682
8936-12702	268.1133	0.883955	-40.64504	88.22345
8936-3702	170.553	1.257704	-161.6778	197.694
8939-9102	230.2682	0.9130243	-26.41346	65.83612
8977-6103	78.93353	0.8583989	-96.77756	96.96407
8986-6103	316.1312	0.9431047	-91.94221	97.49784
8989-6103	277.8354	0.9992621	-74.17252	100.6274
8994-3704	55.3241	0.8887708	-78.28723	72.99545
8999-3702	249.7805	0.9711644	-37.24869	16.74745
9031-6102	47.50795	0.865575	-46.32239	65.14897
9033-9101	245.6447	0.9332918	-61.43981	55.21956
9034-9102	199.8351	0.9691672	-10.07835	40.06494
9036-12702	101.6538	0.9103897	-96.67285	145.8892
9038-3703	180.729	0.9257067	-3.991969	43.79692
9039-6104	180.6454	0.9430611	-94.81146	106.7704
9045-6102	276.4227	0.9977458	-29.7179	63.30177
9046-6103	116.1185	0.90192	-115.4403	154.4564
9049-1901	131.9006	1.004781	-71.80768	77.82796
9049-9101	117.4822	1.033716	-177.0869	169.1472
9050-6101	272.7025	1.024519	-138.5358	170.8074
9090-3702	147.8697	1.145165	-104.0518	146.5748
9090-9102	204.1306	0.8862616	4.72838	50.12278
9185-3701	248.5392	0.8956869	-18.87908	42.79815
9186-12704	198.5554	0.9625605	-78.89578	89.23856
9193-12704	251.7892	12.64173	-318.025	73.5509
9485-3702	106.4616	0.9882886	-75.74862	87.40002
9490-12705	163.629	0.9085671	-108.7062	110.194
9490-3701	85.95013	1.081877	-99.36819	80.88499
9496-12703	130.4174	0.9950342	-270.3047	267.1268
9496-1902	218.5121	1.344599	-135.2029	145.7491
9497-3701	56.84534	1.013361	-48.60444	40.55644
9497-6102	215.9018	0.9721834	-202.1747	177.6546
9505-6101	146.9271	0.9809272	-153.5269	182.1566
9510-6103	50.11376	0.8925695	-25.63038	27.53565
9512-3704	112.5212	0.9306784	-98.42149	118.1249
9862-12703	71.74422	1.449869	-120.0849	87.65958
9862-3704	111.3714	1.036045	-64.85889	57.08985
9863-12705	74.92025	0.9805878	-59.02012	100.4503
9866-6101	130.8983	1.084887	-24.54713	55.26468
9866-9101	192.1317	1.010097	-71.43673	58.95861
9867-3701	106.7463	1.161754	-55.22394	36.2001
9869-1902	69.4664	1.02417	-4.714185	39.55996
9869-3703	154.7167	1.055112	-57.92132	60.39408
9872-3704	100.7938	1.162226	-36.13485	51.21044
9873-1902	155.4023	1.09565	-87.86002	115.5249
9873-6103	120.1712	1.160286	-27.54659	37.36904
9873-9102	49.28999	0.9231234	-10.10143	13.44114
9875-6103	41.29597	0.9199406	-41.72583	8.296427
9881-6103	259.0384	0.911894	-39.14372	103.4249
9883-6104	289.8137	0.9701955	-92.30746	111.2679
9885-12703	235.8394	0.8914213	-12.15266	38.83388
9888-3704	227.7944	0.9970744	-95.18639	128.2658
9891-3702	177.5362	0.8486007	-88.19159	-16.86989
9892-3704	33.77931	0.9274437	-15.64409	16.00429
9892-6101	184.8389	0.9616729	-17.46838	46.86615
9894-3704	157.2852	1.126544	-88.94521	114.7167
