axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	halpha_ew	hbeta	hdelta_a	hgamma_a	log_half_light_radius	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_size_crossing_proxy	plateifu	ra	redshift	sersic_index	sfr_1re	sfr_tot	snr_med_g	minimum_predecessor_separation_arcsec	stellar_mass_msun	half_light_radius_kpc	log_baryonic_speed_km_s	internal_acceleration_m_s2	mean_stellar_density_msun_kpc3	log_mean_stellar_density	phase_space_proxy	minimum_item34_role_separation_arcsec	minimum_item35_role_separation_arcsec	mass_bin	size_bin	sample_cell	role	outer_fold	source_map_read	velocity_response_read
4.063084000000e-01	1.798284000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.937214660645e+01	1.564517000000e+00	0.000000000000e+00	7.792100000000e-01	7.954025000000e+00	2.898496000000e+00	2.131511000000e+00	-2.958893000000e-02	8.229326537642e-01	1.029932995430e+00	-1.137778508564e+01	1.003211326708e+01	-4.203727775457e-01	8.386247959550e+00	1-233399	-3.781657652893e+00	11018-3701	1.936717224121e+02	3.086181000000e-02	1.942790000000e+00	4.511575000000e-02	7.490722000000e-02	1.071354000000e+01	3.425628020361e+03	1.076746000004e+10	6.651700000001e+00	1.921370484002e+00	3.392015038373e-11	8.734271678710e+06	6.941226696485e+00	7.177115244479e+00	4.418847570225e+03	4.745963891488e+03	1	1	m1-r1	reserved_confirmation		False	False
6.344939000000e-01	1.430140000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.043380355835e+01	1.286775000000e+00	0.000000000000e+00	3.785800000000e-01	2.885640000000e+01	4.041438000000e+00	5.865403000000e+00	4.297912000000e+00	9.090428629053e-01	8.046960904915e-01	-1.051557734765e+01	9.422294465138e+00	-6.898587729254e-01	7.604208739327e+00	1-591323	-3.347582938211e+00	11018-9102	1.955962677002e+02	2.381985000000e-02	1.464100000000e+00	8.067094000000e-02	1.908373000000e-01	6.378170000000e+00	5.138718603470e+02	2.644201000002e+09	8.110411000000e+00	1.573405978460e+00	5.602973246794e-12	1.183252054245e+06	6.073077267120e+00	7.352859331739e+00	2.745449527729e+03	7.628103765711e+03	0	1	m0-r1	exploration	0	False	False
3.945384000000e-01	1.469342000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.519324493408e+01	1.336558000000e+00	0.000000000000e+00	7.438300000000e-01	2.421378000000e+01	3.105703000000e+00	3.785854000000e+00	2.581094000000e+00	7.290327797602e-01	8.573161497619e-01	-1.073021436412e+01	9.579172640467e+00	-7.422110659705e-01	8.121107080947e+00	1-196110	-3.696037150593e+00	11021-12703	2.008367004395e+02	3.780232000000e-02	8.325191000000e-01	7.062497000000e-02	1.232167000000e-01	7.199729000000e+00	1.543857230355e+03	3.794657999999e+09	5.358371000000e+00	1.741850107697e+00	1.842115642456e-11	5.888242558354e+06	6.769985691884e+00	7.544435368792e+00	6.820213542222e+03	1.182508488710e+04	1	1	m1-r1	exploration	3	False	False
5.593330000000e-01	1.471874000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.005687713623e+01	1.301549000000e+00	0.000000000000e+00	5.662300000000e-01	2.525690000000e+01	3.863617000000e+00	5.238908000000e+00	3.213676000000e+00	6.122659961775e-01	1.096601032886e+00	-1.070157039413e+01	9.440541192158e+00	-3.945469094625e-01	8.216009199803e+00	1-122341	-3.801871601813e+00	11742-3702	1.227552642822e+02	2.618008000000e-02	5.845065000000e-01	5.482401000000e-02	9.647687000000e-02	1.249111000000e+01	1.190529211985e+03	2.757663000001e+09	4.095114000000e+00	1.730917775334e+00	2.292023199977e-11	9.586378986359e+06	6.981654594323e+00	7.788901268320e+00	2.411230288678e+03	6.979237994016e+03	0	0	m0-r0	exploration	3	False	False
6.901284000000e-01	1.639436000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.564475059509e+01	1.498332000000e+00	0.000000000000e+00	6.472200000000e-01	5.819724000000e+00	3.073547000000e+00	2.458255000000e+00	-3.737345000000e-01	8.489606745707e-01	7.339839817953e-01	-1.137678863616e+01	9.280211979055e+00	-7.844147770940e-01	7.582290629914e+00	1-459133	-3.366664977672e+00	11744-9101	1.204180755615e+02	1.655241000000e-02	1.007333000000e+00	8.006143000000e-03	1.143460000000e-02	5.419809000000e+00	5.920248605602e+02	1.906390999998e+09	7.062536000000e+00	1.532405829586e+00	5.327217632818e-12	1.291937029141e+06	6.111241346040e+00	7.514023857282e+00	2.383091799618e+02	8.083820976074e+03	0	1	m0-r1	reserved_confirmation		False	False
3.630466000000e-01	1.684514000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.335868453979e+01	1.430499000000e+00	0.000000000000e+00	7.933500000000e-01	1.268832000000e+01	3.564523000000e+00	4.834202000000e+00	2.747906000000e+00	9.303390123440e-01	1.029445873298e+00	-1.102027108673e+01	1.021731940756e+01	-4.097213973257e-01	8.356641382876e+00	1-605270	-3.713151185266e+00	11745-12702	1.273437576294e+02	3.111744000000e-02	1.178086000000e+00	1.574158000000e-01	1.936531000000e-01	1.070153000000e+01	4.944927014325e+03	1.649374999984e+10	8.518026999999e+00	1.960270374952e+00	3.168481621181e-11	6.371090309847e+06	6.804213761226e+00	6.923402636370e+00	1.309915980816e+03	1.047943904864e+04	1	1	m1-r1	exploration	3	False	False
6.013167000000e-01	1.278937000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.372706222534e+01	1.187471000000e+00	0.000000000000e+00	3.478300000000e-01	7.946949000000e+01	4.258004000000e+00	6.334966000000e+00	4.730574000000e+00	6.502710875027e-01	1.459189166228e+00	-9.834683246448e+00	9.492702851670e+00	1.055537823413e-01	8.192160676665e+00	1-123109	-3.770944794581e+00	11745-3701	1.286983032227e+02	2.633037000000e-02	8.469424000000e-01	4.550086000000e-01	1.009971000000e+00	2.878652000000e+01	2.902112004271e+03	3.109587999999e+09	4.469625000000e+00	1.737996059428e+00	2.169554109807e-11	8.313826936873e+06	6.919800979859e+00	7.705812801577e+00	1.381314843823e+03	1.419179385927e+04	0	0	m0-r0	exploration	2	False	False
8.485500000000e-01	1.797836000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.038484001160e+01	1.568794000000e+00	0.000000000000e+00	7.150600000000e-01	6.113824000000e+00	2.686250000000e+00	1.790562000000e+00	-1.811151000000e+00	7.339252418316e-01	7.923501493459e-01	-1.135084050113e+01	1.032554337030e+01	-6.217953031229e-01	8.857692886640e+00	1-605268	-4.061883822404e+00	11746-12701	1.272921600342e+02	5.346802000000e-02	5.376641000000e-01	9.434152000000e-02	2.611462000000e-01	6.199407000000e+00	1.581388032107e+02	2.116134999985e+10	5.419076000000e+00	2.112589241578e+00	1.004390730818e-10	3.174527075388e+07	7.501679035503e+00	7.163911310768e+00	2.503354752852e+03	1.706945643556e+04	1	1	m1-r1	reserved_confirmation		False	False
3.547631000000e-01	1.545347000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.010650634766e+01	1.372186000000e+00	0.000000000000e+00	6.795100000000e-01	2.807217000000e+01	3.760772000000e+00	5.060257000000e+00	2.785887000000e+00	6.220468029494e-01	1.047664972906e+00	-1.079230409565e+01	9.079189931850e+00	-4.967437325302e-01	7.835096325952e+00	1-233599	-3.606524761501e+00	11760-3701	1.930975189209e+02	2.169184000000e-02	8.825524000000e-01	1.935913000000e-02	4.200143000000e-02	1.116002000000e+01	1.530765246483e+03	1.200023999999e+09	4.188387000000e+00	1.545351741794e+00	9.534680295250e-12	3.899068936590e+06	6.590960913699e+00	7.954905688317e+00	1.534769067514e+03	2.063716118055e+03	0	0	m0-r0	exploration	2	False	False
6.935229000000e-01	1.828297000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.058168411255e+01	1.593476000000e+00	0.000000000000e+00	7.268100000000e-01	8.643579000000e+00	2.604412000000e+00	1.397714000000e+00	-1.795267000000e+00	4.094094575453e-01	1.225541102076e+00	-1.130024226025e+01	1.001843584784e+01	-2.492136839138e-01	9.199616932754e+00	1-233563	-4.395103737604e+00	11760-3703	1.924781951904e+02	4.683874000000e-02	1.668037000000e+00	5.226291000000e-02	1.136941000000e-01	1.680897000000e+01	6.668204093917e+02	1.043363999989e+10	2.566903000000e+00	2.121293372491e+00	2.207124045544e-10	1.472715527828e+08	8.168118865902e+00	7.804238748428e+00	1.309183198036e+03	9.984146929810e+02	1	0	m1-r0	exploration	4	False	False
4.174525000000e-01	1.351879000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.358996582031e+01	1.229884000000e+00	0.000000000000e+00	3.073400000000e-01	3.923742000000e+01	4.590553000000e+00	7.013503000000e+00	5.780875000000e+00	7.572353404814e-01	1.026579837351e+00	-1.014444793462e+01	8.910913429308e+00	-3.877697447721e-01	7.396442748346e+00	1-194903	-3.319603703932e+00	11761-6103	1.925763549805e+02	2.299017000000e-02	1.596589000000e+00	5.840708000000e-02	1.315913000000e-01	1.063114000000e+01	2.417204476365e+03	8.145418999992e+08	5.717884000000e+00	1.393619221757e+00	3.472582384159e-12	1.040204668449e+06	6.017118798561e+00	7.836261133290e+00	2.760739686922e+03	5.092561996394e+03	0	1	m0-r1	exploration	3	False	False
5.909930000000e-01	2.164387000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.063151550293e+01	1.877690000000e+00	0.000000000000e+00	1.189100000000e+00	1.418841000000e-01	2.062004000000e+00	-1.439087000000e+00	-4.297135000000e+00	4.858841854470e-01	9.411976235129e-01	-1.279475414599e+01	9.696221185887e+00	-4.915843572270e-01	8.724452814993e+00	1-233233	-4.119284314773e+00	11832-3703	1.885672912598e+02	3.846740000000e-02	2.384085000000e+00	7.970160000000e-04	2.174626000000e-03	8.733687000000e+00	1.927764711275e+02	4.968453000005e+09	3.061147000000e+00	1.921948677564e+00	7.390309462432e-11	4.135042906082e+07	7.616480020244e+00	7.850633987552e+00	1.542027605388e+03	6.115446108797e+02	1	0	m1-r0	exploration	4	False	False
3.359988000000e-01	1.472273000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.760386657715e+01	1.323134000000e+00	0.000000000000e+00	6.504800000000e-01	3.132747000000e+01	3.731457000000e+00	5.498394000000e+00	3.479031000000e+00	7.432979749376e-01	1.168322139300e+00	-1.063547108848e+01	9.040768431922e+00	-3.678737683860e-01	7.554172482047e+00	1-200614	-3.405437253555e+00	11944-12703	2.437259521484e+02	1.620088000000e-02	1.171891000000e+00	2.542713000000e-02	5.977126000000e-02	1.473405000000e+01	1.577626337025e+03	1.098419999999e+09	5.537299000000e+00	1.465515405836e+00	4.993238282278e-12	1.544492834588e+06	6.188785897807e+00	7.792239680298e+00	3.575700055338e+03	9.919712630261e+03	0	1	m0-r1	exploration	3	False	False
3.063822000000e-01	1.462286000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.845679092407e+01	1.320682000000e+00	0.000000000000e+00	4.996400000000e-01	1.690224000000e+01	4.007835000000e+00	5.125095000000e+00	3.639167000000e+00	7.067636837285e-01	1.032519240416e+00	-1.088307696962e+01	8.883069369396e+00	-5.497841580639e-01	7.469542001939e+00	1-200251	-3.381389159105e+00	11944-3703	2.418955383301e+02	1.991336000000e-02	9.891310000000e-01	9.999825000000e-03	2.280670000000e-02	1.077753000000e+01	1.388289409632e+03	7.639578000001e+08	5.090538000000e+00	1.404933020178e+00	4.109148262945e-12	1.382578213078e+06	6.140689708908e+00	7.925890648375e+00	4.370853830384e+03	1.158533375673e+04	0	1	m0-r1	reserved_confirmation		False	False
4.347911000000e-01	1.643876000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.002177047729e+01	1.432170000000e+00	0.000000000000e+00	6.694500000000e-01	1.560945000000e+01	3.507252000000e+00	3.854526000000e+00	1.683403000000e+00	8.628359990303e-01	1.100054360174e+00	-1.096527414953e+01	1.003636376708e+01	-3.945510031705e-01	8.310691769023e+00	1-95208	-3.723927884996e+00	11945-6102	2.528955841064e+02	2.964904000000e-02	8.798816000000e-01	1.177849000000e-01	2.076499000000e-01	1.259083000000e+01	6.470685022661e+02	1.087335999992e+10	7.291820999999e+00	1.903544061369e+00	2.850372231795e-11	6.695255588766e+06	6.825767160687e+00	7.115134976580e+00	1.605969812101e+03	7.045855314955e+03	1	1	m1-r1	exploration	1	False	False
6.502091000000e-01	1.880988000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.722629356384e+01	1.633966000000e+00	0.000000000000e+00	6.748000000000e-01	1.807251000000e+00	2.430951000000e+00	1.301005000000e+00	-1.150930000000e+00	4.581528301213e-01	8.469257326807e-01	-1.187828262269e+01	9.283612587639e+00	-7.907268636795e-01	8.367306927397e+00	1-325886	-3.954577048638e+00	11952-3703	2.545615997314e+02	3.542843000000e-02	1.885204000000e+00	2.542904000000e-03	5.376548000000e-03	7.029521000000e+00	1.451919209687e+03	1.921376999999e+09	2.871791000000e+00	1.729510056103e+00	3.247257562239e-11	1.936713982187e+07	7.287065487973e+00	8.098535319664e+00	7.555013358828e+02	1.088637912778e+04	0	0	m0-r0	exploration	4	False	False
6.802593000000e-01	1.587318000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.361468887329e+01	1.398176000000e+00	0.000000000000e+00	6.010500000000e-01	1.457323000000e+01	3.565136000000e+00	3.860362000000e+00	1.676911000000e+00	9.858733832381e-01	9.228479978802e-01	-1.093844066856e+01	1.012329159525e+01	-7.144649688453e-01	8.151544828773e+00	1-270321	-3.582835722768e+00	11979-12704	2.520906982422e+02	3.025203000000e-02	8.739988000000e-01	1.530562000000e-01	2.767470000000e-01	8.372362000000e+00	1.448194921447e+03	1.328286000001e+10	9.679956000000e+00	1.885489283350e+00	1.975853034278e-11	3.496091868133e+06	6.543582836233e+00	6.887114986184e+00	5.810711285115e+03	1.281051769576e+04	1	1	m1-r1	exploration	1	False	False
5.633772000000e-01	1.920709000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	6.457592010498e+01	1.703359000000e+00	0.000000000000e+00	7.574300000000e-01	2.858165000000e+00	2.527318000000e+00	4.996793000000e-01	-2.921478000000e+00	3.919458714300e-01	1.318703447357e+00	-1.185290273340e+01	9.868194572584e+00	-8.133704033536e-02	9.084302829724e+00	1-22648	-4.346178479147e+00	11983-1901	2.570774536133e+02	3.434465000000e-02	1.948450000000e+00	1.035838000000e-02	2.895252000000e-02	2.083068000000e+01	1.826393827305e+03	7.382348999995e+09	2.465732000000e+00	2.054904527921e+00	1.692437498407e-10	1.175623744226e+08	8.070268348992e+00	7.905554765229e+00	3.996489356021e+03	4.342176856406e+03	1	0	m1-r0	exploration	2	False	False
8.281630000000e-01	1.365172000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	6.381327056885e+01	1.251446000000e+00	0.000000000000e+00	3.894300000000e-01	3.881469000000e+01	3.896834000000e+00	5.838767000000e+00	3.839220000000e+00	5.944015013908e-01	1.033069741662e+00	-1.039124433705e+01	8.948908746753e+00	-3.397752468784e-01	7.760105743972e+00	1-22450	-3.582852121290e+00	11983-3701	2.562385864258e+02	1.618093000000e-02	1.529765000000e+00	3.611307000000e-02	6.677763000000e-02	1.079120000000e+01	3.292966338400e+03	8.890142999994e+08	3.930081000000e+00	1.494033800025e+00	8.022607652285e-12	3.496355895922e+06	6.543615633278e+00	8.061514233203e+00	3.050384985078e+03	1.822396375840e+03	0	0	m0-r0	exploration	1	False	False
