ell_kpc,u_lab,epsilon_lab,height_group,points,norm_ratio_min,norm_ratio_median,norm_ratio_max,norm_enhancement_points,more_inward_points,candidate_inward_points,candidate_outward_points,newton_outward_points,positive_inward_ratio_points,inward_ratio_median,mean_inward_difference
0.25,1,0.6,0,96,0.4105495819397615,0.8990883704639698,2.0888048665065306,41,42,95,1,1,95,0.9168467717898091,-164.78834700454206
0.25,1,0.6,0.2,96,0.4931429952102499,0.8864535924230158,2.093544131349986,41,42,95,1,1,95,0.8978391606848175,-211.97196384466005
0.25,1,0.6,0.5,96,0.600485993909883,0.9201027791160028,2.116683024682408,42,45,96,0,0,96,0.9379923946081867,-228.04388734648182
0.25,1,0.6,1,96,0.6526725406636708,1.1538630503357377,2.173883225789074,55,57,96,0,0,96,1.1547303437516114,125.57379364289943
0.25,10,0.9272727272727272,all,384,0.6344857175432678,1.443528120842733,3.3596377125831145,325,344,382,2,2,382,1.484440374345445,1066.5302840841753
0.25,10,0.9272727272727272,0,96,0.6344857175432678,1.3895002088988622,3.2281529755100933,82,87,95,1,1,95,1.416945010947887,985.257133338472
0.25,10,0.9272727272727272,0.2,96,0.7621300835067498,1.369973733744661,3.235477293904524,74,84,95,1,1,95,1.3875696119674452,974.5139019134695
0.25,10,0.9272727272727272,0.5,96,0.9280238087698189,1.4219770222701862,3.271237401781903,73,77,96,0,0,96,1.4496246098490158,985.5837718015533
0.25,10,0.9272727272727272,1,96,1.0086757446620365,1.783242895973413,3.3596377125831145,96,96,96,0,0,96,1.7845832585252173,1320.766329283206
0.25,100,0.9920792079207921,all,384,0.678829506771685,1.5444153511870127,3.594440581255202,375,382,382,2,2,382,1.588186935161667,1301.448677197516
0.25,100,0.9920792079207921,0,96,0.678829506771685,1.4866114640344845,3.453766462441491,95,96,95,1,1,95,1.515974365236615,1212.9889116242173
0.25,100,0.9920792079207921,0.2,96,0.8153948534664529,1.4657202963826104,3.4616026726281954,93,96,95,1,1,95,1.4845459389541042,1209.461598103198
0.25,100,0.9920792079207921,0.5,96,0.9928827820094104,1.5213580605185393,3.499862030910516,91,94,96,0,0,96,1.550937919797695,1225.9060805437387
0.25,100,0.9920792079207921,1,96,1.079171428622109,1.907872568376913,3.594440581255202,96,96,96,0,0,96,1.9093066079853376,1557.4381185189104
0.5,0,0.2,all,384,0.20545404180413007,0.2727315290212407,0.665552528949926,0,2,382,2,2,382,0.2771614387714507,-1632.9244336205027
0.5,0,0.2,0,96,0.2089871923950891,0.26449160769499475,0.5899769759305008,0,1,95,1,1,95,0.26627381391087396,-1626.4553460957352
0.5,0,0.2,0.2,96,0.20632674739457685,0.2620808212981831,0.5905280095139196,0,1,95,1,1,95,0.2670865881909517,-1715.9049628557734
0.5,0,0.2,0.5,96,0.20545404180413007,0.26493773392997333,0.6045025282885811,0,0,96,0,0,96,0.2728820921724392,-1764.6131050402603
0.5,0,0.2,1,96,0.21190500203524543,0.29843674708070067,0.665552528949926,0,0,96,0,0,96,0.3046770520193297,-1424.7243204902413
0.5,0.01,0.20792079207920794,all,384,0.2135908355389471,0.28353277769534924,0.6919110449479429,0,2,382,2,2,382,0.2881381294158646,-1606.7131085871545
0.5,0.01,0.20792079207920794,0,96,0.21726391288598368,0.2749665228512322,0.6133424007198276,0,1,95,1,1,95,0.27681931149150263,-1600.8414960018345
0.5,0.01,0.20792079207920794,0.2,96,0.21449810372703532,0.27246025976543786,0.613915257415461,0,1,95,1,1,95,0.27766427485197953,-1689.3191771840065
0.5,0.01,0.20792079207920794,0.5,96,0.2135908355389471,0.27543031745195246,0.6284432224782278,0,0,96,0,0,96,0.2836893037436249,-1737.3491516114436
0.5,0.01,0.20792079207920794,1,96,0.220297279343572,0.3102560241928077,0.6919110449479429,0,0,96,0,0,96,0.3167434699210854,-1399.3426095513335
0.5,0.1,0.27272727272727276,all,384,0.2801646024601773,0.37190663048351,0.9075716303862628,0,2,382,2,2,382,0.37794741650652375,-1392.2568128597604
0.5,0.1,0.27272727272727276,0,96,0.28498253508421234,0.3606703741295383,0.8045140580870466,0,1,95,1,1,95,0.36310065533300995,-1391.27363159719
0.5,0.1,0.27272727272727276,0.2,96,0.28135465553805933,0.35738293813388605,0.8052654675189813,0,1,95,1,1,95,0.3642089838967524,-1471.7991125968194
0.5,0.1,0.27272727272727276,0.5,96,0.2801646024601773,0.3612787280863273,0.8243216294844287,0,0,96,0,0,96,0.37211194387150803,-1514.280441739308
0.5,0.1,0.27272727272727276,1,96,0.2889613664116984,0.4069592005645919,0.9075716303862628,0,0,96,0,0,96,0.41546870729908597,-1191.6740655057245
0.5,1,0.6,all,384,0.6163621254123901,0.818194587063722,1.996657586849778,143,150,382,2,2,382,0.831484316314352,-309.252519436421
0.5,1,0.6,0,96,0.6269615771852671,0.7934748230849842,1.7699309277915025,33,35,95,1,1,95,0.7988214417326217,-332.9559163537369
0.5,1,0.6,0.2,96,0.6189802421837304,0.7862424638945492,1.7715840285417586,34,35,95,1,1,95,0.8012597645728551,-373.3227864315265
0.5,1,0.6,0.5,96,0.6163621254123901,0.7948132017899201,1.8135075848657427,34,38,96,0,0,96,0.8186462765173175,-387.7834568850215
0.5,1,0.6,1,96,0.6357150061057363,0.8953102412421021,1.996657586849778,42,42,96,0,0,96,0.9140311560579889,-142.94791807539906
0.5,10,0.9272727272727272,all,384,0.9525596483646028,1.264482543643934,3.085743543313293,312,333,382,2,2,382,1.2850212161221806,773.7517739869186
0.5,10,0.9272727272727272,0,96,0.968940619286322,1.22627927204043,2.735347797495958,82,88,95,1,1,95,1.2345422281322336,725.3617988897164
0.5,10,0.9272727272727272,0.2,96,0.9566058288294017,1.2151019896552122,2.7379025895645364,75,85,95,1,1,95,1.2383105452489578,725.1535397337666
0.5,10,0.9272727272727272,0.5,96,0.9525596483646028,1.2283476754935125,2.8026935402470574,75,80,96,0,0,96,1.265180609163127,738.7135279692648
0.5,10,0.9272727272727272,1,96,0.9824686457997743,1.3836612819196121,3.085743543313293,80,80,96,0,0,96,1.412593604816892,905.7782293549266
0.5,100,0.9920792079207921,all,384,1.0191334152858331,1.3528563964320952,3.3014041287516127,384,383,382,2,2,382,1.3748305032128396,988.2080697143125
0.5,100,0.9920792079207921,0,96,1.0366592414845506,1.3119831233187362,2.926519454863177,96,95,95,1,1,95,1.320823571973741,934.9296632943606
0.5,100,0.9920792079207921,0.2,96,1.0234623806404257,1.3000246680236605,2.929252799668056,96,96,95,1,1,95,1.3248552542937306,942.6736043209534
0.5,100,0.9920792079207921,0.5,96,1.0191334152858331,1.3141960861278874,2.998571947253258,96,96,96,0,0,96,1.3536032492910102,961.7822378414006
0.5,100,0.9920792079207921,1,96,1.0511327328679008,1.4803644582913966,3.3014041287516127,96,96,96,0,0,96,1.5113188421948927,1113.4467734005357
