identity	name	ra_deg	dec_deg	distance_mpc	seeing_arcsec	morphological_type	ttype	inclination_deg	position_angle_deg	total_R_magnitude	absolute_R_magnitude	log_stellar_mass_proxy	disk_scale_arcsec	disk_scale_kpc	disk_mu0_R	bulge_fraction_proxy	bulge_re_kpc	bulge_sersic_n	bar_component_count	disk_break_present	disk_break_radius_scale	response_catalog	response_query_name
UGC11891	UGC 11891	3.308912500000e+02	4.374916700000e+01	9.000000000000e+00	2.600000000000e+00	I	9.900000000000e+00	5.030000000000e+01	-5.800000000000e+01	1.190000000000e+01	-1.787121254720e+01	8.916485018879e+00	5.883200000000e+01	2.567027852520e+00	2.106300000000e+01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC11891
UGC11914	UGC 11914	3.319683330000e+02	3.135944400000e+01	1.500000000000e+01	2.700000000000e+00	S(r)ab	2.500000000000e+00	2.200000000000e+01	-5.500000000000e+01	8.000000000000e+00	-2.288045629528e+01	1.092018251811e+01	2.762700000000e+01	2.009090247982e+00	1.726500000000e+01	1.613943842704e-01	5.889389862555e-01	1.487900000000e+00	0	1	2.159554059435e+00	J/MNRAS/390/466/tablef	UGC11914
UGC11951	UGC 11951	3.331254170000e+02	4.532833300000e+01	1.740000000000e+01	2.600000000000e+00	SBa	1.100000000000e+00	6.860000000000e+01	8.600000000000e+01	1.180000000000e+01	-1.940274624141e+01	9.529098496565e+00	3.456600000000e+01	2.915901388990e+00	1.951000000000e+01	4.941451524749e-02	6.055097083848e-01	3.600000000000e-01	0	1	6.447086732627e-01	J/MNRAS/390/466/tablef	UGC11951
UGC12082	UGC 12082	3.385450000000e+02	3.286055600000e+01	1.010000000000e+01	3.700000000000e+00	SABm	8.700000000000e+00	5.610000000000e+01	1.800000000000e+01	1.280000000000e+01	-1.722160686891e+01	8.656642747565e+00	4.561300000000e+01	2.233492352071e+00	2.248100000000e+01	6.327017853849e-02	6.339645601532e-01	9.337900000000e-01	1	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 12082
UGC12101	UGC 12101	3.390141670000e+02	3.394805600000e+01	1.510000000000e+01	1.900000000000e+00	Scd	6.600000000000e+00	6.420000000000e+01	-5.000000000000e+01	1.232000000000e+01	-1.857488473647e+01	9.197953894586e+00	9.178000000000e+01	6.718919836133e+00	2.063000000000e+01	3.646877143650e-03	4.247458366664e-01	5.407500000000e-01	0	1	5.276748747004e-01	J/MNRAS/390/466/tablef	UGC12101
UGC12276	UGC 12276	3.446354170000e+02	3.580250000000e+01	7.780000000000e+01	2.000000000000e+00	SB(r)a	1.100000000000e+00	4.080000000000e+01	-4.700000000000e+01	1.260000000000e+01	-2.185489798495e+01	1.050995919398e+01	1.184200000000e+01	4.466621094223e+00	1.991600000000e+01	2.220479853002e-05	5.495580927448e-03	2.770100000000e+00	1	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC12276
UGC12632	UGC 12632	3.524945830000e+02	4.099027800000e+01	8.000000000000e+00	2.400000000000e+00	SABm	8.700000000000e+00	6.400000000000e+01	2.200000000000e+01	1.300000000000e+01	-1.651544993496e+01	8.374179973984e+00	5.789500000000e+01	2.245460936174e+00	2.207400000000e+01	6.458108496601e-04	1.118599859404e-01	5.129000000000e-02	1	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC12632
UGC1317	UGC 1317	2.782333300000e+01	2.235805600000e+01	4.220000000000e+01	2.600000000000e+00	SAB(r)c	4.900000000000e+00	7.570000000000e+01	-7.400000000000e+01	1.107000000000e+01	-2.205656225481e+01	1.059062490192e+01	2.573200000000e+01	5.264540275859e+00	1.898900000000e+01	9.943384482762e-03	3.237041669697e-01	9.840500000000e-01	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 1317
UGC1437	UGC 1437	2.942583300000e+01	3.591611100000e+01	6.680000000000e+01	2.600000000000e+00	SABc	4.900000000000e+00	4.000000000000e+01	-4.800000000000e+01	1.160000000000e+01	-2.252388231238e+01	1.077755292495e+01	1.598900000000e+01	5.178121348750e+00	1.948300000000e+01	1.225905917959e-01	1.788296220881e+00	3.244800000000e+00	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 1437
UGC1655	UGC 1655	3.254000000000e+01	3.919027800000e+01	7.300000000000e+01	2.400000000000e+00	Sa	1.000000000000e+00	5.300000000000e+01	-4.600000000000e+01	9.800000000000e+00	-2.451661430060e+01	1.157464572024e+01	2.569500000000e+01	9.093811359174e+00	1.873900000000e+01	2.532619604619e-01	3.047975177563e+00	1.525300000000e+00	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 1655
UGC1886	UGC 1886	3.650208300000e+01	3.947083300000e+01	6.650000000000e+01	2.300000000000e+00	SABb	3.600000000000e+00	6.000000000000e+01	4.300000000000e+01	1.160000000000e+01	-2.251410822652e+01	1.077364329061e+01	2.383000000000e+01	7.682810947083e+00	2.025400000000e+01	5.835557160424e-02	1.380778125227e+00	1.967200000000e-01	2	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC 1886
UGC2023	UGC 2023	3.832583300000e+01	3.349111100000e+01	7.800000000000e+00	2.200000000000e+00	I	9.900000000000e+00	3.400000000000e+01	2.400000000000e+01	1.300000000000e+01	-1.646047301345e+01	8.352189205381e+00	3.313000000000e+01	1.252825249073e+00	2.207900000000e+01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	1	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC 2023
UGC2045	UGC 2045	3.855583300000e+01	2.931138900000e+01	2.270000000000e+01	2.900000000000e+00	Sab	2.000000000000e+00	6.190000000000e+01	-2.700000000000e+01	1.034000000000e+01	-2.144012928597e+01	1.034405171439e+01	2.227500000000e+01	2.451421714784e+00	1.846500000000e+01	1.008950396150e-02	1.386552735559e-01	6.148000000000e-02	1	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC 2045
UGC2080	UGC 2080	3.911625000000e+01	3.897000000000e+01	1.370000000000e+01	1.700000000000e+00	SABc	6.000000000000e+00	3.300000000000e+01	6.000000000000e+00	1.070000000000e+01	-1.998360283578e+01	9.761441134313e+00	7.159400000000e+01	4.755231377112e+00	2.105100000000e+01	3.731745180860e-03	4.152940149807e-01	2.333000000000e+00	3	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC 2080
UGC2141	UGC 2141	3.981208300000e+01	3.015138900000e+01	1.220000000000e+01	3.200000000000e+00	S0-a	4.000000000000e-01	6.030000000000e+01	2.100000000000e+01	1.148000000000e+01	-1.895179915337e+01	9.348719661349e+00	1.930600000000e+01	1.141896104526e+00	1.922600000000e+01	1.270027325080e-01	5.797018398662e-01	6.053600000000e-01	0	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC 2141
UGC2183	UGC 2183	4.070125000000e+01	2.857416700000e+01	1.860000000000e+01	3.600000000000e+00	Sa	1.000000000000e+00	4.000000000000e+01	-2.500000000000e+01	1.138000000000e+01	-1.996756472109e+01	9.755025888436e+00	2.959000000000e+01	2.668285942841e+00	2.136200000000e+01	5.785633143955e-01	6.444014253509e-01	2.353700000000e+00	1	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC 2183
UGC2455	UGC 2455	4.492583300000e+01	2.523722200000e+01	7.800000000000e+00	2.100000000000e+00	IB	9.800000000000e+00	4.700000000000e+01	3.800000000000e+01	1.090000000000e+01	-1.856047301345e+01	9.192189205381e+00	2.996400000000e+01	1.133101592611e+00	1.931000000000e+01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	1	1.135762915499e+00	J/MNRAS/390/466/tablef	UGC 2455
UGC2503	UGC 2503	4.589500000000e+01	4.638638900000e+01	3.440000000000e+01	2.300000000000e+00	SB(r)b	2.600000000000e+00	5.280000000000e+01	3.600000000000e+01	1.017000000000e+01	-2.251279221286e+01	1.077311688514e+01	4.441100000000e+01	7.406677817371e+00	1.981700000000e+01	2.121432219615e-01	1.392277313165e+00	6.817800000000e-01	0	1	1.988696494112e+00	J/MNRAS/390/466/tablef	UGC 2503
UGC2800	UGC 2800	5.501041700000e+01	7.140583300000e+01	2.060000000000e+01	2.300000000000e+00	I	9.900000000000e+00	6.960000000000e+01	-7.500000000000e+01	1.200000000000e+01	-1.956933610185e+01	9.595734440738e+00	2.675300000000e+01	2.671862894820e+00	2.008500000000e+01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC 2800
UGC2855	UGC 2855	5.708625000000e+01	7.013277800000e+01	1.750000000000e+01	2.400000000000e+00	SABc	5.100000000000e+00	6.190000000000e+01	-8.200000000000e+01	9.300000000000e+00	-2.191519024343e+01	1.053407609737e+01	3.884100000000e+01	3.295360337430e+00	1.808300000000e+01	8.336555659071e-03	2.549511550675e-01	1.067600000000e+00	0	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC 2855
UGC3013	UGC 3013	6.586291700000e+01	7.529555600000e+01	3.630000000000e+01	2.800000000000e+00	SB(r)b	3.100000000000e+00	5.910000000000e+01	-1.600000000000e+01	1.050000000000e+01	-2.229953312518e+01	1.068781325007e+01	5.160700000000e+01	9.082171478438e+00	2.062600000000e+01	2.830893436692e-01	4.783860082903e+00	3.106500000000e+00	0	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC 3013
UGC3334	UGC 3334	8.551916700000e+01	6.937833300000e+01	5.560000000000e+01	2.600000000000e+00	SABb	4.200000000000e+00	4.800000000000e+01	-8.700000000000e+01	1.037000000000e+01	-2.335537395791e+01	1.111014958316e+01	3.970100000000e+01	1.070164884978e+01	1.978900000000e+01	6.457705712402e-02	4.818855355974e+00	3.498700000000e-01	1	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 3334
UGC3463	UGC 3463	9.673166700000e+01	5.908000000000e+01	3.860000000000e+01	2.000000000000e+00	SABc	4.700000000000e+00	6.180000000000e+01	-6.200000000000e+01	1.170000000000e+01	-2.123293652336e+01	1.026117460934e+01	2.904100000000e+01	5.434671902650e+00	2.005900000000e+01	9.040739873316e-03	3.206795142171e-01	1.003600000000e+00	1	1	1.998932543645e+00	J/MNRAS/388/500/tablef	UGC 3463
UGC3708	UGC 3708	1.072995830000e+02	2.060277800000e+01	7.000000000000e+01	2.100000000000e+00	Sbc pec	4.500000000000e+00	2.200000000000e+01	-2.800000000000e+01	1.270000000000e+01	-2.152549020007e+01	1.037819608003e+01	9.191200000000e+00	3.119210724069e+00	1.992100000000e+01	1.374321146823e-01	2.041815140717e-01	1.000000000000e-02	1	1	3.335581860910e+00	J/MNRAS/388/500/tablef	UGC 3708
UGC3915	UGC 3915	1.137320830000e+02	3.127638900000e+01	6.360000000000e+01	1.900000000000e+00	SBc	4.600000000000e+00	4.600000000000e+01	3.300000000000e+01	1.280000000000e+01	-2.121728557824e+01	1.025491423130e+01	9.848000000000e+00	3.036544251327e+00	1.965700000000e+01	2.742007801622e-02	1.056284488401e-01	1.173000000000e+00	1	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 3915
UGC4165	UGC 4165	1.204716670000e+02	5.073722200000e+01	1.100000000000e+01	2.200000000000e+00	SBcd	6.900000000000e+00	2.600000000000e+01	7.700000000000e+01	1.120000000000e+01	-1.900696342579e+01	9.370785370316e+00	3.104800000000e+01	1.655772913485e+00	2.019500000000e+01	1.651512618557e-03	8.762562722711e-02	5.816000000000e-02	1	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 4165
UGC4393	UGC 4393	1.265183330000e+02	4.596777800000e+01	3.150000000000e+01	2.100000000000e+00	SBc	4.600000000000e+00	6.300000000000e+01	5.000000000000e+01	1.260000000000e+01	-1.989155276895e+01	9.724621107579e+00	1.736400000000e+01	2.651763508109e+00	2.061600000000e+01	1.147521999895e-02	1.023091411534e-01	3.718100000000e-01	1	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 4393
UGC4456	UGC 4456	1.280145830000e+02	2.401083300000e+01	7.400000000000e+01	2.100000000000e+00	S(r)c	5.200000000000e+00	2.000000000000e+01	-2.100000000000e+01	1.260000000000e+01	-2.174615859865e+01	1.046646343946e+01	1.710200000000e+01	6.135544081643e+00	2.106200000000e+01	1.461202736937e-02	3.508367391462e-01	2.281300000000e+00	1	1	2.317916033212e+00	J/MNRAS/388/500/tablef	UGC 4456
UGC4555	UGC 4555	1.310345830000e+02	3.471722200000e+01	5.800000000000e+01	3.800000000000e+00	SABb	4.000000000000e+00	3.100000000000e+01	8.700000000000e+01	1.234000000000e+01	-2.147713996781e+01	1.035885598713e+01	2.962100000000e+01	8.329178483989e+00	2.051700000000e+01	1.025103951725e-02	4.547150510266e-01	7.940000000000e-02	0	1	9.898382904021e-01	J/MNRAS/388/500/tablef	UGC 4555
UGC5786	UGC 5786	1.596912500000e+02	5.350333300000e+01	1.420000000000e+01	2.400000000000e+00	SAB(r)b	4.000000000000e+00	2.800000000000e+01	-1.500000000000e+01	1.040000000000e+01	-2.036144172192e+01	9.912576688766e+00	3.300000000000e+01	2.271834775653e+00	2.111700000000e+01	5.395086823230e-01	1.288130317795e+00	8.675700000000e-01	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 5786
UGC5842	UGC 5842	1.609120830000e+02	1.487194400000e+01	1.520000000000e+01	3.700000000000e+00	SBc	6.000000000000e+00	3.300000000000e+01	-7.600000000000e+01	1.139000000000e+01	-1.951921793972e+01	9.575687175890e+00	3.315400000000e+01	2.443171648123e+00	2.041800000000e+01	9.927496142445e-03	2.799028434296e-01	1.069600000000e+00	0	1	1.886831151596e+00	J/MNRAS/388/500/tablef	UGC 5842
UGC6523	UGC 6523	1.730900000000e+02	8.038890000000e-01	8.000000000000e+01	3.700000000000e+00	Sa	1.400000000000e+00	2.200000000000e+01	2.900000000000e+01	1.260000000000e+01	-2.191544993496e+01	1.053417997398e+01	8.696900000000e+00	3.373097714106e+00	1.960700000000e+01	1.333182663068e-01	2.129609967760e+00	5.107000000000e-02	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 6523
UGC6787	UGC 6787	1.773141670000e+02	5.608444400000e+01	1.890000000000e+01	2.100000000000e+00	Sab	1.700000000000e+00	5.420000000000e+01	-7.100000000000e+01	1.000500000000e+01	-2.137730902087e+01	1.031892360835e+01	4.800000000000e+01	4.398225583594e+00	2.080000000000e+01	4.265823215318e-01	3.576673696458e+00	8.538400000000e-01	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 6787
UGC7045	UGC 7045	1.810158330000e+02	3.189583300000e+01	1.140000000000e+01	2.300000000000e+00	SABc	5.300000000000e+00	6.980000000000e+01	-8.100000000000e+01	1.048000000000e+01	-1.980452425668e+01	9.689809702673e+00	4.571100000000e+01	2.526387899062e+00	1.971100000000e+01	5.842456232690e-02	1.534812013672e+00	3.309600000000e+00	0	1	2.074292839798e+00	J/MNRAS/388/500/tablef	UGC 7045
UGC7154	UGC 7154	1.825062500000e+02	3.988388900000e+01	1.620000000000e+01	2.000000000000e+00	SBcd	6.900000000000e+00	6.530000000000e+01	-7.600000000000e+01	1.060000000000e+01	-2.044757507271e+01	9.947030029085e+00	1.238300000000e+02	9.725576321722e+00	2.148100000000e+01	6.725355830357e-03	5.998472838339e-01	2.651600000000e-01	1	1	9.708471291286e-01	J/MNRAS/388/500/tablef	UGC 7154
UGC7831	UGC 7831	1.899975000000e+02	6.160916700000e+01	5.200000000000e+00	2.000000000000e+00	SBc	4.900000000000e+00	6.400000000000e+01	-5.800000000000e+01	9.700000000000e+00	-1.888001671817e+01	9.320006687270e+00	7.054200000000e+01	1.778384117519e+00	1.894100000000e+01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	1	6.786595219869e-01	J/MNRAS/388/500/tablef	UGC 7831
UGC7861	UGC 7861	1.904695830000e+02	4.127388900000e+01	1.020000000000e+01	2.000000000000e+00	SAB(r)m pec	8.800000000000e+00	2.600000000000e+01	-1.100000000000e+01	1.190000000000e+01	-1.814300085881e+01	9.025200343524e+00	2.000000000000e+01	9.890189804378e-01	2.100000000000e+01	2.334356571064e-01	3.975559595666e-01	4.085300000000e-01	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 7861
UGC7876	UGC 7876	1.906633330000e+02	1.994527800000e+01	1.450000000000e+01	2.200000000000e+00	SABc	6.500000000000e+00	5.900000000000e+01	-5.000000000000e+00	1.232000000000e+01	-1.848684001117e+01	9.162736004470e+00	3.583000000000e+01	2.518774392165e+00	2.116900000000e+01	5.554258581389e-02	8.657891547281e-01	1.700500000000e+00	0	1	1.422188110522e+00	J/MNRAS/388/500/tablef	UGC 7876
UGC7901	UGC 7901	1.909275000000e+02	1.639333300000e+01	2.070000000000e+01	2.800000000000e+00	Sc pec	5.200000000000e+00	5.080000000000e+01	7.800000000000e+01	1.015000000000e+01	-2.142985172728e+01	1.033994069091e+01	3.489600000000e+01	3.502034761108e+00	1.986400000000e+01	2.233662531224e-01	2.100257435823e+00	1.870000000000e-01	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 7901
UGC8334	UGC 8334	1.989554170000e+02	4.202916700000e+01	9.800000000000e+00	2.000000000000e+00	Sbc	4.000000000000e+00	5.670000000000e+01	-7.800000000000e+01	8.091000000000e+00	-2.186513037846e+01	1.051405215138e+01	8.000000000000e+01	3.800935689526e+00	1.915000000000e+01	1.115748632353e-01	1.631456621337e+00	2.176700000000e-01	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 8334
UGC8403	UGC 8403	2.004850000000e+02	3.873472200000e+01	1.910000000000e+01	2.000000000000e+00	SBc	5.800000000000e+00	6.300000000000e+01	-6.000000000000e+01	1.140000000000e+01	-2.000516683624e+01	9.770066734495e+00	4.119500000000e+01	3.814629239086e+00	2.057600000000e+01	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	1	1	2.233669134604e+00	J/MNRAS/388/500/tablef	UGC 8403
UGC8709	UGC 8709	2.065987500000e+02	4.387222200000e+01	3.500000000000e+01	2.200000000000e+00	SABc pec	4.900000000000e+00	7.870000000000e+01	-3.300000000000e+01	1.130000000000e+01	-2.142034022175e+01	1.033613608870e+01	1.230900000000e+02	2.088648098320e+01	2.070400000000e+01	4.375219207321e-02	6.564249872737e+00	3.415600000000e+00	1	1	4.580794540580e-01	J/MNRAS/388/500/tablef	UGC 8709
UGC89	UGC 89	2.472500000000e+00	2.592388900000e+01	6.420000000000e+01	2.700000000000e+00	SBa	1.200000000000e+00	4.000000000000e+01	-2.700000000000e+01	1.140000000000e+01	-2.263767514034e+01	1.082307005614e+01	3.500000000000e+01	1.089375318159e+01	2.150000000000e+01	3.939712696429e-01	7.076582066759e-01	9.956800000000e-01	2	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 89
UGC8900	UGC 8900	2.096583330000e+02	3.742444400000e+01	4.920000000000e+01	3.000000000000e+00	Sb pec	3.200000000000e+00	6.530000000000e+01	-1.200000000000e+01	1.114000000000e+01	-2.231982551384e+01	1.069593020553e+01	3.500000000000e+01	8.348483746637e+00	2.050000000000e+01	1.447826860529e-01	3.229193513199e+00	3.554000000000e+00	2	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 8900
UGC8937	UGC 8937	2.101904170000e+02	5.932833300000e+01	4.900000000000e+01	2.300000000000e+00	SBb	3.100000000000e+00	5.610000000000e+01	7.000000000000e+00	1.150000000000e+01	-2.195098040014e+01	1.054839216006e+01	1.650000000000e+01	3.919714929823e+00	1.970100000000e+01	1.269013240871e-01	3.672654110004e-01	5.556200000000e-01	1	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 8937
UGC9363	UGC 9363	2.183512500000e+02	4.450556000000e+00	2.230000000000e+01	2.300000000000e+00	S(r)cd	6.900000000000e+00	3.300000000000e+01	-7.700000000000e+01	1.130000000000e+01	-2.044152431524e+01	9.944609726096e+00	3.587100000000e+01	3.878133953894e+00	2.139800000000e+01	4.552702828509e-01	3.298105834727e+00	2.106500000000e+00	0	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 9363
UGC94	UGC 94	2.607917000000e+00	2.583194400000e+01	6.420000000000e+01	2.300000000000e+00	S(r)ab	2.400000000000e+00	4.600000000000e+01	-8.400000000000e+01	1.270000000000e+01	-2.133767514034e+01	1.030307005614e+01	1.400400000000e+01	4.358746272998e+00	2.027600000000e+01	3.469756359553e-02	2.610859137517e-01	1.570200000000e+00	1	0	0.000000000000e+00	J/MNRAS/388/500/tablef	UGC 94
UGC9753	UGC 9753	2.274445830000e+02	5.700027800000e+01	1.240000000000e+01	2.300000000000e+00	Sbc	3.500000000000e+00	6.880000000000e+01	1.000000000000e+00	1.099000000000e+01	-1.947710842581e+01	9.558843370324e+00	3.075600000000e+01	1.848953530652e+00	1.990100000000e+01	3.060397930299e-01	8.116374566698e-01	4.750400000000e-01	0	0	0.000000000000e+00	J/MNRAS/390/466/tablef	UGC 9753
UGC9866	UGC 9866	2.320029170000e+02	6.476333300000e+01	7.400000000000e+00	1.800000000000e+00	S(r)bc	4.000000000000e+00	6.460000000000e+01	-3.600000000000e+01	1.155000000000e+01	-1.779615859865e+01	8.886463439462e+00	2.960500000000e+01	1.062114270477e+00	1.942900000000e+01	1.812196351697e-04	4.758975104841e-02	4.132200000000e+00	0	1	1.233744299949e+00	J/MNRAS/388/500/tablef	UGC 9866
