identity	name	fold	mass_stratum	radius_label	radius_disk_scale	radius_kpc	primary_velocity_km_s	approaching_velocity_km_s	receding_velocity_km_s	side_fractional_difference
UGC12276	UGC 12276	2	3	4	2.750000000000e+00	1.228320800911e+01	8.852962343381e+01	9.266609548389e+01	8.439315138373e+01	9.344831457852e-02
UGC1317	UGC 1317	2	4	0	7.500000000000e-01	3.948405206894e+00	1.947027015380e+02	1.875106494929e+02	2.018947535831e+02	7.387727020040e-02
UGC1317	UGC 1317	2	4	1	1.250000000000e+00	6.580675344824e+00	1.949502395915e+02	2.024269566636e+02	1.874735225193e+02	7.670385107296e-02
UGC1317	UGC 1317	2	4	2	1.750000000000e+00	9.212945482753e+00	2.020902673298e+02	2.011267133952e+02	2.030538212643e+02	9.535876688185e-03
UGC1317	UGC 1317	2	4	3	2.250000000000e+00	1.184521562068e+01	2.090484849523e+02	2.081527916584e+02	2.099441782461e+02	8.569239753335e-03
UGC1317	UGC 1317	2	4	4	2.750000000000e+00	1.447748575861e+01	2.027141904276e+02	2.078369193703e+02	1.975914614850e+02	5.054139457960e-02
UGC1317	UGC 1317	2	4	5	3.250000000000e+00	1.710975589654e+01	2.069277511033e+02	2.030123375101e+02	2.108431646965e+02	3.784329141327e-02
UGC2141	UGC 2141	0	1	0	7.500000000000e-01	8.564220783945e-01	3.844804014254e+01	3.003919714929e+01	4.685688313578e+01	4.374133486165e-01
UGC2141	UGC 2141	0	1	1	1.250000000000e+00	1.427370130658e+00	4.663295457301e+01	4.105275979931e+01	5.221314934671e+01	2.393240927921e-01
UGC2141	UGC 2141	0	1	2	1.750000000000e+00	1.998318182921e+00	6.550601900949e+01	6.966623379773e+01	6.134580422124e+01	1.270177871026e-01
UGC2141	UGC 2141	0	1	3	2.250000000000e+00	2.569266235184e+00	8.263910330332e+01	8.853998150786e+01	7.673822509878e+01	1.428107994562e-01
UGC2141	UGC 2141	0	1	4	2.750000000000e+00	3.140214287447e+00	1.021583036386e+02	1.085080357792e+02	9.580857149786e+01	1.243116205836e-01
UGC2141	UGC 2141	0	1	5	3.250000000000e+00	3.711162339710e+00	1.221721502692e+02	1.288837013874e+02	1.154605991510e+02	1.098703935950e-01
UGC2855	UGC 2855	3	3	0	7.500000000000e-01	2.471520253072e+00	1.332897371599e+02	1.157467244340e+02	1.508327498857e+02	2.632312599550e-01
UGC2855	UGC 2855	3	3	1	1.250000000000e+00	4.119200421788e+00	1.835930768474e+02	1.797422409683e+02	1.874439127265e+02	4.194968508857e-02
UGC2855	UGC 2855	3	3	2	1.750000000000e+00	5.766880590502e+00	2.037234806421e+02	1.942560375774e+02	2.131909237068e+02	9.294405372255e-02
UGC2855	UGC 2855	3	3	3	2.250000000000e+00	7.414560759218e+00	2.013532980909e+02	2.088925237255e+02	1.938140724562e+02	7.488554402804e-02
UGC2855	UGC 2855	3	3	4	2.750000000000e+00	9.062240927932e+00	2.127105472152e+02	2.296120463966e+02	1.958090480338e+02	1.589154783598e-01
UGC3334	UGC 3334	4	4	0	7.500000000000e-01	8.026236637335e+00	3.471131915260e+02	2.696643082277e+02	4.245620748243e+02	4.462456926965e-01
UGC3334	UGC 3334	4	4	1	1.250000000000e+00	1.337706106222e+01	3.365805486331e+02	3.145427233835e+02	3.586183738826e+02	1.309512705890e-01
UGC3334	UGC 3334	4	4	2	1.750000000000e+00	1.872788548711e+01	3.719508606558e+02	3.581160628022e+02	3.857856585094e+02	7.439046023017e-02
UGC3334	UGC 3334	4	4	3	2.250000000000e+00	2.407870991200e+01	3.803811966938e+02	3.797903892933e+02	3.809720040944e+02	3.106396455308e-03
UGC3463	UGC 3463	4	2	0	7.500000000000e-01	4.076003926988e+00	1.347836715024e+02	1.298160628318e+02	1.397512801730e+02	7.371232160716e-02
UGC3463	UGC 3463	4	2	1	1.250000000000e+00	6.793339878312e+00	1.574843393410e+02	1.500910875903e+02	1.648775910917e+02	9.389189784356e-02
UGC3463	UGC 3463	4	2	2	1.750000000000e+00	9.510675829637e+00	1.688638751878e+02	1.628438676321e+02	1.748838827434e+02	7.130012323783e-02
UGC3463	UGC 3463	4	2	3	2.250000000000e+00	1.222801178096e+01	1.633058130532e+02	1.620000000000e+02	1.646116261063e+02	1.599224214678e-02
UGC3463	UGC 3463	4	2	4	2.750000000000e+00	1.494534773229e+01	1.629221746116e+02	1.632586294918e+02	1.625857197314e+02	4.130252754113e-03
UGC3915	UGC 3915	3	2	0	7.500000000000e-01	2.277408188495e+00	1.740239118973e+02	1.666933041233e+02	1.813545196713e+02	8.424828167643e-02
UGC3915	UGC 3915	3	2	1	1.250000000000e+00	3.795680314159e+00	1.952661474270e+02	1.948802968176e+02	1.956519980365e+02	3.952048161417e-03
UGC3915	UGC 3915	3	2	2	1.750000000000e+00	5.313952439822e+00	2.003477336182e+02	1.968849614765e+02	2.038105057600e+02	3.456761980001e-02
UGC3915	UGC 3915	3	2	3	2.250000000000e+00	6.832224565486e+00	2.025973631631e+02	2.038819517671e+02	2.013127745592e+02	1.268119766159e-02
UGC3915	UGC 3915	3	2	4	2.750000000000e+00	8.350496691149e+00	2.028259172867e+02	2.014952202686e+02	2.041566143048e+02	1.312156785421e-02
UGC4456	UGC 4456	4	3	0	7.500000000000e-01	4.601658061232e+00	1.667795192995e+02	1.640762257127e+02	1.694828128863e+02	3.241757259136e-02
UGC4456	UGC 4456	4	3	1	1.250000000000e+00	7.669430102054e+00	1.795415400132e+02	1.608136485391e+02	1.982694314873e+02	2.086190357142e-01
UGC4456	UGC 4456	4	3	2	1.750000000000e+00	1.073720214288e+01	1.889833690148e+02	2.140218394335e+02	1.639448985961e+02	2.649806758047e-01
UGC4456	UGC 4456	4	3	3	2.250000000000e+00	1.380497418370e+01	2.112818728043e+02	2.300611191171e+02	1.925026264914e+02	1.777648604076e-01
UGC5786	UGC 5786	3	2	0	7.500000000000e-01	1.703876081740e+00	4.460659224784e+01	4.567831430446e+01	4.353487019123e+01	4.805218254102e-02
UGC5786	UGC 5786	3	2	1	1.250000000000e+00	2.839793469566e+00	6.094148304377e+01	5.592427217429e+01	6.595869391325e+01	1.646566712489e-01
UGC5786	UGC 5786	3	2	2	1.750000000000e+00	3.975710857393e+00	7.986492699523e+01	8.442811431903e+01	7.530173967143e+01	1.142726224259e-01
UGC5786	UGC 5786	3	2	3	2.250000000000e+00	5.111628245219e+00	8.044815319221e+01	1.063784385929e+02	5.451786779152e+01	6.446458836349e-01
UGC7045	UGC 7045	3	1	0	7.500000000000e-01	1.894790924297e+00	1.204717124021e+02	1.188802268926e+02	1.220631979116e+02	2.642089960850e-02
UGC7045	UGC 7045	3	1	1	1.250000000000e+00	3.157984873828e+00	1.424574584475e+02	1.419596974765e+02	1.429552194184e+02	6.988205129365e-03
UGC7045	UGC 7045	3	1	2	1.750000000000e+00	4.421178823358e+00	1.546719818978e+02	1.583439637956e+02	1.510000000000e+02	4.748089282581e-02
UGC7045	UGC 7045	3	1	3	2.250000000000e+00	5.684372772890e+00	1.562278546879e+02	1.529438470351e+02	1.595118623408e+02	4.204125646332e-02
UGC7901	UGC 7901	1	3	0	7.500000000000e-01	2.626526070831e+00	2.044274881019e+02	2.088549762038e+02	2.000000000000e+02	4.331597617314e-02
UGC7901	UGC 7901	1	3	1	1.250000000000e+00	4.377543451385e+00	2.144547682563e+02	2.108241245426e+02	2.180854119700e+02	3.385929576890e-02
UGC7901	UGC 7901	1	3	2	1.750000000000e+00	6.128560831939e+00	2.171557900638e+02	2.142342433278e+02	2.200773367997e+02	2.690738050445e-02
UGC7901	UGC 7901	1	3	3	2.250000000000e+00	7.879578212493e+00	1.996109066976e+02	2.041866212760e+02	1.950351921191e+02	4.584633830060e-02
UGC8334	UGC 8334	3	3	0	7.500000000000e-01	2.850701767144e+00	2.002982455821e+02	1.974473674642e+02	2.031491237001e+02	2.846633139188e-02
UGC8334	UGC 8334	3	3	1	1.250000000000e+00	4.751169611907e+00	1.978107067272e+02	2.007532155237e+02	1.948681979306e+02	2.975075358880e-02
UGC8334	UGC 8334	3	3	2	1.750000000000e+00	6.651637456670e+00	2.095559213875e+02	2.018954682084e+02	2.172163745667e+02	7.311130249567e-02
UGC8334	UGC 8334	3	3	3	2.250000000000e+00	8.552105301433e+00	2.020043879926e+02	1.988684225563e+02	2.051403534289e+02	3.104848827746e-02
UGC9753	UGC 9753	4	1	0	7.500000000000e-01	1.386715147989e+00	1.363121308349e+02	1.391449349138e+02	1.334793267560e+02	4.156349198760e-02
UGC9753	UGC 9753	4	1	1	1.250000000000e+00	2.311191913315e+00	1.352901103330e+02	1.374803329811e+02	1.330998876849e+02	3.237816338115e-02
UGC9753	UGC 9753	4	1	2	1.750000000000e+00	3.235668678641e+00	1.353370192921e+02	1.386158982904e+02	1.320581402938e+02	4.845502014867e-02
UGC9753	UGC 9753	4	1	3	2.250000000000e+00	4.160145443967e+00	1.354318751065e+02	1.320604257795e+02	1.388033244335e+02	4.978812150930e-02
UGC9753	UGC 9753	4	1	4	2.750000000000e+00	5.084622209293e+00	1.344299405136e+02	1.322657439665e+02	1.365941370608e+02	3.219813292950e-02
