case,kind,time,energy,oscillator_energy,mean_radius,mean_inward_acceleration
nested_counter,memory_fast,15.600000000000001,-0.7570450908527508,7.523714034216599e-05,1.4915098114960834,6.277968134667565
nested_counter,memory_fast,15.700000000000001,-0.7570450908547274,0.00010159482084706662,1.4927873780694907,6.270668121072893
nested_counter,memory_fast,15.8,-0.7570450908544384,7.720048707293558e-05,1.4942272752746024,6.265971890020641
nested_counter,memory_fast,15.9,-0.7570450908537686,3.645609383413785e-05,1.4957125928275046,6.25733445146324
nested_counter,memory_fast,16.0,-0.7570450908537842,1.633937051759083e-05,1.49707675574157,6.24720441117042
nested_counter,memory_fast,16.1,-0.757045090853774,8.632638082855216e-06,1.4982137046088386,6.2398579365669296
nested_counter,memory_fast,16.2,-0.7570450908537603,5.565741003179708e-06,1.4990780287101462,6.236289261253134
nested_counter,memory_fast,16.3,-0.7570450908541985,1.572442058056233e-05,1.4996849626221005,6.234570803089316
nested_counter,memory_fast,16.400000000000002,-0.7570450908558384,3.6277254961921786e-05,1.5001202583673048,6.230435154310051
nested_counter,memory_fast,16.5,-0.7570450908508918,3.3064354743767084e-05,1.5005005162363712,6.229648139063006
nested_counter,memory_fast,16.6,-0.7570450908584138,1.6533911770803087e-05,1.5008000836748407,6.230284710972254
nested_counter,memory_fast,16.7,-0.7570450908560172,1.7836513337526763e-05,1.5008857308665102,6.229343621632015
nested_counter,memory_fast,16.8,-0.7570450908562779,2.7091483062606153e-05,1.500675469634566,6.231194726960863
nested_counter,memory_fast,16.900000000000002,-0.7570450908561746,3.406785527391057e-05,1.5001573023929096,6.237181185656668
nested_counter,memory_fast,17.0,-0.7570450908567793,4.76394630284693e-05,1.499380703479335,6.245744223118608
nested_counter,memory_fast,17.1,-0.7570450908472333,7.539447336356505e-05,1.4984591829831324,6.25202439346653
nested_counter,memory_fast,17.2,-0.7570450908708755,8.580213981510546e-05,1.4975599373705255,6.25619536703511
nested_counter,memory_fast,17.3,-0.7570450908622556,6.548772711757739e-05,1.4967614409964236,6.262438488752397
nested_counter,memory_fast,17.400000000000002,-0.7570450908561426,5.5096696113705614e-05,1.495967259607563,6.263573273628488
nested_counter,memory_fast,17.5,-0.7570450908565093,6.002836264359594e-05,1.49507687294376,6.263515412907934
nested_counter,memory_fast,17.6,-0.7570450908564891,6.506847049485137e-05,1.4940477588075318,6.265066810330954
nested_counter,memory_fast,17.7,-0.7570450908561754,7.527962268261361e-05,1.492888990485041,6.268183732291807
nested_counter,memory_fast,17.8,-0.7570450908623007,0.00010720082719281571,1.4916625789155038,6.269781062126094
nested_counter,memory_fast,17.900000000000002,-0.7570450908763514,0.00013573624638423264,1.4904897363788239,6.266986419389373
nested_counter,memory_fast,18.0,-0.7570450908536076,0.00011269475759589398,1.489465316411483,6.267812199039351
nested_counter,memory_fast,18.1,-0.7570450908572868,7.03734070347129e-05,1.4884993419997905,6.265835738445808
nested_counter,memory_fast,18.2,-0.7570450908568873,4.7616089606755534e-05,1.4874513425245606,6.26312781655864
nested_counter,memory_fast,18.3,-0.7570450908569647,3.695433212957047e-05,1.486247187040185,6.263931584626818
