id,component,height_kpc,refinement_factor,source_node_spacing_kpc,observed_cell_width_kpc,latent_nodes_per_axis,observed_cells_per_axis,refitted_source_image_rms,nonnegative_image_floor,excess_squared_rms_above_nonnegative_floor,prediction_change_relative_to_target_rms,gross_refitted_mismatch,optimizer_converged,iterations,scaled_projected_gradient_rms,normalized_objective,conditional_source_integral,fitted_cells,reported_cells,negative_reported_cells,elapsed_seconds,noise_likelihood,independent_prediction
atomic_helium-h0p0-f2,atomic_helium,0.0,2,0.0625,0.125,257,129,0.0001280678755790671,0.0,1.6401380755335408e-08,0.0012280360371746783,False,True,250,9.335033391319806e-07,0.07388782087466061,175839732.22431386,4572,1789,0,0.13131160000921227,False,False
atomic_helium-h0p0-f4,atomic_helium,0.0,4,0.03125,0.125,513,129,0.00010153533486874188,0.0,1.030942422690755e-08,2.9916427334970445e-05,False,True,350,8.873597014672937e-07,0.06846385502789581,176328584.46681455,4572,1789,0,0.2640345999971032,False,False
atomic_helium-h0p1-f1,atomic_helium,0.1,1,0.125,0.125,129,129,0.01498267089351581,0.0,0.00022448042710340583,,False,True,650,9.9417614152187e-07,1.5490835060093096,181720827.45261827,4572,1789,0,0.39082860000780784,False,False
atomic_helium-h0p1-f2,atomic_helium,0.1,2,0.0625,0.125,257,129,0.006699478922695801,0.0,4.488301783564529e-05,0.009690365797144612,False,True,550,9.674888520776535e-07,0.8171720578893279,179738889.26132143,4572,1789,0,0.32184119999874383,False,False
atomic_helium-h0p1-f4,atomic_helium,0.1,4,0.03125,0.125,513,129,0.005786024678096645,0.0,3.347808157554338e-05,0.0012214156358111331,False,True,550,8.605930248078696e-07,0.716452025146442,179643910.96681145,4572,1789,0,0.36478319999878295,False,False
atomic_helium-h0p2-f1,atomic_helium,0.2,1,0.125,0.125,129,129,0.053538839894000094,0.0,0.002866407377195376,,True,True,1050,9.872294576040303e-07,9.386017349266169,183509833.54549816,4572,1789,0,0.4791235000011511,False,False
atomic_helium-h0p2-f2,atomic_helium,0.2,2,0.0625,0.125,257,129,0.043239924934985303,0.0,0.0018696911083831637,0.01462850850381158,False,True,1000,9.60466299144754e-07,7.0678565520091645,182340298.2501875,4572,1789,0,0.4622015999921132,False,False
atomic_helium-h0p2-f4,atomic_helium,0.2,4,0.03125,0.125,513,129,0.04185956189185604,0.0,0.0017522229217781262,0.0025700452717351886,False,True,950,9.778574483874816e-07,6.677729355101947,182237995.1659457,4572,1789,0,0.5760034999984782,False,False
atomic_helium-h0p4-f1,atomic_helium,0.4,1,0.125,0.125,129,129,0.11875969475738554,0.0,0.014103865098867387,,True,True,1500,8.772515499362753e-07,36.91984383338743,187683528.41441232,4572,1789,0,0.7297577999997884,False,False
atomic_helium-h0p4-f2,atomic_helium,0.4,2,0.0625,0.125,257,129,0.11318246508608382,0.0,0.012810270402962582,0.012752154277676616,True,True,1400,9.449921838609569e-07,34.181503369718776,186447308.1956598,4572,1789,0,0.6261543000000529,False,False
atomic_helium-h0p4-f4,atomic_helium,0.4,4,0.03125,0.125,513,129,0.11236095076204182,0.0,0.012624983256149986,0.0020800939764166115,True,True,1450,8.552963885590495e-07,33.696998537269856,186377136.22331718,4572,1789,0,0.8656824000063352,False,False
co21-h0p0-f1,co21,0.0,1,0.125,0.125,129,129,0.09853282831182944,0.09234263480365776,0.0011815560526467518,,True,True,550,8.734950425944675e-07,24.5465861430879,16635242.26254983,2712,1760,411,0.2950737999926787,False,False
co21-h0p0-f2,co21,0.0,2,0.0625,0.125,257,129,0.09234281987674994,0.09234263480365776,3.418030817929629e-08,0.019992889758131502,True,True,300,8.241570323249896e-07,21.848750787734115,15702970.53484298,2712,1760,411,0.16357780000544153,False,False
co21-h0p0-f4,co21,0.0,4,0.03125,0.125,513,129,0.09234276593285178,0.09234263480365776,2.421764774655777e-08,5.4400481269871775e-05,True,True,400,8.494401711089859e-07,21.843336449452682,15813637.71930763,2712,1760,411,0.27845670000533573,False,False
co21-h0p1-f1,co21,0.1,1,0.125,0.125,129,129,0.11515603735158028,0.09234263480365776,0.004733750736036848,,True,True,600,8.081806940605748e-07,31.35852346548347,16653585.643185139,2712,1760,411,0.20138879999285564,False,False
co21-h0p1-f2,co21,0.1,2,0.0625,0.125,257,129,0.10799870655515909,0.09234263480365776,0.0031365584151056575,0.02227635866584575,True,True,600,8.489145884900406e-07,28.151310453053483,16272204.817198912,2712,1760,411,0.36323769998853095,False,False
co21-h0p1-f4,co21,0.1,4,0.03125,0.125,513,129,0.10771233652349102,0.09234263480365776,0.003074785236868074,0.002057204646919106,True,True,550,9.24798671913874e-07,27.998025254862903,16227808.491075106,2712,1760,411,0.35977089998777956,False,False
co21-h0p2-f1,co21,0.2,1,0.125,0.125,129,129,0.15459484616116964,0.09234263480365776,0.015372404257114005,,True,True,1000,7.997744887528486e-07,48.579399410077265,17720259.415847875,2712,1760,411,0.4399773000041023,False,False
co21-h0p2-f2,co21,0.2,2,0.0625,0.125,257,129,0.1489252413323181,0.09234263480365776,0.013651565303407482,0.018649008139668112,True,True,900,9.18765212150125e-07,45.543805619681294,17007433.49050455,2712,1760,411,0.4912847000232432,False,False
co21-h0p2-f4,co21,0.2,4,0.03125,0.125,513,129,0.14847417767459997,0.09234263480365776,0.013517419233666976,0.0021453928666020556,True,True,850,9.184658530559147e-07,45.281201347579106,16951570.568812776,2712,1760,411,0.5072941000107676,False,False
co21-h0p4-f1,co21,0.4,1,0.125,0.125,129,129,0.2636632848637296,0.09234263480365776,0.06099116558265051,,True,True,1550,9.361356405445256e-07,112.45355209087897,19587779.94312821,2712,1760,411,0.8021181999938563,False,False
co21-h0p4-f2,co21,0.4,2,0.0625,0.125,257,129,0.2603477757485398,0.09234263480365776,0.05925380213473026,0.01522295888538522,True,True,1350,9.991921401697596e-07,109.67522778335815,18176284.94587767,2712,1760,411,0.5941872000112198,False,False
co21-h0p4-f4,co21,0.4,4,0.03125,0.125,513,129,0.2599361493836613,0.09234263480365776,0.05903963955392337,0.0021447639107196295,True,True,1350,9.468626517359217e-07,109.30434652087811,18155582.32922122,2712,1760,411,0.7884342999896035,False,False
