group	role	outer_fold	richness_stratum	mass_stratum	concentration_stratum	members	log10_mass	log10_r_rms	log10_r50	log10_r90	log10_richness	log10_distance	log10_virial_velocity	log10_acceleration_amplitude	log10_tidal_amplitude	shape_axis_ratio	radial_concentration	signed_log_center_acceleration_norm	signed_log_tidal_trace_norm	log10_tidal_frobenius_norm	signed_log_tidal_determinant_norm	tidal_eigenvalue_anisotropy	log10_third_derivative_norm	acceleration_shape_alignment	tidal_shape_alignment	third_x_tidal_anisotropy	radial_field_slope_inner	radial_field_slope_outer	radial_field_curvature	radial_slope_transition	r_rms_kpc	epsilon_kpc	total_mass_msun
55	exploration	2	8_11	low_mass	high_concentration	7	1.173015708285e+01	2.662872866059e+00	2.673398185230e+00	2.763878752655e+00	8.450980400143e-01	2.203774736456e+00	1.850422285739e+00	1.037971705418e+00	-1.624901160641e+00	7.436918776434e-01	8.119315781296e-01	3.152465802790e-01	6.492493946597e-01	8.226413553193e-01	-1.233253448154e+00	9.999999999999e-01	1.785198044468e+00	-3.320772094994e-01	-2.962899745622e-01	1.785198044467e+00	-7.291579205954e-01	-2.937017129832e+00	-1.061755844049e+00	-2.207859209237e+00	4.601218593019e+02	2.300609296510e+01	5.372260740913e+11
58	exploration	0	8_11	low_mass	high_concentration	8	1.160388372343e+01	2.900542514643e+00	2.888604895358e+00	3.056628715018e+00	9.030899869919e-01	2.221730853685e+00	1.668450781739e+00	4.363590488344e-01	-2.464183465809e+00	2.262622470060e-01	6.791663814963e-01	3.583534902482e-01	6.730118321697e-01	8.230418497365e-01	-1.210906788338e+00	9.999999999999e-01	1.768364184066e+00	-1.011484630608e-01	-1.622789598454e-01	1.768364184065e+00	-1.700191182868e-01	-2.906739105285e+00	-1.316084117848e+00	-2.736719986998e+00	7.953211185575e+02	3.976605592787e+01	4.016832511070e+11
65	exploration	4	8_11	low_mass	high_concentration	8	1.172382131021e+01	2.829048523604e+00	2.796120685342e+00	3.011623946758e+00	9.030899869919e-01	2.289585767620e+00	1.764166570645e+00	6.992846176851e-01	-2.129763905919e+00	6.828988876562e-01	6.088309736134e-01	1.221698832179e-01	4.078864592497e-01	2.075583692307e-01	-3.618019874130e-02	9.999999999994e-01	3.974339605726e-01	9.792947120911e-01	-7.039893950088e-01	3.974339605724e-01	1.272667163746e+00	-3.111350700090e+00	-2.108266943775e+00	-4.384017863836e+00	6.746033967416e+02	3.373016983708e+01	5.294455595129e+11
66	exploration	2	8_11	low_mass	high_concentration	8	1.174088513973e+01	2.898536673725e+00	2.892474201776e+00	2.997297111764e+00	9.030899869919e-01	2.260735616229e+00	1.737954410345e+00	5.773721469656e-01	-2.321164526759e+00	3.551819075264e-01	7.855558913703e-01	1.080168321681e+00	-2.044715247050e+00	2.418701340224e+00	-4.452604403273e+00	1.000000000000e+00	4.106266764811e+00	-4.671215909368e-02	-2.336486531129e-01	4.106266764811e+00	-7.985639634929e-01	-2.148588917052e+00	-6.492247685253e-01	-1.350024953559e+00	7.916563027210e+02	3.958281513605e+01	5.506620404979e+11
72	exploration	1	8_11	high_mass	low_concentration	7	1.186268799585e+01	2.937003715885e+00	2.836888370351e+00	3.214151944681e+00	8.450980400143e-01	2.405238999245e+00	1.779622317328e+00	6.222409187718e-01	-2.314762797113e+00	4.913989568740e-01	4.195043085778e-01	6.997227463746e-01	1.313432524365e+00	1.520167771957e+00	-2.553866722238e+00	1.000000000000e+00	2.760997586254e+00	-9.725154103568e-01	-9.985152311995e-01	2.760997586254e+00	-1.407430716591e+00	-1.817977477276e+00	-1.974312585643e-01	-4.105467606848e-01	8.649753195956e+02	4.324876597978e+01	7.289336444380e+11
79	exploration	2	20_plus	high_mass	low_concentration	22	1.234507832746e+01	2.635073380473e+00	2.528691678006e+00	2.867303189930e+00	1.342422680822e+00	2.275739020240e+00	2.171782650835e+00	1.708491921198e+00	-9.265814592748e-01	6.529911769266e-01	4.585518902873e-01	5.724500298075e-01	-1.577205480588e+00	1.864446032617e+00	-3.301705672775e+00	1.000000000000e+00	3.582232568306e+00	-8.984350992789e-01	7.217994986199e-01	3.582232568306e+00	1.082346601452e+00	-2.224602632310e+00	-1.590306420007e+00	-3.306949233762e+00	4.315919945147e+02	2.157959972574e+01	2.213493889693e+12
84	exploration	0	8_11	high_mass	low_concentration	8	1.199887669823e+01	3.012526265414e+00	2.927764156785e+00	3.254654599064e+00	9.030899869919e-01	2.416433651187e+00	1.809955393753e+00	6.073845220917e-01	-2.405141743322e+00	5.043657236578e-01	4.710961529393e-01	3.279172716170e-01	6.937167338272e-01	6.657900753020e-01	-5.985096258706e-01	9.999999999998e-01	1.270504815013e+00	-5.197644873868e-01	3.230694623715e-01	1.270504815013e+00	1.230686498980e+00	-2.006686097826e+00	-1.556847130307e+00	-3.237372596806e+00	1.029262773427e+03	5.146313867135e+01	9.974168441970e+11
96	exploration	0	12_19	low_mass	high_concentration	11	1.157958904170e+01	2.599333827361e+00	2.528701255309e+00	2.721101445230e+00	1.041392685158e+00	1.857943869637e+00	1.806907784511e+00	1.014481741661e+00	-1.584852085700e+00	6.586542431175e-01	6.420957717737e-01	1.834799990017e-01	5.118058676312e-01	2.762326397660e-01	2.419893586163e-01	6.406546503424e-01	1.239157768496e+00	-9.401950218208e-01	7.250475086079e-01	7.938721868950e-01	1.247663248949e+00	-2.659997356148e+00	-1.879187525484e+00	-3.907660605097e+00	3.974969744414e+02	2.000000000000e+01	3.798298060052e+11
100	reserved_confirmation		8_11	low_mass	high_concentration	10	1.125273902205e+01	2.780084571684e+00	2.742429185892e+00	3.035051426509e+00	1.000000000000e+00	1.875532527332e+00	1.553107402529e+00	3.261302333747e-01	-2.453954338309e+00	5.801707735863e-01	5.097740915601e-01	7.652771966184e-01	1.473363556102e+00	1.951608590380e+00	-3.554989600907e+00	1.000000000000e+00	3.366949117370e+00	3.833133857027e-01	5.870457108071e-01	3.366949117370e+00	-3.838744758409e-01	-2.867770622105e+00	-1.194501550766e+00	-2.483896146264e+00	6.026769360362e+02	3.013384680181e+01	1.789530159371e+11
110	reserved_confirmation		8_11	low_mass	high_concentration	10	1.147089511936e+01	2.672909450628e+00	2.679728989034e+00	2.814260636323e+00	1.000000000000e+00	2.009984784925e+00	1.715773011712e+00	7.586365727954e-01	-1.914272877833e+00	5.218993449607e-01	7.336152535047e-01	9.814971414913e-01	1.626681682469e+00	2.045193982854e+00	-3.724572595237e+00	1.000000000000e+00	3.366574835763e+00	-9.598057631384e-01	-9.453709677852e-01	3.366574835763e+00	-1.465199717568e+00	-2.081777245515e+00	-2.965111139640e-01	-6.165775279466e-01	4.708791389751e+02	2.354395694876e+01	2.957298202879e+11
116	exploration	1	8_11	high_mass	high_concentration	10	1.189949138351e+01	2.795678219940e+00	2.757171249372e+00	2.979291599449e+00	1.000000000000e+00	2.240674027620e+00	1.868686759129e+00	9.416952983181e-01	-1.853982921622e+00	3.838318720033e-01	5.996248874043e-01	1.335733195923e-01	5.835699515412e-01	4.073227432214e-01	2.432203832998e-01	7.911485001122e-01	1.234741839386e+00	-6.644319975811e-01	-8.462153770367e-01	9.768641542561e-01	2.060245611573e+00	-2.531843774859e+00	-2.208328195041e+00	-4.592089386432e+00	6.247096576513e+02	3.123548288257e+01	7.933985154362e+11
134	exploration	3	8_11	high_mass	low_concentration	7	1.181913375432e+01	3.062117541225e+00	3.002808461276e+00	3.334989611042e+00	8.450980400143e-01	2.360844862660e+00	1.695288283892e+00	3.284590265583e-01	-2.733658514666e+00	2.885125010953e-01	4.653919321237e-01	9.614896710033e-02	6.363778197415e-01	6.882993058880e-01	-8.668658315891e-01	9.999999999998e-01	1.282055144584e+00	-7.670576474943e-01	9.958914609639e-01	1.282055144584e+00	2.081830914491e+00	-2.457596709789e+00	-2.183003240674e+00	-4.539427624280e+00	1.153765480663e+03	5.768827403315e+01	6.593769393493e+11
136	exploration	2	8_11	low_mass	low_concentration	8	1.147201017165e+01	2.503174922186e+00	2.406586174592e+00	2.790815148675e+00	9.030899869919e-01	1.829698824057e+00	1.801197802078e+00	1.099220681971e+00	-1.403954240215e+00	6.199087973618e-01	4.128297873994e-01	4.248119885748e-01	7.218917975400e-01	6.847888529908e-01	-5.549849567112e-01	9.999999999998e-01	1.254928141787e+00	-9.371875288937e-01	-9.563011865142e-01	1.254928141787e+00	8.831098456217e-01	-1.501400207410e+00	-1.146706942820e+00	-2.384510053032e+00	3.185480289521e+02	2.000000000000e+01	2.964900829950e+11
137	exploration	2	8_11	low_mass	low_concentration	7	1.112176726553e+01	2.504733966779e+00	2.364798304968e+00	2.699548946117e+00	8.450980400143e-01	1.636803007300e+00	1.625296826717e+00	7.458596866550e-01	-1.758874280124e+00	3.520377811758e-01	4.626465829295e-01	3.361817048133e-01	8.120234576127e-01	9.722527114805e-01	-1.476402564653e+00	9.999999999999e-01	2.243030630116e+00	8.143806921723e-02	1.626577113977e-01	2.243030630116e+00	9.955377898694e-01	-2.449119434099e+00	-1.656529964860e+00	-3.444657223968e+00	3.196936181342e+02	2.000000000000e+01	1.323632022703e+11
139	exploration	2	8_11	low_mass	low_concentration	8	1.116074961809e+01	2.556705313279e+00	2.353923113135e+00	2.762824598595e+00	9.030899869919e-01	1.803730170975e+00	1.618802329750e+00	6.808993462211e-01	-1.875805967058e+00	4.490808563208e-01	3.900304504134e-01	1.356362060395e-01	8.125765400348e-01	1.026465289793e+00	-1.627196501916e+00	9.999999999999e-01	1.748460494524e+00	7.111428333605e-01	6.352946052673e-01	1.748460494524e+00	1.005222451726e+00	-1.490829190041e+00	-1.200347108460e+00	-2.496051641767e+00	3.603340585281e+02	2.000000000000e+01	1.447936840137e+11
141	exploration	4	8_11	low_mass	high_concentration	7	1.175071134123e+01	2.820081060548e+00	2.782851324931e+00	3.014552429657e+00	8.450980400143e-01	2.305575523027e+00	1.782095317684e+00	7.441095748203e-01	-2.075971485727e+00	2.924862138028e-01	5.865417022870e-01	5.238512595435e-01	1.030212118164e+00	1.292089399836e+00	-2.163427557260e+00	1.000000000000e+00	2.272040413662e+00	9.994280948157e-01	9.996132523038e-01	2.272040413661e+00	-1.636395337463e+00	-2.751768972377e+00	-5.363813372764e-01	-1.115373634914e+00	6.608167771617e+02	3.304083885808e+01	5.632631521130e+11
147	reserved_confirmation		8_11	high_mass	low_concentration	9	1.186763399362e+01	2.939918652658e+00	2.868850544325e+00	3.232673709611e+00	9.542425094393e-01	2.332271058355e+00	1.780637847826e+00	6.213570429933e-01	-2.318561609664e+00	4.066448968153e-01	4.326899765681e-01	6.568740171837e-01	1.366799456492e+00	1.826892664330e+00	-3.302328653200e+00	1.000000000000e+00	3.218598666338e+00	-3.155027224095e-01	-1.903440292572e-01	3.218598666338e+00	9.542128460343e-01	-1.465915721987e+00	-1.163835827799e+00	-2.420128568021e+00	8.708004657601e+02	4.354002328801e+01	7.372826153189e+11
155	exploration	1	8_11	low_mass	low_concentration	7	1.119969855416e+01	2.550015518134e+00	2.394839727644e+00	2.791671727296e+00	8.450980400143e-01	1.892841646286e+00	1.641621695358e+00	7.332278725824e-01	-1.816787645551e+00	5.859710324197e-01	4.010218169404e-01	1.065249524522e+00	1.132645742393e+00	2.272990694290e+00	-4.243019197719e+00	1.000000000000e+00	3.751526123323e+00	-7.456640855577e-01	-6.273501775495e-01	3.751526123323e+00	1.541755353427e-02	-1.507836284507e+00	-7.325302527189e-01	-1.523253838041e+00	3.548260675895e+02	2.000000000000e+01	1.583793492357e+11
163	exploration	3	12_19	high_mass	low_concentration	12	1.184280475896e+01	2.831999126580e+00	2.693473235392e+00	3.046505231389e+00	1.079181246048e+00	2.205791896179e+00	1.822182993533e+00	8.123668604856e-01	-2.019632266095e+00	5.436771986872e-01	4.435759629310e-01	5.438167116872e-01	1.066620584489e+00	1.208077001962e+00	-1.872496599875e+00	1.000000000000e+00	2.342547166293e+00	-9.285466539248e-01	-4.354714131799e-01	2.342547166293e+00	-4.535177356599e-03	-1.353116408658e+00	-6.485304848783e-01	-1.348581231302e+00	6.792022666567e+02	3.396011333283e+01	6.963134096988e+11
187	exploration	0	8_11	low_mass	high_concentration	7	1.151980752800e+01	2.570698962023e+00	2.421715371129e+00	2.623679300849e+00	8.450980400143e-01	2.148677557094e+00	1.791334460331e+00	1.011969958640e+00	-1.558729003383e+00	4.064771327625e-01	6.281105242969e-01	1.654362985852e-01	6.277499325720e-01	7.198531163199e-01	-9.777633771134e-01	9.999999999999e-01	1.405926658889e+00	-7.585851605227e-02	9.378197155737e-01	1.405926658888e+00	1.984568570491e+00	-2.460001603314e+00	-2.137386449544e+00	-4.444570173805e+00	3.721336665921e+02	2.000000000000e+01	3.309844022589e+11
188	exploration	0	8_11	high_mass	low_concentration	8	1.188711396984e+01	2.857235253598e+00	2.584871720576e+00	3.165591132379e+00	9.030899869919e-01	2.334910209752e+00	1.831719535466e+00	8.062038173334e-01	-2.051031436265e+00	1.886393662330e-01	2.625914541589e-01	8.955028936743e-01	1.578083886757e+00	1.878299739625e+00	-3.337806586949e+00	1.000000000000e+00	2.973071276565e+00	7.449618721452e-02	3.352979021138e-01	2.973071276565e+00	-1.276069922835e+00	-1.296227367056e+00	-9.693681605025e-03	-2.015744422131e-02	7.198388029207e+02	3.599194014604e+01	7.711058001535e+11
191	exploration	3	8_11	low_mass	low_concentration	8	1.137289795302e+01	2.507420868372e+00	2.316505801309e+00	2.649675161507e+00	9.030899869919e-01	1.914229788970e+00	1.749518719669e+00	9.916165709656e-01	-1.515804297407e+00	4.890281265936e-01	4.643341652506e-01	1.317305752927e-01	6.234963890095e-01	6.937900554097e-01	-9.072874307556e-01	9.999999999998e-01	1.469138724093e+00	8.842979714238e-01	9.996473240505e-01	1.469138724093e+00	9.723558593719e-01	-2.109662463934e+00	-1.482137516988e+00	-3.082018323306e+00	3.216776359140e+02	2.000000000000e+01	2.359923652404e+11
202	reserved_confirmation		8_11	low_mass	high_concentration	9	1.128032496465e+01	2.580334583241e+00	2.541711780086e+00	2.744628023910e+00	9.542425094393e-01	1.737465269507e+00	1.666775368050e+00	7.532161528582e-01	-1.827118430383e+00	7.147209715906e-01	6.267347223957e-01	8.906544040680e-02	4.723780310187e-01	4.522989346327e-01	-4.883468895140e-01	9.999999999997e-01	6.606594541330e-01	-5.393945361312e-01	7.930086977118e-01	6.606594541329e-01	1.847277337241e+00	-2.600039291507e+00	-2.138707215186e+00	-4.447316628748e+00	3.804824095136e+02	2.000000000000e+01	1.906887029205e+11
203	exploration	1	12_19	low_mass	high_concentration	12	1.125037289103e+01	2.536431043231e+00	2.490470865532e+00	2.689189575158e+00	1.079181246048e+00	1.748564547732e+00	1.673751101243e+00	8.110711592552e-01	-1.725359883976e+00	7.341240260983e-01	6.328215940643e-01	2.556445221321e-01	8.457728452742e-01	7.942309461396e-01	-3.651353705763e-01	9.999999999998e-01	2.140197552236e+00	1.388500149024e-01	8.995280767276e-01	2.140197552236e+00	1.527395236463e-01	-2.264626117572e+00	-1.162507140867e+00	-2.417365641219e+00	3.438991031491e+02	2.000000000000e+01	1.779806920117e+11
210	exploration	0	8_11	low_mass	low_concentration	10	1.170330050474e+01	2.620491612829e+00	2.326206638685e+00	2.868273732275e+00	1.000000000000e+00	2.206976138275e+00	1.858184623301e+00	1.095877633772e+00	-1.524613979057e+00	6.411236299783e-01	2.870337113120e-01	4.518009149334e-01	1.075215311061e+00	1.306442762280e+00	-2.166554345906e+00	1.000000000000e+00	2.088260637269e+00	5.297221824548e-01	1.494625104316e-01	2.088260637269e+00	-3.583672960886e-01	-8.033683088488e-01	-2.140002514332e-01	-4.450010127602e-01	4.173415386150e+02	2.086707693075e+01	5.050106125998e+11
215	exploration	3	8_11	high_mass	high_concentration	10	1.186534597099e+01	2.881619146039e+00	2.930290914582e+00	3.056821157643e+00	1.000000000000e+00	2.225837057088e+00	1.808643589819e+00	7.356680335991e-01	-2.145951112439e+00	4.463568831739e-01	7.472565955070e-01	1.024232215354e-01	1.096841362945e+00	1.439336738967e+00	-2.495585632651e+00	1.000000000000e+00	2.318344512983e+00	-1.339235928321e-01	9.607035962248e-01	2.318344512983e+00	-1.483592630636e+00	-2.172402308916e+00	-3.312474356570e-01	-6.888096782802e-01	7.614109988117e+02	3.807054994058e+01	7.334085540100e+11
221	exploration	4	8_11	low_mass	low_concentration	10	1.155117381748e+01	2.598760994823e+00	2.274527881094e+00	2.820470031488e+00	1.000000000000e+00	1.919645817192e+00	1.792986588674e+00	9.872121825253e-01	-1.611548812298e+00	3.764199828061e-01	2.844840025259e-01	1.407703251176e+00	-3.123655048785e+00	3.016293598147e+00	5.535750850078e+00	4.708387533864e-01	4.788311259399e+00	5.987481150764e-02	-1.333013914921e-01	2.254522504202e+00	-1.289876174823e-01	-2.090690948526e+00	-9.433798891309e-01	-1.961703331044e+00	3.969730232769e+02	2.000000000000e+01	3.557736812178e+11
227	exploration	2	20_plus	high_mass	high_concentration	27	1.243359169015e+01	3.132104213110e+00	3.087815507049e+00	3.321164274008e+00	1.431363764159e+00	2.335360456486e+00	1.967523915864e+00	8.029436186188e-01	-2.329160594491e+00	5.734895901837e-01	5.843206478629e-01	6.721278749226e-01	4.989278297466e-01	1.847057478894e+00	-3.392852857934e+00	1.000000000000e+00	3.416373280064e+00	-9.533565845426e-01	-7.848651254345e-01	3.416373280064e+00	-4.370545864954e-01	-2.129873910363e+00	-8.140740145548e-01	-1.692819323867e+00	1.355514642017e+03	6.777573210085e+01	2.713886559274e+12
228	exploration	4	8_11	high_mass	high_concentration	10	1.211805926930e+01	2.843994889278e+00	2.803298691607e+00	2.952706537364e+00	1.000000000000e+00	2.317092844097e+00	1.953812367353e+00	1.063629845427e+00	-1.780365043851e+00	4.310939620593e-01	7.089117165863e-01	1.983611972393e-01	6.583614457125e-01	6.591845611940e-01	-7.069774328392e-01	9.999999999998e-01	1.713509133683e+00	8.863247668892e-01	5.635998654491e-01	1.713509133682e+00	8.549664962264e-01	-1.997628167438e+00	-1.371808058312e+00	-2.852594663665e+00	6.982241874162e+02	3.491120937081e+01	1.312378990567e+12
230	exploration	1	8_11	low_mass	low_concentration	10	1.144360398258e+01	2.563743870948e+00	2.317788744449e+00	2.832018142858e+00	1.000000000000e+00	1.908929043666e+00	1.756710233162e+00	9.496765953757e-01	-1.614067275572e+00	1.563057750604e-01	3.060346503034e-01	9.267913090483e-01	-2.421321416482e+00	2.321604419103e+00	4.098737572880e+00	5.226794194254e-01	4.061325798084e+00	-4.073609885157e-01	5.504009015567e-01	2.122771410240e+00	8.457377976264e-01	-2.398728127362e+00	-1.560258300105e+00	-3.244465924989e+00	3.662215285272e+02	2.000000000000e+01	2.777179703168e+11
239	exploration	0	8_11	low_mass	low_concentration	9	1.126961176028e+01	2.553883190491e+00	2.248469026830e+00	2.736350275649e+00	9.542425094393e-01	1.987353388736e+00	1.674644462237e+00	7.954057339835e-01	-1.758477456507e+00	2.649918267822e-01	3.251761996869e-01	7.615204323010e-01	1.333891521409e+00	1.549438507546e+00	-2.620378065244e+00	1.000000000000e+00	2.455070490988e+00	9.936185163002e-01	9.997441278030e-01	2.455070490988e+00	-6.267799606899e-01	-1.718524655592e+00	-5.250182190841e-01	-1.091744694902e+00	3.580001350634e+02	2.000000000000e+01	1.860423258388e+11
240	exploration	4	20_plus	high_mass	low_concentration	27	1.193359756903e+01	2.690806354604e+00	2.536509159037e+00	2.865510062103e+00	1.431363764159e+00	1.818197606035e+00	1.938175784558e+00	1.185545214512e+00	-1.505261140092e+00	7.682077813632e-01	4.688124073023e-01	3.987371474447e-01	8.891284858097e-01	8.040000850116e-01	5.421977459203e-01	8.841050733220e-01	1.829898522400e+00	-3.138297904120e-01	4.793205650026e-01	1.617822567318e+00	5.961600959021e-01	-1.875059282973e+00	-1.188405314284e+00	-2.471219378875e+00	4.906890364850e+02	2.453445182425e+01	8.582179011551e+11
242	exploration	4	8_11	high_mass	high_concentration	9	1.182460782641e+01	2.817550599393e+00	2.789002859873e+00	2.958413391221e+00	9.542425094393e-01	2.190843743601e+00	1.820308790850e+00	8.230669823067e-01	-1.994483617087e+00	2.923051258986e-01	6.770012470298e-01	4.591606828829e-01	9.282415611346e-01	1.164709763635e+00	-1.902017299509e+00	9.999999999999e-01	2.289440022529e+00	-6.068732009625e-01	-3.030533393141e-01	2.289440022529e+00	-1.613494401680e+00	-2.943074206108e+00	-6.393927301047e-01	-1.329579804428e+00	6.569776560958e+02	3.284888280479e+01	6.677406666869e+11
249	exploration	3	8_11	low_mass	low_concentration	10	1.120352698381e+01	2.370843564263e+00	2.315920899436e+00	2.697393516288e+00	1.000000000000e+00	1.703414216327e+00	1.733121887117e+00	1.095400209972e+00	-1.275443354290e+00	4.145027471943e-01	4.154582459015e-01	7.493646415200e-01	1.170476533329e+00	1.506830922275e+00	-2.624960048495e+00	1.000000000000e+00	2.511103392349e+00	-9.997697436658e-01	-9.861313661428e-01	2.511103392349e+00	-1.195356750371e+00	-1.954949195618e+00	-3.652867512847e-01	-7.595924452466e-01	2.348786620019e+02	2.000000000000e+01	1.597816802355e+11
