case,source,invalid_groups,global_steady_valid,min_supported_rotation_squared,max_unknown_envelope_at_multiplier2_mjy_beam
h0p1_newton_p15_boxcar_independent_s-1,p0p03125_z48,17568,False,-239271.63287634804,3.962332643797257e-06
h0p1_newton_p15_boxcar_independent_s1,p0p0625_z24,4585,False,-204022.61682356763,2.373832466875541e-06
h0p1_newton_p15_boxcar_independent_s1,p0p0625_z48,4585,False,-204022.61682356763,3.841907655389664e-06
h0p1_newton_p15_boxcar_independent_s1,p0p03125_z24,17568,False,-239271.63287634804,2.6050695940592693e-06
h0p1_newton_p15_boxcar_independent_s1,p0p03125_z48,17568,False,-239271.63287634804,3.962332643797257e-06
h0p1_newton_p15_boxcar_hanning_full_s-1,p0p0625_z24,4585,False,-204022.61682356763,2.369698310715883e-06
h0p1_newton_p15_boxcar_hanning_full_s-1,p0p0625_z48,4585,False,-204022.61682356763,3.835216767797553e-06
h0p1_newton_p15_boxcar_hanning_full_s-1,p0p03125_z24,17568,False,-239271.63287634804,2.6005327260793677e-06
h0p1_newton_p15_boxcar_hanning_full_s-1,p0p03125_z48,17568,False,-239271.63287634804,3.95543202964923e-06
h0p1_newton_p15_boxcar_hanning_full_s1,p0p0625_z24,4585,False,-204022.61682356763,2.369698310715883e-06
h0p1_newton_p15_boxcar_hanning_full_s1,p0p0625_z48,4585,False,-204022.61682356763,3.835216767797553e-06
h0p1_newton_p15_boxcar_hanning_full_s1,p0p03125_z24,17568,False,-239271.63287634804,2.6005327260793677e-06
h0p1_newton_p15_boxcar_hanning_full_s1,p0p03125_z48,17568,False,-239271.63287634804,3.95543202964923e-06
h0p1_newton_p15_boxcar_hanning_decimated_s-1,p0p0625_z24,4585,False,-204022.61682356763,4.739396621431766e-06
h0p1_newton_p15_boxcar_hanning_decimated_s-1,p0p0625_z48,4585,False,-204022.61682356763,7.670433535595106e-06
h0p1_newton_p15_boxcar_hanning_decimated_s-1,p0p03125_z24,17568,False,-239271.63287634804,5.201065452158735e-06
h0p1_newton_p15_boxcar_hanning_decimated_s-1,p0p03125_z48,17568,False,-239271.63287634804,7.91086405929846e-06
h0p1_newton_p15_boxcar_hanning_decimated_s1,p0p0625_z24,4585,False,-204022.61682356763,4.739396621431766e-06
h0p1_newton_p15_boxcar_hanning_decimated_s1,p0p0625_z48,4585,False,-204022.61682356763,7.670433535595106e-06
h0p1_newton_p15_boxcar_hanning_decimated_s1,p0p03125_z24,17568,False,-239271.63287634804,5.201065452158735e-06
h0p1_newton_p15_boxcar_hanning_decimated_s1,p0p03125_z48,17568,False,-239271.63287634804,7.91086405929846e-06
h0p1_newton_plus_log_p5_boxcar_independent_s-1,p0p0625_z24,321,False,-19900.36753476924,4.281000857426366e-09
h0p1_newton_plus_log_p5_boxcar_independent_s-1,p0p0625_z48,321,False,-19900.36753476924,3.5767502465622797e-09
h0p1_newton_plus_log_p5_boxcar_independent_s-1,p0p03125_z24,1097,False,-23817.53095267767,3.1933682592917152e-09
h0p1_newton_plus_log_p5_boxcar_independent_s-1,p0p03125_z48,1097,False,-23817.53095267767,2.709718835148533e-09
h0p1_newton_plus_log_p5_boxcar_independent_s1,p0p0625_z24,321,False,-19900.36753476924,4.281000857426366e-09
h0p1_newton_plus_log_p5_boxcar_independent_s1,p0p0625_z48,321,False,-19900.36753476924,3.5767502465622797e-09
h0p1_newton_plus_log_p5_boxcar_independent_s1,p0p03125_z24,1097,False,-23817.53095267767,3.1933682592917152e-09
h0p1_newton_plus_log_p5_boxcar_independent_s1,p0p03125_z48,1097,False,-23817.53095267767,2.709718835148533e-09
h0p1_newton_plus_log_p5_boxcar_hanning_full_s-1,p0p0625_z24,321,False,-19900.36753476924,4.273545265546488e-09
h0p1_newton_plus_log_p5_boxcar_hanning_full_s-1,p0p0625_z48,321,False,-19900.36753476924,3.5705211447744665e-09
h0p1_newton_plus_log_p5_boxcar_hanning_full_s-1,p0p03125_z24,1097,False,-23817.53095267767,3.1878068377325167e-09
h0p1_newton_plus_log_p5_boxcar_hanning_full_s-1,p0p03125_z48,1097,False,-23817.53095267767,2.704999714920131e-09
h0p1_newton_plus_log_p5_boxcar_hanning_full_s1,p0p0625_z24,321,False,-19900.36753476924,4.273545265546488e-09
h0p1_newton_plus_log_p5_boxcar_hanning_full_s1,p0p0625_z48,321,False,-19900.36753476924,3.5705211447744665e-09
h0p1_newton_plus_log_p5_boxcar_hanning_full_s1,p0p03125_z24,1097,False,-23817.53095267767,3.1878068377325167e-09
h0p1_newton_plus_log_p5_boxcar_hanning_full_s1,p0p03125_z48,1097,False,-23817.53095267767,2.704999714920131e-09
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s-1,p0p0625_z24,321,False,-19900.36753476924,8.547090531092976e-09
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s-1,p0p0625_z48,321,False,-19900.36753476924,7.141042289548933e-09
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s-1,p0p03125_z24,1097,False,-23817.53095267767,6.3756136754650335e-09
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s-1,p0p03125_z48,1097,False,-23817.53095267767,5.409999429840262e-09
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s1,p0p0625_z24,321,False,-19900.36753476924,8.547090531092976e-09
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s1,p0p0625_z48,321,False,-19900.36753476924,7.141042289548933e-09
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s1,p0p03125_z24,1097,False,-23817.53095267767,6.3756136754650335e-09
h0p1_newton_plus_log_p5_boxcar_hanning_decimated_s1,p0p03125_z48,1097,False,-23817.53095267767,5.409999429840262e-09
h0p1_newton_plus_log_p10_boxcar_independent_s-1,p0p0625_z24,1640,False,-88548.37303573987,2.2206119935553011e-07
h0p1_newton_plus_log_p10_boxcar_independent_s-1,p0p0625_z48,1640,False,-88548.37303573987,1.5933967161138507e-07
h0p1_newton_plus_log_p10_boxcar_independent_s-1,p0p03125_z24,6096,False,-104215.03182765478,1.9398539773681512e-07
h0p1_newton_plus_log_p10_boxcar_independent_s-1,p0p03125_z48,6096,False,-104215.03182765478,1.395096653457304e-07
h0p1_newton_plus_log_p10_boxcar_independent_s1,p0p0625_z24,1640,False,-88548.37303573987,2.2206119935553011e-07
h0p1_newton_plus_log_p10_boxcar_independent_s1,p0p0625_z48,1640,False,-88548.37303573987,1.5933967161138507e-07
h0p1_newton_plus_log_p10_boxcar_independent_s1,p0p03125_z24,6096,False,-104215.03182765478,1.9398539773681512e-07
h0p1_newton_plus_log_p10_boxcar_independent_s1,p0p03125_z48,6096,False,-104215.03182765478,1.395096653457304e-07
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1,p0p0625_z24,1640,False,-88548.37303573987,2.2167446790419688e-07
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1,p0p0625_z48,1640,False,-88548.37303573987,1.5906217305406812e-07
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1,p0p03125_z24,6096,False,-104215.03182765478,1.9364756179509303e-07
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1,p0p03125_z48,6096,False,-104215.03182765478,1.392667018045501e-07
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1,p0p0625_z24,1640,False,-88548.37303573987,2.2167446790419688e-07
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1,p0p0625_z48,1640,False,-88548.37303573987,1.5906217305406812e-07
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1,p0p03125_z24,6096,False,-104215.03182765478,1.9364756179509303e-07
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1,p0p03125_z48,6096,False,-104215.03182765478,1.392667018045501e-07
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1,p0p0625_z24,1640,False,-88548.37303573987,4.4334893580839375e-07
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1,p0p0625_z48,1640,False,-88548.37303573987,3.1812434610813623e-07
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1,p0p03125_z24,6096,False,-104215.03182765478,3.8729512359018606e-07
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1,p0p03125_z48,6096,False,-104215.03182765478,2.785334036091002e-07
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1,p0p0625_z24,1640,False,-88548.37303573987,4.4334893580839375e-07
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1,p0p0625_z48,1640,False,-88548.37303573987,3.1812434610813623e-07
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1,p0p03125_z24,6096,False,-104215.03182765478,3.8729512359018606e-07
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1,p0p03125_z48,6096,False,-104215.03182765478,2.785334036091002e-07
h0p1_newton_plus_log_p15_boxcar_independent_s-1,p0p0625_z24,3764,False,-202961.71553735758,1.3958052007348393e-06
h0p1_newton_plus_log_p15_boxcar_independent_s-1,p0p0625_z48,3764,False,-202961.71553735758,1.4862612761850737e-06
h0p1_newton_plus_log_p15_boxcar_independent_s-1,p0p03125_z24,14358,False,-238210.86661928328,1.474739606432356e-06
h0p1_newton_plus_log_p15_boxcar_independent_s-1,p0p03125_z48,14358,False,-238210.86661928328,1.6458850207781102e-06
h0p1_newton_plus_log_p15_boxcar_independent_s1,p0p0625_z24,3764,False,-202961.71553735758,1.3958052007348393e-06
h0p1_newton_plus_log_p15_boxcar_independent_s1,p0p0625_z48,3764,False,-202961.71553735758,1.4862612761850737e-06
h0p1_newton_plus_log_p15_boxcar_independent_s1,p0p03125_z24,14358,False,-238210.86661928328,1.474739606432356e-06
h0p1_newton_plus_log_p15_boxcar_independent_s1,p0p03125_z48,14358,False,-238210.86661928328,1.6458850207781102e-06
h0p1_newton_plus_log_p15_boxcar_hanning_full_s-1,p0p0625_z24,3764,False,-202961.71553735758,1.3933743313500692e-06
h0p1_newton_plus_log_p15_boxcar_hanning_full_s-1,p0p0625_z48,3764,False,-202961.71553735758,1.4836728727086108e-06
h0p1_newton_plus_log_p15_boxcar_hanning_full_s-1,p0p03125_z24,14358,False,-238210.86661928328,1.4721712685597812e-06
h0p1_newton_plus_log_p15_boxcar_hanning_full_s-1,p0p03125_z48,14358,False,-238210.86661928328,1.6430186240160445e-06
h0p1_newton_plus_log_p15_boxcar_hanning_full_s1,p0p0625_z24,3764,False,-202961.71553735758,1.3933743313500692e-06
h0p1_newton_plus_log_p15_boxcar_hanning_full_s1,p0p0625_z48,3764,False,-202961.71553735758,1.4836728727086108e-06
h0p1_newton_plus_log_p15_boxcar_hanning_full_s1,p0p03125_z24,14358,False,-238210.86661928328,1.4721712685597812e-06
h0p1_newton_plus_log_p15_boxcar_hanning_full_s1,p0p03125_z48,14358,False,-238210.86661928328,1.6430186240160445e-06
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s-1,p0p0625_z24,3764,False,-202961.71553735758,2.7867486627001384e-06
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s-1,p0p0625_z48,3764,False,-202961.71553735758,2.9673457454172215e-06
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s-1,p0p03125_z24,14358,False,-238210.86661928328,2.9443425371195625e-06
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s-1,p0p03125_z48,14358,False,-238210.86661928328,3.286037248032089e-06
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s1,p0p0625_z24,3764,False,-202961.71553735758,2.7867486627001384e-06
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s1,p0p0625_z48,3764,False,-202961.71553735758,2.9673457454172215e-06
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s1,p0p03125_z24,14358,False,-238210.86661928328,2.9443425371195625e-06
h0p1_newton_plus_log_p15_boxcar_hanning_decimated_s1,p0p03125_z48,14358,False,-238210.86661928328,3.286037248032089e-06
h0p4_newton_p5_boxcar_independent_s-1,p0p0625_z24,560,False,-20992.445037465142,5.031664187169596e-09
h0p4_newton_p5_boxcar_independent_s-1,p0p0625_z48,560,False,-20992.445037465142,4.199123360676234e-09
h0p4_newton_p5_boxcar_independent_s-1,p0p03125_z24,1847,False,-24909.40269961626,8.941886531041958e-09
h0p4_newton_p5_boxcar_independent_s-1,p0p03125_z48,1847,False,-24909.40269961626,7.350039534723527e-09
h0p4_newton_p5_boxcar_independent_s1,p0p0625_z24,560,False,-20992.445037465142,5.031664187169596e-09
h0p4_newton_p5_boxcar_independent_s1,p0p0625_z48,560,False,-20992.445037465142,4.199123360676234e-09
h0p4_newton_p5_boxcar_independent_s1,p0p03125_z24,1847,False,-24909.40269961626,8.941886531041958e-09
h0p4_newton_p5_boxcar_independent_s1,p0p03125_z48,1847,False,-24909.40269961626,7.350039534723527e-09
h0p4_newton_p5_boxcar_hanning_full_s-1,p0p0625_z24,560,False,-20992.445037465142,5.022901274966235e-09
h0p4_newton_p5_boxcar_hanning_full_s-1,p0p0625_z48,560,False,-20992.445037465142,4.191810362834583e-09
h0p4_newton_p5_boxcar_hanning_full_s-1,p0p03125_z24,1847,False,-24909.40269961626,8.926313757564002e-09
h0p4_newton_p5_boxcar_hanning_full_s-1,p0p03125_z48,1847,False,-24909.40269961626,7.337239047898861e-09
h0p4_newton_p5_boxcar_hanning_full_s1,p0p0625_z24,560,False,-20992.445037465142,5.022901274966235e-09
h0p4_newton_p5_boxcar_hanning_full_s1,p0p0625_z48,560,False,-20992.445037465142,4.191810362834583e-09
h0p4_newton_p5_boxcar_hanning_full_s1,p0p03125_z24,1847,False,-24909.40269961626,8.926313757564002e-09
h0p4_newton_p5_boxcar_hanning_full_s1,p0p03125_z48,1847,False,-24909.40269961626,7.337239047898861e-09
h0p4_newton_p5_boxcar_hanning_decimated_s-1,p0p0625_z24,560,False,-20992.445037465142,1.004580254993247e-08
h0p4_newton_p5_boxcar_hanning_decimated_s-1,p0p0625_z48,560,False,-20992.445037465142,8.383620725669165e-09
h0p4_newton_p5_boxcar_hanning_decimated_s-1,p0p03125_z24,1847,False,-24909.40269961626,1.7852627515128005e-08
h0p4_newton_p5_boxcar_hanning_decimated_s-1,p0p03125_z48,1847,False,-24909.40269961626,1.4674478095797722e-08
h0p4_newton_p5_boxcar_hanning_decimated_s1,p0p0625_z24,560,False,-20992.445037465142,1.004580254993247e-08
h0p4_newton_p5_boxcar_hanning_decimated_s1,p0p0625_z48,560,False,-20992.445037465142,8.383620725669165e-09
h0p4_newton_p5_boxcar_hanning_decimated_s1,p0p03125_z24,1847,False,-24909.40269961626,1.7852627515128005e-08
h0p4_newton_p5_boxcar_hanning_decimated_s1,p0p03125_z48,1847,False,-24909.40269961626,1.4674478095797722e-08
h0p4_newton_p10_boxcar_independent_s-1,p0p0625_z24,2863,False,-89640.45053843578,7.619502269319417e-07
h0p4_newton_p10_boxcar_independent_s-1,p0p0625_z48,2863,False,-89640.45053843578,5.637517771718663e-07
h0p4_newton_p10_boxcar_independent_s-1,p0p03125_z24,10844,False,-105306.90357459337,8.210476745878649e-07
h0p4_newton_p10_boxcar_independent_s-1,p0p03125_z48,10844,False,-105306.90357459337,6.250763198671066e-07
h0p4_newton_p10_boxcar_independent_s1,p0p0625_z24,2863,False,-89640.45053843578,7.619502269319417e-07
h0p4_newton_p10_boxcar_independent_s1,p0p0625_z48,2863,False,-89640.45053843578,5.637517771718663e-07
h0p4_newton_p10_boxcar_independent_s1,p0p03125_z24,10844,False,-105306.90357459337,8.210476745878649e-07
h0p4_newton_p10_boxcar_independent_s1,p0p03125_z48,10844,False,-105306.90357459337,6.250763198671066e-07
h0p4_newton_p10_boxcar_hanning_full_s-1,p0p0625_z24,2863,False,-89640.45053843578,7.60623249873544e-07
h0p4_newton_p10_boxcar_hanning_full_s-1,p0p0625_z48,2863,False,-89640.45053843578,5.627699733105429e-07
h0p4_newton_p10_boxcar_hanning_full_s-1,p0p03125_z24,10844,False,-105306.90357459337,8.196177761646885e-07
h0p4_newton_p10_boxcar_hanning_full_s-1,p0p03125_z48,10844,False,-105306.90357459337,6.239877160359204e-07
h0p4_newton_p10_boxcar_hanning_full_s1,p0p0625_z24,2863,False,-89640.45053843578,7.60623249873544e-07
h0p4_newton_p10_boxcar_hanning_full_s1,p0p0625_z48,2863,False,-89640.45053843578,5.627699733105429e-07
h0p4_newton_p10_boxcar_hanning_full_s1,p0p03125_z24,10844,False,-105306.90357459337,8.196177761646885e-07
h0p4_newton_p10_boxcar_hanning_full_s1,p0p03125_z48,10844,False,-105306.90357459337,6.239877160359204e-07
h0p4_newton_p10_boxcar_hanning_decimated_s-1,p0p0625_z24,2863,False,-89640.45053843578,1.521246499747088e-06
h0p4_newton_p10_boxcar_hanning_decimated_s-1,p0p0625_z48,2863,False,-89640.45053843578,1.1255399466210858e-06
h0p4_newton_p10_boxcar_hanning_decimated_s-1,p0p03125_z24,10844,False,-105306.90357459337,1.639235552329377e-06
h0p4_newton_p10_boxcar_hanning_decimated_s-1,p0p03125_z48,10844,False,-105306.90357459337,1.2479754320718409e-06
h0p4_newton_p10_boxcar_hanning_decimated_s1,p0p0625_z24,2863,False,-89640.45053843578,1.521246499747088e-06
h0p4_newton_p10_boxcar_hanning_decimated_s1,p0p0625_z48,2863,False,-89640.45053843578,1.1255399466210858e-06
h0p4_newton_p10_boxcar_hanning_decimated_s1,p0p03125_z24,10844,False,-105306.90357459337,1.639235552329377e-06
h0p4_newton_p10_boxcar_hanning_decimated_s1,p0p03125_z48,10844,False,-105306.90357459337,1.2479754320718409e-06
h0p4_newton_p15_boxcar_independent_s-1,p0p0625_z24,4679,False,-204053.79304005345,3.090577506610649e-06
h0p4_newton_p15_boxcar_independent_s-1,p0p0625_z48,4679,False,-204053.79304005345,4.639340051981222e-06
h0p4_newton_p15_boxcar_independent_s-1,p0p03125_z24,17964,False,-239302.7383662219,2.801951463346134e-06
h0p4_newton_p15_boxcar_independent_s-1,p0p03125_z48,17964,False,-239302.7383662219,4.39347170188265e-06
h0p4_newton_p15_boxcar_independent_s1,p0p0625_z24,4679,False,-204053.79304005345,3.090577506610649e-06
h0p4_newton_p15_boxcar_independent_s1,p0p0625_z48,4679,False,-204053.79304005345,4.639340051981222e-06
h0p4_newton_p15_boxcar_independent_s1,p0p03125_z24,17964,False,-239302.7383662219,2.801951463346134e-06
h0p4_newton_p15_boxcar_independent_s1,p0p03125_z48,17964,False,-239302.7383662219,4.39347170188265e-06
h0p4_newton_p15_boxcar_hanning_full_s-1,p0p0625_z24,4679,False,-204053.79304005345,3.085195100643023e-06
h0p4_newton_p15_boxcar_hanning_full_s-1,p0p0625_z48,4679,False,-204053.79304005345,4.631260393235173e-06
h0p4_newton_p15_boxcar_hanning_full_s-1,p0p03125_z24,17964,False,-239302.7383662219,2.7970717150644442e-06
h0p4_newton_p15_boxcar_hanning_full_s-1,p0p03125_z48,17964,False,-239302.7383662219,4.385820236013819e-06
h0p4_newton_p15_boxcar_hanning_full_s1,p0p0625_z24,4679,False,-204053.79304005345,3.085195100643023e-06
h0p4_newton_p15_boxcar_hanning_full_s1,p0p0625_z48,4679,False,-204053.79304005345,4.631260393235173e-06
h0p4_newton_p15_boxcar_hanning_full_s1,p0p03125_z24,17964,False,-239302.7383662219,2.7970717150644442e-06
h0p4_newton_p15_boxcar_hanning_full_s1,p0p03125_z48,17964,False,-239302.7383662219,4.385820236013819e-06
h0p4_newton_p15_boxcar_hanning_decimated_s-1,p0p0625_z24,4679,False,-204053.79304005345,6.170390201286046e-06
h0p4_newton_p15_boxcar_hanning_decimated_s-1,p0p0625_z48,4679,False,-204053.79304005345,9.262520786470345e-06
h0p4_newton_p15_boxcar_hanning_decimated_s-1,p0p03125_z24,17964,False,-239302.7383662219,5.5941434301288885e-06
h0p4_newton_p15_boxcar_hanning_decimated_s-1,p0p03125_z48,17964,False,-239302.7383662219,8.771640472027638e-06
h0p4_newton_p15_boxcar_hanning_decimated_s1,p0p0625_z24,4679,False,-204053.79304005345,6.170390201286046e-06
h0p4_newton_p15_boxcar_hanning_decimated_s1,p0p0625_z48,4679,False,-204053.79304005345,9.262520786470345e-06
h0p4_newton_p15_boxcar_hanning_decimated_s1,p0p03125_z24,17964,False,-239302.7383662219,5.5941434301288885e-06
h0p4_newton_p15_boxcar_hanning_decimated_s1,p0p03125_z48,17964,False,-239302.7383662219,8.771640472027638e-06
h0p4_newton_plus_log_p5_boxcar_independent_s-1,p0p0625_z24,322,False,-19945.900059864736,4.281000857426366e-09
h0p4_newton_plus_log_p5_boxcar_independent_s-1,p0p0625_z48,322,False,-19945.900059864736,3.5767502465622797e-09
h0p4_newton_plus_log_p5_boxcar_independent_s-1,p0p03125_z24,1111,False,-23862.98024858721,3.1933682592917152e-09
h0p4_newton_plus_log_p5_boxcar_independent_s-1,p0p03125_z48,1111,False,-23862.98024858721,2.709718835148533e-09
h0p4_newton_plus_log_p5_boxcar_independent_s1,p0p0625_z24,322,False,-19945.900059864736,4.281000857426366e-09
h0p4_newton_plus_log_p5_boxcar_independent_s1,p0p0625_z48,322,False,-19945.900059864736,3.5767502465622797e-09
h0p4_newton_plus_log_p5_boxcar_independent_s1,p0p03125_z24,1111,False,-23862.98024858721,3.1933682592917152e-09
h0p4_newton_plus_log_p5_boxcar_independent_s1,p0p03125_z48,1111,False,-23862.98024858721,2.709718835148533e-09
h0p4_newton_plus_log_p5_boxcar_hanning_full_s-1,p0p0625_z24,322,False,-19945.900059864736,4.273545265546488e-09
h0p4_newton_plus_log_p5_boxcar_hanning_full_s-1,p0p0625_z48,322,False,-19945.900059864736,3.5705211447744665e-09
h0p4_newton_plus_log_p5_boxcar_hanning_full_s-1,p0p03125_z24,1111,False,-23862.98024858721,3.1878068377325167e-09
