fixture_id,case_id,closure_id,member_id,delta_log_frequency_unit_probe,expansion_time_stretch
F05_TWO_FREQUENCIES,nu_1,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,1.337518669157e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C00_GR_ENDPOINT,BASE,1.500000000000e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C01_EXACT_GRADIENT_PATH,BASE,1.500000000000e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C02_POTENTIAL_COLUMN,BASE,-3.300000000000e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C03_TIDAL_CURVATURE_COLUMN,BASE,-4.200000000000e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-8.825429713563e-02,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C05_ENDPOINT_MEMORY,TAU_FAST,4.215516834943e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C06_PATH_MEMORY_OPACITY,TAU_FAST,-3.530171885425e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,-1.767256359733e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,-3.603437708507e-02,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,1.337518669157e-01,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,-3.603437708507e-02,1.000000000000e+00
F05_TWO_FREQUENCIES,nu_2,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,1.337518669157e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_A,C00_GR_ENDPOINT,BASE,4.000000000000e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_A,C01_EXACT_GRADIENT_PATH,BASE,4.000000000000e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_A,C02_POTENTIAL_COLUMN,BASE,-3.400000000000e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_A,C03_TIDAL_CURVATURE_COLUMN,BASE,-3.600000000000e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_A,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-3.122844360184e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_A,C05_ENDPOINT_MEMORY,TAU_FAST,6.715516834943e-01,1.000000000000e+00
