axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	half_light_radius_kpc	halpha_ew	hbeta	hdelta_a	hgamma_a	internal_acceleration_m_s2	log_baryonic_speed_km_s	log_half_light_radius	log_mean_stellar_density	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_bin	mass_size_crossing_proxy	mean_stellar_density_msun_kpc3	minimum_item34_role_separation_arcsec	minimum_predecessor_separation_arcsec	outer_fold	phase_space_proxy	plateifu	ra	redshift	role	sample_cell	sersic_bin	sersic_index	sfr_1re	sfr_tot	snr_med_g	source_map_read	stellar_mass_msun	velocity_response_read	annulus	annulus_index	source_pixels	weighted_radius_re	flux_m1	flux_m2	flux_m3	source_nonaxisymmetry	flux_asymmetry	centroid_offset_re	radial_concentration	radius_kpc	enclosed_stellar_mass_msun	enclosed_stellar_mass_fraction	log_baryonic_speed_km_s	log_acceleration	omega_Gyr_inverse	log_omega_Gyr_inverse	mode_frequency_ratio	age_gyr_proxy	vertical_to_orbital_frequency
4.622330000000e-01	1.924705000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.154296755791e+00	1.706265000000e+00	0.000000000000e+00	8.269000000000e-01	6.910060000001e+00	2.093756000000e+00	2.407481000000e+00	1.009513000000e+00	-2.025249000000e+00	1.384981417846e-11	1.590711825489e+00	8.394818183664e-01	6.535663709420e+00	9.657199571692e-01	-1.193618321214e+01	9.676197773822e+00	-4.666475726268e-01	7.997234137090e+00	1-54492	1	-3.578876159362e+00	3.432920210090e+06	3.474835446477e+03	1.572243053893e+03	0	7.330249244205e+00	10513-9101	1.416863555908e+02	1.693780000000e-02	exploration	m1-n1	1	1.854580000000e+00	5.495593000000e-03	1.073784000000e-02	9.241021000000e+00	False	4.744579999998e+09	False	inner	0	168	5.053199717273e-01	1.098673193000e-02	9.830583147541e-02	8.192498790526e-03	9.925654546178e-02	1.030885900434e-01	3.750902870490e-02	2.808570942938e-01	3.491791323834e+00	1.232853799160e+09	2.598446646827e-01	1.590711825489e+00	-1.085097517578e+01	1.141345066208e+01	1.057416965798e+00	1.976216268798e+00	4.031325000000e+00	1.193438374450e+00
4.622330000000e-01	1.924705000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.154296755791e+00	1.706265000000e+00	0.000000000000e+00	8.269000000000e-01	6.910060000001e+00	2.093756000000e+00	2.407481000000e+00	1.009513000000e+00	-2.025249000000e+00	1.384981417846e-11	1.578890431421e+00	8.394818183664e-01	6.535663709420e+00	9.657199571692e-01	-1.193618321214e+01	9.676197773822e+00	-4.666475726268e-01	7.997234137090e+00	1-54492	1	-3.578876159362e+00	3.432920210090e+06	3.474835446477e+03	1.572243053893e+03	0	7.330249244205e+00	10513-9101	1.416863555908e+02	1.693780000000e-02	exploration	m1-n1	1	1.854580000000e+00	5.495593000000e-03	1.073784000000e-02	9.241021000000e+00	False	4.744579999998e+09	False	outer	1	447	1.121253509713e+00	6.530901110580e-02	3.488049296775e-02	2.527577344347e-02	7.823541681653e-02	1.030885900434e-01	3.750902870490e-02	2.808570942938e-01	7.747929027328e+00	2.590634483151e+09	5.460197705914e-01	1.578890431421e+00	-1.122075531622e+01	5.005623944485e+00	6.994582194293e-01	1.680921778084e+00	4.031325000000e+00	2.721189237563e+00
3.570290000000e-01	1.541332000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.703570842743e+00	1.378594000000e+00	0.000000000000e+00	6.570000000000e-01	5.835619999999e+00	1.983169000000e+01	3.440901000000e+00	4.742916000000e+00	2.442217000000e+00	5.747148230426e-12	1.293039449083e+00	7.660870040445e-01	6.227066975787e+00	9.091061517663e-01	-1.090710352957e+01	9.147416597223e+00	-6.424083431071e-01	7.615242589133e+00	1-54979	0	-3.424577792544e+00	1.686813141350e+06	1.003691997075e+04	1.061326021940e+03	4	7.704732053987e+00	10514-3701	1.441697540283e+02	1.893640000000e-02	exploration	m0-n0	0	7.007020000000e-01	1.739054000000e-02	2.616861000000e-02	8.111593000000e+00	False	1.404160000001e+09	False	inner	0	87	5.292634887985e-01	1.322117070517e-02	5.458459982579e-03	1.461882383726e-02	2.045248519329e-02	1.266594630789e-01	2.964398142153e-02	2.124383622195e-01	3.088580600502e+00	2.768710085968e+08	1.971791025214e-01	1.293039449083e+00	-1.139303058635e+01	6.501804872614e+00	8.130339316291e-01	2.041973513547e+00	2.392970000000e+00	1.468536230762e+00
3.570290000000e-01	1.541332000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.703570842743e+00	1.378594000000e+00	0.000000000000e+00	6.570000000000e-01	5.835619999999e+00	1.983169000000e+01	3.440901000000e+00	4.742916000000e+00	2.442217000000e+00	5.747148230426e-12	1.360741531413e+00	7.660870040445e-01	6.227066975787e+00	9.091061517663e-01	-1.090710352957e+01	9.147416597223e+00	-6.424083431071e-01	7.615242589133e+00	1-54979	0	-3.424577792544e+00	1.686813141350e+06	1.003691997075e+04	1.061326021940e+03	4	7.704732053987e+00	10514-3701	1.441697540283e+02	1.893640000000e-02	exploration	m0-n0	0	7.007020000000e-01	1.739054000000e-02	2.616861000000e-02	8.111593000000e+00	False	1.404160000001e+09	False	outer	1	238	1.109547084405e+00	4.319697034170e-02	1.066789158198e-01	4.260118851638e-02	1.227242053965e-01	1.266594630789e-01	2.964398142153e-02	2.124383622195e-01	6.474895156696e+00	7.927850443700e+08	5.645973709330e-01	1.360741531413e+00	-1.157910022299e+01	3.624617748128e+00	5.592622126637e-01	1.996904660847e+00	2.392970000000e+00	2.634246335551e+00
4.174360000000e-01	1.485947000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.372805595398e+00	1.322941000000e+00	0.000000000000e+00	5.850000000000e-01	9.494370000000e+00	2.361371000000e+01	4.292810000000e+00	5.586949000000e+00	4.056406000000e+00	7.641095703321e-12	1.512306323475e+00	9.774661523694e-01	6.139391068038e+00	8.942472016080e-01	-1.056984791435e+01	9.693878134449e+00	-4.374656635635e-01	7.738945829711e+00	1-79367	1	-3.380739838671e+00	1.378450159690e+06	3.206864381894e+03	1.859808182089e+03	4	7.114432562887e+00	10520-12701	1.565365753174e+02	2.283910000000e-02	exploration	m1-n1	1	1.416810000000e+00	1.330547000000e-01	2.396474000000e-01	7.838757000000e+00	False	4.941719999996e+09	False	inner	0	286	5.206446683193e-01	1.223075727967e-02	1.574236455307e-02	1.634022992882e-02	2.577627939565e-02	7.708657599629e-02	3.935285158229e-02	2.569969657585e-01	4.943193119551e+00	1.216353670386e+09	2.461397388736e-01	1.512306323475e+00	-1.115874547598e+01	6.730574993357e+00	8.280521676081e-01	2.092736669329e+00	2.114705000000e+00	1.282414665103e+00
4.174360000000e-01	1.485947000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.372805595398e+00	1.322941000000e+00	0.000000000000e+00	5.850000000000e-01	9.494370000000e+00	2.361371000000e+01	4.292810000000e+00	5.586949000000e+00	4.056406000000e+00	7.641095703321e-12	1.521378469446e+00	9.774661523694e-01	6.139391068038e+00	8.942472016080e-01	-1.056984791435e+01	9.693878134449e+00	-4.374656635635e-01	7.738945829711e+00	1-79367	1	-3.380739838671e+00	1.378450159690e+06	3.206864381894e+03	1.859808182089e+03	4	7.114432562887e+00	10520-12701	1.565365753174e+02	2.283910000000e-02	exploration	m1-n1	1	1.416810000000e+00	1.330547000000e-01	2.396474000000e-01	7.838757000000e+00	False	4.941719999996e+09	False	outer	1	766	1.114742426495e+00	7.211434779168e-02	8.246860701991e-02	6.681496824302e-02	1.283190955491e-01	7.708657599629e-02	3.935285158229e-02	2.569969657585e-01	1.058377705184e+01	2.715421592039e+09	5.494891641050e-01	1.521378469446e+00	-1.147123428915e+01	3.209897824761e+00	5.064912084645e-01	1.976064005138e+00	2.114705000000e+00	2.688991534084e+00
6.935393000000e-01	1.632889000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.061926841736e+00	1.421704000000e+00	0.000000000000e+00	7.322600000000e-01	3.501635000000e+00	2.070802000000e+01	3.873366000000e+00	5.032891000000e+00	2.279350000000e+00	4.777851164259e-11	1.695142954985e+00	5.442708745437e-01	7.368663323523e+00	1.163118718960e+00	-1.079180314545e+01	9.623564556457e+00	-3.435720319780e-01	8.535022807369e+00	1-53198	1	-3.995375966413e+00	2.337024813281e+07	9.577616986913e+02	2.501300474037e+03	0	7.799382268622e+00	10839-1902	1.328036651611e+02	2.663516000000e-02	exploration	m1-n1	1	1.431082000000e+00	6.788306000000e-02	8.111199000000e-02	1.455857000000e+01	False	4.203050000002e+09	False	inner	0	66	5.271817991452e-01	1.971919623445e-02	6.402529748659e-02	1.361509383454e-02	6.836268132909e-02	1.517336560418e-01	5.672281727950e-02	2.387673433933e-01	1.845998239249e+00	1.054282111578e+09	2.508373946485e-01	1.695142954985e+00	-1.036529591770e+01	2.745775934953e+01	1.438665094378e+00	1.937303530621e+00	2.608520000000e+00	1.294349847090e+00
6.935393000000e-01	1.632889000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.061926841736e+00	1.421704000000e+00	0.000000000000e+00	7.322600000000e-01	3.501635000000e+00	2.070802000000e+01	3.873366000000e+00	5.032891000000e+00	2.279350000000e+00	4.777851164259e-11	1.701794388893e+00	5.442708745437e-01	7.368663323523e+00	1.163118718960e+00	-1.079180314545e+01	9.623564556457e+00	-3.435720319780e-01	8.535022807369e+00	1-53198	1	-3.995375966413e+00	2.337024813281e+07	9.577616986913e+02	2.501300474037e+03	0	7.799382268622e+00	10839-1902	1.328036651611e+02	2.663516000000e-02	exploration	m1-n1	1	1.431082000000e+00	6.788306000000e-02	8.111199000000e-02	1.455857000000e+01	False	4.203050000002e+09	False	outer	1	173	1.142372017628e+00	8.011153579247e-02	1.442461882702e-02	2.384356906210e-02	8.482006590985e-02	1.517336560418e-01	5.672281727950e-02	2.387673433933e-01	4.000169839948e+00	2.355628793450e+09	5.604569999045e-01	1.701794388893e+00	-1.068784019851e+01	1.286676531501e+01	1.109469379662e+00	1.524682395089e+00	2.608520000000e+00	2.762150839423e+00
3.838301000000e-01	1.566424000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.893101692200e+00	1.342405000000e+00	0.000000000000e+00	6.037700000000e-01	5.428853000000e+00	1.447938000000e+01	3.834182000000e+00	5.178100000000e+00	2.352488000000e+00	2.148174489655e-11	1.592131072756e+00	7.347080821874e-01	6.831063053919e+00	8.565701838352e-01	-1.090605279028e+01	9.657275909784e+00	-6.947744221711e-01	8.187859745409e+00	1-78510	1	-3.726575831611e+00	6.777398995007e+06	2.658401540436e+03	1.025367042717e+03	4	7.496870780493e+00	10845-12703	1.498728027344e+02	4.307614000000e-02	exploration	m1-n0	0	1.004472000000e+00	5.639273000000e-02	1.258312000000e-01	7.187373000000e+00	False	4.542300999999e+09	False	inner	0	88	5.357422118211e-01	1.431193821496e-02	1.131277899274e-02	5.686844651079e-03	1.910891797285e-02	1.206110903156e-01	1.792381728198e-02	2.104524654433e-01	2.908465713872e+00	1.033631507964e+09	2.275568061131e-01	1.592131072756e+00	-1.076875234824e+01	1.374739926579e+01	1.138220546068e+00	1.724539657179e+00	2.212025000000e+00	1.392182243396e+00
3.838301000000e-01	1.566424000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.893101692200e+00	1.342405000000e+00	0.000000000000e+00	6.037700000000e-01	5.428853000000e+00	1.447938000000e+01	3.834182000000e+00	5.178100000000e+00	2.352488000000e+00	2.148174489655e-11	1.627546051196e+00	7.347080821874e-01	6.831063053919e+00	8.565701838352e-01	-1.090605279028e+01	9.657275909784e+00	-6.947744221711e-01	8.187859745409e+00	1-78510	1	-3.726575831611e+00	6.777398995007e+06	2.658401540436e+03	1.025367042717e+03	4	7.496870780493e+00	10845-12703	1.498728027344e+02	4.307614000000e-02	exploration	m1-n0	0	1.004472000000e+00	5.639273000000e-02	1.258312000000e-01	7.187373000000e+00	False	4.542300999999e+09	False	outer	1	228	1.135885444666e+00	2.537283009474e-02	4.772430419979e-02	4.824545913719e-03	5.426477643596e-02	1.206110903156e-01	1.792381728198e-02	2.104524654433e-01	6.166555103929e+00	2.579730654722e+09	5.679347658209e-01	1.627546051196e+00	-1.102430105951e+01	7.034882634835e+00	8.472568563594e-01	1.736295673732e+00	2.212025000000e+00	2.720569218304e+00
