case,sigma,aperture,relative_L1_vs_baseline,peak_absolute_change_mjy_beam
common30__newton_p5_boxcar_hanning_decimated_s1,3,6,0.064924741718058,0.18452791212915898
common30__newton_p5_boxcar_hanning_decimated_s1,3,7,0.252766908188807,0.4369595438259084
common30__newton_p5_boxcar_hanning_decimated_s1,3,8,0.2544512990423694,0.5384929099490235
common30__newton_p5_boxcar_hanning_decimated_s1,3,9,0.2222963978071622,0.7070210411160862
common30__newton_p5_boxcar_hanning_decimated_s1,3,10,0.45982172757194395,3.4232985820130577
common30__newton_p5_boxcar_hanning_decimated_s1,3,11,0.7955477115974331,1.4771127912443847
common30__newton_p5_boxcar_hanning_decimated_s1,3,12,0.4343196026762325,1.0258215379714728
common30__newton_p5_boxcar_hanning_decimated_s1,3,13,0.4658701277135537,2.354850430467284
common30__newton_p5_boxcar_hanning_decimated_s1,3,14,0.26865499954092475,0.9405775814691966
common30__newton_p5_boxcar_hanning_decimated_s1,10,0,0.27217365578347663,0.22120962036824332
common30__newton_p5_boxcar_hanning_decimated_s1,10,1,0.11391404385949301,0.16772417752682656
common30__newton_p5_boxcar_hanning_decimated_s1,10,2,0.2494877476351904,0.89289104953057
common30__newton_p5_boxcar_hanning_decimated_s1,10,3,0.22136927776685242,1.0511304698519646
common30__newton_p5_boxcar_hanning_decimated_s1,10,4,0.10622675995115342,0.1253231518325837
common30__newton_p5_boxcar_hanning_decimated_s1,10,5,0.24743475523609113,0.44999493067902896
common30__newton_p5_boxcar_hanning_decimated_s1,10,6,0.02855783752863927,0.02905874026103572
common30__newton_p5_boxcar_hanning_decimated_s1,10,7,0.17497358882224465,0.20132035482108068
common30__newton_p5_boxcar_hanning_decimated_s1,10,8,0.10865159389992755,0.10662203089256528
common30__newton_p5_boxcar_hanning_decimated_s1,10,9,0.10384788138712576,0.17016144719149473
common30__newton_p5_boxcar_hanning_decimated_s1,10,10,0.22901996864780033,0.960906943080944
common30__newton_p5_boxcar_hanning_decimated_s1,10,11,0.49275743598369365,0.5002272480095323
common30__newton_p5_boxcar_hanning_decimated_s1,10,12,0.2100538945171619,0.25419510373992027
common30__newton_p5_boxcar_hanning_decimated_s1,10,13,0.1971564041805963,0.4437766765069697
common30__newton_p5_boxcar_hanning_decimated_s1,10,14,0.11581683367326512,0.17938808279765872
common30__newton_p10_boxcar_independent_s-1,3,0,0.3180221503486778,0.6786785300242764
common30__newton_p10_boxcar_independent_s-1,3,1,0.20923880344509502,0.5546307173864276
common30__newton_p10_boxcar_independent_s-1,3,2,0.5711620066837417,3.392901549382899
common30__newton_p10_boxcar_independent_s-1,3,3,0.47584856640388734,3.728077490839927
common30__newton_p10_boxcar_independent_s-1,3,4,0.16795964398094795,0.33425172230202205
common30__newton_p10_boxcar_independent_s-1,3,5,0.465534436676096,1.3126920520758327
common30__newton_p10_boxcar_independent_s-1,3,6,0.07887205194226454,0.21122661972043222
common30__newton_p10_boxcar_independent_s-1,3,7,0.26058039625311413,0.45202031960380573
common30__newton_p10_boxcar_independent_s-1,3,8,0.23312096902214685,0.6541325341673115
common30__newton_p10_boxcar_independent_s-1,3,9,0.21041651975771475,0.816738404630474
common30__newton_p10_boxcar_independent_s-1,3,10,0.49601190535734163,3.2036401033659554
common30__newton_p10_boxcar_independent_s-1,3,11,0.7306247981187859,1.5723055155766401
common30__newton_p10_boxcar_independent_s-1,3,12,0.3808570410857612,1.0593185042002042
common30__newton_p10_boxcar_independent_s-1,3,13,0.48145435563099664,1.9748098540351382
common30__newton_p10_boxcar_independent_s-1,3,14,0.2985916149159498,1.0149538107734393
common30__newton_p10_boxcar_independent_s-1,10,0,0.27222269543642763,0.22777331556639713
common30__newton_p10_boxcar_independent_s-1,10,1,0.10794745749901277,0.15927197509441116
common30__newton_p10_boxcar_independent_s-1,10,2,0.23527166572823666,0.8695084909230162
common30__newton_p10_boxcar_independent_s-1,10,3,0.21852501886581585,1.0437181852736956
common30__newton_p10_boxcar_independent_s-1,10,4,0.09927303072825111,0.11688534921445459
common30__newton_p10_boxcar_independent_s-1,10,5,0.24541791894095535,0.45245687107621846
common30__newton_p10_boxcar_independent_s-1,10,6,0.028533960042599987,0.02976302519901519
common30__newton_p10_boxcar_independent_s-1,10,7,0.1764816108845444,0.19937454109617248
common30__newton_p10_boxcar_independent_s-1,10,8,0.11017433765835742,0.10898227107556224
common30__newton_p10_boxcar_independent_s-1,10,9,0.10695049143616768,0.1771330608483488
common30__newton_p10_boxcar_independent_s-1,10,10,0.23633748410560018,1.0110219817673922
common30__newton_p10_boxcar_independent_s-1,10,11,0.49330812225512755,0.5161197872160622
common30__newton_p10_boxcar_independent_s-1,10,12,0.1959783182555549,0.24596992352948754
common30__newton_p10_boxcar_independent_s-1,10,13,0.17338721569857254,0.38834557851071505
common30__newton_p10_boxcar_independent_s-1,10,14,0.10510253650426597,0.17132836642912386
common30__newton_p10_boxcar_hanning_full_s-1,3,0,0.2849010265583665,0.46189249183849257
common30__newton_p10_boxcar_hanning_full_s-1,3,1,0.14760267309300956,0.3602242734033192
common30__newton_p10_boxcar_hanning_full_s-1,3,2,0.4121316356174025,2.4233725546709977
common30__newton_p10_boxcar_hanning_full_s-1,3,3,0.35610444163754096,2.6774762888732204
common30__newton_p10_boxcar_hanning_full_s-1,3,4,0.14638148722522046,0.22928889010060904
common30__newton_p10_boxcar_hanning_full_s-1,3,5,0.3765346814800595,1.0299817166025214
common30__newton_p10_boxcar_hanning_full_s-1,3,6,0.05302809662181755,0.0969972718093508
common30__newton_p10_boxcar_hanning_full_s-1,3,7,0.22585350334346205,0.3823142351526785
common30__newton_p10_boxcar_hanning_full_s-1,3,8,0.18392378707233956,0.32114957954062306
common30__newton_p10_boxcar_hanning_full_s-1,3,9,0.17709724607088115,0.4760510690863362
common30__newton_p10_boxcar_hanning_full_s-1,3,10,0.38163335559342876,2.466908835174563
common30__newton_p10_boxcar_hanning_full_s-1,3,11,0.6635608100740635,1.0149327574954505
common30__newton_p10_boxcar_hanning_full_s-1,3,12,0.31291635642312293,0.6404087432307033
common30__newton_p10_boxcar_hanning_full_s-1,3,13,0.3300198331524605,1.1485080749309888
common30__newton_p10_boxcar_hanning_full_s-1,3,14,0.2009179420254722,0.46227016304615864
common30__newton_p10_boxcar_hanning_full_s-1,10,0,0.2721971704415479,0.21319344164767373
common30__newton_p10_boxcar_hanning_full_s-1,10,1,0.1055325151855573,0.14691608805087997
common30__newton_p10_boxcar_hanning_full_s-1,10,2,0.22580008609221905,0.7848617650890923
common30__newton_p10_boxcar_hanning_full_s-1,10,3,0.20949302239549544,0.9490092228220117
common30__newton_p10_boxcar_hanning_full_s-1,10,4,0.09482919623466193,0.10663029059407392
common30__newton_p10_boxcar_hanning_full_s-1,10,5,0.23478719636679837,0.41241719494692997
common30__newton_p10_boxcar_hanning_full_s-1,10,6,0.026953273867645716,0.02644105010109099
common30__newton_p10_boxcar_hanning_full_s-1,10,7,0.17418784558924483,0.18745054021750984
common30__newton_p10_boxcar_hanning_full_s-1,10,8,0.10711848246863054,0.09936566718586537
common30__newton_p10_boxcar_hanning_full_s-1,10,9,0.10131612470949168,0.16162376328467865
common30__newton_p10_boxcar_hanning_full_s-1,10,10,0.22613578476387886,0.9182099936600894
common30__newton_p10_boxcar_hanning_full_s-1,10,11,0.48249673257473963,0.48134672917224575
common30__newton_p10_boxcar_hanning_full_s-1,10,12,0.18602985664782593,0.22044986204833472
common30__newton_p10_boxcar_hanning_full_s-1,10,13,0.16312187258081787,0.34543799254392304
common30__newton_p10_boxcar_hanning_full_s-1,10,14,0.10004332248459794,0.15230796420722292
common30__newton_p10_boxcar_hanning_decimated_s-1,3,0,0.31171493906469305,0.6448989444686184
common30__newton_p10_boxcar_hanning_decimated_s-1,3,1,0.19332232821853845,0.5155101772503956
common30__newton_p10_boxcar_hanning_decimated_s-1,3,2,0.5441262340028072,3.3129077602016697
common30__newton_p10_boxcar_hanning_decimated_s-1,3,3,0.45647204461719315,3.6156513373183836
common30__newton_p10_boxcar_hanning_decimated_s-1,3,4,0.1645166016133732,0.32049687780459435
common30__newton_p10_boxcar_hanning_decimated_s-1,3,5,0.4515935582018866,1.2756587395964258
common30__newton_p10_boxcar_hanning_decimated_s-1,3,6,0.07417068390521546,0.18899904681032886
common30__newton_p10_boxcar_hanning_decimated_s-1,3,7,0.254677862609939,0.44573277241218956
common30__newton_p10_boxcar_hanning_decimated_s-1,3,8,0.22405999934793214,0.5898185849324202
common30__newton_p10_boxcar_hanning_decimated_s-1,3,9,0.20617754784351322,0.75881174666742
common30__newton_p10_boxcar_hanning_decimated_s-1,3,10,0.4779460571297171,3.1109872667151652
common30__newton_p10_boxcar_hanning_decimated_s-1,3,11,0.72062114295931,1.4760187825559141
common30__newton_p10_boxcar_hanning_decimated_s-1,3,12,0.3700753273180949,0.9921178250488323
common30__newton_p10_boxcar_hanning_decimated_s-1,3,13,0.4518574459542286,1.728096541291186
common30__newton_p10_boxcar_hanning_decimated_s-1,3,14,0.27899871443502566,0.8886850815207143
common30__newton_p10_boxcar_hanning_decimated_s-1,10,0,0.2722136787141382,0.22583344324565036
common30__newton_p10_boxcar_hanning_decimated_s-1,10,1,0.10764864751709632,0.15762244739031872
common30__newton_p10_boxcar_hanning_decimated_s-1,10,2,0.234048687031642,0.8581064158095639
common30__newton_p10_boxcar_hanning_decimated_s-1,10,3,0.21735584557734366,1.0310073472678782
common30__newton_p10_boxcar_hanning_decimated_s-1,10,4,0.09869313702114119,0.11553916406348597
common30__newton_p10_boxcar_hanning_decimated_s-1,10,5,0.24403472531756662,0.4471198963693088
common30__newton_p10_boxcar_hanning_decimated_s-1,10,6,0.028325760325058343,0.029320199039213346
common30__newton_p10_boxcar_hanning_decimated_s-1,10,7,0.1762058679503167,0.19781089761110993
common30__newton_p10_boxcar_hanning_decimated_s-1,10,8,0.10964318485227662,0.10768334201119789
common30__newton_p10_boxcar_hanning_decimated_s-1,10,9,0.10620907322930698,0.17508229854175772
common30__newton_p10_boxcar_hanning_decimated_s-1,10,10,0.2350117168279158,0.9986036056122036
common30__newton_p10_boxcar_hanning_decimated_s-1,10,11,0.4917515165913713,0.5115234389873263
common30__newton_p10_boxcar_hanning_decimated_s-1,10,12,0.1946722309987722,0.242590788445343
common30__newton_p10_boxcar_hanning_decimated_s-1,10,13,0.17202663254366285,0.38233455694237795
common30__newton_p10_boxcar_hanning_decimated_s-1,10,14,0.10444120594674405,0.1687745779913581
common30__newton_p10_boxcar_independent_s1,3,0,0.3089407161908043,0.7463230897394169
