case,sigma,comparison,aperture,profile_L1,centroid_km_s,passed
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,9,3.4992217722478775e-06,3.092244198832361e-05,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,10,1.3981139002793433e-08,2.0419676616256766e-08,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,11,1.7806693884630298e-08,4.4171308388740727e-08,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,12,1.132947475780726e-08,9.249768595509522e-08,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,13,5.0274827297514335e-09,2.923314923464204e-10,True
common30__newton_p5_boxcar_independent_s-1,10,fine_planar_vertical,14,5.708597531597821e-09,1.959713813448616e-08,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,0,0.000929444809810844,0.000290198452354673,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,1,0.00011172900212426863,6.779528738576346e-05,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,2,0.0004348454152391488,0.00046792108640403285,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,3,0.0005469701970514056,0.0006490135665302432,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,4,4.879068195333762e-05,0.00014994183482031076,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,5,0.0001535359054234355,0.0008901137560002326,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,6,0.00036113488389609893,0.0005687642920998159,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,7,0.00012766745647693837,0.0007876768512353749,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,8,0.00010318836675137919,0.0006017837037930462,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,9,6.662653157225957e-05,0.00014830685519306996,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,10,0.00034386482555830416,0.0005848854087915356,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,11,0.0003920473062171666,0.002546483844852787,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,12,0.00014743894974159568,0.0008256944693201262,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,13,9.710565596868082e-05,8.395945123851334e-05,True
common30__newton_p5_boxcar_independent_s-1,10,fine_vertical_planar,14,0.00012273142806545906,0.0002781693660480755,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,0,0.0009294532113604164,0.0002903218664727092,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,1,0.0001117291419696676,6.782429518636945e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,2,0.00043708655236935923,0.0004680526303388888,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,3,0.0005472257259022615,0.0006489202795592064,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,4,5.559959772681099e-05,0.00014997503687297353,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,5,0.00018118303222114116,0.0008901402380843138,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,6,0.000383171885423922,0.0005634521537346004,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,7,0.00014721283633702389,0.0007876538813746947,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,8,0.0001245952922561644,0.0006017694691209385,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,9,6.833053503346525e-05,0.00013680025418594255,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,10,0.00034387448610868985,0.0005847647563541614,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,11,0.0004529455654782368,0.0025462148898540704,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,12,0.000149468517903799,0.0008258944893313469,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,13,9.812710652779718e-05,8.412233621157839e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,3,planar,14,0.00012290388222977724,0.0002782619076242554,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,0,2.2016872244551716e-07,5.447962792004546e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,1,2.1068086971269014e-07,3.1737013017618665e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,2,2.4197041968587024e-07,3.394353100816261e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,3,3.7945069419272276e-07,1.770742983353557e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,4,3.628768048586258e-08,3.0541976059339504e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,5,1.2452183439859257e-07,1.2959356610053874e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,6,8.992397603294018e-05,1.0396238061538554e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,7,4.6696196784749814e-08,1.4694202121745548e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,8,6.900256756680045e-08,8.597206502258814e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,9,4.799629842179677e-06,4.250351150858478e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,10,9.1652325118981e-08,5.049365370268788e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,11,2.8153485113936797e-07,5.724367468928904e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,12,1.1857351526485157e-07,2.561208134466142e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,13,3.909143543506517e-07,5.867784977908741e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,vertical,14,2.7548951609596384e-07,2.2556130119255613e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,0,0.000929453556574992,0.0002903725257041856,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,1,0.00011172885775991108,6.810551973046586e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,2,0.00043704627982103604,0.00046773248439535564,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,3,0.0005472623643646929,0.0006488008026792613,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,4,5.5595758681804974e-05,0.0001499952814469907,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,5,0.000181175361705317,0.0008899445851113796,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,6,0.00045159831290503787,0.0005586613713361444,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,7,0.00014724447559228706,0.0007878066551931795,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,8,0.0001245530632054263,0.000601696616008951,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,9,7.143650410123981e-05,0.00010587997202371469,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,10,0.0003438779558532067,0.0005847061546333521,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,11,0.00045301536840728306,0.0025459045121323243,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,12,0.00014946630992054749,0.0008259495114373294,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,13,9.838924407032027e-05,8.349207831059857e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,3,joint,14,0.00012292091183755454,0.0002784899042183042,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,0,2.195197941299343e-07,5.0659231476402056e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,1,2.0601615345724944e-07,2.812245440964034e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,2,2.4102493267849983e-07,3.201459435331344e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,3,3.84710611942832e-07,1.194768799450685e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,4,3.5505343597751415e-08,2.0244574017169725e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,5,1.1959232216865456e-07,1.9565297293411277e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,6,6.847142283706169e-05,4.790782398456095e-06,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,7,4.653276093003444e-08,1.527738184847749e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,8,6.673704721984958e-08,7.285311198756972e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,9,3.5043581224023896e-06,3.0920282162227863e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,10,9.105275232493955e-08,5.86017208092926e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,11,2.9682720285135775e-07,3.1037772174613565e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,12,1.1008114738841921e-07,5.502210598251622e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,13,3.868327703709483e-07,6.302579009798137e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_planar_vertical,14,2.7510614607920116e-07,2.2799659404881822e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,0,0.0009294531811149955,0.00029031804607626555,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,1,0.00011172919322727243,6.778814960028967e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,2,0.0004370869446656938,0.00046807191970543727,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,3,0.0005472258522800936,0.0006489778769775967,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,4,5.559847736242755e-05,0.00014996473947093136,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,5,0.00018117529617886927,0.0008900741786774802,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,6,0.00036173297227250515,0.0005690576093976829,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,7,0.00014721299893904577,0.000787659713171962,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,8,0.0001245976926836776,0.0006017825880739736,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,9,6.730235852770836e-05,0.00014838348353229946,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,10,0.0003438744000484185,0.0005847566482870548,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,11,0.00045297895935172234,0.002546476948879217,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,12,0.0001494412271813023,0.0008256933906238828,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,13,9.812704750476258e-05,8.407885680838945e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,3,fine_vertical_planar,14,0.00012290402047964976,0.00027826434291711166,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,0,0.0009294448372777446,0.00029020856823080976,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,1,0.00011172899119742101,6.783070142546421e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,2,0.0004348454114463414,0.0004679083749721258,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,3,0.0005469701352824572,0.0006489569478915769,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,4,4.87171067832855e-05,0.00014995204991663513,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,5,0.00015255422218491066,0.0008901800995460007,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,6,0.0003825811854230298,0.0005632196245632382,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,7,0.0001273417009930521,0.0007876710387790808,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,8,0.00010168708927032405,0.0006017705846517174,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,9,6.792106012543762e-05,0.00013671784458857417,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,10,0.0003438647869545771,0.0005848936201431343,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,11,0.00038979466795048193,0.002546223208142351,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,12,0.0001474315252764312,0.0008258961459617353,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,13,9.7105460886578e-05,8.400452377088641e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,10,planar,14,0.00012273144655903663,0.00027816983553918817,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,0,1.265238606838391e-08,1.0965376162630491e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,1,8.717213339926911e-09,6.451183054423382e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,2,2.003452473659917e-09,8.580734345287055e-09,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,3,3.443474018492254e-09,3.4337297449837934e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,4,7.862539398004077e-09,1.1002782684954582e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,5,8.89499229813005e-09,3.01413152214991e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,6,8.9922208817488e-05,1.0334036970510718e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,7,1.3101736848387676e-08,1.4390601066338604e-07,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,8,1.3661048294739382e-08,5.9292052156934005e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,9,4.794335577762837e-06,4.2511452596372123e-05,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,10,1.2508579396875378e-08,1.2239951274750638e-08,True
common30__newton_p5_boxcar_hanning_full_s-1,10,vertical,11,2.7966841447283656e-08,2.1814838646605494e-07,True
