resolution,scenario,algorithm,group,pairs,fractional_gain,kms_gain,galaxies_improved,incremental_gain_over_local,fixed_prediction_bootstrap_025,fixed_prediction_bootstrap_975
NA,inclination_plus5,gpu_rbf_features,gas_surroundings,868,0.1961992362837326,-0.19667968469015795,5,0.09709276731988836,-0.0982398414588319,0.3192626277883898
NA,pa_minus5,ridge,local,868,-0.06214575697920388,-0.24972163885113408,5,0.0,0.0,0.0
NA,pa_minus5,ridge,gas_surroundings,868,-0.21606967056412585,-0.4616411817759749,5,-0.14491788210187773,-0.3808297585402747,-0.021019270221955818
NA,pa_minus5,trees,local,868,-0.036475275397565454,-0.7297721102481112,4,0.0,0.0,0.0
NA,pa_minus5,trees,gas_surroundings,868,0.010233087979050426,-0.48055915078832867,4,0.04506461898833036,-0.05637947255516496,0.1811815121451747
NA,pa_minus5,gpu_rbf_features,local,868,-0.290577339176584,-1.2754286263538281,5,0.0,0.0,0.0
NA,pa_minus5,gpu_rbf_features,gas_surroundings,868,-0.057247204714039546,-0.40324371737966636,6,0.18079515839896443,-0.06784530355810313,0.4248740550073384
NA,pa_plus5,ridge,local,868,0.05456267365764045,-0.04295930595976394,3,0.0,0.0,0.0
NA,pa_plus5,ridge,gas_surroundings,868,0.008130241463575882,-0.16336086748185985,3,-0.04911212081471228,-0.2389846445176902,0.012749607238095593
NA,pa_plus5,trees,local,868,0.01694599991433332,-0.39685689504236743,4,0.0,0.0,0.0
NA,pa_plus5,trees,gas_surroundings,868,0.004084401212506861,-0.37656763783613845,4,-0.013083308445625219,-0.06312334607440352,0.01122821188574692
NA,pa_plus5,gpu_rbf_features,local,868,-0.14711040933701836,-0.8333651336871297,3,0.0,0.0,0.0
NA,pa_plus5,gpu_rbf_features,gas_surroundings,868,-0.11843758992631481,-0.6361950166128283,3,0.024995692809792414,-0.03604189720340995,0.10921372272048041
RO,nominal,ridge,local,868,-0.04127864124369651,-0.3282788097244953,5,0.0,0.0,0.0
RO,nominal,ridge,gas_surroundings,868,-0.0833512679842563,-0.2318139638625707,4,-0.04040477262676645,-0.2083473051523179,0.06545411489073721
RO,nominal,trees,local,868,0.0531813900303596,-0.7058859981250869,5,0.0,0.0,0.0
RO,nominal,trees,gas_surroundings,868,0.0442693315707724,-0.6978612055670497,4,-0.009412635499288502,-0.0823820017123251,0.021142673133330278
RO,nominal,gpu_rbf_features,local,868,-0.07143771146258904,-0.4810453096205176,2,0.0,0.0,0.0
RO,nominal,gpu_rbf_features,gas_surroundings,868,-0.09164575904490735,-0.4698387250558882,3,-0.018860683515360632,-0.15083073973844702,0.038366927318444786
RO,lighter_stars,ridge,local,868,-0.07431754444722305,0.16453141025598905,5,0.0,0.0,0.0
RO,lighter_stars,ridge,gas_surroundings,868,-0.12333838350092186,0.09989705861232767,5,-0.045629748212779875,-0.138036065363625,-0.007009904221700442
RO,lighter_stars,trees,local,868,0.034033436201495015,0.066392292881707,7,0.0,0.0,0.0
RO,lighter_stars,trees,gas_surroundings,868,-0.02411590433758537,-0.06443628642279009,6,-0.060198088337983124,-0.212339090874255,-0.010958677065324638
RO,lighter_stars,gpu_rbf_features,local,868,-0.06129884622932735,0.03606333935298067,5,0.0,0.0,0.0
RO,lighter_stars,gpu_rbf_features,gas_surroundings,868,-0.12127520853555573,0.03710249884014161,4,-0.056512227935908266,-0.24270876690617124,0.006438804688249737
RO,heavier_stars,ridge,local,868,0.1286724033561002,-0.08244515572676248,7,0.0,0.0,0.0
RO,heavier_stars,ridge,gas_surroundings,868,0.07192391967617717,-0.03135741171565898,6,-0.06512875742545243,-0.32088794672679266,0.07629508467636463
RO,heavier_stars,trees,local,868,0.19867087207683665,-0.4522641825785292,7,0.0,0.0,0.0
