galaxy,galactic_longitude_deg,galactic_latitude_deg,quadrupole_axis_angle_deg,octopole_axis_angle_deg,inclination_deg
NGC3972,138.84804934696288,60.05340305676944,34.474026594662924,42.04503358964129,77.0
NGC4051,148.8830122330637,70.08519025850268,24.552289656701777,32.12487729480372,49.0
NGC4068,138.91514876383323,63.04337366268716,32.16814125689369,39.75807202702399,44.0
NGC4088,140.3351003945943,65.01111028739724,30.305322865088627,37.895949432585866,69.0
NGC4100,141.1106236198455,65.91621701796181,29.438418993259585,37.027387336313545,73.0
NGC4138,147.30497935296808,71.40377100409953,24.259487892814747,31.794786059379582,53.0
NGC4559,198.41415292788056,86.47008561470291,17.685410441654216,23.12583338224367,67.0
NGC5005,101.61434885950014,79.24903464953385,28.025115445866508,34.3376543182149,68.0
NGC5033,98.06043252683543,79.44791144886938,28.27735421063751,34.49517258371413,66.0
NGC5371,82.1731194162673,71.19606215863553,37.37296978001037,43.57440520700424,53.0
NGC5585,100.99651278194227,56.474837022025454,47.78539143105748,55.028036115870464,51.0
NGC5985,92.97916578888993,46.82948463641212,58.554319579197696,65.72349127781855,60.0
NGC6015,95.69236372667541,44.12452003991915,60.51898317008937,67.8064776146498,60.0
NGC6195,62.31132532999391,42.14261269525739,67.8526629319851,73.5253137826096,62.0
NGC6503,100.57267996365142,30.640875001740174,72.10691179944884,79.6238956853599,74.0
NGC6674,54.59242749172231,13.919204338494046,83.44541519021915,78.29205361097252,54.0
NGC6946,95.71892951552614,11.672884383677035,88.4379221781995,80.9026030310759,38.0
NGC7331,93.72160869224875,-20.724123037298895,56.8788400667782,49.289539936503374,75.0
NGC7793,4.515718768534959,-77.171400601481,13.549164229682797,20.849117931079913,47.0
UGC00128,114.46097543664715,-26.258493570520432,58.59101467121652,51.74558472071253,57.0
UGC00191,110.58104201456793,-51.23836703812111,35.11365752332836,29.385590539826982,45.0
UGC00731,126.14025169826247,-13.149311732487694,74.86195093316333,68.34389117224013,57.0
UGC00891,134.27555981655047,-49.800659656536,44.461536421029116,40.58961147495592,60.0
UGC02259,147.14511056243828,-19.796094228513887,76.01003918992161,71.43511206006582,41.0
UGC02885,159.582996014739,-14.046047313433332,85.45670585895346,81.86948337646591,64.0
UGC02916,136.80595620266425,14.19468330870546,75.8247743200587,82.4057092260735,50.0
UGC03205,172.96075994248775,-8.2060763345936,85.0311492443835,87.38088693870557,67.0
UGC03580,145.7168106354372,25.646033472101557,62.06195852796741,68.43195781028939,63.0
UGC04483,144.96762650995316,34.38046913945958,54.36382443759483,61.07543763129264,58.0
UGC04499,167.09103001620167,37.19552818521367,44.04885046015847,49.30714096437231,50.0
UGC05005,206.957143893173,43.067212942404105,27.61078715542856,27.889541871091726,41.0
UGC05716,208.23951809494412,58.71114071911496,12.530408732348699,15.514991278366228,54.0
UGC05750,216.7166824007112,58.52251934674006,11.155295367495143,12.037921001180607,64.0
UGC05764,196.178511673176,60.42692369250056,14.589572645669968,19.835101330130655,60.0
UGC05829,190.06953616948624,61.530514656647625,15.867060452569197,21.88692352080859,34.0
UGC05918,140.90457202773916,47.121486396843984,44.50012373324484,51.77483484252176,46.0
UGC06399,152.0790575244112,60.960545989685166,29.515234175882505,36.95521698134724,75.0
UGC06446,147.56049510124777,59.13990043654539,32.374545494968636,39.83283643398838,51.0
UGC06614,240.10147660015454,70.56382582349619,5.6189476581358555,6.2778128491059935,36.0
UGC06818,151.75714761299363,67.7782472877221,25.05447504502068,32.6437717692639,75.0
UGC06917,143.48179865583091,64.44849083335733,29.76119133232648,37.34823954620065,56.0
UGC06923,140.51552840819787,62.06364198244651,32.41477337239405,39.995233418933005,65.0
UGC06930,144.5463761957448,65.51075483126836,28.69777867314961,36.28759320620667,32.0
UGC06983,140.26952516561832,62.62527197145281,32.06926605336518,39.65449479197112,49.0
UGC07089,149.92098864478402,71.52236840949396,23.49029275142773,31.03712612370149,80.0
UGC07559,148.5959678659179,78.74349931934073,20.92056225753003,27.97575159333427,61.0
UGC07577,137.75801598480803,72.94219995522958,25.820037694046928,33.21316759018771,63.0
UGC07690,135.64192019364532,73.95231869413465,25.727661992227283,33.04239561867759,41.0
UGC09037,348.77969781002975,62.85161754795615,42.279561272984346,42.70622703507157,65.0
UGC09992,102.19129877004698,42.365587136898974,60.602258649561726,68.06256175575406,30.0
UGC10310,73.62492747223273,45.52834779861115,63.23012835554115,69.57097735530266,34.0
UGC11557,94.98015202662512,12.814697217840134,89.33548580912053,81.81744829916371,30.0
UGC11820,70.33852744283791,-29.51532247866529,42.44147058764635,35.517674393381,45.0
UGC12632,106.77082816961239,-19.311189690466602,62.3853477340535,55.03698077536757,46.0
UGC12732,103.73797571297656,-33.98375196322341,47.793374668511746,40.615821255808356,39.0
UGCA442,10.701505688216413,-74.52891266140263,11.494429998365051,19.023947115923306,64.0
