mode,band,q,q_pass
393,high,0.9606036973185391,True
394,high,0.9286265775476108,True
395,high,0.9130113047584949,True
396,high,1.0281015602521049,True
397,high,0.965721218826528,True
398,high,1.0729152692903114,True
399,high,0.9403399026866788,True
400,high,0.9544282650156805,True
401,high,1.0161287097880463,True
402,high,0.9872667389417363,True
403,high,0.9741803969077194,True
404,high,0.993986056769337,True
405,high,0.9682139293976658,True
406,high,0.99605133482178,True
407,high,0.9662135915651197,True
408,high,1.043773944731294,True
409,high,1.1347525361197,True
410,high,1.0891405740076887,True
411,high,1.030597927607195,True
412,high,0.9825413732678779,True
413,high,0.9509528280489652,True
414,high,0.9134499291981714,True
415,high,0.8907009050234971,True
416,high,0.9884440722267294,True
417,high,1.0036099122106947,True
418,high,0.8891916040541493,True
419,high,1.1461320218227282,True
420,high,0.9435358464947319,True
421,high,1.0474185169904118,True
422,high,0.9786964887273677,True
423,high,0.9953738144636126,True
424,high,1.0580905010423456,True
425,high,1.0846007218749236,True
426,high,1.0238229128135434,True
427,high,1.0926636113881776,True
428,high,1.0276484353248787,True
429,high,1.0886667866715218,True
430,high,1.0283187947607528,True
431,high,1.0875919841588964,True
432,high,1.1353802908224757,True
433,high,1.02874510479372,True
434,high,0.9585799591961652,True
435,high,0.8413708262556874,True
436,high,1.0879216896721486,True
437,high,0.9544437019664018,True
438,high,0.950155560521205,True
439,high,1.0399108634865732,True
440,high,0.9953767183886496,True
441,high,0.9863908846497692,True
442,high,0.9244849219957749,True
443,high,0.9819421980978851,True
444,high,0.9954265310147072,True
445,high,1.005600134864164,True
446,high,1.080348993005106,True
447,high,0.9812991131378642,True
448,high,0.9322764799452982,True
449,high,1.0365540021347277,True
450,high,0.9709202959358727,True
451,high,1.0316396691202783,True
452,high,0.969810868744635,True
453,high,1.0324516891824862,True
454,high,0.969417745751615,True
455,high,1.0325323431708022,True
456,high,0.9689878978137821,True
457,high,1.0930226325991639,True
458,high,1.1004459552380887,True
459,high,1.0065795970572484,True
460,high,0.9916150183273137,True
461,high,0.9638706233202046,True
462,high,0.9763230000891726,True
463,high,0.9529561530794245,True
464,high,0.9887512688216298,True
465,high,0.9546395924547193,True
466,high,0.8926323131993215,True
467,high,1.1589431193704847,True
468,high,0.9356885905291263,True
469,high,1.073857783576906,True
470,high,0.9877235133652372,True
471,high,1.006782104485245,True
472,high,1.0743314428369297,True
473,high,1.0824726475767834,True
474,high,1.0261154958879768,True
475,high,1.1125374302595732,True
476,high,1.0303121706486205,True
477,high,1.1107961892617468,True
478,high,1.0306402541558588,True
479,high,1.1105062415753213,True
480,high,1.1363274647669304,True
481,high,1.0422083998723672,True
482,high,0.9704841209194817,True
483,high,0.839331308132995,True
484,high,1.0780138229358787,True
485,high,0.9698382363010646,True
486,high,0.9438529787720978,True
487,high,1.0247234521801873,True
488,high,1.000488039214933,True
489,high,1.0009700773848063,True
490,high,0.9438243910149021,True
491,high,1.001254283141704,True
492,high,0.9858246243217565,True
493,high,1.0176144922896988,True
494,high,1.0802915517198255,True
495,high,0.9647549498061692,True
496,high,0.926894547933499,True
497,high,1.0470680100777081,True
498,high,0.9531776962730883,True
499,high,1.043184550063452,True
500,high,0.9501307944564553,True
501,high,1.0438911479348816,True
502,high,0.949254298877045,True
503,high,1.0439439615319899,True
504,high,0.953216822252661,True
505,high,1.0621323119153712,True
506,high,1.0886479807292138,True
507,high,0.9994951897944854,True
508,high,0.9976183456017387,True
509,high,0.9654647277444167,True
510,high,0.9796320530853542,True
511,high,0.9736858459526372,True
512,high,0.9848005159465065,True
513,high,0.9438040124607977,True
514,high,0.8940241399999349,True
515,high,1.1598479953656258,True
516,high,0.9345845245809227,True
517,high,1.0806249991563095,True
518,high,0.9858093997578611,True
519,high,1.007994042036328,True
520,high,1.0748136534975934,True
521,high,1.0770576908968816,True
522,high,1.0189112958299127,True
523,high,1.1102057715124491,True
524,high,1.0217213922580008,True
525,high,1.1085098385884058,True
526,high,1.0215360727772806,True
527,high,1.1084473856694865,True
528,high,1.132379919720464,True
529,high,1.0455372772136322,True
530,high,0.9763252225227506,True
531,high,0.8376545860309305,True
532,high,1.0732718870764617,True
533,high,0.9742087370410693,True
534,high,0.9407832086979605,True
535,high,1.0180124173112173,True
536,high,1.0018724605493634,True
537,high,1.007099463503116,True
538,high,0.9518175313089925,True
539,high,1.009812201792746,True
540,high,0.9819342702781917,True
541,high,1.0224966163862734,True
542,high,1.080973047118517,True
543,high,0.9591105288585098,True
544,high,0.9260291319694283,True
545,high,1.049310437675625,True
546,high,0.947557738656727,True
547,high,1.0457160970889454,True
548,high,0.9438438799651032,True
549,high,1.0463342273096348,True
550,high,0.9427798556153112,True
551,high,1.046310839395603,True
552,high,0.948898633260435,True
553,high,1.0503605593398517,True
554,high,1.0833082757307988,True
555,high,0.9969733080598149,True
556,high,0.9998077788114705,True
557,high,0.9661086077488003,True
558,high,0.9797295002093692,True
559,high,0.9810073171012144,True
560,high,0.9833537141663342,True
561,high,0.9405706708538665,True
562,high,0.8949256630655741,True
563,high,1.1598391851900423,True
564,high,0.9344656956731472,True
565,high,1.0831496864950831,True
566,high,0.9849666146310251,True
567,high,1.008375413802251,True
568,high,1.0746140238106627,True
569,high,1.075153376454933,True
570,high,1.015789349871549,True
571,high,1.1094356579730456,True
572,high,1.0181593221101268,True
573,high,1.1079459542307266,True
574,high,1.0177014423408928,True
575,high,1.1074151596235216,True
