case,conversion,fill,stellar_msun,atomic_helium_msun,molecular_helium_msun,total_msun
pa_low,high_conversion,zero,23775319648.618694,9407200825.975918,2149897180.3300133,35332417654.92462
pa_low,high_conversion,annular,24323652863.817352,9407199964.218174,2207085419.67778,35937938247.7133
pa_high,nominal,zero,17836456527.15123,9458253148.916113,899295527.2845044,28194005203.35185
pa_high,nominal,annular,18228765491.877823,9458250826.257326,939982519.9009674,28626998838.036118
pa_high,low_conversion,zero,11890971018.100822,9458253148.916113,268754985.16548413,21617979152.18242
pa_high,low_conversion,annular,12152510327.91855,9458250826.257326,280914316.2922431,21891675470.46812
pa_high,high_conversion,zero,23781942036.201645,9458253148.916113,2150039881.323873,35390235066.44163
pa_high,high_conversion,annular,24305020655.8371,9458250826.257326,2247314530.337945,36010586012.43237
ellipticity_low,nominal,zero,17884836886.354187,9661828717.791159,899263655.4840935,28445929259.62944
ellipticity_low,nominal,annular,18286736558.415745,9661845090.482294,933585116.0380738,28882166764.93611
ellipticity_low,low_conversion,zero,11923224590.902794,9661828717.791159,268745460.25961417,21853798768.953568
ellipticity_low,low_conversion,annular,12191157705.610497,9661845090.482294,279002448.4711485,22132005244.56394
ellipticity_low,high_conversion,zero,23846449181.805588,9661828717.791159,2149963682.0769134,35658241581.67366
ellipticity_low,high_conversion,annular,24382315411.220993,9661845090.482294,2232019587.769188,36276180089.47247
ellipticity_high,nominal,zero,17781259857.957066,9195736966.997198,899298963.8873578,27876295788.84162
ellipticity_high,nominal,annular,18177549677.97958,9195760387.01837,934344701.2828484,28307654766.2808
ellipticity_high,low_conversion,zero,11854173238.638046,9195736966.997198,268756012.19622195,21318666217.831467
ellipticity_high,low_conversion,annular,12118366451.98639,9195760387.01837,279229450.95809263,21593356289.962852
ellipticity_high,high_conversion,zero,23708346477.276093,9195736966.997198,2150048097.5697756,35054131541.84306
ellipticity_high,high_conversion,annular,24236732903.97278,9195760387.01837,2233835607.664741,35666328898.65589
pixels_one,nominal,zero,17857479183.08967,9434210574.245499,901993117.7675176,28193682875.102684
pixels_one,nominal,annular,18277785560.029964,9434335272.456959,855908354.0185213,28568029186.505444
pixels_one,low_conversion,zero,11904986122.05978,9434210574.245499,269561161.63167197,21608757857.93695
pixels_one,low_conversion,annular,12185190373.35331,9434335272.456959,255788703.499788,21875314349.310055
pixels_one,high_conversion,zero,23809972244.11956,9434210574.245499,2156489293.0533757,35400672111.418434
pixels_one,high_conversion,annular,24370380746.70662,9434335272.456959,2046309627.998304,35851025647.16188
pixels_two,nominal,zero,17837970805.596836,9434175395.651121,901168582.1553868,28173314783.403343
pixels_two,nominal,annular,18237511501.595463,9434130761.809074,925649370.980144,28597291634.38468
pixels_two,low_conversion,zero,11891980537.06456,9434175395.651121,269314748.69011563,21595470681.405796
pixels_two,low_conversion,annular,12158341001.063644,9434130761.809074,276630846.4998132,21869102609.37253
pixels_two,high_conversion,zero,23783961074.12912,9434175395.651121,2154517989.520925,35372654459.30116
pixels_two,high_conversion,annular,24316682002.12729,9434130761.809074,2213046771.9985056,35963859535.93487
