# DECADE (DELVE DR3) tangential shear profiles around eFEDS X-ray systems.
# See acquire_decade.py for every cut and convention.  g_t and g_x are
# metacalibration-response-corrected reduced shear; err is shape noise.
id	z	bin	R_Mpc	theta_arcmin	n	gt	gx	err	R11	R22	beta	beta2
082751.7-002853	0.2570	7	2.47487	10.3376	533	-0.0037956	0.0264072	0.0137347	0.69976	0.69287	0.60612	0.37675
082751.7-002853	0.2570	8	3.32305	13.8805	1063	0.0043201	0.0009211	0.0088370	0.72755	0.72629	0.59843	0.36743
082751.7-002853	0.2570	9	4.42062	18.4651	1982	0.0056477	0.0178391	0.0066906	0.69564	0.70385	0.60153	0.37132
082808.7-001003	0.0760	0	0.33614	3.8875	108	0.0329548	0.0222544	0.0233098	0.75910	0.71450	0.85828	0.73920
082808.7-001003	0.0760	1	0.45059	5.2112	189	-0.0133242	-0.0073802	0.0207065	0.77123	0.71531	0.86380	0.74808
082808.7-001003	0.0760	2	0.59182	6.8445	297	-0.0218722	0.0025889	0.0152584	0.71764	0.74100	0.85740	0.73709
082808.7-001003	0.0760	3	0.78935	9.1290	483	0.0081787	0.0036616	0.0129082	0.72482	0.72529	0.86081	0.74293
082808.7-001003	0.0760	4	1.05543	12.2063	886	-0.0114345	0.0078612	0.0098079	0.73208	0.74031	0.86543	0.75089
082808.7-001003	0.0760	5	1.40717	16.2742	1481	0.0088790	0.0027823	0.0075506	0.73418	0.74363	0.86214	0.74535
082808.7-001003	0.0760	6	1.86925	21.6183	2592	0.0088159	0.0014225	0.0056223	0.76351	0.72105	0.85935	0.74055
082808.7-001003	0.0760	7	2.49249	28.8262	5073	-0.0016700	-0.0010238	0.0040330	0.73345	0.73552	0.86130	0.74383
082808.7-001003	0.0760	8	3.30927	38.2725	8985	-0.0017747	0.0043960	0.0029990	0.74298	0.73660	0.86071	0.74279
082808.7-001003	0.0760	9	4.39350	50.8118	15490	0.0025522	-0.0010209	0.0022765	0.74379	0.73357	0.86065	0.74272
082820.5-000721	0.8450	0	0.32967	nan	0	nan	nan	nan	nan	nan	nan	nan
082820.5-000721	0.8450	1	0.43892	nan	1	nan	nan	nan	nan	nan	nan	nan
082820.5-000721	0.8450	2	0.58437	nan	4	nan	nan	nan	nan	nan	nan	nan
082820.5-000721	0.8450	3	0.77803	nan	3	nan	nan	nan	nan	nan	nan	nan
082820.5-000721	0.8450	4	1.03586	nan	13	nan	nan	nan	nan	nan	nan	nan
082820.5-000721	0.8450	5	1.37912	nan	18	nan	nan	nan	nan	nan	nan	nan
082820.5-000721	0.8450	6	1.83497	4.0006	24	-0.0348977	0.0833946	0.0421838	0.70541	0.52029	0.21716	0.05005
082820.5-000721	0.8450	7	2.47905	5.4049	39	-0.0269312	0.0025482	0.0641854	0.46311	0.59145	0.23928	0.06043
082820.5-000721	0.8450	8	3.27321	7.1363	59	-0.0676391	-0.0897235	0.0402295	0.53349	0.56187	0.21596	0.04870
082820.5-000721	0.8450	9	4.33810	9.4580	137	-0.0096431	0.0368098	0.0310648	0.59074	0.51992	0.22629	0.05340
082840.6-000500	0.3200	0	0.32967	nan	10	nan	nan	nan	nan	nan	nan	nan
082840.6-000500	0.3200	1	0.43892	nan	17	nan	nan	nan	nan	nan	nan	nan
082840.6-000500	0.3200	2	0.60105	2.1519	25	0.0990699	0.0461241	0.0351201	0.75874	0.76816	0.54580	0.30498
082840.6-000500	0.3200	3	0.76893	2.7530	48	-0.0563103	0.0154615	0.0543620	0.59520	0.70642	0.57644	0.33760
082840.6-000500	0.3200	4	1.05544	3.7787	102	-0.0065538	0.0091312	0.0267660	0.68978	0.68160	0.53932	0.29914
082840.6-000500	0.3200	5	1.40202	5.0196	149	-0.0199965	-0.0050730	0.0215095	0.71893	0.66052	0.55224	0.31245
082840.6-000500	0.3200	6	1.85994	6.6591	234	-0.0011756	-0.0104765	0.0183616	0.67803	0.68638	0.53709	0.29712
082840.6-000500	0.3200	7	2.48823	8.9085	371	0.0241087	-0.0154290	0.0149314	0.68435	0.69075	0.54828	0.30919
082840.6-000500	0.3200	8	3.32186	11.8931	639	-0.0213552	-0.0035281	0.0126292	0.72564	0.62255	0.54744	0.30820
082840.6-000500	0.3200	9	4.40971	15.7879	963	-0.0054861	0.0040556	0.0093602	0.68260	0.66703	0.54595	0.30603
082859.9+010756	0.3540	0	0.32967	nan	3	nan	nan	nan	nan	nan	nan	nan
082859.9+010756	0.3540	1	0.43892	nan	4	nan	nan	nan	nan	nan	nan	nan
082859.9+010756	0.3540	2	0.58437	nan	11	nan	nan	nan	nan	nan	nan	nan
082859.9+010756	0.3540	3	0.80132	2.6838	36	0.0021199	0.0373118	0.0267910	0.65816	1.25398	0.47267	0.23062
082859.9+010756	0.3540	4	1.05441	3.5315	35	-0.0074239	-0.0250483	0.0443524	0.69612	0.73935	0.49645	0.25784
082859.9+010756	0.3540	5	1.38777	4.6480	72	-0.0247828	0.0467621	0.0401374	0.55233	0.69542	0.51947	0.27875
082859.9+010756	0.3540	6	1.86770	6.2553	157	0.0200569	-0.0000634	0.0257990	0.71570	0.59766	0.51043	0.26835
082859.9+010756	0.3540	7	2.48437	8.3207	214	-0.0027144	0.0246661	0.0231455	0.63390	0.65278	0.50727	0.26520
082859.9+010756	0.3540	8	3.34745	11.2114	362	-0.0125964	0.0009789	0.0183351	0.65470	0.69093	0.52067	0.27930
082859.9+010756	0.3540	9	4.40291	14.7464	783	-0.0009801	0.0037537	0.0115424	0.65976	0.67270	0.51901	0.27751
082952.7+002139	0.4200	0	0.32967	nan	5	nan	nan	nan	nan	nan	nan	nan
082952.7+002139	0.4200	1	0.43892	nan	5	nan	nan	nan	nan	nan	nan	nan
082952.7+002139	0.4200	2	0.58437	nan	8	nan	nan	nan	nan	nan	nan	nan
082952.7+002139	0.4200	3	0.77803	nan	16	nan	nan	nan	nan	nan	nan	nan
082952.7+002139	0.4200	4	1.08198	3.2593	33	0.0107428	-0.0111266	0.0436271	0.64196	0.82207	0.49167	0.24934
082952.7+002139	0.4200	5	1.39343	4.1975	52	-0.0359463	-0.0267874	0.0427515	0.67905	0.58340	0.47300	0.23101
082952.7+002139	0.4200	6	1.92203	5.7897	91	-0.0287116	0.0203056	0.0312490	0.63981	0.65321	0.46387	0.22262
082952.7+002139	0.4200	7	2.47881	7.4670	149	0.0023368	0.0519542	0.0262528	0.66015	0.67911	0.48112	0.23929
082952.7+002139	0.4200	8	3.33297	10.0400	369	-0.0233761	-0.0114360	0.0156770	0.67599	0.67766	0.45966	0.21924
082952.7+002139	0.4200	9	4.37632	13.1829	656	-0.0129997	-0.0215635	0.0130151	0.64961	0.64610	0.46143	0.22120
082955.4+004131	0.9400	0	0.32967	nan	0	nan	nan	nan	nan	nan	nan	nan
082955.4+004131	0.9400	1	0.43892	nan	0	nan	nan	nan	nan	nan	nan	nan
082955.4+004131	0.9400	2	0.58437	nan	3	nan	nan	nan	nan	nan	nan	nan
082955.4+004131	0.9400	3	0.77803	nan	1	nan	nan	nan	nan	nan	nan	nan
082955.4+004131	0.9400	4	1.03586	nan	3	nan	nan	nan	nan	nan	nan	nan
082955.4+004131	0.9400	5	1.37912	nan	6	nan	nan	nan	nan	nan	nan	nan
082955.4+004131	0.9400	6	1.83614	nan	8	nan	nan	nan	nan	nan	nan	nan
082955.4+004131	0.9400	7	2.44462	nan	14	nan	nan	nan	nan	nan	nan	nan
082955.4+004131	0.9400	8	3.35523	7.0918	27	-0.0754769	0.0410282	0.0697465	0.64767	0.44270	0.18514	0.03572
082955.4+004131	0.9400	9	4.39602	9.2917	42	0.0169188	0.0731534	0.0412789	0.53749	0.63083	0.19521	0.03949
083040.7+023219	0.1110	0	0.34101	2.8115	41	0.0422746	0.1007556	0.0469929	0.79840	0.72269	0.80298	0.64860
083040.7+023219	0.1110	1	0.45135	3.7211	78	0.0234450	0.0419446	0.0307469	0.70632	0.77936	0.80110	0.64533
083040.7+023219	0.1110	2	0.59633	4.9164	175	0.0296958	-0.0436603	0.0211556	0.74713	0.70546	0.80819	0.65626
083040.7+023219	0.1110	3	0.79758	6.5756	323	-0.0081390	0.0158945	0.0154384	0.74513	0.72127	0.80103	0.64509
083040.7+023219	0.1110	4	1.04491	8.6147	503	-0.0016462	-0.0022552	0.0139667	0.71597	0.70964	0.80662	0.65367
083040.7+023219	0.1110	5	1.39731	11.5200	777	-0.0083384	-0.0170662	0.0106019	0.74275	0.71905	0.80018	0.64425
083040.7+023219	0.1110	6	1.86366	15.3648	1263	0.0007737	0.0008775	0.0080561	0.74932	0.74648	0.79794	0.64055
083040.7+023219	0.1110	7	2.48651	20.4998	2565	-0.0129362	-0.0000954	0.0055853	0.74901	0.73260	0.79922	0.64238
083040.7+023219	0.1110	8	3.30611	27.2569	4645	0.0027597	-0.0044910	0.0041132	0.73518	0.74612	0.79783	0.64020
083040.7+023219	0.1110	9	4.42120	36.4502	8028	-0.0018616	-0.0019224	0.0031690	0.73362	0.73416	0.79855	0.64135
083110.5+015616	0.4200	0	0.32967	nan	6	nan	nan	nan	nan	nan	nan	nan
083110.5+015616	0.4200	1	0.43892	nan	11	nan	nan	nan	nan	nan	nan	nan
083110.5+015616	0.4200	2	0.58437	nan	7	nan	nan	nan	nan	nan	nan	nan
083110.5+015616	0.4200	3	0.79319	2.3893	27	0.0743669	0.0259215	0.0633291	0.76194	0.61939	0.39795	0.16378
083110.5+015616	0.4200	4	1.05567	3.1800	36	-0.0163270	0.0496771	0.0495442	0.69198	0.73809	0.39876	0.16523
083110.5+015616	0.4200	5	1.41902	4.2745	68	0.0151695	0.0101986	0.0359317	0.61642	0.60646	0.43255	0.19547
083110.5+015616	0.4200	6	1.88295	5.6721	167	0.0196466	0.0134997	0.0246336	0.63554	0.64548	0.43475	0.19775
083110.5+015616	0.4200	7	2.44415	7.3626	257	-0.0262333	-0.0041404	0.0192849	0.66702	0.63166	0.44145	0.20383
083110.5+015616	0.4200	8	3.30107	9.9439	389	0.0055339	-0.0252790	0.0154443	0.65019	0.64688	0.46074	0.22119
083110.5+015616	0.4200	9	4.41225	13.2911	633	0.0045866	0.0190596	0.0128065	0.64250	0.61456	0.45661	0.21738
083120.5+005257	0.6640	0	0.32967	nan	0	nan	nan	nan	nan	nan	nan	nan
083120.5+005257	0.6640	1	0.43892	nan	0	nan	nan	nan	nan	nan	nan	nan
083120.5+005257	0.6640	2	0.58437	nan	0	nan	nan	nan	nan	nan	nan	nan
083120.5+005257	0.6640	3	0.77803	nan	0	nan	nan	nan	nan	nan	nan	nan
083120.5+005257	0.6640	4	1.03586	nan	0	nan	nan	nan	nan	nan	nan	nan
083120.5+005257	0.6640	5	1.37912	nan	0	nan	nan	nan	nan	nan	nan	nan
083120.5+005257	0.6640	6	1.83614	nan	0	nan	nan	nan	nan	nan	nan	nan
083120.5+005257	0.6640	7	2.44462	nan	5	nan	nan	nan	nan	nan	nan	nan
083120.5+005257	0.6640	8	3.33959	7.9599	36	0.0098180	-0.0203026	0.0537024	0.51661	0.59965	0.29434	0.09152
083120.5+005257	0.6640	9	4.39700	10.4803	64	0.0360494	0.0253221	0.0435430	0.57810	0.64866	0.28818	0.08871
083120.5+030949	0.5680	0	0.32967	nan	5	nan	nan	nan	nan	nan	nan	nan
083120.5+030949	0.5680	1	0.43892	nan	10	nan	nan	nan	nan	nan	nan	nan
083120.5+030949	0.5680	2	0.58437	nan	10	nan	nan	nan	nan	nan	nan	nan
083120.5+030949	0.5680	3	0.80374	2.0565	31	0.0682408	0.0317483	0.0516691	0.85307	0.67890	0.36987	0.14247
083120.5+030949	0.5680	4	1.08694	2.7811	39	0.0697152	0.0717924	0.0538782	0.61665	0.48285	0.35032	0.12897
083120.5+030949	0.5680	5	1.38181	3.5356	53	0.0661506	-0.0328975	0.0445101	0.66097	0.50899	0.36778	0.14156
083120.5+030949	0.5680	6	1.85563	4.7479	94	-0.0417151	-0.0040185	0.0299330	0.75915	0.63395	0.34958	0.12792
083120.5+030949	0.5680	7	2.50191	6.4015	138	0.0434571	0.0344645	0.0249309	0.61731	0.70340	0.35865	0.13368
083120.5+030949	0.5680	8	3.28375	8.4019	254	0.0048735	-0.0283049	0.0193485	0.66759	0.62295	0.35912	0.13488
083120.5+030949	0.5680	9	4.36607	11.1712	449	-0.0021126	0.0033167	0.0138154	0.63914	0.63364	0.36421	0.13746
083125.9+015533	0.6840	0	0.32967	nan	1	nan	nan	nan	nan	nan	nan	nan
083125.9+015533	0.6840	1	0.43892	nan	3	nan	nan	nan	nan	nan	nan	nan
083125.9+015533	0.6840	2	0.58437	nan	4	nan	nan	nan	nan	nan	nan	nan
083125.9+015533	0.6840	3	0.77803	nan	5	nan	nan	nan	nan	nan	nan	nan
083125.9+015533	0.6840	4	1.03586	nan	11	nan	nan	nan	nan	nan	nan	nan
083125.9+015533	0.6840	5	1.42904	3.3643	22	-0.0500549	-0.0446825	0.0605725	0.55558	0.61258	0.27779	0.08198
083125.9+015533	0.6840	6	1.86070	4.3806	69	0.0984171	-0.0089540	0.0421127	0.68077	0.47637	0.28216	0.08354
083125.9+015533	0.6840	7	2.47611	5.8294	93	-0.0422500	-0.0642714	0.0323843	0.68897	0.53266	0.29238	0.09073
083125.9+015533	0.6840	8	3.23467	7.6153	164	-0.0338121	0.0184433	0.0283635	0.51971	0.61235	0.28417	0.08551
083125.9+015533	0.6840	9	4.41447	10.3929	243	0.0239896	0.0021244	0.0208025	0.58396	0.57176	0.29026	0.08884
083137.9+004632	0.2930	0	0.32967	nan	0	nan	nan	nan	nan	nan	nan	nan
083137.9+004632	0.2930	1	0.43892	nan	0	nan	nan	nan	nan	nan	nan	nan
083137.9+004632	0.2930	2	0.58437	nan	0	nan	nan	nan	nan	nan	nan	nan
083137.9+004632	0.2930	3	0.77803	nan	0	nan	nan	nan	nan	nan	nan	nan
083137.9+004632	0.2930	4	1.03586	nan	0	nan	nan	nan	nan	nan	nan	nan
083137.9+004632	0.2930	5	1.37912	nan	0	nan	nan	nan	nan	nan	nan	nan
083137.9+004632	0.2930	6	1.83614	nan	7	nan	nan	nan	nan	nan	nan	nan
083137.9+004632	0.2930	7	2.54062	9.6635	79	-0.0387515	0.0186741	0.0285711	0.66027	0.71892	0.58035	0.34585
083137.9+004632	0.2930	8	3.35017	12.7427	420	0.0021916	0.0071418	0.0154627	0.66698	0.71828	0.56647	0.33023
083137.9+004632	0.2930	9	4.42351	16.8253	955	-0.0007418	-0.0042294	0.0099348	0.70208	0.63955	0.57374	0.33840
083146.7-012849	0.0500	0	0.33803	5.7636	244	-0.0135556	0.0322562	0.0190857	0.73438	0.69769	0.91116	0.83140
083146.7-012849	0.0500	1	0.44786	7.6362	414	-0.0178247	0.0081656	0.0140275	0.74723	0.72509	0.90653	0.82310
083146.7-012849	0.0500	2	0.59523	10.1490	668	-0.0076907	0.0077221	0.0113251	0.74844	0.75156	0.90856	0.82647
083146.7-012849	0.0500	3	0.79385	13.5354	1305	-0.0012594	0.0042487	0.0078369	0.74641	0.73180	0.90626	0.82243
083146.7-012849	0.0500	4	1.04754	17.8609	2193	-0.0064383	0.0069507	0.0057954	0.75922	0.75060	0.90695	0.82363
083146.7-012849	0.0500	5	1.40698	23.9896	3647	-0.0020296	-0.0037377	0.0047540	0.74726	0.74400	0.90393	0.81826
083146.7-012849	0.0500	6	1.85710	31.6644	6211	-0.0044912	0.0032125	0.0035724	0.74672	0.75550	0.90432	0.81894
083146.7-012849	0.0500	7	2.48425	42.3574	10873	0.0029256	-0.0009130	0.0026884	0.74683	0.75336	0.90618	0.82226
083146.7-012849	0.0500	8	3.30653	56.3776	19605	-0.0000895	-0.0014910	0.0019939	0.74934	0.74462	0.90639	0.82259
083146.7-012849	0.0500	9	4.41990	75.3610	34470	-0.0034584	0.0027528	0.0015301	0.74195	0.74013	0.90719	0.82401
083149.4+005230	0.3980	0	0.32967	nan	0	nan	nan	nan	nan	nan	nan	nan
083149.4+005230	0.3980	1	0.43892	nan	0	nan	nan	nan	nan	nan	nan	nan
083149.4+005230	0.3980	2	0.58437	nan	0	nan	nan	nan	nan	nan	nan	nan
083149.4+005230	0.3980	3	0.77803	nan	0	nan	nan	nan	nan	nan	nan	nan
083149.4+005230	0.3980	4	1.03586	nan	0	nan	nan	nan	nan	nan	nan	nan
083149.4+005230	0.3980	5	1.37912	nan	0	nan	nan	nan	nan	nan	nan	nan
083149.4+005230	0.3980	6	1.83614	nan	0	nan	nan	nan	nan	nan	nan	nan
083149.4+005230	0.3980	7	2.57622	8.0158	46	-0.0397907	0.0593649	0.0628337	0.54756	0.77617	0.47778	0.23538
083149.4+005230	0.3980	8	3.36298	10.4638	159	0.0197963	-0.0064848	0.0205485	0.62012	0.68611	0.47696	0.23625
083149.4+005230	0.3980	9	4.44250	13.8227	481	0.0043770	0.0214186	0.0163778	0.64563	0.55891	0.48086	0.23956
083153.6+012530	0.2690	0	0.32967	nan	15	nan	nan	nan	nan	nan	nan	nan
083153.6+012530	0.2690	1	0.44140	1.7838	23	0.0642001	0.0108348	0.0578337	0.59881	0.63265	0.61694	0.38913
083153.6+012530	0.2690	2	0.59358	2.3988	29	0.0113985	-0.0036401	0.0539514	0.73772	0.62106	0.60687	0.37368
083153.6+012530	0.2690	3	0.78182	3.1594	35	0.0097265	-0.0169050	0.0475495	0.76718	0.60512	0.58942	0.36120
083153.6+012530	0.2690	4	1.02251	4.1321	52	-0.0383710	0.0603751	0.0485570	0.71990	0.67579	0.60102	0.37046
083153.6+012530	0.2690	5	1.41867	5.7330	99	0.0444085	-0.0374762	0.0356922	0.70388	0.66569	0.60612	0.37607
083153.6+012530	0.2690	6	1.87164	7.5635	257	0.0056728	0.0098802	0.0195882	0.67117	0.72778	0.60469	0.37463
083153.6+012530	0.2690	7	2.50829	10.1363	456	0.0057242	0.0124331	0.0122363	0.86075	0.78378	0.58655	0.35376
083153.6+012530	0.2690	8	3.32306	13.4289	688	0.0119940	-0.0005861	0.0112392	0.71458	0.72765	0.58518	0.35239
083153.6+012530	0.2690	9	4.40514	17.8017	1336	-0.0002645	-0.0101552	0.0085127	0.69337	0.69700	0.58639	0.35351
083204.4+041907	0.1970	0	0.33702	1.7226	23	0.0478268	0.0133084	0.0633733	0.61234	0.68961	0.67261	0.45795
083204.4+041907	0.1970	1	0.44887	2.2943	50	0.0023716	-0.0932886	0.0501461	0.73447	0.81857	0.65832	0.44117
083204.4+041907	0.1970	2	0.59217	3.0267	92	-0.0117162	0.0216512	0.0303763	0.76877	0.73890	0.64124	0.41918
083204.4+041907	0.1970	3	0.79726	4.0750	148	0.0307179	0.0188159	0.0247543	0.75023	0.74572	0.66781	0.45430
083204.4+041907	0.1970	4	1.04192	5.3256	252	0.0020400	0.0255587	0.0178061	0.78903	0.72519	0.65955	0.44393
083204.4+041907	0.1970	5	1.40487	7.1807	433	0.0113971	-0.0008537	0.0146368	0.76228	0.71551	0.66434	0.44956
083204.4+041907	0.1970	6	1.86205	9.5175	729	0.0256448	0.0020223	0.0109206	0.73636	0.73901	0.66336	0.44926
083204.4+041907	0.1970	7	2.48604	12.7069	1153	0.0117688	0.0102251	0.0083905	0.75358	0.74641	0.66384	0.44934
083204.4+041907	0.1970	8	3.30352	16.8853	1850	0.0042407	-0.0024255	0.0069057	0.72824	0.71865	0.66817	0.45499
083204.4+041907	0.1970	9	4.40979	22.5398	3528	-0.0038646	0.0007882	0.0048339	0.72484	0.74440	0.67069	0.45811
083228.0-000656	0.4210	0	0.32967	nan	2	nan	nan	nan	nan	nan	nan	nan
083228.0-000656	0.4210	1	0.43892	nan	9	nan	nan	nan	nan	nan	nan	nan
083228.0-000656	0.4210	2	0.58743	1.7670	25	-0.0516587	-0.0268114	0.0870360	0.62185	0.58899	0.45053	0.21134
083228.0-000656	0.4210	3	0.77803	nan	15	nan	nan	nan	nan	nan	nan	nan
083228.0-000656	0.4210	4	1.03586	nan	11	nan	nan	nan	nan	nan	nan	nan
083228.0-000656	0.4210	5	1.37912	nan	17	nan	nan	nan	nan	nan	nan	nan
083228.0-000656	0.4210	6	1.81700	5.4657	21	0.0274406	-0.0757555	0.0776547	0.64464	0.68798	0.40750	0.17285
083228.0-000656	0.4210	7	2.57414	7.7432	45	0.0835403	0.0028100	0.0452932	0.52803	0.63283	0.42649	0.19151
083228.0-000656	0.4210	8	3.28831	9.8915	214	0.0290796	-0.0024036	0.0245247	0.65123	0.63503	0.47500	0.23313
083228.0-000656	0.4210	9	4.39407	13.2177	497	0.0039282	-0.0179238	0.0128765	0.70099	0.63601	0.45729	0.21736
083238.8-003200	0.3990	0	0.32967	nan	3	nan	nan	nan	nan	nan	nan	nan
083238.8-003200	0.3990	1	0.43892	nan	7	nan	nan	nan	nan	nan	nan	nan
083238.8-003200	0.3990	2	0.58437	nan	9	nan	nan	nan	nan	nan	nan	nan
083238.8-003200	0.3990	3	0.77803	nan	18	nan	nan	nan	nan	nan	nan	nan
083238.8-003200	0.3990	4	1.08544	3.3721	30	-0.1102231	-0.0149208	0.0803690	0.51674	0.56788	0.47722	0.23572
083238.8-003200	0.3990	5	1.41511	4.3963	40	-0.0054037	0.0358677	0.0533222	0.66985	0.73741	0.47103	0.23147
083238.8-003200	0.3990	6	1.83299	5.6945	85	-0.0443713	-0.0439682	0.0300454	0.63452	0.69424	0.46345	0.22515
083238.8-003200	0.3990	7	2.49074	7.7380	187	-0.0271771	0.0125610	0.0244921	0.68886	0.59999	0.48024	0.23879
083238.8-003200	0.3990	8	3.30883	10.2795	441	-0.0162958	-0.0021469	0.0160131	0.64030	0.66297	0.47262	0.23166
083238.8-003200	0.3990	9	4.39020	13.6390	635	0.0032342	-0.0046879	0.0116262	0.66284	0.65813	0.47527	0.23404
083249.9+031737	0.8280	0	0.32967	nan	0	nan	nan	nan	nan	nan	nan	nan
083249.9+031737	0.8280	1	0.43892	nan	2	nan	nan	nan	nan	nan	nan	nan
083249.9+031737	0.8280	2	0.58437	nan	3	nan	nan	nan	nan	nan	nan	nan
083249.9+031737	0.8280	3	0.77803	nan	2	nan	nan	nan	nan	nan	nan	nan
083249.9+031737	0.8280	4	1.03586	nan	8	nan	nan	nan	nan	nan	nan	nan
083249.9+031737	0.8280	5	1.41081	3.0960	21	-0.1063700	0.0930077	0.0702906	0.53491	0.40674	0.22384	0.05261
083249.9+031737	0.8280	6	1.84052	4.0390	28	0.1333968	-0.0007023	0.0622907	0.78504	0.57189	0.21785	0.05036
083249.9+031737	0.8280	7	2.50128	5.4890	33	-0.0088884	-0.0132757	0.0545972	0.75538	0.56492	0.22551	0.05313
083249.9+031737	0.8280	8	3.23081	7.0899	86	-0.0403352	0.0052832	0.0339184	0.62925	0.61094	0.23726	0.05903
083249.9+031737	0.8280	9	4.39749	9.6502	153	0.0058373	-0.0277660	0.0288354	0.59388	0.55968	0.22875	0.05497
083310.2+030136	0.7480	0	0.32967	nan	0	nan	nan	nan	nan	nan	nan	nan
083310.2+030136	0.7480	1	0.43892	nan	2	nan	nan	nan	nan	nan	nan	nan
083310.2+030136	0.7480	2	0.58437	nan	2	nan	nan	nan	nan	nan	nan	nan
083310.2+030136	0.7480	3	0.77803	nan	7	nan	nan	nan	nan	nan	nan	nan
083310.2+030136	0.7480	4	1.03586	nan	16	nan	nan	nan	nan	nan	nan	nan
083310.2+030136	0.7480	5	1.41910	3.2263	29	0.0402321	-0.0218500	0.0677852	0.57144	0.67229	0.26612	0.07440
083310.2+030136	0.7480	6	1.90541	4.3319	49	0.0249977	0.0242518	0.0410805	0.75543	0.63800	0.25660	0.06910
083310.2+030136	0.7480	7	2.46434	5.6026	60	-0.0641852	-0.0053262	0.0520077	0.59775	0.55752	0.26170	0.07285
083310.2+030136	0.7480	8	3.31296	7.5320	141	0.0257605	-0.0304374	0.0308157	0.56466	0.54830	0.26045	0.07135
083310.2+030136	0.7480	9	4.35891	9.9099	210	0.0067911	-0.0139822	0.0232442	0.64506	0.59948	0.26273	0.07277
083315.5+000623	0.4700	0	0.32967	nan	2	nan	nan	nan	nan	nan	nan	nan
083315.5+000623	0.4700	1	0.43892	nan	6	nan	nan	nan	nan	nan	nan	nan
083315.5+000623	0.4700	2	0.58437	nan	11	nan	nan	nan	nan	nan	nan	nan
083315.5+000623	0.4700	3	0.78440	2.2150	32	-0.0183402	0.1586718	0.0789038	0.69693	0.47017	0.43274	0.19333
083315.5+000623	0.4700	4	1.07124	3.0250	67	-0.0431594	0.0341918	0.0353872	0.63005	0.59475	0.42340	0.18369
083315.5+000623	0.4700	5	1.36321	3.8495	54	0.0438609	0.0081979	0.0427843	0.77459	0.67706	0.43229	0.19253
083315.5+000623	0.4700	6	1.86447	5.2650	132	0.0292664	-0.0079234	0.0264821	0.55255	0.71413	0.43028	0.19080
083315.5+000623	0.4700	7	2.48383	7.0140	184	-0.0213910	0.0047879	0.0251912	0.62909	0.58882	0.41792	0.18084
083315.5+000623	0.4700	8	3.32540	9.3905	354	0.0147038	0.0018761	0.0145782	0.66051	0.64826	0.42286	0.18647
083315.5+000623	0.4700	9	4.38110	12.3716	616	0.0110129	0.0005728	0.0128866	0.66373	0.64324	0.43036	0.19240
083321.1+012644	0.5660	0	0.32967	nan	2	nan	nan	nan	nan	nan	nan	nan
083321.1+012644	0.5660	1	0.43892	nan	7	nan	nan	nan	nan	nan	nan	nan
