# Random-point null for the DECADE shear measurement.  Same estimator,
# same cuts, same binning; positions carry the redshift of a real eFEDS
# system so the background cut is identical.
id	z	bin	R_Mpc	theta_arcmin	n	gt	gx	err	R11	R22	beta	beta2
RND0005	0.6440	7	2.48875	6.0102	106	0.0626570	-0.0017163	0.0313230	0.58313	0.59565	0.30351	0.09578
RND0005	0.6440	8	3.32726	8.0351	149	0.0054773	-0.0191148	0.0201509	0.65734	0.70005	0.30986	0.10033
RND0005	0.6440	9	4.40716	10.6430	292	0.0186051	-0.0311695	0.0191080	0.60149	0.54247	0.30465	0.09731
RND0006	0.8840	0	0.32967	nan	0	nan	nan	nan	nan	nan	nan	nan
RND0006	0.8840	1	0.43892	nan	0	nan	nan	nan	nan	nan	nan	nan
RND0006	0.8840	2	0.58437	nan	1	nan	nan	nan	nan	nan	nan	nan
RND0006	0.8840	3	0.77803	nan	2	nan	nan	nan	nan	nan	nan	nan
RND0006	0.8840	4	1.03586	nan	4	nan	nan	nan	nan	nan	nan	nan
RND0006	0.8840	5	1.37912	nan	7	nan	nan	nan	nan	nan	nan	nan
RND0006	0.8840	6	1.83614	nan	14	nan	nan	nan	nan	nan	nan	nan
RND0006	0.8840	7	2.44131	5.2497	29	-0.0072180	-0.0706953	0.0607570	0.52050	0.69046	0.21103	0.04757
RND0006	0.8840	8	3.29287	7.0809	47	-0.0216389	0.0207699	0.0489925	0.68147	0.52387	0.22012	0.05039
RND0006	0.8840	9	4.35604	9.3672	78	-0.0185093	-0.0074453	0.0329475	0.69250	0.61745	0.21019	0.04647
RND0007	0.1590	0	0.32839	1.9948	46	0.0455887	-0.0196444	0.0380291	0.76799	0.69349	0.72543	0.53162
RND0007	0.1590	1	0.44949	2.7304	46	0.0458199	0.0070940	0.0389527	0.73982	0.73426	0.73836	0.55118
RND0007	0.1590	2	0.58220	3.5366	102	0.0670423	-0.0086748	0.0293355	0.71716	0.74094	0.73873	0.55279
RND0007	0.1590	3	0.78012	4.7388	178	0.0152138	-0.0394427	0.0210917	0.72603	0.71196	0.73484	0.54697
RND0007	0.1590	4	1.05556	6.4120	391	0.0158139	0.0112934	0.0140165	0.75882	0.76272	0.72855	0.53772
RND0007	0.1590	5	1.39969	8.5024	700	-0.0008432	-0.0047513	0.0110399	0.78336	0.74428	0.73189	0.54204
RND0007	0.1590	6	1.87640	11.3982	1092	0.0079366	0.0154705	0.0082543	0.76711	0.76055	0.72883	0.53798
RND0007	0.1590	7	2.49542	15.1585	2098	-0.0040162	0.0059087	0.0062184	0.74791	0.74533	0.73345	0.54418
RND0007	0.1590	8	3.29741	20.0302	3635	-0.0004493	-0.0013428	0.0045962	0.76835	0.75204	0.72976	0.53914
RND0007	0.1590	9	4.41788	26.8365	6223	-0.0018814	-0.0055609	0.0035584	0.75027	0.75524	0.72633	0.53427
RND0008	0.4550	0	0.32967	nan	2	nan	nan	nan	nan	nan	nan	nan
RND0008	0.4550	1	0.43892	nan	11	nan	nan	nan	nan	nan	nan	nan
RND0008	0.4550	2	0.58437	nan	12	nan	nan	nan	nan	nan	nan	nan
RND0008	0.4550	3	0.79235	2.2785	30	0.0832770	0.0288472	0.0422891	0.59702	0.66077	0.44683	0.20510
RND0008	0.4550	4	1.06339	3.0580	69	-0.0564065	0.0099244	0.0393420	0.69246	0.66879	0.44565	0.20610
RND0008	0.4550	5	1.43157	4.1168	101	0.0091265	0.0142263	0.0262083	0.67161	0.74312	0.44612	0.20594
RND0008	0.4550	6	1.86583	5.3656	209	-0.0181723	0.0345094	0.0228856	0.60312	0.64142	0.44492	0.20406
RND0008	0.4550	7	2.49749	7.1820	304	0.0205435	0.0014374	0.0181784	0.63685	0.68916	0.44403	0.20333
RND0008	0.4550	8	3.30640	9.5082	536	0.0053369	-0.0130956	0.0128068	0.68089	0.67977	0.44354	0.20351
RND0008	0.4550	9	4.40671	12.6723	1006	-0.0251684	-0.0042564	0.0095320	0.67836	0.66670	0.44200	0.20224
RND0009	0.2730	0	0.32967	nan	12	nan	nan	nan	nan	nan	nan	nan
RND0009	0.2730	1	0.45220	1.8081	22	-0.0430499	0.0249002	0.0388684	0.75105	0.75984	0.65173	0.43069
RND0009	0.2730	2	0.59905	2.3953	55	-0.0485259	-0.0480089	0.0437778	0.72963	0.63649	0.62269	0.39691
RND0009	0.2730	3	0.80004	3.1990	106	-0.0219609	0.0286750	0.0257571	0.70888	0.79832	0.62643	0.39854
RND0009	0.2730	4	1.05786	4.2299	186	-0.0362100	-0.0084894	0.0194067	0.75657	0.79621	0.60263	0.37308
RND0009	0.2730	5	1.40149	5.6039	320	0.0012617	-0.0166259	0.0149120	0.79319	0.73879	0.61224	0.38341
RND0009	0.2730	6	1.87450	7.4953	603	0.0041046	0.0022747	0.0110993	0.77794	0.75983	0.60288	0.37329
RND0009	0.2730	7	2.49556	9.9786	1077	-0.0051013	-0.0080221	0.0081459	0.75550	0.76575	0.61033	0.38094
RND0009	0.2730	8	3.31056	13.2374	1608	0.0085117	0.0106383	0.0067245	0.73565	0.78195	0.61064	0.38121
RND0009	0.2730	9	4.40496	17.6135	2688	0.0028323	-0.0030731	0.0055269	0.74653	0.74449	0.62049	0.39274
RND0010	0.4400	0	0.32967	nan	11	nan	nan	nan	nan	nan	nan	nan
RND0010	0.4400	1	0.43892	nan	9	nan	nan	nan	nan	nan	nan	nan
RND0010	0.4400	2	0.58437	nan	10	nan	nan	nan	nan	nan	nan	nan
RND0010	0.4400	3	0.77761	2.2795	27	0.0352139	-0.0395780	0.0576777	0.76005	0.57599	0.50367	0.25746
RND0010	0.4400	4	1.09206	3.2012	46	-0.0205149	-0.0186025	0.0563327	0.72308	0.59907	0.46690	0.22622
RND0010	0.4400	5	1.38557	4.0616	91	-0.0240723	-0.0031859	0.0341462	0.63722	0.71740	0.44624	0.20683
RND0010	0.4400	6	1.85792	5.4463	156	0.0145148	0.0289351	0.0231631	0.61091	0.63287	0.46576	0.22393
RND0010	0.4400	7	2.51761	7.3800	306	-0.0120266	-0.0043768	0.0171718	0.63348	0.62002	0.46274	0.22064
RND0010	0.4400	8	3.29086	9.6467	453	0.0066324	0.0161025	0.0140891	0.66622	0.66687	0.45561	0.21492
RND0010	0.4400	9	4.41596	12.9448	973	0.0178022	-0.0060735	0.0098886	0.63041	0.66249	0.45006	0.21020
RND0011	0.5140	0	0.32967	nan	0	nan	nan	nan	nan	nan	nan	nan
RND0011	0.5140	1	0.43892	nan	5	nan	nan	nan	nan	nan	nan	nan
RND0011	0.5140	2	0.58437	nan	9	nan	nan	nan	nan	nan	nan	nan
RND0011	0.5140	3	0.80764	2.1732	23	0.0284127	-0.0204967	0.0474797	0.72566	0.65668	0.38944	0.15957
RND0011	0.5140	4	1.07516	2.8931	45	0.0636946	-0.0045646	0.0414343	0.65019	0.58312	0.41363	0.17569
RND0011	0.5140	5	1.40262	3.7742	103	0.0170477	0.0266750	0.0306804	0.66048	0.55066	0.37884	0.15004
RND0011	0.5140	6	1.84206	4.9567	141	-0.0399589	-0.0144277	0.0243865	0.68395	0.72515	0.36711	0.14150
RND0011	0.5140	7	2.49574	6.7156	299	-0.0045077	0.0051998	0.0162639	0.66730	0.64654	0.37968	0.15049
RND0011	0.5140	8	3.31408	8.9176	501	0.0092096	0.0068414	0.0137154	0.58334	0.69987	0.38606	0.15475
RND0011	0.5140	9	4.40474	11.8524	690	-0.0011803	-0.0152847	0.0101145	0.68106	0.66811	0.39008	0.15840
RND0012	0.6640	0	0.32967	nan	4	nan	nan	nan	nan	nan	nan	nan
RND0012	0.6640	1	0.43892	nan	5	nan	nan	nan	nan	nan	nan	nan
RND0012	0.6640	2	0.58437	nan	9	nan	nan	nan	nan	nan	nan	nan
RND0012	0.6640	3	0.77803	nan	7	nan	nan	nan	nan	nan	nan	nan
RND0012	0.6640	4	1.06400	2.5361	31	0.0014391	-0.0325752	0.0451752	0.57540	0.60415	0.31807	0.10507
RND0012	0.6640	5	1.40936	3.3592	47	0.0170896	0.1702217	0.0518278	0.61945	0.34895	0.30909	0.10064
RND0012	0.6640	6	1.85698	4.4261	75	-0.0085114	0.0192151	0.0398048	0.60876	0.56371	0.30715	0.09941
RND0012	0.6640	7	2.52256	6.0125	143	-0.0088016	0.0111386	0.0251533	0.60113	0.61235	0.31227	0.10209
RND0012	0.6640	8	3.33365	7.9457	315	-0.0008795	-0.0014227	0.0181778	0.62052	0.62864	0.30365	0.09666
RND0012	0.6640	9	4.39671	10.4796	482	-0.0099783	-0.0081317	0.0159258	0.61231	0.61326	0.29920	0.09414
RND0013	0.6230	0	0.32967	nan	4	nan	nan	nan	nan	nan	nan	nan
RND0013	0.6230	1	0.43892	nan	7	nan	nan	nan	nan	nan	nan	nan
RND0013	0.6230	2	0.58437	nan	15	nan	nan	nan	nan	nan	nan	nan
RND0013	0.6230	3	0.77803	nan	13	nan	nan	nan	nan	nan	nan	nan
RND0013	0.6230	4	1.02690	2.5165	23	-0.0842635	-0.0060852	0.0917513	0.67631	0.50976	0.33645	0.11714
RND0013	0.6230	5	1.39790	3.4256	60	-0.0037120	0.0045471	0.0324941	0.70078	0.81591	0.31381	0.10353
RND0013	0.6230	6	1.81354	4.4442	77	0.0029979	-0.0548547	0.0367283	0.69395	0.65239	0.32901	0.11423
RND0013	0.6230	7	2.49625	6.1172	144	0.0429405	-0.0012740	0.0302670	0.61407	0.60551	0.33345	0.11570
RND0013	0.6230	8	3.31656	8.1274	304	-0.0000630	-0.0067961	0.0191748	0.57685	0.66977	0.31859	0.10660
RND0013	0.6230	9	4.40487	10.7944	469	0.0122506	-0.0232783	0.0158019	0.60739	0.60556	0.33064	0.11487
RND0014	0.2510	0	0.32967	nan	14	nan	nan	nan	nan	nan	nan	nan
RND0014	0.2510	1	0.44190	1.8780	25	-0.0432361	0.0331279	0.0556975	0.70270	0.73944	0.61383	0.38492
RND0014	0.2510	2	0.59078	2.5108	48	-0.0013063	-0.0442448	0.0318688	0.74840	0.64523	0.62431	0.39577
RND0014	0.2510	3	0.79060	3.3601	80	-0.0287724	-0.0108497	0.0311389	0.75076	0.66074	0.63094	0.40662
RND0014	0.2510	4	1.03491	4.3983	125	-0.0010264	-0.0194712	0.0251183	0.70538	0.63615	0.61712	0.38903
RND0014	0.2510	5	1.40199	5.9584	286	-0.0097140	0.0013601	0.0157887	0.69582	0.73075	0.62251	0.39694
RND0014	0.2510	6	1.86365	7.9205	421	-0.0263992	0.0103675	0.0131911	0.70670	0.72694	0.60736	0.37822
RND0014	0.2510	7	2.48145	10.5461	708	0.0058198	-0.0061011	0.0116383	0.71656	0.68579	0.61590	0.38869
RND0014	0.2510	8	3.30219	14.0342	1254	-0.0041858	-0.0035299	0.0080072	0.72681	0.74615	0.60206	0.37166
RND0014	0.2510	9	4.43324	18.8412	2259	-0.0036841	0.0018394	0.0061160	0.75646	0.71815	0.60790	0.37840
RND0015	0.4900	0	0.32967	nan	2	nan	nan	nan	nan	nan	nan	nan
RND0015	0.4900	1	0.43892	nan	4	nan	nan	nan	nan	nan	nan	nan
RND0015	0.4900	2	0.58437	nan	17	nan	nan	nan	nan	nan	nan	nan
RND0015	0.4900	3	0.79598	2.1970	32	0.0993226	-0.0475946	0.0471258	0.70142	0.75083	0.37793	0.14754
RND0015	0.4900	4	1.03543	2.8579	30	-0.0290234	-0.0395598	0.0482161	0.64313	0.68522	0.37804	0.14892
RND0015	0.4900	5	1.41406	3.9030	57	0.0115526	-0.0307016	0.0388370	0.65303	0.63581	0.38988	0.15763
RND0015	0.4900	6	1.89142	5.2205	140	0.0105978	-0.0048590	0.0264069	0.62771	0.63579	0.40577	0.17176
RND0015	0.4900	7	2.45453	6.7748	238	0.0141874	-0.0012474	0.0178535	0.68721	0.64533	0.39252	0.16096
RND0015	0.4900	8	3.31654	9.1541	435	-0.0322364	0.0184756	0.0138305	0.63321	0.70186	0.39835	0.16435
RND0015	0.4900	9	4.40982	12.1717	819	-0.0137259	-0.0181404	0.0100943	0.69475	0.63811	0.39619	0.16374
RND0016	0.1560	0	0.33368	2.0591	43	-0.0071921	-0.0621324	0.0451443	0.71569	0.69443	0.73443	0.54699
RND0016	0.1560	1	0.43435	2.6803	73	0.0097253	0.0345281	0.0335657	0.63663	0.72028	0.75473	0.57257
RND0016	0.1560	2	0.58289	3.5969	97	0.0169019	-0.0098188	0.0330377	0.76992	0.74341	0.74469	0.55984
RND0016	0.1560	3	0.80045	4.9394	167	0.0158127	-0.0256724	0.0260051	0.60272	0.81222	0.73972	0.55246
RND0016	0.1560	4	1.05458	6.5076	254	0.0015286	0.0249845	0.0180760	0.71867	0.69870	0.73193	0.54118
RND0016	0.1560	5	1.41042	8.7034	360	-0.0100372	0.0026292	0.0139284	0.75001	0.75401	0.71924	0.52382
RND0016	0.1560	6	1.86418	11.5034	705	-0.0067219	-0.0110856	0.0100397	0.73816	0.72174	0.72082	0.52538
RND0016	0.1560	7	2.49191	15.3770	1315	0.0034409	-0.0032947	0.0073550	0.72813	0.73423	0.72532	0.53237
RND0016	0.1560	8	3.31752	20.4716	2950	-0.0009109	-0.0062511	0.0048809	0.74118	0.74209	0.71911	0.52377
RND0016	0.1560	9	4.43120	27.3439	5337	0.0094571	0.0029954	0.0037844	0.74526	0.73275	0.72189	0.52760
RND0017	0.3890	0	0.32967	nan	8	nan	nan	nan	nan	nan	nan	nan
RND0017	0.3890	1	0.43892	nan	12	nan	nan	nan	nan	nan	nan	nan
RND0017	0.3890	2	0.60146	1.8979	25	-0.0326497	0.0284363	0.0706502	0.69827	0.71357	0.51172	0.27021
RND0017	0.3890	3	0.80427	2.5378	44	0.0365914	-0.0310881	0.0638693	0.27779	0.62287	0.50233	0.26051
RND0017	0.3890	4	1.05874	3.3408	64	0.0355207	0.0008932	0.0345767	0.61618	0.87098	0.51232	0.26924
RND0017	0.3890	5	1.41440	4.4631	166	0.0047582	0.0061822	0.0238589	0.63150	0.64017	0.50579	0.26359
RND0017	0.3890	6	1.85162	5.8427	234	0.0299038	0.0182184	0.0199531	0.72963	0.66967	0.49229	0.25183
RND0017	0.3890	7	2.50863	7.9159	474	-0.0146624	0.0245139	0.0135413	0.68996	0.67663	0.50898	0.26671
RND0017	0.3890	8	3.29187	10.3874	746	0.0144805	0.0032105	0.0112519	0.67252	0.69891	0.50528	0.26221
RND0017	0.3890	9	4.39218	13.8594	1146	0.0068857	-0.0109518	0.0088916	0.70548	0.71803	0.50293	0.26095
RND0018	0.0170	0	0.33419	16.1095	2479	-0.0002972	-0.0014328	0.0056711	0.74963	0.75213	0.96789	0.93697
RND0018	0.0170	1	0.44594	21.4968	3986	-0.0057035	-0.0064069	0.0044669	0.75159	0.75769	0.96818	0.93752
RND0018	0.0170	2	0.59484	28.6742	7227	0.0024829	0.0021847	0.0032691	0.74973	0.75072	0.96793	0.93704
RND0018	0.0170	3	0.79512	38.3289	13210	-0.0002613	0.0006218	0.0024396	0.74636	0.74616	0.96808	0.93734
RND0018	0.0170	4	1.04992	50.6114	21717	0.0021940	-0.0012133	0.0019118	0.74552	0.74581	0.96788	0.93693
RND0018	0.0170	5	1.40266	67.6155	39592	0.0004764	-0.0014337	0.0014031	0.74956	0.75172	0.96715	0.93554
RND0018	0.0170	6	1.73345	83.5613	32649	0.0006871	-0.0023128	0.0015437	0.74554	0.74833	0.96751	0.93623
RND0018	0.0170	7	2.44462	nan	0	nan	nan	nan	nan	nan	nan	nan
RND0018	0.0170	8	3.25472	nan	0	nan	nan	nan	nan	nan	nan	nan
RND0018	0.0170	9	4.33329	nan	0	nan	nan	nan	nan	nan	nan	nan
RND0019	0.1610	0	0.33900	2.0382	52	-0.0651158	-0.0174320	0.0357109	0.73147	0.89498	0.74441	0.55879
RND0019	0.1610	1	0.44472	2.6738	58	-0.0437107	-0.0174481	0.0327128	0.71384	0.75746	0.74926	0.56708
RND0019	0.1610	2	0.59797	3.5952	120	-0.0252295	0.0004031	0.0238414	0.72722	0.77146	0.74443	0.55944
RND0019	0.1610	3	0.78745	4.7344	185	0.0014136	0.0102705	0.0183710	0.75299	0.79592	0.73308	0.54258
RND0019	0.1610	4	1.04891	6.3064	320	-0.0053194	-0.0052121	0.0163711	0.72050	0.71859	0.73908	0.55196
RND0019	0.1610	5	1.38863	8.3489	507	-0.0151127	0.0061957	0.0119356	0.75542	0.75691	0.73337	0.54406
RND0019	0.1610	6	1.87610	11.2798	1033	0.0034471	-0.0039120	0.0089499	0.72439	0.73931	0.73973	0.55303
RND0019	0.1610	7	2.49089	14.9761	1772	0.0023825	0.0084758	0.0067908	0.72671	0.73708	0.73533	0.54692
RND0019	0.1610	8	3.30687	19.8821	3224	-0.0004069	0.0017728	0.0049057	0.73345	0.74093	0.73534	0.54740
RND0019	0.1610	9	4.40578	26.4891	5748	0.0016721	0.0042891	0.0037067	0.75139	0.75197	0.73630	0.54835
RND0020	0.2180	0	0.32967	nan	10	nan	nan	nan	nan	nan	nan	nan
RND0020	0.2180	1	0.44965	2.1245	35	-0.0684294	-0.0572612	0.0380532	0.77955	0.78259	0.59356	0.36598
RND0020	0.2180	2	0.59596	2.8157	44	0.0396713	0.0218118	0.0389361	0.79343	0.67978	0.62734	0.40416
RND0020	0.2180	3	0.79470	3.7547	75	0.0147922	0.0052483	0.0331167	0.65956	0.77788	0.63497	0.41435
RND0020	0.2180	4	1.05759	4.9968	165	0.0046135	0.0188838	0.0207544	0.74219	0.72885	0.62439	0.40001
RND0020	0.2180	5	1.39037	6.5691	227	-0.0226516	0.0086299	0.0187827	0.72879	0.71310	0.63634	0.41437
RND0020	0.2180	6	1.87044	8.8373	493	-0.0296950	-0.0043385	0.0130114	0.71959	0.72215	0.62884	0.40541
RND0020	0.2180	7	2.44684	11.5606	902	0.0071915	0.0026338	0.0092307	0.73328	0.72355	0.63671	0.41443
RND0020	0.2180	8	3.30237	15.6027	1416	-0.0119242	0.0021341	0.0077250	0.72126	0.71705	0.64213	0.42163
RND0020	0.2180	9	4.42406	20.9024	2835	-0.0017821	-0.0040307	0.0055390	0.72392	0.73184	0.63973	0.41868
RND0021	0.0780	0	0.33587	3.7937	151	0.0210491	0.0024667	0.0222986	0.71669	0.73725	0.86164	0.74430
RND0021	0.0780	1	0.44006	4.9704	274	-0.0008759	-0.0070843	0.0175767	0.76589	0.71972	0.86590	0.75179
RND0021	0.0780	2	0.59220	6.6889	512	0.0131453	-0.0050969	0.0121699	0.71264	0.75992	0.86645	0.75253
RND0021	0.0780	3	0.78698	8.8888	806	-0.0000633	-0.0021339	0.0092250	0.73259	0.74583	0.86588	0.75167
RND0021	0.0780	4	1.05271	11.8903	1429	-0.0070639	-0.0006978	0.0072106	0.75809	0.74801	0.86552	0.75107
RND0021	0.0780	5	1.39943	15.8065	2456	0.0082025	0.0055602	0.0056192	0.74297	0.72449	0.86459	0.74943
RND0021	0.0780	6	1.87580	21.1871	4962	-0.0048907	0.0025468	0.0039743	0.72104	0.71692	0.86619	0.75219
RND0021	0.0780	7	2.48187	28.0326	8633	0.0024533	-0.0013708	0.0029103	0.73010	0.73500	0.86277	0.74632
RND0021	0.0780	8	3.30633	37.3448	14391	-0.0001736	0.0019769	0.0023272	0.72722	0.73226	0.86380	0.74806
RND0021	0.0780	9	4.40384	49.7412	25065	-0.0030534	-0.0000445	0.0017658	0.73162	0.72981	0.86280	0.74639
RND0022	0.1600	0	0.33881	2.0475	39	0.0072528	0.0340271	0.0396606	0.87359	0.74949	0.72309	0.52919
RND0022	0.1600	1	0.44577	2.6939	97	-0.0086860	-0.0379025	0.0229158	0.77730	0.80808	0.73473	0.54702
RND0022	0.1600	2	0.59435	3.5918	142	-0.0339633	-0.0284901	0.0234654	0.82299	0.75566	0.73242	0.54351
RND0022	0.1600	3	0.78666	4.7540	259	0.0301862	0.0208211	0.0175998	0.73264	0.78176	0.74244	0.55774
RND0022	0.1600	4	1.05083	6.3504	390	-0.0129574	-0.0010461	0.0152503	0.74853	0.74302	0.73658	0.54988
RND0022	0.1600	5	1.40814	8.5097	723	-0.0011910	0.0090209	0.0114369	0.75954	0.78965	0.74899	0.56703
RND0022	0.1600	6	1.88158	11.3708	1263	-0.0025987	0.0111821	0.0080478	0.74669	0.78153	0.74626	0.56311
RND0022	0.1600	7	2.47986	14.9864	2597	0.0004404	0.0065126	0.0055798	0.76255	0.77761	0.74149	0.55582
RND0022	0.1600	8	3.32339	20.0840	4283	-0.0077583	0.0001008	0.0042833	0.75821	0.75738	0.74117	0.55553
RND0022	0.1600	9	4.42308	26.7297	8242	-0.0005732	0.0010983	0.0031182	0.76355	0.76768	0.74285	0.55785
RND0023	0.3610	0	0.32967	nan	9	nan	nan	nan	nan	nan	nan	nan
RND0023	0.3610	1	0.43892	nan	11	nan	nan	nan	nan	nan	nan	nan
RND0023	0.3610	2	0.58437	nan	19	nan	nan	nan	nan	nan	nan	nan
RND0023	0.3610	3	0.78854	2.6079	54	0.0225659	-0.0130217	0.0367690	0.66524	0.65850	0.54732	0.30760
RND0023	0.3610	4	1.05118	3.4766	78	-0.0335073	-0.0367128	0.0352078	0.58329	0.67534	0.53387	0.29361
RND0023	0.3610	5	1.40500	4.6468	153	-0.0526868	-0.0370589	0.0235127	0.65202	0.63395	0.51792	0.27731
RND0023	0.3610	6	1.85969	6.1506	340	-0.0111843	0.0157812	0.0167752	0.63210	0.68081	0.52001	0.27861
RND0023	0.3610	7	2.47798	8.1955	485	0.0101472	0.0254740	0.0137629	0.67213	0.61714	0.51235	0.27072
RND0023	0.3610	8	3.32760	11.0054	905	0.0124470	0.0009885	0.0095337	0.65241	0.67520	0.51949	0.27723
