sequence	redshift	log_stellar_mass	log_baryonic_mass	stellar_fraction	sigma0_km_s
105	2.191000000000e+00	1.146000000000e+01	1.163000000000e+01	6.760829753920e-01	7.760000000000e+01
106	2.193000000000e+00	1.092000000000e+01	1.116000000000e+01	5.754399373372e-01	5.650000000000e+01
107	2.197000000000e+00	1.017000000000e+01	1.059000000000e+01	3.801893963206e-01	9.800000000000e+00
108	2.219000000000e+00	1.009000000000e+01	1.043000000000e+01	4.570881896149e-01	4.540000000000e+01
109	2.225000000000e+00	1.025000000000e+01	1.054000000000e+01	5.128613839914e-01	3.760000000000e+01
110	2.226000000000e+00	1.010000000000e+01	1.057000000000e+01	3.388441561392e-01	5.920000000000e+01
111	2.227000000000e+00	1.050000000000e+01	1.087000000000e+01	4.265795188016e-01	3.360000000000e+01
112	2.227000000000e+00	1.036000000000e+01	1.072000000000e+01	4.365158322402e-01	4.760000000000e+01
113	2.228000000000e+00	1.051000000000e+01	1.079000000000e+01	5.248074602498e-01	4.090000000000e+01
114	2.229000000000e+00	1.061000000000e+01	1.119000000000e+01	2.630267991895e-01	3.900000000000e+01
115	2.246000000000e+00	1.037000000000e+01	1.078000000000e+01	3.890451449943e-01	5.760000000000e+01
116	2.298000000000e+00	1.024000000000e+01	1.056000000000e+01	4.786300923226e-01	5.850000000000e+01
117	2.301000000000e+00	1.083000000000e+01	1.102000000000e+01	6.456542290347e-01	1.900000000000e+00
118	2.307000000000e+00	1.048000000000e+01	1.087000000000e+01	4.073802778041e-01	5.530000000000e+01
119	2.308000000000e+00	1.057000000000e+01	1.091000000000e+01	4.570881896149e-01	4.580000000000e+01
120	2.313000000000e+00	1.048000000000e+01	1.092000000000e+01	3.630780547701e-01	7.070000000000e+01
121	2.320000000000e+00	1.106000000000e+01	1.135000000000e+01	5.128613839914e-01	1.246000000000e+02
122	2.359000000000e+00	1.057000000000e+01	1.089000000000e+01	4.786300923226e-01	3.310000000000e+01
123	2.391000000000e+00	1.034000000000e+01	1.072000000000e+01	4.168693834703e-01	3.960000000000e+01
124	2.408000000000e+00	1.069000000000e+01	1.107000000000e+01	4.168693834703e-01	6.270000000000e+01
125	2.416000000000e+00	1.018000000000e+01	1.060000000000e+01	3.801893963206e-01	4.890000000000e+01
126	2.432000000000e+00	1.014000000000e+01	1.064000000000e+01	3.162277660168e-01	6.000000000000e+01
127	2.433000000000e+00	1.059000000000e+01	1.105000000000e+01	3.467368504525e-01	7.580000000000e+01
128	2.437000000000e+00	1.056000000000e+01	1.096000000000e+01	3.981071705535e-01	5.610000000000e+01
129	2.439000000000e+00	1.089000000000e+01	1.121000000000e+01	4.786300923226e-01	5.270000000000e+01
130	2.441000000000e+00	1.057000000000e+01	1.096000000000e+01	4.073802778041e-01	3.610000000000e+01
131	2.452000000000e+00	1.034000000000e+01	1.071000000000e+01	4.265795188016e-01	4.050000000000e+01
132	2.454000000000e+00	9.880000000000e+00	1.036000000000e+01	3.311311214826e-01	4.790000000000e+01
133	2.464000000000e+00	1.044000000000e+01	1.084000000000e+01	3.981071705535e-01	2.750000000000e+01
134	2.519000000000e+00	1.105000000000e+01	1.135000000000e+01	5.011872336273e-01	1.049000000000e+02
135	2.529000000000e+00	1.115000000000e+01	1.133000000000e+01	6.606934480076e-01	6.840000000000e+01
