CATID	CUBEIDPUB	arm	CUBEFWHM	CUBETEXP	WARNMULT	WARNSK2M	WARNSKER	WARNRE	WARNWCS	WARNEMFT	WARNSKEM	WARNFCAL	WARNZ	RA_OBJ	DEC_OBJ	z_spec	r_petro	M_r	r_e	ellip	PA	mu_within_1re	g_i	Mstar	photometry	ReMGE	mMGE	PAMGE	epsMGE_Re	epsMGE_LW	dist2NNeigh	morph_type	SurfaceDensity	SurfaceDensity_err	SurfaceDensityFlag	SIGMA_RE	SIGMA_RE_ERR	SIGMA_RE_MGE	SIGMA_RE_MGE_ERR	LAMBDAR_RE	LAMBDAR_RE_ERR	VSIGMA_RE	VSIGMA_RE_ERR	PA_STELKIN	PA_STELKIN_ERR	APER_CORR_FLAG	MEAN_K51_RE	PA_GASKIN	PA_GASKIN_ERR	V_GAS_RE	V_GAS_RE_ERR	VDISP_GAS_RE	VDISP_GAS_RE_ERR	HALPHA_RE	HALPHA_RE_ERR	cluster	R_on_rtwo	V_on_sigma	is_mem	R_proj_Mpc_from_cat	v_pec_kms	host_z_clus	host_sigma_200	host_e_sigma_200	host_N_mem_R200	host_R_200	host_M_200_caustic	host_M_200_virial	has_stelkin_sigma_re	has_lambda_re	has_stelkin_pa	has_gaskin_pa	has_gas_vdisp_re	has_resolved_kin_maps	kin_quality_clean	has_struct_full	has_mge	has_morph	has_env_cluster	incl_deg_thin
279878	279878_A	GAMA	2.52453	12600	0	0	0	0	0	0	0	0	0	139.818	1.0363	0.08734	15.491	-22.7	4.39	0.0575	64.17	20.57	1.33	11.26	GAMA	3.81424	15.5045	68.7903	0.0880986	0.0604517	14.9466	0	3.124	8.3399	0	232.711	1.84992	234.565	2.16394	0.0919249	0.00699198	0.0985737	0.00628239	223	5.5	0	0.248373	19.5	0.166667	86.562	42.2993	283.864	29.194	3.36528	0.433881														True	True	True	True	True	True	True	True	True	True	False	19.5243
279886	279886_A	GAMA	1.85255	12600	0	0	0	0	0	0	0	0	0	139.793	1.05546	0.01827	17.565	-17.03	3.54	0.2987	157.69	21.92	0.97	8.82	GAMA	2.62284	17.6677	160.591	0.255661	0.285211	15.4402	3	6.09	4.7446	0	48.8455	3.80821	45.5298	3.81069					332	12.9167			29	0.416667	258.504	37.7913	116.353	40.9355	0.214459	0.114848														True	False	True	True	True	True	True	True	True	True	False	45.4686
279891	279891_A	GAMA	1.85255	12600	0	0	0	0	0	0	0	0	0	139.708	1.023	0.02381	18.603	-16.58	2.36	0.5841	125.86	21.56	0.43	8.2	GAMA	1.53979	18.5878	123.22	0.492949	0.545461	7.00986	3	0.183	0.0125	1									322.5	29.9167			148	0.166667	-6.45295	0.324721	30.9271	0.413577	9.07511	0.0652583														False	False	True	True	True	True	True	True	True	True	False	65.424
279905	279905_A	GAMA	1.60493	21600	0	0	0	0	0	0	0	0	0	139.98	0.945145	0.01768	13.994	-20.61	6.15	0.3402	170.78	19.38	1.18	10.43	GAMA	4.22569	14.0223	171.692	0.269403	0.313443	26.0207	0.5	2.204	3.089	0	170.589	1.20375	172.638	1.039	0.451293	0.00277042	0.492308	0.00313354	351	0.666667	0	0.0198647	145	0.5	-9.8905	1.51189	134.018	1.49406	52.3401	0.678817														True	True	True	True	True	True	True	True	True	True	False	48.7154
279910	279910_A	GAMA	1.60493	21600	0	0	0	0	0	0	0	0	0	139.855	1.05979	0.08685	15.973	-22.22	2.88	0.304	137.24	19.66	1.27	11.01	GAMA	1.83766	15.9718	136.555	0.138038	0.229555	14.8449	0.5	2.512	11.8356	0	219.488	1.79472	224.616	1.74932	0.0618908	0.00639942	0.067999	0.00577764	131.5	7.16667	0	0.0860272	183.5	13.5																				True	True	True	True	False	True	True	True	True	True	False	45.893
279917	279917_A	GAMA	1.85255	12600	0	0	0	0	0	0	0	0	0	139.995	0.960836	0.01792	15.536	-19.02	9.78	0.4383	145.68	22.03	0.6	9.32	GAMA	8.03599	15.4899	146.95	0.550541	0.344326	20.1078	3	2.309	3.4503	0									333.5	3.91667			323	0.25	11.0565	0.0794056	33.0725	0.0954188	278.067	0.542585														False	False	True	True	True	True	True	True	True	True	False	55.8266
279932	279932_A	GAMA	1.60493	21600	0	0	0	0	0	0	0	0	0	140.009	1.03829	0.01703	12.776	-21.99	22.3	0.3069	16.7	20.77	1.2	11	GAMA	14.2783	12.6041	16.9767	0.290278	0.32951	41.1243	0	3.303	7.4937	0					0.0851036	0.00234041	0.0864974	0.00213061	293	12	1		3	4.66666	74.0945	9.80387	362.854	8.13868	129.803	4.49787														False	True	True	True	True	True	True	True	True	True	False	46.124
279943	279943_A	GAMA	2.52453	12600	0	0	0	0	0	0	0	0	0	140.131	0.937025	0.01844	17.669	-16.95	2.41	0.4856	151.52	20.9	0.59	8.48	GAMA	1.65068	17.7454	150.055	0.379956	0.399679	7.48434	3	5.984	18.4062	0	50.0814	5.14964	45.4623	5.93047					232.5	29.8333			254	0.166667	-9.80116	0.200827	25.4721	0.274043	27.6579	0.175312														True	False	True	True	True	True	True	True	True	True	False	59.0426
28654	28654_A	GAMA	2.19059	12600	0	0	0	0	0	0	0	0	0	211.816	1.06503	0.03469	17.11	-18.84	3.14	0.2031	93.52	21.59	0.5	9.14	GAMA	2.89276	17.3284	67.1726	0.175997	0.224295	9.808	3	0.08	0.0126	1	56.5958	3.95757	53.3284	4.01198					233.5	7.75			253	0.166667	-0.147419	0.176623	40.3004	0.194503	50.4327	0.176656														True	False	True	True	True	True	True	True	True	True	False	37.1649
28738	28738_A	GAMA	2.10812	10800	0	0	0	0	0	0	0	0	0	213.151	1.0579	0.04634	16.263	-20.44	2.56	0.4186	60.31	19.79	0.84	10.05	GAMA	1.99454	16.2986	60.9275	0.324604	0.332476	10.3472	3	0.268	0.0499	0	83.2549	1.92726	82.4149	1.96355	0.360646	0.0156615	0.425952	0.0194258	241.5	2.25	0	0.0592235	236	0.166667	-35.7526	0.332784	75.1293	0.269544	83.0364	0.429675														True	True	True	True	True	True	True	True	True	True	False	54.4509
287692	287692_A	GAMA	1.65779	11300	0	0	0	0	0	0	0	0	0	174.506	1.70248	0.07382	15.124	-22.83	9.04	0.034	30.59	21.49	1.32	11.36	GAMA	4.76711	15.0914	67.262	0.000810083	0.0492995	19.27	0.5	1.228	0.3698	0			162.713	1.42703	0.165709	0.00832082	0.159287	0.00703146	43.5	4.16667	1	0.197145	41.5	0.333333	40.8732	0.956566	64.9911	0.960104	59.5004	0.767703														False	True	True	True	True	True	True	True	True	True	False	14.9836
287824	287824_A	GAMA	1.65779	11300	0	0	0	0	0	0	0	0	0	175.265	1.72549	0.04067	14.606	-21.77	4.38	0.2183	26.74	19.56	0.85	10.59	GAMA	3.72165	14.6706	35.0817	0.134222	0.193091	17.568	2.5	0.028	0.0046	1	134.918	1.16186	132.482	0.947933	0.55299	0.00480783	0.709625	0.00750717	26.5	0.416667	0	0.0180232	25	0.166667	22.9829	0.248754	122.045	0.194679	461.062	0.949411														True	True	True	True	True	True	True	True	True	True	False	38.5835
287827	287827_A	GAMA	1.65779	11300	0	0	0	0	0	0	0	0	0	175.207	1.75883	0.0199	15.433	-19.46	3.51	0.1066	77.95	19.95	1.02	9.83	GAMA	2.94065	15.4628	125.092	0.00162303	0.0682572	14.2378	1.5	0.263	0.0322	1	61.2892	0.883811	62.5929	0.835976	0.168553	0.0087536	0.173865	0.00791859	84	3.08333	0	0.0555498	94	0.5	1.87066	0.264842	34.9183	0.32843	42.423	0.2645														True	True	True	True	True	True	True	True	True	True	False	26.6964
288364	288364_A	GAMA	1.87195	11900	0	0	0	0	0	0	0	0	0	178.181	1.74077	0.02038	14.272	-20.93	4.6	0.6216	10.97	19.69	0.59	10.07	GAMA	11.265	14.1062	33.5453	0.136049	0.0807018	10.7985	3	0.172	0.0279	1	56.0872	1.8641			0.121371	0.0156316	0.145587	0.0148779	112	2.75	0		118.5	0.166667	16.3033	0.0657016	44.7588	0.0648261	548.279	1.18518														True	True	True	True	True	True	True	True	True	True	False	67.7654
288424	288424_A	GAMA	1.87195	11900	0	0	0	0	0	0	0	0	0	178.49	1.83465	0.01954	18.298	-16.54	3.07	0.5804	108.67	21.83	0.56	8.29	GAMA	1.81835	18.444	108.293	0.48151	0.607147	11.7767	3	0.258	0.0396	1									220	29.9167			252	0.166667	53.3524	0.395549	28.2545	0.543507	7.19522	0.0613928														False	False	True	True	True	True	True	True	True	True	False	65.1907
288461	288461_A	GAMA	1.87195	11900	0	0	0	0	0	0	0	0	0	178.77	1.71981	0.00421	14.902	-17.15	7.31	0.4137	55.2	20.66	0.33	8.35	GAMA	5.45415	14.9401	50.5377	0.429558	0.34986	21.111	3	0.74	0.3086	1	40.5374	2.58215	36.5157	2.40097					37	9.08333			40	0.166667	32.5699	0.0603601	29.485	0.0757222	389.914	0.609812														True	False	True	True	True	True	True	True	True	True	False	54.1051
28860	28860_A	GAMA	1.95662	19800	0	0	0	0	0	0	0	0	0	216.874	1.05585	0.02577	15.909	-19.46	7.16	0.6706	72.45	21.02	0.58	9.46	GAMA	4.04025	15.969	72.03	0.620686	0.650107	32.2443	3	0.628	0.2753	0	64.1389	2.50705	57.3402	2.30754	0.605599	0.0205775	0.641098	0.0292537	257	2.75	1	0.0571305	260	0.166667	-7.94948	0.15025	59.8348	0.143368	150.654	0.366561														True	True	True	True	True	True	True	True	True	True	False	70.7676
288679	288679_A	GAMA	1.97568	12600	0	0	0	0	0	0	0	0	0	179.717	1.72827	0.07854	16.14	-21.81	3.59	0.5716	38.78	19.88	1.33	10.92	GAMA	2.02527	16.1628	39.2336	0.358135	0.511434	13.2219	1	4.046	2.6583	0	208.015	1.76459	206.603	1.73585	0.249107	0.00883043	0.291849	0.00920242	216.5	1.75	0	0.0420816	218	0.166667	10.067	5.83074	135.079	5.20893	3.70218	0.199938														True	True	True	True	True	True	True	True	True	True	False	64.6339
288694	288694_A	filler	1.97568	12600	0	0	0	0	0	0	0	0	0																			0.5												48	1.83333			202	0.25																				False	False	True	True	False	True	True	False	False	True	False	
288756	288756_A	GAMA	2.23972	11900	0	0	0	0	0	0	0	0	0	180.111	1.66879	0.02137	17.451	-17.49	2.84	0.2012	78.92	21.46	0.96	8.99	GAMA	1.97509	17.6415	76.5477	0.126185	0.204254	27.8411	-9	1.311	0.3527	1	71.1759	4.56031	57.9019	4.92182	0.189894	0.0539546	0.263502	0.0582407	77	29.9167	1	0.298781	320	0.166667	-48.1514	3.1149	38.8429	4.00869	1.18605	0.0958288														True	True	True	True	True	True	True	True	True	True	False	36.9843
288777	288777_A	filler	1.97568	12600	0	0	0	0	0	0	0	0	0																			3												133	29.8333			147.5	0.25																				False	False	True	True	False	True	True	False	False	True	False	
288801	288801_A	filler	1.97568	12600	2	0	0	0	0	0	0	0	0																			5																221.5	2.83333																				False	False	False	True	False	True	False	False	False	True	False	
288803	288803_A	GAMA	1.97568	12600	0	0	0	0	0	0	0	0	0	180.206	1.69373	0.04852	15.557	-21.27	4.2	0.0878	95.01	20.37	1.21	10.66	GAMA	2.75458	15.5933	73.5203	0.0699983	0.0857463	9.76711	0	0.562	0.1028	1	176.934	1.5295	182.491	1.40197	0.100318	0.00688821	0.107967	0.00572825	332.5	3.41667	0	0.0685597	108.5	0.25	31.8069	66.5405	368.223	54.6184	3.0402	0.519505														True	True	True	True	True	True	True	True	True	True	False	24.1888
288851	288851_A	GAMA	2.23972	11900	0	0	0	0	0	0	0	0	0	180.362	1.74043	0.078	15.466	-22.46	8.63	0.686	163.83	20.88	1.33	11.19	GAMA	5.05997	15.4272	164.101	0.603513	0.504492	23.0891	2	1.947	0.3627	0					0.651671	0.00684119	0.90775	0.0130195	349.5	1	1	0.0221229	343	0.166667	6.62271	2.75201	242.042	1.88796	71.9126	0.597018														False	True	True	True	True	True	True	True	True	True	False	71.6995
288891	288891_A	GAMA	2.23972	11900	0	0	0	0	0	0	0	0	0	180.451	1.77236	0.01917	18.991	-15.83	1.83	0.4291	148.94	21.73	0.91	8.31	GAMA	1.35545	19.148	151.861	0.200227	0.20489	8.00926	-9	5.251	1.6886	1	36.8674	10.2265	39.969	8.79906					214	29.9167			271.5	0.166667	9.3388	1.13636	11.6389	3.08016	1.37701	0.0425546														True	False	True	True	True	True	True	True	True	True	False	55.187
288903	288903_A	GAMA	2.2604	10800	0	0	0	0	0	0	0	0	0	180.636	1.74879	0.01924	16.85	-18.03	4.56	0.3254	178.14	21.67	0.95	9.21	GAMA	3.26157	16.9264	4.48035	0.238215	0.284618	7.56355	3	7.553	1.1489	1	47.5851	2.79198	46.0865	2.61716	0.317063	0.0467918	0.372969	0.0409554	9	9.08333	1	0.0825055	181	2.08333	-5.66727	1.91835	31.6281	2.63507	2.9999	0.130299														True	True	True	True	True	True	True	True	True	True	False	47.5769
288904	288904_A	GAMA	2.2604	10800	0	0	0	0	0	0	0	0	0	180.642	1.86104	0.02037	15.427	-19.51	6.8	0.4011	160.91	21.06	0.95	9.79	GAMA	5.32539	15.4353	159.884	0.376903	0.336943	16.2993	2.5	8.538	1.3204	1	62.0876	1.53835	62.2062	1.7172	0.630708	0.0138735	0.860218	0.0230964	333	1.75	1	0.0324929	341	0.166667	1.6702	0.494516	48.3869	0.550148	35.9119	0.28434														True	True	True	True	True	True	True	True	True	True	False	53.2088
288923	288923_B	GAMA	2.2604	10800	0	0	0	0	0	0	0	0	0	180.584	1.79802	0.02041	18.106	-16.79	2.52	0.1352	131.58	22.02	1.05	8.79	GAMA	2.21859	18.2567	162.103	0.0531016	0.0349357	14.0188	-9	8.257	1.3098	1	39.213	8.07979	39.9793	7.1762					355	29.9167			122	0.166667	63.1022	22.2919	15.034	56.4324	0.0598977	0.0640673														True	False	True	True	True	True	True	True	True	True	False	30.1401
288982	288982_A	GAMA	1.77846	14400	0	0	0	0	0	0	0	0	0	180.936	1.69506	0.02015	13.636	-21.39	7.86	0.5229	38.48	19.16	1.21	10.75	GAMA	5.39169	13.5012	37.0622	0.433064	0.491345	14.9259	1	15.822	2.3838	0			201.427	0.744865	0.46724	0.00178074	0.572147	0.00213308	40.5	0.25	1	0.0155327	276.5	0.166667																				False	True	True	True	False	True	True	True	True	True	False	61.5038
288989	288989_A	GAMA	1.77846	14400	0	0	0	0	0	0	0	0	0	180.887	1.80282	0.01983	17.153	-17.65	8.09	0.199	113.9	23.12	0.81	8.95	GAMA	3.28289	17.3721	101.356	0.160787	0.186288	7.01677	2.5	23.268	2.7334	0			42.0709	3.78677					27	29.8333			327.5	4.58333	5.86048	0.652321	23.4223	1.05218	13.4064	0.209715														False	False	True	True	True	True	True	True	True	True	False	36.7743
288992	288992_A	GAMA	2.14395	12600	0	0	0	0	0	0	0	0	0	180.935	1.83598	0.01936	14.397	-20.53	15.81	0.3588	87.27	21.65	1.17	10.38	GAMA	8.65648	14.3579	84.3449	0.490326	0.260619	28.4105	2	30.067	0.9359	0					0.378645	0.00568709	0.392796	0.00539549	43	1.58333	1		132	0.5	-704.546	143.917	786.898	118.603	24.3567	5.6083														False	True	True	True	True	True	True	True	True	True	False	50.1186
288999	288999_B	GAMA	2.2604	10800	0	0	0	0	0	0	0	0	0	180.966	1.83608	0.01901	17.139	-17.68	4.16	0.277	44.02	21.81	1	9.1	GAMA	3.0521	17.2081	34.9853	0.22464	0.304382	11.4039	3	33.65	12.7376	0	48.1737	3.16217	49.9272	2.89715					253	10			41.5	0.25	187.421	19.5892	62.1776	23.1871	0.447687	0.141492														True	False	True	True	True	True	True	True	True	True	False	43.6973
289085	289085_A	GAMA	2.13473	12000	0	0	0	0	0	0	0	0	0	180.996	1.83226	0.02129	18.196	-16.74	4	0.0466	89.25	23.04	0.91	8.64	GAMA	3.19926	18.3381	175.11	0.0314886	0.0338911	5.93631	-9	31.238	23.7791	0													163.5	0.166667																				False	False	False	True	False	True	True	True	True	True	False	17.5603
289089	289089_A	GAMA	2.14395	12600	0	0	0	0	0	0	0	0	0	181.025	1.84698	0.01641	13.747	-20.93	4.19	0.1296	33.72	18.81	1.22	10.59	GAMA	4.78037	13.688	16.9879	0.0601624	0.322859	17.282	1	53.301	12.9364	0	196.142	0.73093	191.945	0.904709	0.295673	0.0021492	0.303027	0.00216792	3	0.333333	0	0.0161585	9	0.166667	-15.4478	16.977	324.457	12.7136	16.5762	0.882078														True	True	True	True	True	True	True	True	True	True	False	29.4948
289095	289095_A	GAMA	2.75429	19800	1	0	0	0	0	0	0	0	0	181.115	1.74849	0.02218	16.987	-18.08	4.16	0.5162	112.24	21.31	0.99	9.24	GAMA	2.44437	17.1563	111.83	0.422142	0.488058	9.67152	-9	48.269	10.4347	0	53.8731	2.65906	51.1999	2.90915	0.251528	0.0329375	0.299277	0.0372914	120.5	11.3333	0	0.133565	165	0.166667	146.052	9.33453	11.587	27.545	0.29038	0.0732433														True	True	True	True	True	True	False	True	True	True	False	61.0661
289096	289096_A	GAMA	2.13473	12000	0	0	0	0	0	0	0	0	0	181.159	1.78772	0.0235	12.972	-22.48	14.22	0.3417	13.44	20.01	1.25	11.22	GAMA	10.2958	12.7655	14.5324	0.356479	0.329459	14.3108	0.5	13.492	2.99	0					0.586749	0.00207339	0.717757	0.00240716	194	0.333333	1		200	0.166667	-24.6297	3.54031	283.052	2.33626	383.067	3.46981														False	True	True	True	True	True	True	True	True	True	False	48.8297
289097	289097_A	GAMA	3.09328	10800	0	0	0	0	0	0	0	0	0	181.142	1.8016	0.0187	13.563	-21.51	11.87	0.4437	154.94	20.03	1.15	10.76	GAMA	7.91671	13.3673	167.512	0.359795	0.370657	32.6533	1.5	65.697	10.7604	0					0.455364	0.00309953	0.504339	0.00326576	353	0.5	1		253	5.41667	88.8208	26.0931	471.412	24.555	39.8527	2.47897														False	True	True	True	True	True	True	True	True	True	False	56.1997
289102	289102_A	GAMA	1.77846	14400	0	0	0	0	0	0	0	0	0	181.142	1.73821	0.02221	15.017	-20.08	6.46	0.2867	111.6	20.44	1.11	10.14	GAMA	3.47992	15.0539	110.509	0.218267	0.27214	25.5844	1	31.92	2.4837	0	97.8347	0.817846	98.0125	0.622259	0.481615	0.00474059	0.509698	0.0054185	291	0.833333	0	0.0186453	172	0.166667	86.6089	216.809	888.046	135.066	7.53171	3.16958														True	True	True	True	True	True	True	True	True	True	False	44.4959
289107	289107_A	GAMA	3.09328	10800	0	0	0	0	0	0	0	0	0	181.041	1.82596	0.01724	14.91	-19.66	9.18	0.3637	52.81	21.29	0.74	9.68	GAMA	8.09417	14.9107	55.5134	0.315678	0.337246	23.3433	3	73.489	21.6715	0					0.524682	0.0170462	0.655019	0.0237502	34.5	3	1		42.5	0.166667	-3.83626	0.109903	50.1767	0.105712	481.032	1.10819														False	True	True	True	True	True	True	True	True	True	False	50.4835
289109	289109_A	GAMA	2.13473	12000	0	0	0	0	0	0	0	0	0	181.047	1.76981	0.0235	17.846	-17.32	3.59	0.3997	76.92	22.14	1.02	8.97	GAMA	2.55073	17.9888	78.1996	0.241644	0.334715	9.8447	-9	27.129	4.465	0	47.8816	7.79879	42.1477	8.5007					231.5	29.9167			171	6.41666	-172.385	18.1607	0.216198	2765.89	0.135342	0.0758555														True	False	True	True	True	True	True	True	True	True	False	53.1086
289112	289112_A	GAMA	2.13473	12000	0	0	0	0	0	0	0	0	0	181.076	1.69993	0.02268	16.651	-18.47	3.64	0.3337	120.95	21.01	1.06	9.46	GAMA	2.85983	16.703	122.67	0.304758	0.339417	6.0014	-9	27.715	4.3893	0	58.3372	2.18194	57.1236	2.13704	0.431996	0.0227805	0.52349	0.0290628	303	2.91667	0	0.0956032	46	0.166667	-235.423	8.33532	2.09568	123.306	0.311962	0.087648														True	True	True	True	True	True	True	True	True	True	False	48.2179
289113	289113_A	GAMA	3.32199	19800	0	0	0	0	0	0	0	0	0	181.079	1.84839	0.02387	14.415	-20.89	6.51	0.4397	166.35	19.83	1.18	10.52	GAMA	4.60404	14.3812	161.246	0.171379	0.368562	24.3228	1	12.741	10.6558	1	123.385	0.642291	121.203	0.682654	0.36331	0.0034435	0.413235	0.00412166	339	0.583333	0	0.0453283	323.5	1.5	-33.7367	3.23657	168.268	2.82882	19.6459	0.457543														True	True	True	True	True	True	True	True	True	True	False	55.9235
