CATID	cluster	RA_OBJ	DEC_OBJ	z_spec	r_petro	M_r	r_e	ellip	PA	mu_within_1re	g_i	Mstar	R_on_rtwo	V_on_sigma	is_mem	SURV_SAMI	BAD_CLASS	sep_deg	R_proj_Mpc_from_cat	R_proj_Mpc_direct	R_on_R200_recomputed	v_pec_kms	host_RAdeg	host_DEdeg	host_z_clus	host_sigma_200	host_e_sigma_200	host_N_mem_R200	host_N_mem_2R200	host_R_200	host_M_200_caustic	host_e_M_200_caustic	host_M_200_virial	host_e_M_200_virial
9403800380	Abell 4038	357.317	-28.0043	0.0292043	17.1406	-18.4573	2.55612	0.601688	167.491	20.1836	1.12664	9.50316	0.524933	-0.0709054	1	7	0	0.361475	0.766402	0.764036	0.523312	-42.3305	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403800958	Abell 4038	357.721	-28.0582	0.0278864	16.3668	-19.2759	6.60257	0.6567	11.7508	21.1679	1.26859	9.95108	1.01034	-0.71419	1	2	0	0.695737	1.4751	1.47055	1.00723	-426.372	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403801189	Abell 4038	357.762	-27.7975	0.0293295	15.8894	-19.8575	6.51089	0.325909	15.1985	21.2886	1.10029	10.0347	1.16851	-0.00986125	1	2	0	0.804659	1.70603	1.70078	1.16492	-5.88717	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403801577	Abell 4038	356.654	-29.0703	0.0348111	13.4951	-22.1257	10.9657	0.259832	172.741	20.0675	1.28829	11.0999	1.39776	2.65654	0	2	0	0.96253	2.04074	2.03446	1.39347	1585.96	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403802503	Abell 4038	357.132	-26.8461	0.0335266	13.8937	-21.7081	7.57668	0.514863	75.6028	19.2931	1.29818	10.9509	1.89654	2.03301	0	2	0	1.30599	2.76894	2.76043	1.8907	1213.71	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9011901760	Abell 119	13.9747	-2.19505	0.0441139	15.6597	-20.8551	4.70326	0.282891	72.7819	20.5739	1.12349	10.43	1.4527	-0.0281599	1	2	0	0.944211	2.96351	2.95752	1.44976	-23.6543	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9016800047	Abell 168	18.7729	0.322204	0.0418712	15.3203	-21.2879	3.70689	0.522491	255.286	19.2785	1.19492	10.6619	0.280687	-1.60096	1	7	0	0.116875	0.370507	0.371572	0.281494	-874.125	18.8158	0.213486	0.0449	546	29	192	276	1.32	1.9	1.1	3	0.4
9016800245	Abell 168	18.4811	0.411948	0.046385	16.1582	-20.4053	5.53333	0.143491	109.125	21.8296	0.816882	9.9928	0.934474	0.771045	1	8	0	0.389103	1.23351	1.23705	0.937156	420.991	18.8158	0.213486	0.0449	546	29	192	276	1.32	1.9	1.1	3	0.4
9016800577	Abell 168	18.7388	-0.0448268	0.0479649	17.1671	-19.3683	3.56412	0.529618	170.777	21.111	0.807148	9.57524	0.647336	1.59891	1	8	0	0.269542	0.854483	0.856934	0.649192	873.003	18.8158	0.213486	0.0449	546	29	192	276	1.32	1.9	1.1	3	0.4
9239900021	Abell 2399	329.339	-7.81302	0.0587209	15.3205	-21.7667	5.8803	0.185427	274.335	20.8452	1.23299	10.8635	0.0908571	0.311812	1	7	0	0.0373465	0.150823	0.151015	0.0909729	215.15	329.373	-7.79569	0.058	690	32	254	343	1.66	4.7	1.5	6.1	0.8
9239900054	Abell 2399	329.471	-7.7386	0.0550118	15.2413	-21.8452	4.26262	0.0737103	189.539	20.338	1.25776	10.9219	0.274508	-1.21333	1	7	0	0.112887	0.455683	0.456471	0.274983	-837.195	329.373	-7.79569	0.058	690	32	254	343	1.66	4.7	1.5	6.1	0.8
9239900105	Abell 2399	329.32	-7.91403	0.0579663	15.4572	-21.6653	4.34686	0.450393	131.55	20.0075	1.28852	10.8678	0.314338	0.00196174	1	7	0	0.129246	0.521802	0.522623	0.314833	1.3536	329.373	-7.79569	0.058	690	32	254	343	1.66	4.7	1.5	6.1	0.8
9239900127	Abell 2399	329.249	-7.85757	0.0652108	16.6892	-20.4739	3.83384	0.400871	225.318	20.806	1.22401	10.3223	0.332843	2.96755	0	7	0	0.136848	0.55252	0.553362	0.333351	2047.61	329.373	-7.79569	0.058	690	32	254	343	1.66	4.7	1.5	6.1	0.8
