CATID	TYPE
296725	2.5
296742	3.0
296798	2.5
296829	1.5
296847	3.0
296848	3.0
296927	1.0
296934	2.5
297053	1.5
297557	3.0
297633	2.5
297667	2.5
297694	3.0
297705	3.0
298042	3.0
298106	3.0
298114	2.5
298190	3.0
298572	2.5
298590	0.0
298591	1.5
298612	3.0
298665	3.0
298666	2.5
298738	3.0
298862	2.5
298888	3.0
298980	-9.0
300350	3.0
300372	-9.0
300406	0.5
300411	0.0
300477	3.0
300613	3.0
300659	0.0
300691	0.0
300787	1.0
300821	3.0
300887	3.0
301098	3.0
301191	1.5
301199	1.5
301201	1.5
301346	2.5
301381	2.5
301382	3.0
301519	0.0
301799	-9.0
301885	3.0
301893	-9.0
301937	0.5
301994	1.0
302006	3.0
302657	3.0
302684	1.0
302810	2.5
302846	3.0
302973	3.0
302994	3.0
303099	2.0
318936	3.0
319018	3.0
319020	3.0
319049	2.5
319057	3.0
319059	1.0
319060	1.0
319064	2.5
319067	1.0
319070	0.5
319139	3.0
319150	3.0
319157	1.5
319196	0.5
319197	1.5
319231	0.0
319243	3.0
319272	3.0
319290	3.0
319293	0.5
319299	1.5
319381	3.0
319385	1.5
319393	3.0
319395	0.5
319397	2.0
319400	2.0
319402	1.0
319452	1.0
319453	2.0
319499	3.0
320068	3.0
320124	3.0
320254	3.0
320281	3.0
321022	3.0
321035	1.0
321059	1.0
321146	0.5
321207	3.0
322910	3.0
323133	3.0
323194	3.0
323224	3.0
323242	-9.0
323329	2.0
323504	2.0
323505	2.5
323507	3.0
323541	1.0
323558	1.5
323566	0.0
323575	3.0
323577	3.0
323593	0.5
323854	1.5
323855	2.5
323874	3.0
323888	3.0
324157	-9.0
324179	3.0
324323	3.0
324351	1.5
324753	3.0
324799	3.0
324865	3.0
324963	2.0
325001	3.0
325007	2.0
325321	1.0
325376	3.0
325378	2.0
325390	3.0
325441	5.0
325467	0.5
325533	2.5
325536	2.5
345646	3.0
345682	3.0
345754	1.5
345758	0.0
345767	0.5
345820	1.5
345845	0.0
345848	0.0
346046	1.0
346257	3.0
346440	3.0
346475	3.0
346504	1.5
346623	0.5
346680	3.0
346718	3.0
346752	2.0
346793	3.0
346837	0.0
346839	1.0
346842	3.0
346861	3.0
346887	0.5
346890	1.0
346892	2.0
346894	1.5
347263	3.0
347432	1.0
347470	2.0
347471	0.5
347522	3.0
347570	3.0
347571	2.5
347769	2.5
348048	2.0
348115	1.0
348116	2.0
348118	2.0
365316	3.0
365334	2.0
370997	0.5
371037	3.0
371145	1.5
371170	2.0
371171	0.0
371172	0.0
371227	-9.0
371633	2.0
371714	1.5
371750	3.0
371789	2.0
371882	0.5
371889	1.5
371943	1.5
371959	3.0
371976	1.0
372074	3.0
372105	1.5
372123	0.0
372129	3.0
372133	0.5
372320	3.0
372374	3.0
372384	-9.0
372408	1.0
372446	-9.0
372452	0.5
372541	3.0
372568	2.5
372599	2.5
373105	1.5
373163	0.0
373168	0.0
373173	1.0
373202	3.0
373237	0.0
373248	3.0
373284	2.0
375376	3.0
375402	3.0
375531	3.0
375560	0.5
375564	1.0
375610	3.0
375615	0.5
375751	2.0
375904	3.0
376001	-9.0
376033	0.0
376097	1.0
376121	2.0
376136	3.0
376161	3.0
376163	3.0
376165	3.0
376184	3.0
376185	3.0
376282	3.0
376293	2.0
376340	3.0
376379	3.0
376478	3.0
376587	2.5
376679	2.0
376703	0.0
376802	2.0
376990	2.5
377348	3.0
377562	1.5
377597	2.5
377666	1.5
377710	0.5
377892	3.0
377962	3.0
378060	3.0
378104	1.0
378142	3.0
380578	0.0
380682	3.0
380697	1.0
380734	0.0
381156	1.5
381157	1.0
381159	2.5
381160	1.0
381206	0.0
381207	1.0
381215	3.0
381219	0.5
381221	1.0
381225	3.0
381229	0.0
381502	3.0
381802	3.0
381979	1.0
382152	2.5
382154	0.0
382158	1.0
382505	0.0
382538	1.0
382563	0.5
382631	2.5
382659	1.0
382731	2.5
382764	3.0
383033	3.0
383130	3.0
383147	1.0
383259	2.0
383283	2.5
383318	3.0
386264	3.0
386268	1.0
386285	2.0
386286	3.0
386316	1.5
386366	2.0
386402	2.0
386431	3.0
386673	0.5
386720	2.0
386722	0.5
386892	1.5
386898	2.5
387041	3.0
387042	1.0
387080	1.5
387553	0.5
387675	1.5
387687	3.0
387690	3.0
387715	1.0
387719	3.0
388146	1.0
388200	2.5
388390	3.0
388424	2.0
388451	3.0
388476	2.0
388479	3.0
388513	0.5
388552	1.0
388558	1.0
388603	3.0
396584	2.0
396607	2.0
396615	1.5
396621	1.5
396709	2.5
396781	1.5
396833	2.0
397449	3.0
402934	3.0
402988	-9.0
417392	3.0
417424	3.0
417433	2.0
417440	0.0
417441	2.0
417453	2.0
417471	-9.0
417486	0.5
417568	3.0
47493	3.0
47500	3.0
47535	3.0
47652	3.0
47674	1.0
48016	2.5
48049	1.5
48432	2.0
48470	0.0
48506	2.5
48548	0.5
48681	1.0
48740	3.0
48969	3.0
49204	3.0
49670	3.0
49677	3.0
49702	2.5
49728	3.0
49730	3.0
49734	1.0
49753	3.0
49755	3.0
49784	1.0
49840	3.0
49857	3.0
53770	3.0
53771	3.0
53809	3.0
53977	3.0
54102	3.0
54198	2.0
54202	0.0
54270	0.0
54359	2.5
54375	2.5
54382	3.0
54455	3.0
54500	0.5
54848	3.0
54850	1.5
54895	3.0
54918	0.0
54921	0.0
54938	3.0
54957	2.0
55124	3.0
55143	0.0
55150	3.0
55160	3.0
55227	3.0
55245	2.5
55287	3.0
55346	3.0
55367	3.0
55372	3.0
55537	2.5
55648	3.0
55684	3.0
55905	3.0
56055	-9.0
56061	3.0
56064	2.0
56140	1.0
56181	0.0
56183	3.0
62145	3.0
62239	0.0
62244	0.0
62412	3.0
62435	3.0
62593	3.0
62718	3.0
63027	1.5
63210	1.5
63276	2.0
63302	2.5
63305	1.5
63389	2.5
63777	2.5
63779	2.5
63780	1.5
63855	3.0
63997	2.0
64087	2.5
64553	3.0
64646	1.5
64758	3.0
65237	3.0
65278	3.0
65355	3.0
65359	3.0
65384	2.0
65395	2.5
65406	2.0
65408	0.0
65410	0.5
69462	3.0
69513	3.0
69535	3.0
69620	3.0
69653	3.0
69740	-9.0
69752	2.0
69822	2.0
69844	3.0
69864	3.0
69986	2.0
70022	0.5
70107	3.0
70114	0.0
70403	2.0
70532	1.5
70640	0.5
70670	0.0
70719	2.5
70777	3.0
70802	0.0
70808	0.0
70929	2.5
71099	3.0
71117	3.0
71146	3.0
71178	0.5
71269	3.0
71352	0.0
71382	3.0
77226	1.5
77227	2.0
77373	3.0
77445	3.0
77446	2.0
77452	3.0
77710	1.5
77754	2.0
77845	3.0
77967	3.0
78355	1.5
78406	3.0
78425	2.5
78523	2.5
78530	0.5
78531	2.0
78634	1.0
78667	3.0
78791	3.0
78827	1.5
78921	3.0
79098	3.0
79329	3.0
79335	3.0
79444	2.5
79529	3.0
79601	3.0
79635	2.5
79670	3.0
79689	-9.0
79690	3.0
79693	1.5
79706	0.0
79710	3.0
79711	1.0
79712	3.0
79733	0.5
79734	3.0
79750	0.0
79771	3.0
79810	0.0
79850	-9.0
79866	0.0
84048	3.0
84073	1.5
84106	0.5
84107	2.5
84209	0.0
84677	2.0
84680	1.0
84734	0.5
84900	2.0
85205	0.0
85239	1.5
85280	2.0
85416	2.0
85418	2.0
85423	3.0
85464	3.0
85474	3.0
85479	2.5
85481	3.0
85505	2.0
85507	3.0
85559	0.0
85667	0.0
85707	1.5
85919	3.0
86115	3.0
86116	3.0
91510	3.0
91545	0.0
91568	0.5
91579	3.0
91589	2.0
91627	2.5
91686	1.0
91689	0.0
91691	0.5
91692	2.5
91697	0.5
91924	2.0
91926	1.5
91959	1.5
91961	0.5
91963	0.0
91988	0.5
91989	0.0
91996	1.5
91999	-9.0
92592	1.0
92676	3.0
92739	1.5
92770	-9.0
92773	0.0
92818	3.0
92944	3.0
93020	1.5
93023	2.0
93062	2.0
93167	3.0
93259	3.0
93354	2.5
93384	3.0
93604	3.0
93674	2.5
93803	0.0
93807	0.0
93832	3.0
93885	3.0
97915	0.5
98097	1.0
98143	3.0
98652	3.0
98880	0.0
99259	3.0
99326	3.0
99349	2.0
99393	2.0
99410	3.0
99428	0.0
99430	3.0
99464	3.0
99511	3.0
99513	3.0
99687	1.5
99742	1.5
99795	3.0
100162	3.0
100175	3.0
100192	3.0
105420	2.0
105447	1.5
105519	1.0
105573	3.0
105597	2.0
105600	3.0
105738	1.0
105962	3.0
106016	1.0
106042	3.0
106047	1.5
106049	3.0
106065	3.0
106331	3.0
106343	3.0
106376	3.0
106389	2.0
106507	3.0
106549	0.5
106616	3.0
106634	2.5
106638	2.0
106717	3.0
106810	1.5
106839	1.0
106908	2.5
107135	1.0
107137	0.5
107214	3.0
107259	3.0
107395	3.0
107454	-9.0
107503	2.5
107509	2.0
107528	0.0
107594	3.0
107799	3.0
107824	2.0
107826	-9.0
136232	1.5
136238	0.5
136240	3.0
136263	2.0
136308	1.5
136594	3.0
136602	0.0
136605	0.0
136616	1.0
136624	1.0
136626	3.0
136672	3.0
136688	2.0
136799	-9.0
136841	1.0
136842	0.0
136847	1.5
136856	-9.0
136866	2.5
136871	0.5
136880	1.5
136881	1.5
136894	3.0
136917	3.0
136918	3.0
136966	3.0
136980	3.0
137037	0.5
137071	3.0
137155	3.0
137328	1.5
137350	3.0
137455	3.0
137789	3.0
137809	2.0
137838	0.0
137841	1.0
137847	3.0
138047	3.0
138065	3.0
138066	3.0
138094	3.0
138132	3.0
138161	3.0
138291	-9.0
138381	3.0
139123	1.5
143148	3.0
143227	1.5
143287	1.0
143291	0.0
143388	3.0
143446	3.0
143499	3.0
143547	0.5
143605	2.5
143735	0.5
143736	1.5
143746	1.5
143750	3.0
143814	3.0
143918	1.0
144051	2.0
144073	3.0
144127	3.0
144176	3.0
144178	3.0
144197	3.0
144236	3.0
144239	3.0
144243	3.0
144320	-9.0
144327	2.0
417580	0.5
417678	2.5
418047	3.0
418086	1.5
418624	2.5
418630	1.0
418693	1.5
418725	2.0
418737	-9.0
418795	3.0
418831	3.0
418971	3.0
419205	3.0
419294	1.0
419299	3.0
419334	3.0
419335	1.0
419345	1.0
419549	2.5
419632	3.0
422286	2.0
422289	2.5
422291	0.0
422292	1.0
422320	3.0
422355	3.0
422359	1.5
422366	3.0
422389	0.0
422406	0.0
422411	-9.0
422436	1.5
422443	1.5
422446	1.5
422464	3.0
422486	3.0
422501	3.0
422610	3.0
422619	3.0
422639	3.0
422649	2.0
422683	3.0
422721	3.0
422761	2.0
422888	3.0
422907	-9.0
422921	3.0
422933	2.0
423267	1.0
423270	2.0
423416	3.0
423784	1.5
457505	3.0
457615	1.5
460374	2.0
460378	2.0
460380	2.0
460424	3.0
460756	2.0
460767	1.5
463119	2.5
463148	0.5
463264	2.0
463288	3.0
463317	3.0
463367	3.0
463434	2.5
463641	3.0
463643	3.0
463660	3.0
463668	2.0
484976	1.5
485046	3.0
485047	1.5
485127	2.0
485504	1.5
485529	3.0
485646	3.0
485688	2.5
485690	2.5
485823	3.0
485833	2.0
485834	2.5
485882	2.0
485883	0.5
485885	3.0
485919	2.0
485921	0.0
485922	2.5
485924	2.0
486092	3.0
486213	3.0
486275	2.0
486276	2.0
486782	3.0
486834	2.5
486872	2.0
486957	2.0
487010	3.0
487019	2.5
487027	3.0
487060	1.5
487175	3.0
491457	1.0
491460	3.0
491475	3.0
491508	1.0
491509	2.0
491552	3.0
491608	3.0
491743	3.0
491887	2.0
491956	3.0
491960	2.0
492384	2.0
492411	0.0
492414	3.0
492486	0.0
492690	0.5
492883	1.5
492941	0.0
492957	3.0
493028	0.5
493621	2.5
493702	5.0
493811	3.0
493812	3.0
493825	3.0
493832	2.5
493838	1.0
496966	3.0
496978	3.0
497035	0.5
504713	2.5
504730	1.0
504877	1.0
504879	0.5
504882	2.5
504922	-9.0
505316	2.0
505341	1.0
505765	0.0
505788	2.0
505817	3.0
505828	2.0
505979	2.5
506038	3.0
506070	3.0
506119	0.0
507721	0.0
508132	1.0
508138	1.5
508144	1.5
508180	0.5
508184	1.5
508268	0.5
508312	1.5
508315	1.5
508351	2.0
508352	2.5
508412	3.0
508414	3.0
508416	3.0
508421	2.0
508480	3.0
508481	3.0
508568	1.5
508593	0.5
508632	0.5
508680	3.0
508682	3.0
508751	0.5
508906	-9.0
508908	2.0
508938	3.0
509012	2.5
509075	0.0
509080	1.0
509397	2.0
509444	3.0
509516	3.0
509557	3.0
509576	3.0
509670	3.0
509726	3.0
144335	1.0
144338	3.0
144402	2.5
144465	5.0
144480	3.0
144491	3.0
144497	-9.0
144498	1.0
144640	1.0
144682	5.0
144690	1.5
144846	3.0
145073	3.0
145267	-9.0
145462	3.0
145583	3.0
145729	1.5
176868	-9.0
176934	3.0
176955	2.5
176969	3.0
176991	3.0
177010	1.5
177046	3.0
177081	3.0
177100	1.5
177143	2.0
177232	1.0
177297	-9.0
177303	2.0
177326	3.0
177354	3.0
177481	3.0
177518	3.0
177969	0.0
178149	3.0
178190	1.0
178197	2.0
178210	3.0
178290	3.0
178300	3.0
178481	3.0
178578	3.0
178580	3.0
178585	3.0
178865	3.0
179566	3.0
179584	2.5
179588	2.0
179665	3.0
183932	3.0
184042	0.0
184046	0.0
184122	2.0
184202	1.0
184230	3.0
184234	3.0
184237	3.0
184268	2.0
184281	3.0
184283	3.0
184354	3.0
184366	1.5
184368	2.0
184370	3.0
184415	3.0
184648	0.0
184689	1.5
184718	3.0
184834	3.0
185085	1.0
185190	3.0
185224	1.0
185252	3.0
185282	2.0
185291	3.0
185298	3.0
185365	0.5
185376	3.0
185510	3.0
185532	3.0
185557	3.0
185567	0.5
185569	3.0
185622	3.0
185795	3.0
185863	3.0
185914	0.5
186012	0.0
186380	3.0
186406	3.0
186467	-9.0
186470	1.0
186573	1.5
186717	3.0
186742	3.0
186803	2.5
186833	3.0
186861	3.0
197419	3.0
197555	2.0
197843	3.0
197866	2.0
198343	1.0
198503	3.0
198591	3.0
198631	1.0
198771	3.0
198817	2.0
202309	3.0
202354	3.0
202360	2.0
202373	3.0
202398	2.0
202399	1.0
202443	2.0
202464	1.5
202480	0.5
202531	2.5
202636	3.0
202673	2.5
202745	1.5
203037	3.0
203114	2.0
203140	1.0
203148	3.0
203609	3.0
203684	3.0
203729	2.5
203833	0.0
203998	3.0
204093	1.0
204096	3.0
204490	2.0
204799	2.0
204832	0.0
204836	-9.0
204868	5.0
204876	3.0
204877	0.0
204906	2.0
204983	1.0
205020	1.5
205085	0.0
205086	0.0
205089	1.0
205097	2.0
205151	2.5
205161	1.0
205166	1.5
205168	1.0
205208	1.0
205211	0.5
208520	3.0
208589	2.0
208612	3.0
208652	0.0
208781	3.0
208876	1.0
208892	3.0
209181	3.0
209185	0.5
209279	3.0
209319	3.0
209414	3.0
209664	3.0
209680	0.0
209697	2.0
209698	2.0
209701	2.0
209708	3.0
209743	3.0
209807	2.0
210060	3.0
210070	-9.0
210228	1.5
210375	1.0
210467	0.0
210567	3.0
210611	2.0
210660	2.0
210781	3.0
210808	3.0
210909	3.0
214182	3.0
509727	3.0
509852	3.0
509892	3.0
511456	2.5
511789	3.0
511863	2.5
511864	-9.0
511867	2.5
511890	1.5
511892	1.0
511921	3.0
511923	-9.0
512170	2.0
512197	1.5
512204	2.0
512254	3.0
512312	1.0
512524	3.0
513001	3.0
513066	3.0
513108	3.0
513236	3.0
513267	3.0
514022	1.5
514029	2.5
514212	3.0
514214	0.0
514218	1.0
514260	3.0
516973	2.0
517046	3.0
517070	3.0
517130	3.0
517164	2.0
517167	3.0
517205	0.0
517211	1.0
517212	1.0
517244	1.5
517247	2.5
517249	3.0
517256	3.0
517273	3.0
517278	0.5
517279	0.0
517295	-9.0
517302	1.5
517306	3.0
517307	3.0
517310	3.0
517334	-9.0
517465	1.0
517594	3.0
517802	3.0
517868	3.0
517960	3.0
518026	3.0
518041	2.0
518755	2.0
518782	2.0
518829	0.5
518870	3.0
519089	3.0
519141	0.5
521719	3.0
521736	2.5
521753	3.0
521768	2.5
521794	1.0
521823	0.0
521894	3.0
521898	3.0
521991	2.5
521997	2.0
522033	1.0
522127	3.0
522166	3.0
527984	2.0
534654	2.5
534655	0.5
534710	2.5
534753	2.5
534759	3.0
534760	0.0
534763	1.0
534793	5.0
534885	3.0
534904	1.0
535007	3.0
535135	1.5
535157	3.0
535283	3.0
535387	2.0
535417	3.0
535429	2.0
535974	3.0
536087	3.0
536173	3.0
536201	3.0
536235	0.5
214184	1.5
214211	0.5
214245	3.0
214250	0.0
214295	1.5
214363	1.0
214462	3.0
214860	3.0
214895	1.0
215053	2.0
215289	0.0
215292	3.0
215335	2.0
215579	2.0
215698	3.0
216111	2.0
216143	3.0
216149	1.0
216155	2.5
216184	0.0
216396	1.0
216401	-9.0
216532	3.0
216670	2.0
216843	3.0
218681	3.0
218713	1.5
218717	3.0
219992	1.0
220112	0.0
220126	3.0
220170	3.0
220217	2.5
220218	0.0
220227	-9.0
220275	3.0
220319	3.0
220320	3.0
220326	2.0
220328	1.0
220330	2.5
220332	2.5
220355	3.0
220371	3.0
220372	3.0
220374	2.5
220375	3.0
220383	3.0
220394	1.0
220396	1.5
220437	0.0
220439	3.0
220450	3.0
220465	0.5
220499	1.0
220502	1.0
220515	3.0
220578	3.0
220687	3.0
220750	3.0
220751	3.0
220951	3.0
221014	1.5
221050	3.0
221052	1.5
221194	3.0
221369	3.0
221375	3.0
221432	3.0
227036	3.0
227079	3.0
227123	2.0
227134	3.0
227168	3.0
227176	3.0
227223	3.0
227230	3.0
227264	1.5
227266	0.0
227278	1.0
227289	3.0
227290	5.0
227317	3.0
227351	2.5
227371	3.0
227407	3.0
227428	2.5
227572	3.0
227607	2.0
227611	1.0
227614	2.0
227617	0.0
227618	2.5
227673	3.0
227905	1.0
227961	2.5
227970	3.0
228066	1.5
228086	3.0
228104	-9.0
228105	2.0
228278	3.0
228349	2.5
228428	3.0
228432	3.0
228433	3.0
228564	2.0
228570	2.0
228575	-9.0
228608	2.5
228708	0.0
228740	2.0
228767	-9.0
229097	3.0
229163	2.0
229164	0.5
229167	2.5
229220	-9.0
229263	3.0
229335	3.0
229369	3.0
229461	3.0
230174	3.0
230421	1.0
230455	0.5
230556	0.0
230560	3.0
230567	1.0
230634	2.0
230683	0.0
230714	2.5
230719	3.0
230774	3.0
230776	0.0
230777	-9.0
230786	0.0
230787	0.0
230789	0.5
230793	1.0
230796	-9.0
230797	0.0
230813	3.0
536332	2.5
536363	3.0
536454	0.0
536463	1.0
536625	2.5
536626	3.0
536784	3.0
536963	0.5
536994	1.0
537084	1.0
537163	3.0
537171	3.0
537187	3.0
537226	2.0
537240	3.0
537317	2.5
537361	2.0
537365	1.0
537367	5.0
537386	3.0
537399	3.0
537417	3.0
537426	2.0
537467	1.0
537476	3.0
543489	0.0
543491	3.0
543494	3.0
543498	2.0
543499	1.5
543501	1.0
543531	0.5
543536	-9.0
543537	0.0
543552	1.5
543553	0.5
543554	1.5
543738	3.0
543752	3.0
543763	3.0
543769	3.0
543797	2.0
543812	3.0
543859	1.5
543860	3.0
543895	2.5
543998	2.0
544084	3.0
544749	1.0
544812	3.0
544853	3.0
544958	2.5
545157	3.0
545306	3.0
545411	3.0
545903	1.0
545925	3.0
545986	3.0
546043	3.0
546073	3.0
548739	3.0
548835	0.5
548872	1.5
548914	2.0
548946	2.0
548947	2.5
549070	0.5
549180	2.5
549182	3.0
549216	3.0
549296	0.0
549313	-9.0
550328	2.0
550330	3.0
550353	3.0
550431	3.0
550582	2.5
550677	3.0
550780	2.0
550781	1.0
550844	2.5
551192	3.0
551202	3.0
551332	2.5
551350	3.0
551368	5.0
551488	2.0
551505	0.5
551507	2.0
551619	0.0
551655	2.0
551656	2.0
551672	3.0
558861	3.0
558887	3.0
559061	3.0
559250	0.5
559292	3.0
559300	3.0
559477	3.0
559490	0.0
559495	3.0
559574	3.0
559584	3.0
559609	3.0
560206	1.5
560208	3.0
560238	1.5
560333	3.0
560341	1.0
560405	3.0
560407	2.5
560718	3.0
560779	3.0
560883	1.5
560946	3.0
560982	0.5
561020	2.0
561143	3.0
561488	1.5
561856	2.0
561891	3.0
567445	1.5
567545	2.0
567586	3.0
567598	2.0
567624	3.0
567676	3.0
567678	2.0
567682	3.0
567736	3.0
567750	3.0
567760	3.0
567876	3.0
567983	3.0
568549	2.0
568817	-9.0
569433	3.0
569466	2.0
569555	1.5
570033	3.0
570090	2.5
570110	3.0
570114	3.0
570119	3.0
570174	3.0
570197	2.5
570203	0.5
570206	1.5
570207	1.0
570214	-9.0
570227	2.0
570233	3.0
570240	1.0
570364	3.0
572402	2.5
573586	2.5
573617	1.5
573620	3.0
573621	2.0
573625	2.0
573736	3.0
573756	3.0
573776	2.5
573872	3.0
573915	2.5
574008	3.0
574029	3.0
574193	3.0
574200	3.0
574285	2.0
574313	3.0
574423	0.5
574572	3.0
574617	2.0
574692	3.0
574934	3.0
575097	3.0
575339	0.0
575532	2.0
575579	3.0
575623	3.0
575625	2.0
575670	2.5
583427	2.0
583443	3.0
583479	3.0
583508	3.0
583551	3.0
583637	2.0
583716	3.0
583723	0.0
583744	3.0
584013	2.0
584682	1.0
584731	3.0
585035	3.0
585121	3.0
585196	0.5
585215	0.0
585226	3.0
585231	3.0
585314	3.0
585359	2.5
585386	2.0
585420	3.0
585422	3.0
585561	-9.0
585659	3.0
585694	3.0
585755	2.0
586326	3.0
586330	1.0
586494	3.0
592216	2.5
592294	1.0
592401	3.0
592419	1.0
592421	2.0
592466	3.0
592542	3.0
592835	3.0
592858	1.5
592863	3.0
592999	2.5
593117	2.5
593526	3.0
593642	1.5
593645	3.0
593680	3.0
593682	3.0
593813	1.0
594049	0.0
594053	1.5
594059	3.0
594265	3.0
594313	2.0
594364	3.0
594674	3.0
594723	3.0
594731	3.0
594785	3.0
594834	2.0
594906	3.0
594918	3.0
594946	0.5
594964	3.0
594967	3.0
594970	3.0
594986	3.0
594990	1.5
594992	5.0
595027	3.0
595060	2.0
595088	3.0
598911	3.0
598968	3.0
598999	2.0
599095	3.0
599134	3.0
599310	2.0
599329	3.0
599582	2.5
599689	0.5
599761	2.0
599834	0.0
599838	0.0
599839	3.0
599846	2.5
599862	3.0
599873	3.0
599877	2.0
600014	3.0
600026	2.5
600030	2.0
600312	3.0
600417	2.0
600595	-9.0
600743	0.5
600882	0.5
600915	1.0
600916	2.5
600929	1.0
600973	0.5
600974	3.0
600977	2.0
601013	1.0
601018	1.5
601095	0.5
601102	1.5
601105	1.5
601157	3.0
601210	1.0
601255	2.0
601283	0.0
601323	2.0
601395	-9.0
609307	2.5
609330	1.0
609358	1.5
609396	2.5
609433	3.0
609571	3.0
609598	3.0
609912	2.0
609948	1.5
610054	2.5
610396	1.5
610398	3.0
610404	1.0
610474	2.0
610545	2.0
610700	3.0
610816	3.0
610846	2.0
610893	3.0
610997	3.0
611002	3.0
611051	3.0
611094	3.0
611220	2.0
611223	3.0
611629	2.5
611647	3.0
617655	3.0
617665	-9.0
617945	3.0
617989	1.5
618071	3.0
618100	1.0
618108	2.0
618116	2.0
618142	1.0
618143	1.5
618144	1.0
618151	0.0
618152	3.0
618220	2.0
618904	1.5
618906	1.5
618912	0.5
618929	0.0
618930	0.5
618931	0.0
618935	3.0
618937	0.5
618938	1.0
618941	1.0
618942	0.0
618947	0.5
618952	1.5
618976	1.0
618988	1.0
618992	2.0
618993	2.0
619046	3.0
619094	3.0
619095	2.5
619097	2.0
619098	3.0
619104	3.0
619105	3.0
619220	3.0
619224	3.0
619258	0.0
619553	3.0
619737	3.0
619989	2.5
619995	3.0
620034	2.5
620087	3.0
620091	-9.0
620092	2.5
620098	2.5
621988	2.0
622084	3.0
622228	2.0
622305	2.0
622333	3.0
622350	0.0
622394	3.0
622429	1.5
622434	2.0
622534	3.0
622588	3.0
622596	2.0
622694	2.0
622744	3.0
622770	1.5
622787	1.0
622858	3.0
622982	3.0
623017	0.5
623043	1.0
623143	1.5
623144	2.0
623161	2.0
623272	2.0
623366	2.5
623432	2.0
623620	3.0
623641	3.0
623679	2.5
623712	3.0
623722	3.0
623726	3.0
663440	0.5
695871	3.0
718921	2.5
751043	3.0
760733	3.0
3622327	3.0
3623223	3.0
3628218	0.5
3628809	3.0
3630097	2.0
3630239	3.0
3630943	1.5
3631885	1.5
3631902	2.0
3632384	3.0
3634556	0.0
3894635	2.0
3895257	2.5
3895503	-9.0
3895823	2.5
3896912	3.0
3897281	1.5
3913888	1.0
9008500001	0.0
9008500002	0.0
9008500004	1.5
9008500007	0.0
9008500018	0.5
9008500020	0.0
9008500022	0.5
9008500024	0.5
9008500034	1.0
9008500042	0.0
9008500043	3.0
9008500059	0.0
9008500062	2.0
9008500064	0.0
