Cluster	bin_kpc	R_inner_kpc	R_outer_kpc	Age_Gyr	FeH
MACSJ0717.5+3745	64.2 - 93.9	64.2	93.9	1.8 +/- 0.7	-0.27 +/- 0.25
MACSJ1149.5+2223	64.2 - 93.9	64.2	93.9	2.3 +/- 0.4	0.07 +/- 0.04
Abell S1063	64.2 - 93.9	64.2	93.9	1.8 +/- 0.1	-0.12 +/- 0.07
Abell 370	64.2 - 93.9	64.2	93.9	1.7 +/- 0.6	-0.38 +/- 0.17
Abell 2744	93.9 - 137	93.9	137.0	3.6 +/- 0.8	-0.21 +/- 0.09
MACSJ0717.5+3745	93.9 - 137	93.9	137.0	2.1 +/- 0.7	-0.77 +/- 0.41
MACSJ1149.5+2223	93.9 - 137	93.9	137.0	1.6 +/- 0.4	0.07 +/- 0.04
Abell S1063	93.9 - 137	93.9	137.0	1.6 +/- 0.4	-0.48 +/- 0.10
Abell 370	93.9 - 137	93.9	137.0	1.2 +/- 0.1	-0.50 +/- 0.25
Abell 2744	137 - 200	137.0	200.0	3.6 +/- 0.9	-0.29 +/- 0.10
