Cluster	log_r_kpc	F110W_minus_F160W_mag	source_table_env
SG1120-2	0.982	0.459+/-0.016	tabular_color_table.tex
SG1120-2	1.138	0.436+/-0.021	tabular_color_table.tex
SG1120-2	1.292	0.414+/-0.029	tabular_color_table.tex
SG1120-2	1.435	0.416+/-0.038	tabular_color_table.tex
SG1120-2	1.586	0.414+/-0.055	tabular_color_table.tex
SG1120-2	1.729	0.377+/-0.086	tabular_color_table.tex
SG1120-1	0.536	0.417+/-0.009	tabular_color_table.tex
SG1120-1	0.688	0.405+/-0.011	tabular_color_table.tex
SG1120-1	0.838	0.408+/-0.015	tabular_color_table.tex
SG1120-1	0.984	0.406+/-0.019	tabular_color_table.tex
SG1120-1	1.135	0.364+/-0.025	tabular_color_table.tex
SG1120-1	1.283	0.338+/-0.033	tabular_color_table.tex
SG1120-1	1.431	0.356+/-0.044	tabular_color_table.tex
SG1120-1	1.586	0.321+/-0.066	tabular_color_table.tex
SG1120-3	0.538	0.455+/-0.005	tabular_color_table.tex
SG1120-3	0.688	0.454+/-0.007	tabular_color_table.tex
SG1120-3	0.834	0.435+/-0.009	tabular_color_table.tex
SG1120-3	0.989	0.439+/-0.011	tabular_color_table.tex
SG1120-3	1.138	0.422+/-0.015	tabular_color_table.tex
SG1120-3	1.285	0.395+/-0.020	tabular_color_table.tex
SG1120-3	1.436	0.399+/-0.028	tabular_color_table.tex
SG1120-3	1.581	0.370+/-0.041	tabular_color_table.tex
SG1120-3	1.730	0.352+/-0.063	tabular_color_table.tex
SG1120-3	1.866	0.339+/-0.095	tabular_color_table.tex
RXJ1334	0.538	0.459+/-0.009	tabular_color_table.tex
RXJ1334	0.688	0.424+/-0.011	tabular_color_table.tex
RXJ1334	0.835	0.435+/-0.014	tabular_color_table.tex
RXJ1334	0.989	0.429+/-0.018	tabular_color_table.tex
RXJ1334	1.134	0.408+/-0.024	tabular_color_table.tex
RXJ1334	1.288	0.375+/-0.032	tabular_color_table.tex
RXJ1334	1.442	0.368+/-0.045	tabular_color_table.tex
RXJ1334	1.581	0.334+/-0.073	tabular_color_table.tex
MACS1720	0.545	0.500+/-0.020	tabular_color_table.tex
MACS1720	0.709	0.485+/-0.022	tabular_color_table.tex
MACS1720	0.848	0.469+/-0.014	tabular_color_table.tex
MACS1720	0.986	0.461+/-0.005	tabular_color_table.tex
MACS1720	1.137	0.453+/-0.005	tabular_color_table.tex
MACS1720	1.290	0.431+/-0.006	tabular_color_table.tex
MACS1720	1.429	0.414+/-0.014	tabular_color_table.tex
MACS1720	1.589	0.404+/-0.014	tabular_color_table.tex
MACS1720	1.736	0.377+/-0.032	tabular_color_table.tex
MACS1720	1.884	0.345+/-0.059	tabular_color_table.tex
MACS1720	2.037	0.332+/-0.037	tabular_color_table.tex
MACS1720	2.196	0.342+/-0.063	tabular_color_table.tex
MACS0429	0.536	0.481+/-0.008	tabular_color_table.tex
MACS0429	0.692	0.498+/-0.008	tabular_color_table.tex
MACS0429	0.835	0.471+/-0.007	tabular_color_table.tex
MACS0429	0.998	0.461+/-0.006	tabular_color_table.tex
MACS0429	1.140	0.471+/-0.006	tabular_color_table.tex
MACS0429	1.289	0.467+/-0.006	tabular_color_table.tex
MACS0429	1.435	0.445+/-0.008	tabular_color_table.tex
MACS0429	1.579	0.431+/-0.019	tabular_color_table.tex
MACS0429	1.741	0.416+/-0.030	tabular_color_table.tex
MACS0429	1.880	0.405+/-0.018	tabular_color_table.tex
MACS0429	2.041	0.332+/-0.031	tabular_color_table.tex
MACS0429	2.188	0.303+/-0.064	tabular_color_table.tex
MACS0416	0.542	0.494+/-0.012	tabular_color_table.tex
MACS0416	0.689	0.492+/-0.008	tabular_color_table.tex
MACS0416	0.838	0.491+/-0.006	tabular_color_table.tex
MACS0416	0.990	0.483+/-0.007	tabular_color_table.tex
MACS0416	1.137	0.480+/-0.010	tabular_color_table.tex
MACS0416	1.286	0.452+/-0.009	tabular_color_table.tex
MACS0416	1.428	0.429+/-0.013	tabular_color_table.tex
MACS0416	1.590	0.390+/-0.008	tabular_color_table.tex
MACS0416	1.735	0.354+/-0.030	tabular_color_table.tex
MACS0416	1.878	0.364+/-0.022	tabular_color_table.tex
MACS0416	2.050	0.352+/-0.019	tabular_color_table.tex
MACS0416	2.187	0.344+/-0.026	tabular_color_table.tex
MACS1206	0.541	0.463+/-0.018	tabular_color_table_x2.tex
MACS1206	0.688	0.497+/-0.013	tabular_color_table_x2.tex
MACS1206	0.838	0.492+/-0.012	tabular_color_table_x2.tex
MACS1206	0.990	0.488+/-0.009	tabular_color_table_x2.tex
MACS1206	1.137	0.489+/-0.015	tabular_color_table_x2.tex
MACS1206	1.286	0.467+/-0.009	tabular_color_table_x2.tex
MACS1206	1.429	0.443+/-0.015	tabular_color_table_x2.tex
MACS1206	1.585	0.425+/-0.015	tabular_color_table_x2.tex
MACS1206	1.743	0.482+/-0.058	tabular_color_table_x2.tex
MACS1206	1.867	0.446+/-0.112	tabular_color_table_x2.tex
MACS1206	2.041	0.467+/-0.105	tabular_color_table_x2.tex
MACS0329	0.541	0.464+/-0.007	tabular_color_table_x2.tex
MACS0329	0.686	0.438+/-0.017	tabular_color_table_x2.tex
MACS0329	0.838	0.451+/-0.009	tabular_color_table_x2.tex
MACS0329	0.992	0.437+/-0.007	tabular_color_table_x2.tex
MACS0329	1.132	0.447+/-0.008	tabular_color_table_x2.tex
MACS0329	1.293	0.428+/-0.007	tabular_color_table_x2.tex
MACS0329	1.430	0.433+/-0.006	tabular_color_table_x2.tex
MACS0329	1.599	0.442+/-0.020	tabular_color_table_x2.tex
MACS0329	1.734	0.408+/-0.024	tabular_color_table_x2.tex
MACS0329	1.873	0.401+/-0.058	tabular_color_table_x2.tex
MACS0329	2.039	0.400+/-0.074	tabular_color_table_x2.tex
MACS0329	2.187	0.420+/-0.136	tabular_color_table_x2.tex
RXJ1347	0.545	0.503+/-0.012	tabular_color_table_x2.tex
RXJ1347	0.692	0.516+/-0.006	tabular_color_table_x2.tex
RXJ1347	0.837	0.514+/-0.016	tabular_color_table_x2.tex
RXJ1347	0.987	0.497+/-0.007	tabular_color_table_x2.tex
RXJ1347	1.134	0.482+/-0.008	tabular_color_table_x2.tex
RXJ1347	1.280	0.482+/-0.009	tabular_color_table_x2.tex
RXJ1347	1.434	0.450+/-0.015	tabular_color_table_x2.tex
RXJ1347	1.579	0.444+/-0.010	tabular_color_table_x2.tex
RXJ1347	1.734	0.446+/-0.024	tabular_color_table_x2.tex
RXJ1347	1.899	0.440+/-0.030	tabular_color_table_x2.tex
RXJ1347	2.040	0.454+/-0.111	tabular_color_table_x2.tex
MACS1311	0.544	0.518+/-0.012	tabular_color_table_x2.tex
MACS1311	0.685	0.480+/-0.013	tabular_color_table_x2.tex
MACS1311	0.854	0.469+/-0.015	tabular_color_table_x2.tex
MACS1311	0.989	0.475+/-0.010	tabular_color_table_x2.tex
MACS1311	1.138	0.470+/-0.013	tabular_color_table_x2.tex
MACS1311	1.289	0.463+/-0.008	tabular_color_table_x2.tex
MACS1311	1.434	0.438+/-0.006	tabular_color_table_x2.tex
MACS1311	1.584	0.432+/-0.016	tabular_color_table_x2.tex
MACS1311	1.741	0.397+/-0.020	tabular_color_table_x2.tex
MACS1311	1.873	0.362+/-0.036	tabular_color_table_x2.tex
MACS1311	2.045	0.376+/-0.054	tabular_color_table_x2.tex
MACS1311	2.193	0.266+/-0.089	tabular_color_table_x2.tex
MACS1149	0.537	0.509+/-0.009	tabular_color_table_x2.tex
MACS1149	0.841	0.496+/-0.015	tabular_color_table_x2.tex
MACS1149	0.990	0.483+/-0.013	tabular_color_table_x2.tex
MACS1149	1.140	0.478+/-0.012	tabular_color_table_x2.tex
MACS1149	1.288	0.453+/-0.014	tabular_color_table_x2.tex
MACS1149	1.419	0.444+/-0.016	tabular_color_table_x2.tex
MACS1149	1.593	0.443+/-0.016	tabular_color_table_x2.tex
MACS1149	1.732	0.412+/-0.039	tabular_color_table_x2.tex
MACS2129	0.524	0.528+/-0.008	tabular_color_table_x2.tex
MACS2129	0.836	0.526+/-0.018	tabular_color_table_x2.tex
MACS2129	0.991	0.533+/-0.024	tabular_color_table_x2.tex
MACS2129	1.140	0.509+/-0.009	tabular_color_table_x2.tex
MACS2129	1.284	0.494+/-0.014	tabular_color_table_x2.tex
MACS2129	1.434	0.445+/-0.022	tabular_color_table_x2.tex
MACS2129	1.581	0.476+/-0.042	tabular_color_table_x2.tex
MACS2129	1.732	0.437+/-0.065	tabular_color_table_x2.tex
CL1226	0.857	0.583+/-0.017	tabular_color_table_x2.tex
CL1226	1.144	0.547+/-0.017	tabular_color_table_x2.tex
CL1226	1.292	0.576+/-0.009	tabular_color_table_x2.tex
CL1226	1.437	0.522+/-0.018	tabular_color_table_x2.tex
CL1226	1.587	0.545+/-0.017	tabular_color_table_x2.tex
CL1226	1.732	0.520+/-0.022	tabular_color_table_x2.tex
CL1226	1.884	0.498+/-0.045	tabular_color_table_x2.tex
CL1226	2.031	0.374+/-0.125	tabular_color_table_x2.tex
