recno	Name	sigmac	e_sigmac	S	Radg	e_Radg	Msat	e_Msat	logMg	e_logMg	Vsyst	e_Vsyst	Rsyst	logrho	e_logrho	logs	e_logs	logfM	e_logfM	logfs	e_logfs	BCG	SimbadName	NED	_RA	_DE
      14	A240 	    	    	   	    	   	-25.07	 0.41	     	     	   0	 50.9	    	     	     	     	     	     	     	      	     	BCG	ACO 240         	NED	025.48	+07.62
      15	A245 	    	    	   	    	   	-25.31	 0.96	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 245         	NED	026.02	+06.38
      16	A257 	 499	  42	   	    	   	-24.94	 1.57	     	     	  89	 83.4	    	     	     	     	     	     	     	      	     	BCG	ACO 257         	NED	027.29	+14.02
      17	A260 	 754	  74	   	    	   	-24.38	 1.15	     	     	 289	 92.0	    	     	     	     	     	     	     	      	     	BCG	ACO 260         	NED	027.97	+33.16
      18	A262 	 540	  38	150	1313	100	-23.11	 0.93	14.52	 0.05	  47	 60.1	   2	 4.55	 0.05	-7.18	 0.09	-3.65	 0.05	-15.38	 0.10	BCG	ACO 262         	NED	028.21	+36.15
      19	A292 	    	    	   	    	   	-24.96	 0.81	     	     	   0	 67.9	    	     	     	     	     	     	     	      	     	BCG	ACO 292         	NED	030.61	+19.09
      20	A347 	 627	  61	   	    	   	-23.61	 0.40	     	     	 394	 81.2	    	     	     	     	     	     	     	      	     	BCG	ACO 347         	NED	036.46	+41.87
      21	A376 	 830	  59	135	1303	100	-24.90	 1.23	14.89	 0.05	 166	 80.5	  75	 4.93	 0.05	-7.21	 0.09	-3.83	 0.05	-15.97	 0.10	BCG	ACO 376         	NED	041.45	+36.86
      22	A397 	 638	  85	   	    	   	-24.41	 1.09	     	     	 461	112.3	    	     	     	     	     	     	     	      	     	BCG	ACO 397         	NED	044.24	+15.95
      23	A399 	1224	  62	   	    	   	-25.73	 0.51	     	     	 135	120.4	  26	     	     	     	     	     	     	      	     	BCG	ACO 399         	NED	044.48	+13.02
      24	A400 	 683	  39	133	 887	100	-24.10	 0.49	14.56	 0.06	  31	 63.8	   5	 5.09	 0.06	-6.72	 0.10	-3.41	 0.06	-15.22	 0.10	BCG	ACO 400         	NED	044.41	+06.01
      25	A407 	 762	  62	   	    	   	-26.11	 0.44	     	     	 187	139.0	    	     	     	     	     	     	     	      	     	BCG	ACO 407         	NED	045.43	+35.83
      26	A426 	    	    	254	 721	139	-23.88	 0.96	     	     	    	     	    	     	     	-6.17	 0.12	     	     	      	     	BCG	ACO 426         	NED	049.95	+41.51
      27	A498 	    	    	   	    	   	-24.64	 0.56	     	     	   0	 77.8	    	     	     	     	     	     	     	      	     	BCG	ACO 498         	NED	069.44	+21.20
      28	A505 	    	    	   	    	   	-26.02	 0.40	     	     	   0	 66.5	    	     	     	     	     	     	     	      	     	BCG	ACO 505         	NED	075.05	+80.01
      29	A539 	 833	  40	161	1097	265	-24.34	 1.01	14.82	 0.11	    	     	    	 5.08	 0.11	-6.91	 0.14	-3.68	 0.11	-15.68	 0.14	BCG	ACO 539         	NED	079.15	+06.45
      30	A553 	    	    	   	    	   	-26.44	 0.47	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 553         	NED	093.11	+48.62
      31	A559 	    	    	   	    	   	-25.62	 0.48	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 559         	NED	100.03	+69.69
      32	A568 	 687	 100	   	    	   	-25.87	 0.74	     	     	 471	263.4	    	     	     	     	     	     	     	      	     	BCG	ACO 568         	NED	106.90	+35.08
      33	A569 	 394	  25	   	    	   	-22.20	 2.78	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 569         	NED	107.29	+48.62
      34	A582 	 324	  56	   	    	   	-25.60	 1.02	     	     	 182	 74.2	    	     	     	     	     	     	     	      	     	BCG	ACO 582         	NED	112.05	+41.96
      35	A592 	 123	 100	   	    	   	-25.93	 0.40	     	     	 149	 65.2	    	     	     	     	     	     	     	      	     	BCG	ACO 592         	NED	115.63	+09.37
      36	A595 	 601	  56	   	    	   	-25.16	 1.09	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 595         	NED	117.36	+52.04
      37	A600 	    	    	   	    	   	-25.25	 1.00	     	     	   0	 48.1	    	     	     	     	     	     	     	      	     	BCG	ACO 600         	NED	119.09	+63.75
      38	A602 	 796	  61	 69	1476	100	-25.14	 0.75	14.91	 0.04	    	     	    	 4.78	 0.04	-7.67	 0.09	-3.92	 0.04	-16.37	 0.10	BCG	ACO 602         	NED	118.35	+29.37
      39	A607 	    	    	   	    	   	-25.14	 1.84	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 607         	NED	119.35	+39.35
      40	A612 	    	    	   	    	   	-25.62	 0.89	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 612         	NED	120.24	+34.61
      41	A634 	 331	  25	   	    	   	-23.56	 0.40	     	     	 218	 40.2	    	     	     	     	     	     	     	      	     	BCG	ACO 634         	NED	123.64	+58.05
      42	A671 	 850	  33	133	1314	181	-25.36	 0.40	14.92	 0.06	  93	141.5	 111	 4.94	 0.06	-7.23	 0.11	-3.85	 0.06	-16.02	 0.11	BCG	ACO 671         	NED	127.13	+30.41
      43	A688 	    	    	   	    	   	-25.54	 2.41	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 688         	NED	129.37	+15.86
      44	A690 	 546	  46	 79	1512	275	-25.11	 0.63	14.59	 0.09	 295	258.6	    	 4.43	 0.09	-7.64	 0.12	-3.78	 0.09	-15.85	 0.13	BCG	ACO 690         	NED	129.81	+28.84
      45	A695 	 402	  52	   	    	   	      	     	     	     	 278	116.0	    	     	     	     	     	     	     	      	     	BCG	ACO 695         	NED	130.32	+32.45
      46	A734 	    	    	   	    	   	-25.29	 0.92	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 734         	NED	135.15	+16.27
      47	A744 	 445	 920	   	    	   	-25.02	 1.40	     	     	  21	 80.0	   2	     	     	     	     	     	     	      	     	BCG	ACO 744         	NED	136.83	+16.66
      48	A757 	 360	  32	   	    	   	-24.60	 0.74	     	     	   5	 46.0	    	     	     	     	     	     	     	      	     	BCG	ACO 757         	NED	138.24	+47.73
      49	A834 	 392	 100	   	    	   	      	     	     	     	 397	 84.4	    	     	     	     	     	     	     	      	     	BCG	ACO 834         	NED	145.16	+66.67
      50	A883 	    	    	   	    	   	      	     	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 883         	NED	147.83	+05.50
      51	A999 	 286	  25	   	    	   	-23.69	 0.78	     	     	 129	 39.3	    	     	     	     	     	     	     	      	     	BCG	ACO 999         	NED	155.84	+12.86
      52	A1003	 501	  50	   	    	   	-24.75	 0.83	     	     	 427	 82.4	    	     	     	     	     	     	     	      	     	BCG	ACO 1003        	NED	156.22	+47.82
      53	A1016	 204	  53	   	    	   	-23.73	 0.84	     	     	  18	 30.4	    	     	     	     	     	     	     	      	     	BCG	ACO 1016        	NED	156.75	+10.98
      54	A1020	 314	  41	   	    	   	-25.26	 0.81	     	     	  13	 68.7	 481	     	     	     	     	     	     	      	     	BCG	ACO 1020        	NED	156.96	+10.41
      55	A1056	    	    	   	    	   	-26.85	 0.46	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1056        	NED	159.51	+41.78
      56	A1066	 817	  55	   	    	   	-25.55	 0.40	     	     	 498	 79.3	    	     	     	     	     	     	     	      	     	BCG	ACO 1066        	NED	159.78	+05.21
      57	A1100	 451	 100	   	    	   	-24.57	 0.40	     	     	  34	 58.6	    	     	     	     	     	     	     	      	     	BCG	ACO 1100        	NED	162.19	+22.24
      58	A1108	    	    	   	    	   	      	     	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1108        	NED	162.46	+16.22
      59	A1142	 757	  44	   	    	   	-24.19	 0.40	     	     	 457	 88.1	  52	     	     	     	     	     	     	      	     	BCG	ACO 1142        	NED	165.21	+10.55
      60	A1155	 277	  41	   	    	   	-23.77	 3.73	     	     	  76	108.3	    	     	     	     	     	     	     	      	     	BCG	ACO 1155        	NED	166.14	+35.20
      61	A1173	    	    	   	    	   	-23.39	 2.52	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1173        	NED	167.31	+41.56
      62	A1177	 331	  59	   	    	   	-23.24	 0.92	     	     	  36	 55.5	    	     	     	     	     	     	     	      	     	BCG	ACO 1177        	NED	167.36	+21.69
      63	A1185	 758	  54	292	1335	283	-24.86	 0.40	14.83	 0.10	 730	 63.5	 161	 4.83	 0.10	-6.91	 0.13	-3.81	 0.10	-15.55	 0.13	BCG	ACO 1185        	NED	167.63	+28.73
      64	A1187	 952	  55	   	    	   	-25.04	 1.43	     	     	1317	118.0	 428	     	     	     	     	     	     	      	     	BCG	ACO 1187        	NED	168.02	+39.66
      65	A1190	 671	  43	 60	1106	260	-25.55	 0.60	14.64	 0.11	 905	 73.4	    	 4.88	 0.11	-7.35	 0.14	-3.60	 0.11	-15.83	 0.14	BCG	ACO 1190        	NED	167.87	+40.83
      66	A1203	 552	  36	   	    	   	-24.51	 0.68	     	     	  90	 66.9	    	     	     	     	     	     	     	      	     	BCG	ACO 1203        	NED	168.39	+40.23
      67	A1213	 572	  43	154	1132	246	-25.24	 0.40	14.51	 0.10	 516	 61.9	    	 4.73	 0.10	-6.97	 0.13	-3.55	 0.10	-15.25	 0.14	BCG	ACO 1213        	NED	169.12	+29.26
      68	A1218	    	    	   	    	   	-25.90	 0.57	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1218        	NED	169.83	+51.71
      69	A1228	 246	  23	   	    	   	-24.62	 0.40	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1228        	NED	170.38	+34.22
      70	A1257	1202	  58	   	    	   	-24.23	 0.43	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1257        	NED	171.44	+35.34
      71	A1270	    	    	   	    	   	-24.98	 1.33	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1270        	NED	172.29	+54.12
      72	A1275	    	    	   	    	   	-25.59	 0.42	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1275        	NED	172.51	+36.63
      73	A1279	 186	  30	   	    	   	-24.08	 1.05	     	     	  35	 42.0	    	     	     	     	     	     	     	      	     	BCG	ACO 1279        	NED	172.80	+67.22
      74	A1314	 648	  25	 76	 909	100	-25.14	 0.40	14.52	 0.05	 122	 65.8	  71	 5.02	 0.05	-7.00	 0.10	-3.41	 0.05	-15.43	 0.10	BCG	ACO 1314        	NED	173.70	+49.04
      75	A1324	    	    	   	    	   	-25.81	 1.63	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1324        	NED	174.28	+57.09
      76	A1356	    	    	   	    	   	-25.95	 1.51	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1356        	NED	175.57	+10.45
      77	A1365	 369	  61	   	    	   	-25.45	 1.11	     	     	 195	 88.1	  91	     	     	     	     	     	     	      	     	BCG	ACO 1365        	NED	176.11	+30.90
      78	A1367	 872	  42	374	1176	234	-23.95	 1.11	14.89	 0.09	 286	 62.6	 354	 5.06	 0.09	-6.64	 0.13	-3.76	 0.09	-15.46	 0.13	BCG	ACO 1367        	NED	176.19	+19.70
      79	A1371	 577	  50	   	    	   	      	     	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1371        	NED	176.36	+15.51
      80	A1400	 332	  53	   	    	   	-25.57	 0.57	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1400        	NED	178.13	+54.99
      81	A1413	    	    	142	1219	146	-27.39	 0.53	     	     	    	     	    	     	     	-7.11	 0.10	     	     	      	     	BCG	ACO 1413        	NED	178.82	+23.41
      82	A1423	    	    	   	    	   	-24.57	 1.26	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1423        	NED	179.45	+33.71
      83	A1424	 697	  55	   	    	   	-25.61	 0.85	     	     	 442	 78.1	 168	     	     	     	     	     	     	      	     	BCG	ACO 1424        	NED	179.38	+05.09
      84	A1435	    	    	   	    	   	-24.79	 0.51	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1435        	NED	180.09	+10.69
      85	A1436	 703	  36	   	    	   	-24.82	 1.37	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1436        	NED	180.07	+56.26
      86	A1452	 560	  63	   	    	   	-24.71	 0.62	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1452        	NED	180.83	+51.75
      87	A1507	 405	  48	   	    	   	-25.37	 0.40	     	     	 414	 58.3	 139	     	     	     	     	     	     	      	     	BCG	ACO 1507        	NED	183.96	+59.97
      88	A1516	    	    	   	    	   	-25.08	 0.88	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1516        	NED	184.71	+05.23
      89	A1526	    	    	   	    	   	-25.47	 1.12	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1526        	NED	185.46	+13.74
      90	A1534	 371	  55	   	    	   	-25.93	 0.40	     	     	  25	 64.4	 157	     	     	     	     	     	     	      	     	BCG	ACO 1534        	NED	186.18	+61.47
      91	A1569	 622	1314	 73	1002	226	-25.02	 0.43	     	     	    	     	    	     	     	-7.14	 0.14	     	     	      	     	BCG	ACO 1569        	NED	189.10	+16.53
      92	A1589	 899	 546	   	    	   	-26.01	 0.40	     	     	 688	 99.0	    	     	     	     	     	     	     	      	     	BCG	ACO 1589        	NED	190.33	+18.57
      93	A1610	 292	 403	   	    	   	-24.82	 0.68	     	     	 485	 62.0	    	     	     	     	     	     	     	      	     	BCG	ACO 1610        	NED	191.78	+30.03
      94	A1656	1035	  25	   	    	   	-25.02	 0.40	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1656        	NED	194.95	+27.98
      95	A1668	    	    	 75	1426	129	-25.02	 0.86	     	     	    	     	    	     	     	-7.59	 0.10	     	     	      	     	BCG	ACO 1668        	NED	195.94	+19.28
      96	A1691	 784	  45	 93	1450	202	-26.06	 0.40	14.89	 0.07	  37	 80.6	  45	 4.78	 0.07	-7.52	 0.11	-3.90	 0.07	-16.20	 0.11	BCG	ACO 1691        	NED	197.80	+39.28
      97	A1749	 707	  66	 92	1238	243	-24.44	 1.07	14.73	 0.10	  43	 94.3	  28	 4.83	 0.10	-7.31	 0.13	-3.72	 0.10	-15.86	 0.13	BCG	ACO 1749        	NED	202.38	+37.62
      98	A1767	 887	  31	   	    	   	-25.87	 0.45	     	     	  44	169.1	  25	     	     	     	     	     	     	      	     	BCG	ACO 1767        	NED	204.03	+59.21
      99	A1775	 568	  60	 79	 993	197	-25.59	 0.40	14.45	 0.10	  35	 74.9	  48	 4.83	 0.10	-7.09	 0.13	-3.43	 0.10	-15.36	 0.13	BCG	ACO 1775        	NED	205.48	+26.36
     100	A1795	 861	  56	175	1011	100	-26.05	 0.53	14.82	 0.05	 222	112.1	  12	 5.18	 0.05	-6.77	 0.10	-3.63	 0.05	-15.58	 0.10	BCG	ACO 1795        	NED	207.25	+26.59
     101	A1800	 767	 190	   	    	   	-25.46	 0.66	     	     	  36	 93.9	  83	     	     	     	     	     	     	      	     	BCG	ACO 1800        	NED	207.42	+28.07
     102	A1809	 745	  30	 77	1105	191	-26.30	 0.40	14.73	 0.08	 204	 81.5	  47	 4.98	 0.08	-7.24	 0.12	-3.64	 0.08	-15.86	 0.12	BCG	ACO 1809        	NED	208.27	+05.14
     103	A1812	    	    	   	    	   	-25.30	 1.25	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 1812        	NED	208.10	+37.52
     104	A1825	1024	 100	   	    	   	-25.20	 0.40	     	     	 869	154.3	    	     	     	     	     	     	     	      	     	BCG	ACO 1825        	NED	209.51	+20.64
     105	A1828	 388	  84	   	    	   	-24.52	 1.02	     	     	  94	 96.1	    	     	     	     	     	     	     	      	     	BCG	ACO 1828        	NED	209.59	+18.39
     106	A1831	1176	 118	   	    	   	-26.03	 0.94	     	     	 133	118.3	  51	     	     	     	     	     	     	      	     	BCG	ACO 1831        	NED	209.79	+27.99
     107	A1890	 550	  59	   	    	   	-25.45	 0.45	     	     	 275	 63.1	 236	     	     	     	     	     	     	      	     	BCG	ACO 1890        	NED	214.41	+08.18
     108	A1899	 646	 100	   	    	   	      	     	     	     	 649	 97.2	    	     	     	     	     	     	     	      	     	BCG	ACO 1899        	NED	215.34	+17.69
     109	A1904	 772	  31	   	    	   	-25.77	 0.40	     	     	  22	 66.0	 289	     	     	     	     	     	     	      	     	BCG	ACO 1904        	NED	215.55	+48.57
     110	A1913	 636	 130	 86	1136	383	-25.64	 0.40	14.60	 0.18	    	     	    	 4.81	 0.18	-7.23	 0.18	-3.60	 0.18	-15.64	 0.21	BCG	ACO 1913        	NED	216.72	+16.68
     111	A1982	1325	 100	   	    	   	-24.11	 1.11	     	     	 281	248.8	    	     	     	     	     	     	     	      	     	BCG	ACO 1982        	NED	222.80	+30.73
     112	A1983	 541	  27	184	1520	234	-24.07	 0.67	14.59	 0.07	    	     	    	 4.42	 0.07	-7.28	 0.11	-3.78	 0.07	-15.48	 0.11	BCG	ACO 1983        	NED	223.18	+16.75
     113	A2022	 607	  74	   	    	   	      	     	     	     	 416	 68.0	  61	     	     	     	     	     	     	      	     	BCG	ACO 2022        	NED	226.08	+28.42
     114	A2029	1222	  75	587	1625	323	-25.63	 0.58	15.33	 0.09	 215	124.3	   1	 5.07	 0.09	-6.86	 0.13	-4.19	 0.09	-16.12	 0.13	BCG	ACO 2029        	NED	227.74	+05.76
     115	A2052	 681	  41	186	 798	281	-24.70	 0.47	14.51	 0.16	  92	 66.5	   0	 5.18	 0.16	-6.44	 0.19	-3.32	 0.16	-14.94	 0.19	BCG	ACO 2052        	NED	229.19	+07.00
     116	A2061	 851	  28	164	1461	217	-25.99	 0.40	14.96	 0.07	 270	 74.2	 176	 4.85	 0.07	-7.28	 0.11	-3.94	 0.07	-16.07	 0.11	BCG	ACO 2061        	NED	230.34	+30.67
     117	A2063	 930	  57	189	1237	264	-24.75	 0.40	14.97	 0.10	 205	 85.9	  11	 5.07	 0.10	-7.00	 0.13	-3.84	 0.10	-15.91	 0.13	BCG	ACO 2063        	NED	230.76	+08.64
     118	A2065	1286	 140	   	    	   	-26.46	 0.40	     	     	 927	110.0	 105	     	     	     	     	     	     	      	     	BCG	ACO 2065        	NED	230.68	+27.72
     119	A2107	 629	  46	134	1301	110	-24.21	 0.64	14.65	 0.05	 182	 89.2	   1	 4.69	 0.05	-7.22	 0.10	-3.71	 0.05	-15.61	 0.10	BCG	ACO 2107        	NED	234.95	+21.77
     120	A2122	    	    	 99	1305	100	-25.07	 0.40	     	     	    	     	    	     	     	-7.35	 0.09	     	     	      	     	BCG	ACO 2122        	NED	236.12	+36.13
     121	A2147	1033	  33	362	1279	369	-24.28	 1.55	15.08	 0.13	 361	 68.4	   0	 5.13	 0.13	-6.76	 0.16	-3.91	 0.13	-15.80	 0.16	BCG	ACO 2147        	NED	240.57	+15.90
     122	A2151	 842	  30	336	 474	106	-24.93	 0.71	14.47	 0.10	 385	 51.4	   1	 5.82	 0.10	-5.50	 0.13	-2.96	 0.10	-14.28	 0.14	BCG	ACO 2151        	NED	241.31	+17.75
     123	A2152	 456	  62	   	    	   	-24.70	 0.92	     	     	   6	 77.3	  63	     	     	     	     	     	     	      	     	BCG	ACO 2152        	NED	241.34	+16.45
     124	A2162	 435	  37	   	    	   	-23.82	 0.77	     	     	  98	 57.2	  49	     	     	     	     	     	     	      	     	BCG	ACO 2162        	NED	243.12	+29.54
     125	A2197	 615	  21	   	    	   	      	     	     	     	 268	 41.8	 886	     	     	     	     	     	     	      	     	BCG	ACO 2197        	NED	247.04	+40.91
     126	A2199	 819	  32	714	1444	291	-24.50	 0.87	14.93	 0.09	 229	 39.3	   1	 4.83	 0.09	-6.63	 0.13	-3.91	 0.09	-15.37	 0.13	BCG	ACO 2199        	NED	247.15	+39.52
     127	A2247	 353	  59	   	    	   	-23.94	 0.96	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 2247        	NED	251.84	+81.57
     128	A2248	1224	1758	   	    	   	-25.59	 0.40	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 2248        	NED	254.45	+77.02
     129	A2255	    	    	457	1612	260	-26.66	 0.46	     	     	    	     	    	     	     	-6.96	 0.11	     	     	      	     	BCG	ACO 2255        	NED	258.21	+64.05
     130	A2256	1301	  42	392	1501	109	-26.59	 0.40	15.35	 0.03	 347	 91.8	 143	 5.19	 0.03	-6.94	 0.09	-4.15	 0.03	-16.28	 0.09	BCG	ACO 2256        	NED	255.93	+78.72
     131	A2271	 538	 135	   	    	   	-24.96	 0.82	     	     	 171	168.1	  17	     	     	     	     	     	     	      	     	BCG	ACO 2271        	NED	259.32	+78.02
     132	A2293	 754	 100	   	    	   	      	     	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 2293        	NED	270.32	+57.63
     133	A2308	    	    	   	    	   	-26.39	 0.40	     	     	   0	 55.2	    	     	     	     	     	     	     	      	     	BCG	ACO 2308        	NED	278.54	+70.96
     134	A2319	    	    	334	1651	100	-25.63	 0.53	     	     	    	     	    	     	     	-7.13	 0.09	     	     	      	     	BCG	ACO 2319        	NED	290.19	+43.96
     135	A2388	    	    	   	    	   	-25.05	 1.50	     	     	   0	 50.9	    	     	     	     	     	     	     	      	     	BCG	ACO 2388        	NED	328.39	+08.24
     136	A2469	    	    	   	    	   	-24.82	 1.15	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 2469        	NED	340.12	+12.26
     137	A2495	 638	 188	168	1506	267	-26.23	 0.60	14.73	 0.16	 151	216.7	    	 4.57	 0.16	-7.31	 0.12	-3.84	 0.16	-15.72	 0.18	BCG	ACO 2495        	NED	342.57	+10.92
     138	A2506	    	    	   	    	   	      	     	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 2506        	NED	344.15	+13.33
     139	A2513	    	    	   	    	   	-22.74	 1.22	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 2513        	NED	344.85	+26.25
     140	A2516	    	    	   	    	   	      	     	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 2516        	NED	345.00	+18.51
     141	A2524	 627	 175	   	    	   	-26.03	 0.43	     	     	 402	176.1	    	     	     	     	     	     	     	      	     	BCG	ACO 2524        	NED	345.79	+17.75
     142	A2558	    	    	   	    	   	-24.92	 1.02	     	     	   0	 53.7	    	     	     	     	     	     	     	      	     	BCG	ACO 2558        	NED	348.20	+10.30
     143	A2572	 593	  36	   	    	   	-23.58	 1.73	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 2572        	NED	349.63	+18.70
     144	A2589	 872	  60	164	1123	100	-24.45	 0.40	14.87	 0.05	  48	101.5	   3	 5.10	 0.05	-6.94	 0.10	-3.72	 0.05	-15.76	 0.10	BCG	ACO 2589        	NED	351.00	+16.82
     145	A2593	 644	  23	182	1216	316	-24.79	 0.40	14.64	 0.12	  25	 51.3	  10	 4.77	 0.12	-7.00	 0.15	-3.66	 0.12	-15.42	 0.15	BCG	ACO 2593        	NED	351.13	+14.64
     146	A2618	    	    	   	    	   	-25.02	 1.88	     	     	   0	 50.9	    	     	     	     	     	     	     	      	     	BCG	ACO 2618        	NED	353.45	+23.01
     147	A2622	 860	 121	 59	1068	100	-24.88	 1.04	14.84	 0.07	 121	120.2	  55	 5.13	 0.07	-7.31	 0.10	-3.67	 0.07	-16.12	 0.12	BCG	ACO 2622        	NED	353.72	+27.43
     148	A2625	1506	 171	   	    	   	-23.82	 2.06	     	     	 863	239.5	2065	     	     	     	     	     	     	      	     	BCG	ACO 2625        	NED	354.03	+20.62
     149	A2626	 648	  53	116	1471	144	-24.57	 1.14	14.73	 0.06	  54	 82.3	   2	 4.61	 0.06	-7.44	 0.10	-3.83	 0.06	-15.87	 0.11	BCG	ACO 2626        	NED	354.13	+21.16
     150	A2630	 420	1336	   	    	   	-26.28	 0.40	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 2630        	NED	354.46	+15.88
     151	A2634	 919	  45	236	1126	147	-24.34	 0.90	14.92	 0.06	 238	 79.3	  24	 5.14	 0.06	-6.78	 0.11	-3.75	 0.06	-15.67	 0.11	BCG	ACO 2634        	NED	354.58	+27.03
     152	A2637	 361	  59	   	    	   	-24.63	 1.21	     	     	 179	 97.3	 177	     	     	     	     	     	     	      	     	BCG	ACO 2637        	NED	354.74	+21.43
     153	A2657	 807	  52	 61	1046	100	-24.51	 0.48	14.77	 0.05	    	     	    	 5.09	 0.05	-7.27	 0.10	-3.63	 0.05	-15.99	 0.10	BCG	ACO 2657        	NED	356.21	+09.14
     154	A2665	    	    	118	1517	100	-24.46	 0.70	     	     	   0	 80.6	    	     	     	-7.47	 0.09	     	     	      	     	BCG	ACO 2665        	NED	357.71	+06.15
     155	A2666	 377	  47	104	 728	467	-22.54	 1.70	13.95	 0.34	  75	 78.8	  65	 4.75	 0.34	-6.57	 0.35	-2.98	 0.34	-14.30	 0.36	BCG	ACO 2666        	NED	357.73	+27.14
