branch,case_index,spatial_fwhm_arcsec,spectral_fwhm_stored_channels,subchannel_phase,peak_detector_sigma,realization,peak_selected,true_flux_fraction_retained,reference_flux_jy_kms,post_continuum_flux_over_reference,selected_noisy_flux_over_reference,paired_selected_flux_difference_over_reference,selected_voxel_fraction
boxcar_hanning_decimated,11,6,6,0.5,5,noiseless,True,0.7740702711438048,0.20741521637518442,0.99999999999998,0.7740702711438018,0.7740702711438018,0.0035527394923828394
boxcar_hanning_decimated,12,30,1,0,2,noiseless,False,0.0,0.03548050184368297,1.0,0.0,0.0,0.0
boxcar_hanning_decimated,13,30,1,0,5,noiseless,False,0.0,0.0887012546092074,1.0000000000000002,0.0,0.0,0.0
boxcar_hanning_decimated,14,30,1,0.5,2,noiseless,False,0.0,0.05052300719490443,1.0000000000000002,0.0,0.0,0.0
boxcar_hanning_decimated,15,30,1,0.5,5,noiseless,False,0.0,0.12630751798726103,1.0000000000000004,0.0,0.0,0.0
boxcar_hanning_decimated,16,30,3,0,2,noiseless,False,0.0,0.08087607337753415,1.0000000000000002,0.0,0.0,0.0
boxcar_hanning_decimated,17,30,3,0,5,noiseless,True,0.01405179702728074,0.20219018344383538,0.9999999999999999,0.01405179702728074,0.01405179702728074,9.798157946306095e-05
boxcar_hanning_decimated,18,30,3,0.5,2,noiseless,False,0.0,0.08678162569052406,1.0000000000000002,0.0,0.0,0.0
boxcar_hanning_decimated,19,30,3,0.5,5,noiseless,True,0.3140108979152578,0.2169540642263101,1.0000000000000002,0.3140108979152578,0.3140108979152578,0.002975736857767036
boxcar_hanning_decimated,20,30,6,0,2,noiseless,False,0.0,0.15657313213801,0.999999999999959,0.0,0.0,0.0
boxcar_hanning_decimated,21,30,6,0,5,noiseless,True,0.3462971429553858,0.39143283034502496,0.999999999999959,0.346297142955383,0.346297142955383,0.006426865823299294
boxcar_hanning_decimated,22,30,6,0.5,2,noiseless,False,0.0,0.15954895317583617,0.9999999999999803,0.0,0.0,0.0
boxcar_hanning_decimated,23,30,6,0.5,5,noiseless,True,0.3616673925598976,0.39887238293959043,0.9999999999999803,0.3616673925598962,0.3616673925598962,0.006804276351601454
