name,row,r,v,ev,gas,disk,bul,sd,sb,inc,q,x,y,z,b2,flexible,flexible_density,rar,rar_density,prediction_support
DDO161,10,3.9,42.7,3.25,25.62,25.01,0.0,2.55,0.0,70.0,1,-11.094031120458387,-10.819559402198589,0.10551018476997394,969.13445,-10.480118214713311,-10.480141821819666,-10.468317718419788,-10.468326712657902,True
DDO161,11,4.37,45.5,2.99,26.35,24.48,0.0,1.74,0.0,70.0,1,-11.132464079734362,-10.813809188878336,-0.060480747381381476,993.9577000000002,-10.501405964025171,-10.50200943949633,-10.48996170564059,-10.490565497621235,True
DDO161,12,4.86,48.9,1.96,27.08,23.7,0.0,1.09,0.0,70.0,1,-11.169875455361234,-10.79736909623719,-0.2636034977233575,1014.1714,-10.52212786524641,-10.523652939104554,-10.510933858405869,-10.51247754757509,True
DDO161,13,5.34,51.5,1.53,27.81,22.69,0.0,0.64,0.0,70.0,1,-11.20371143076459,-10.793277344168313,-0.494850021680094,1030.81415,-10.540869377107018,-10.543636629022973,-10.52982278033881,-10.532629507026808,True
DDO161,14,5.81,53.0,1.86,28.4,21.59,0.0,0.46,0.0,70.0,1,-11.23665035997561,-10.804974938410892,-0.638272163982407,1039.62405,-10.559114021309673,-10.562388219167463,-10.54814149737881,-10.551468070511497,True
DDO161,15,6.28,55.0,1.48,28.98,20.86,0.0,0.36,0.0,70.0,1,-11.26306669357461,-10.806584809970847,-0.744727494896694,1057.4102,-10.573745845087696,-10.5773529612462,-10.56278482798098,-10.56645388880368,True
DDO161,16,6.75,57.6,0.99,29.57,20.11,0.0,0.24,0.0,70.0,1,-11.286603593308755,-10.79780935120674,-0.9208187539523752,1076.59095,-10.586782770439216,-10.591384914133716,-10.575797124387535,-10.58047710391532,True
DDO161,17,7.22,59.7,1.19,30.3,19.38,0.0,0.16,0.0,70.0,1,-11.304178874968379,-10.795939080533039,-1.0969100130080565,1105.8822,-10.596517596929386,-10.602246170241457,-10.585492629704591,-10.591314948393158,True
DDO161,18,7.69,60.5,1.26,31.18,18.7,0.0,0.11,0.0,70.0,1,-11.315699306399704,-10.811766135718631,-1.2596373105057561,1147.0374,-10.60289868391552,-10.609772257257204,-10.591838411945677,-10.598820447338044,True
DDO161,19,8.16,61.8,1.33,32.06,18.06,0.0,0.07,0.0,70.0,1,-11.32515614600544,-10.819063753798368,-1.4559319556497243,1190.9254,-10.608136761716498,-10.616489389510992,-10.597041945437862,-10.605520801380875,True
DDO161,20,8.64,62.9,1.35,32.64,17.47,0.0,0.05,0.0,70.0,1,-11.340227678615715,-10.828562996810494,-1.6020599913279623,1217.97005,-10.616484778991182,-10.62576143607063,-10.605324673098705,-10.614740759266581,True
DDO161,21,9.11,63.0,2.09,33.23,16.94,0.0,0.03,0.0,70.0,1,-11.352753630422814,-10.850187823287973,-1.8239087409443189,1247.7146999999998,-10.623422816732363,-10.634330563141546,-10.612199002585776,-10.623266251369103,True
DDO161,22,9.58,64.5,2.38,33.38,16.44,0.0,0.02,0.0,70.0,1,-11.374028039874569,-10.851596625030147,-2.0,1249.3612,-10.635206564424411,-10.64715920669878,-10.623855236035501,-10.635983278892214,True
DDO161,23,10.05,65.6,1.08,33.38,15.98,0.0,0.02,0.0,70.0,1,-11.397428371270832,-10.857708928227325,-2.0,1241.9046,-10.64816784552174,-10.659604713015407,-10.636648753644007,-10.648260949751235,True
DDO161,24,10.52,67.5,3.22,32.79,15.57,0.0,0.01,0.0,70.0,1,-11.43349113303608,-10.852758739377808,-2.3010299956639813,1196.39655,-10.66814275888814,-10.681372634107614,-10.656310302518513,-10.669742685525913,True
DDO161,25,10.99,66.8,2.37,32.06,15.18,0.0,0.01,0.0,70.0,1,-11.472279286226144,-10.880795312694538,-2.3010299956639813,1143.0598000000002,-10.689627247642985,-10.702002179790643,-10.677386088069463,-10.68996340879966,True
DDO168,1,0.82,23.4,1.3,18.08,12.66,0.0,14.59,0.0,63.0,2,-10.793544166233172,-10.66473268278557,0.8630252962294704,407.02419999999995,-10.294057221596066,-10.291289583620301,-10.297332618054511,-10.294521746188732,True
DDO168,2,1.24,29.2,1.5,20.09,15.11,0.0,8.79,0.0,63.0,2,-10.868640253803052,-10.652006527487536,0.6429588794097907,517.76415,-10.343394556307553,-10.342052323668039,-10.341367292131665,-10.339981621468594,True
DDO168,3,1.64,36.2,1.1,20.2,15.99,0.0,5.9,0.0,63.0,2,-10.975126804048932,-10.586777252203504,0.46982201597816303,535.88005,-10.41335509275845,-10.412402666368695,-10.402951333152808,-10.401939705894295,True
DDO168,4,2.06,44.0,1.1,22.0,16.89,0.0,4.09,0.0,63.0,2,-11.006202389623143,-10.516312412618916,0.3106933123433606,626.6360500000001,-10.433238186758762,-10.433575546701949,-10.420746760464132,-10.42103470674835,True
DDO168,5,2.47,52.1,1.2,22.63,17.03,0.0,2.87,0.0,63.0,2,-11.064397955341063,-10.448372051882755,0.15685190107001115,657.12735,-10.466468821632468,-10.466782266180811,-10.453871888455103,-10.454155385410711,True
DDO168,6,2.89,52.9,1.7,22.95,16.99,0.0,2.09,0.0,63.0,2,-11.123504800831268,-10.503337043908315,0.01911629044707278,671.0325499999999,-10.50021981239596,-10.500291533489355,-10.487261329213894,-10.487320811480902,True
DDO168,7,3.3,54.8,2.2,22.74,17.19,0.0,1.56,0.0,63.0,2,-11.185137121320949,-10.530303368131287,-0.10790539730951958,664.85565,-10.535412891341855,-10.535037625946233,-10.521820755121503,-10.521449867603453,True
DDO168,8,3.71,55.0,2.5,22.74,17.16,0.0,0.82,0.0,63.0,2,-11.236333791190505,-10.577999075848696,-0.38721614328026455,664.3403999999999,-10.564647040407975,-10.565941500098319,-10.550340904099137,-10.551672904397009,True
DDO170,1,3.36,42.4,1.5,15.07,19.75,0.0,3.58,0.0,66.0,2,-11.3902372776756,-10.760958109426516,0.2528530309798932,422.13615000000004,-10.638640495263626,-10.627077443530563,-10.634201876519962,-10.622645931336674,True
DDO170,2,4.86,52.5,1.0,20.59,19.94,0.0,2.02,0.0,66.0,2,-11.381673148014068,-10.735668207672518,0.004321373782642578,622.7499,-10.634233603798567,-10.625931391077645,-10.629518316155995,-10.621243356964284,True
DDO170,3,6.35,55.6,1.0,24.61,19.17,0.0,0.91,0.0,66.0,2,-11.394829046502801,-10.801974687349999,-0.34198860334288755,789.39655,-10.641003307090848,-10.636418147589707,-10.636711457000771,-10.63218531281791,True
DDO170,4,7.85,58.6,1.1,26.94,18.71,0.0,0.47,0.0,66.0,2,-11.429593921690978,-10.848424969931209,-0.6289321377282637,900.7956500000001,-10.658892460782528,-10.656600844886066,-10.655676837314191,-10.653474062177857,True
DDO170,5,9.34,59.0,1.2,27.6,17.41,0.0,0.18,0.0,66.0,2,-11.499077282767932,-10.917993398167944,-1.0457574905606752,913.3140500000001,-10.69464689736808,-10.695061509599073,-10.693404164984077,-10.693953734508291,True
DDO170,6,10.83,60.0,1.3,26.77,16.05,0.0,0.09,0.0,66.0,2,-11.596899215348767,-10.967676501080172,-1.3467874862246563,845.4341499999999,-10.698277174076495,-10.703868140631073,-10.746144101047273,-10.75174804695074,True
ESO079-G014,3,2.69,67.6,5.1,8.55,75.48,0.0,152.2,0.0,79.0,1,-10.453464573672468,-10.259209433341274,1.8813846567705728,2921.7177,-10.076076378700211,-10.066974448313562,-10.09257911938306,-10.083413646970964,True
ESO079-G014,4,3.36,81.7,5.06,9.18,82.21,0.0,142.61,0.0,79.0,1,-10.476172818731467,-10.191245709547152,1.8531199842175667,3463.514449999999,-10.090089509805065,-10.080858477616866,-10.106838591327708,-10.09754641710573,True
ESO079-G014,5,4.39,102.0,5.35,9.29,86.87,0.0,105.73,0.0,79.0,1,-10.545283733256772,-10.114614721940425,1.7231682365428873,3859.50255,-10.134656281968743,-10.125787705428912,-10.149826624828005,-10.140896160800711,True
ESO079-G014,6,5.65,116.0,6.44,9.5,92.23,0.0,92.69,0.0,79.0,1,-10.603565521426768,-10.11248301458774,1.6660028864947212,4343.43645,-10.173091228931668,-10.164076816200057,-10.185620783711386,-10.176531844398824,True
ESO079-G014,7,6.34,132.0,9.1,10.22,96.19,0.0,89.82,0.0,79.0,1,-10.616513803079085,-10.050291940692171,1.6523430550627147,4730.70645,-10.181630200267211,-10.172593884134587,-10.193518583153098,-10.184405045077883,True
ESO079-G014,8,6.89,137.0,5.25,11.87,100.53,0.0,87.61,0.0,79.0,1,-10.612064698840605,-10.054128632816951,1.6415236846702288,5194.03735,-10.178696160478662,-10.169837061386996,-10.190807041023472,-10.181873466418093,True
ESO079-G014,9,8.34,154.0,4.2,17.23,113.81,0.0,78.45,0.0,79.0,1,-10.579720711660487,-10.035475154186951,1.5935629522589743,6773.23095,-10.15736635110131,-10.149459832894768,-10.17102538701477,-10.163060757664137,True
ESO079-G014,10,10.04,163.0,3.28,24.23,128.72,0.0,58.05,0.0,79.0,1,-10.543086608806204,-10.066709049223224,1.4627722284106115,8871.5121,-10.133207349731418,-10.12721622473394,-10.148469216898942,-10.142447488573533,True
ESO079-G014,11,11.65,170.0,2.41,30.75,133.41,0.0,39.79,0.0,79.0,1,-10.56247501875989,-10.094778627827628,1.298743943482407,9844.67655,-10.145993376578977,-10.14153996421817,-10.160427197512384,-10.15595599278389,True
ESO079-G014,12,13.36,175.0,2.18,36.2,132.99,0.0,23.18,0.0,79.0,1,-10.608536523078305,-10.129080905989076,1.064083435963596,10153.610050000001,-10.176369443118785,-10.173873442918016,-10.188655140610575,-10.186153592794087,True
ESO079-G014,13,15.06,177.0,2.23,39.42,128.51,0.0,15.89,0.0,79.0,1,-10.675446905662106,-10.171228984363207,0.9000939015433984,9811.34645,-10.220494667938178,-10.218907175695643,-10.229224576619353,-10.227628568375046,True
ESO079-G014,14,16.67,178.0,2.03,40.49,124.23,0.0,10.92,0.0,79.0,1,-10.740196556246609,-10.210446140432357,0.7371926427047373,9355.986550000001,-10.263194960160241,-10.262532661055591,-10.268019694322565,-10.267346500635261,True
ESO116-G012,1,0.83,40.0,3.29,-1.8,34.96,0.0,168.99,0.0,74.0,1,-10.624624500288151,-10.204308654942288,1.926831010291032,607.8608,-10.186390622746401,-10.173348257422425,-10.19884763385334,-10.185712239671522,False
ESO116-G012,2,1.38,51.5,2.96,-1.55,51.34,0.0,141.01,0.0,74.0,1,-10.510140330845676,-10.205615173540993,1.8482199169263007,1315.4953000000003,-10.109859164250272,-10.099446021813936,-10.12842061876076,-10.11795969649671,True
ESO116-G012,3,1.85,67.9,3.45,5.01,61.73,0.0,81.24,0.0,74.0,1,-10.470875740893767,-10.092782725064149,1.6087399190687879,1930.39655,-10.085252586216345,-10.07843910658103,-10.1038913109178,-10.097057611054966,True
ESO116-G012,4,2.68,80.2,2.93,12.54,60.49,0.0,46.01,0.0,74.0,1,-10.619337384996598,-10.1091366026826,1.3618222376008149,1986.7716500000001,-10.182856241997778,-10.176628433131375,-10.19562942532031,-10.189367290755627,True
ESO116-G012,5,3.19,83.3,3.08,16.68,63.17,0.0,41.4,0.0,74.0,1,-10.63645642281562,-10.151851225465744,1.3159703454569178,2273.4468500000003,-10.19430013802917,-10.18836600328432,-10.206038042843414,-10.200068625823242,True
ESO116-G012,6,3.68,91.4,2.83,20.19,65.14,0.0,30.23,0.0,74.0,1,-10.652207309236273,-10.133305972427992,1.179408151513836,2529.2459000000003,-10.204829439296322,-10.200290708414908,-10.215585534296022,-10.21102015848126,True
ESO116-G012,7,4.13,102.0,5.4,22.31,66.32,0.0,24.2,0.0,74.0,1,-10.674434578045362,-10.088100253354705,1.08278537031645,2696.9073,-10.219688133809539,-10.215972907192128,-10.22901182062953,-10.225272447463533,True
ESO116-G012,8,5.23,105.0,4.21,25.63,64.52,0.0,9.48,0.0,74.0,1,-10.770369288617514,-10.165473635949537,0.6757783416740851,2738.3121,-10.283819474904519,-10.283539037598917,-10.286357125879093,-10.286062314846049,True
ESO116-G012,9,6.05,109.0,2.1,27.28,60.09,0.0,3.57,0.0,74.0,1,-10.864633452080342,-10.19625292399336,0.251638220448212,2549.6024500000003,-10.346834072895312,-10.35021738636553,-10.341812201036397,-10.345193186835152,True
ESO116-G012,10,6.81,108.0,2.1,28.58,55.74,0.0,2.78,0.0,74.0,1,-10.947696136212109,-10.255650146161024,0.14301480025409505,2370.2902000000004,-10.40236060022363,-10.405811407625688,-10.39000804067817,-10.393440399452128,True
ESO116-G012,11,7.56,109.0,2.1,30.7,53.61,0.0,2.04,0.0,74.0,1,-10.991385527374122,-10.293019344842097,0.00860017176191757,2379.50605,-10.431566496922883,-10.435974198692694,-10.415124440158952,-10.419513007771595,True
ESO116-G012,12,8.32,110.0,2.1,33.83,51.18,0.0,1.21,0.0,74.0,1,-11.019570095678075,-10.326688501196411,-0.2182446253475311,2454.1651,-10.448043117534763,-10.454394739852896,-10.431246237650248,-10.437600388685382,True
ESO116-G012,13,9.09,111.0,2.33,35.49,49.08,0.0,0.72,0.0,74.0,1,-11.056280193590592,-10.35726847087079,-0.44369749923271273,2463.9633000000003,-10.468148103688288,-10.475999648790202,-10.452152795331605,-10.460032595837811,True
F568-3,2,1.8,32.3,1.88,1.6,27.72,0.0,46.3,0.0,40.0,1,-11.157182397089885,-10.726218005663238,1.3645509953539718,386.75919999999996,-10.52307589832947,-10.507763214028609,-10.508459450631197,-10.492996071091213,True
F568-3,6,3.64,68.0,6.2,2.96,42.4,0.0,30.26,0.0,40.0,1,-11.09253753615321,-10.385434103458723,1.1798389280231867,907.6416,-10.487308968120487,-10.47575736541169,-10.4720582088318,-10.460373513258048,True
F568-3,8,4.6,82.3,6.2,6.86,46.43,0.0,21.07,0.0,40.0,1,-11.100982086635257,-10.321308706479172,1.022634539944119,1124.9320500000001,-10.491981197952237,-10.48185184744446,-10.476829880809442,-10.466583938982726,True
F568-3,9,5.14,85.7,6.3,8.92,47.19,0.0,19.58,0.0,40.0,1,-11.123667960264374,-10.334352020371018,0.9907826918031378,1193.01445,-10.504532915862455,-10.494103850283711,-10.48962378355841,-10.479081972653594,True
F568-3,10,5.39,85.5,6.51,9.95,47.91,0.0,19.11,0.0,40.0,1,-11.125182036334675,-10.357007080952531,0.9802306913910317,1246.68655,-10.505370629059652,-10.495010479431864,-10.490476379888637,-10.480004615262445,True
F568-3,13,10.17,97.5,6.2,29.9,52.01,0.0,6.77,0.0,40.0,1,-11.145159265973952,-10.518662266747809,0.5295586730211631,2246.53005,-10.516423699140145,-10.510259449462774,-10.501711046959649,-10.49548238743374,True
F568-3,15,14.02,107.0,10.7,36.41,50.13,0.0,3.11,0.0,40.0,1,-11.224109262312142,-10.577331003482358,0.1917303933628563,2582.1965499999997,-10.560105423690434,-10.555293376933951,-10.545850823372088,-10.541011285395887,True
F568-3,16,15.94,117.0,11.7,38.69,49.27,0.0,2.41,0.0,40.0,1,-11.258760202265673,-10.555467138789908,0.08098704691088722,2710.68255,-10.57927721450313,-10.5746626169703,-10.565098769196053,-10.56046899303433,True
F568-3,17,17.98,120.0,12.0,39.0,48.97,0.0,1.66,0.0,40.0,1,-11.309566466749505,-10.5857777405241,-0.08092190762392612,2720.03045,-10.607387478639245,-10.603057466269195,-10.593190706744002,-10.588863520632506,True
F583-1,6,1.8,32.3,2.41,-3.18,18.25,0.0,10.51,0.0,63.0,1,-11.550333961718684,-10.726218005663238,0.720572720364261,156.41885,-10.72796777188608,-10.716450971908303,-10.72652450036829,-10.714809138189953,True
F583-1,8,2.31,43.8,4.26,-3.66,19.39,0.0,9.91,0.0,63.0,1,-11.610942040760387,-10.570014304106083,0.6950436588212942,174.59045,-10.73022597459617,-10.719197115370651,-10.759145410484873,-10.747877302526582,True
F583-1,11,3.43,55.7,4.5,-4.94,23.71,0.0,7.6,0.0,63.0,1,-11.615255257204893,-10.532934274917451,0.5797835966168101,256.67845000000005,-10.730386681175526,-10.720128470117631,-10.761460979081527,-10.75097493900949,True
F583-1,13,4.09,62.0,4.5,1.31,25.34,0.0,5.43,0.0,63.0,1,-11.592175443487537,-10.516290474232973,0.43376983392486573,322.77389999999997,-10.7295267479998,-10.720093005558196,-10.749061462939775,-10.73943503704675,True
F583-1,14,4.37,63.0,3.2,4.42,25.74,0.0,4.75,0.0,63.0,1,-11.584759769963451,-10.531150883285397,0.3756636139608854,350.81019999999995,-10.729250446649981,-10.720154209458768,-10.745072674375578,-10.735796458395184,True
F583-1,16,5.4,71.3,2.95,11.25,26.17,0.0,2.77,0.0,63.0,1,-11.550574286642341,-10.515565245341376,0.14144977340046735,468.99695,-10.727976726177364,-10.720218061847607,-10.726654163817152,-10.7187698416693,True
F583-1,18,6.08,73.4,6.0,14.94,25.73,0.0,1.92,0.0,63.0,1,-11.529571891307677,-10.541862004662732,-0.017728766960431602,554.22005,-10.727194195748863,-10.720356450189252,-10.715312938219824,-10.708384836655284,True
F583-1,19,6.43,72.4,5.81,16.72,25.39,0.0,1.61,0.0,63.0,1,-11.518048394902033,-10.578084385752067,-0.09420411963213146,601.88445,-10.726764840599776,-10.720361917117888,-10.709081833604364,-10.702606552698994,True
F583-1,22,10.29,84.7,6.0,31.66,22.09,0.0,0.37,0.0,63.0,1,-11.406129508464275,-10.645999099323157,-0.7328282715969862,1246.33965,-10.670651324787473,-10.670100942828768,-10.648235489925774,-10.6477228817485,True
F583-4,4,3.92,55.0,4.9,8.5,38.26,0.0,9.64,0.0,55.0,1,-11.177292093107756,-10.601911233254109,0.6830470382388496,804.1637999999999,-10.531588299975589,-10.521131802511963,-10.518209093052942,-10.50767811511271,True
F583-4,5,4.35,57.2,4.9,9.17,38.43,0.0,8.68,0.0,55.0,1,-11.212692622525159,-10.613047744590727,0.6374897295125107,822.52135,-10.551153210233053,-10.540036879814966,-10.537968930154682,-10.52678666365578,True
F583-4,6,5.0,59.8,4.9,10.3,39.09,0.0,6.38,0.0,55.0,1,-11.248749359423623,-10.634918181581336,0.5037906830571811,870.1040500000001,-10.571080788526515,-10.560402567335661,-10.558013922772904,-10.547287219850155,True
F583-4,7,5.05,62.5,3.43,10.4,39.06,0.0,6.2,0.0,55.0,1,-11.252622870825375,-10.60088188865265,0.4913616938342727,871.0018,-10.573221572978156,-10.5625658213003,-10.560162578343837,-10.549460026143944,True
F583-4,8,5.83,61.8,3.98,12.1,38.38,0.0,3.7,0.0,55.0,1,-11.30909666322045,-10.673042149803521,0.26717172840301384,882.9222000000001,-10.604433102813779,-10.594651550621686,-10.591387854387019,-10.581588321867098,True
F583-4,9,6.09,64.4,4.9,12.72,38.13,0.0,3.52,0.0,55.0,1,-11.325189763391501,-10.65619610313539,0.24551266781414982,888.7468500000001,-10.613327321792783,-10.603257873729984,-10.600252299740134,-10.590168850926718,True
F583-4,10,6.74,67.2,4.9,14.18,39.23,0.0,2.89,0.0,55.0,1,-11.330984093053692,-10.663271895649808,0.15986784709256668,970.5688499999999,-10.616529690280164,-10.607346571164356,-10.603440390146442,-10.594252507146095,True
KK98-251,7,1.4,21.8,2.0,13.11,10.08,0.0,3.87,0.0,59.0,2,-11.287806534807627,-10.958565593691167,0.2866809693549302,222.6753,-10.584549977750186,-10.573624817828637,-10.576131068839867,-10.565209502279501,True
KK98-251,8,1.57,24.4,2.0,14.44,10.55,0.0,3.42,0.0,59.0,2,-11.263375168102337,-10.910470544953913,0.23299611039215382,264.16485,-10.571553917598742,-10.562458208211746,-10.562626400118479,-10.553532535722677,True
KK98-251,9,1.72,27.3,2.0,15.54,10.95,0.0,3.02,0.0,59.0,2,-11.245674004947961,-10.852553698048174,0.17897694729316943,301.44284999999996,-10.562137932652842,-10.554597715503668,-10.552819888774028,-10.545281420313374,True
KK98-251,10,1.89,30.3,2.0,16.53,11.36,0.0,2.62,0.0,59.0,2,-11.23719680438852,-10.802927092390773,0.11727129565576427,337.76570000000004,-10.557628557073683,-10.551378299136939,-10.548116815472444,-10.541871033486435,True
KK98-251,11,2.06,32.6,2.0,17.3,11.57,0.0,2.28,0.0,59.0,2,-11.239472801889212,-10.776782565455413,0.05690485133647256,366.22245000000004,-10.558839254812387,-10.553412746852647,-10.549379945987743,-10.543963135758572,True
KK98-251,12,2.46,33.3,2.0,18.07,12.23,0.0,1.69,0.0,59.0,2,-11.276804209579808,-10.835397185312878,-0.07314329105030767,401.31135,-10.578697383329606,-10.573700975534745,-10.570053745427579,-10.565086119992113,True
KK98-251,13,2.79,34.6,2.0,18.07,12.94,0.0,1.34,0.0,59.0,2,-11.32190965219548,-10.856802550910183,-0.17392519729917355,410.2467,-10.602690844377522,-10.59735710406141,-10.594924500151098,-10.58963824039738,True
NGC0024,7,0.96,76.4,6.82,6.8,46.75,0.0,191.46,0.0,64.0,1,-10.415089951749199,-9.705435061110327,1.981048058913173,1139.02125,-10.063841277347828,-10.056832491142053,-10.070505841391553,-10.063418043225328,True
NGC0024,8,1.07,78.1,6.65,7.62,50.04,0.0,179.91,0.0,64.0,1,-10.401441412522129,-9.733432255152747,1.9540253078934606,1310.0652,-10.05509091593131,-10.048494459796991,-10.061819317529435,-10.055148079698414,True
NGC0024,9,1.17,80.5,6.14,8.31,52.76,0.0,167.35,0.0,64.0,1,-10.39292635249701,-9.745944646232562,1.9225957210298148,1460.8648999999998,-10.049631734442103,-10.043411999113632,-10.0563867175641,-10.050096518576334,True
NGC0024,10,1.28,82.8,5.8,9.07,55.72,0.0,159.14,0.0,64.0,1,-10.383142617240695,-9.760499841300247,1.9007493580610795,1634.6241,-10.043359178964042,-10.037455314713693,-10.050132022398172,-10.044161012137954,True
NGC0024,11,1.38,85.6,6.48,9.82,58.31,0.0,150.35,0.0,64.0,1,-10.374811971193662,-9.76428210226907,1.8760734367725551,1796.46045,-10.03801822909887,-10.032433129656873,-10.044795508683013,-10.039146788025906,True
NGC0024,12,1.48,88.0,7.5,10.57,61.08,0.0,139.46,0.0,64.0,1,-10.36358184524878,-9.770646916316759,1.8434196652049184,1977.1081,-10.030818362568404,-10.025657967177825,-10.037585809943517,-10.032366474592306,True
NGC0024,13,1.59,92.0,8.52,11.19,63.47,0.0,125.67,0.0,64.0,1,-10.360448258551333,-9.76317201485148,1.7982016194169008,2139.43655,-10.028809355181131,-10.024063532795106,-10.035570798071857,-10.030771502208248,True
NGC0024,14,1.7,92.4,8.52,11.92,65.59,0.0,111.41,0.0,64.0,1,-10.359374493130701,-9.788455524160199,1.7458941785660538,2293.1104500000006,-10.02812094191208,-10.023819036486781,-10.034879998538456,-10.03053073443675,True
NGC0024,15,1.8,95.1,9.2,12.54,66.83,0.0,99.69,0.0,64.0,1,-10.366156821514165,-9.788262016450616,1.6976216003343922,2390.37605,-10.03246923322835,-10.028468364627214,-10.03924054709963,-10.035197326939173,True
NGC0024,16,1.91,96.5,8.52,13.26,68.03,0.0,87.79,0.0,64.0,1,-10.374207580103164,-9.80132928578228,1.6424150533610493,2489.86805,-10.037630741442442,-10.033970039470892,-10.044407955327962,-10.040710604080216,True
NGC0024,17,2.02,101.0,8.86,13.88,68.59,0.0,77.06,0.0,64.0,1,-10.38902292489472,-9.786059167103478,1.585799009013001,2544.9484500000003,-10.047129166092846,-10.043725647922962,-10.053892906688125,-10.050458050475154,True
NGC0024,18,2.13,99.9,9.55,14.61,69.0,0.0,68.97,0.0,64.0,1,-10.403768196534154,-9.818599172208911,1.5376302303249603,2593.9521,-10.056582665392895,-10.053368044513164,-10.06330202713374,-10.060060411889264,True
NGC0024,19,2.23,103.0,8.18,15.23,69.17,0.0,63.99,0.0,64.0,1,-10.41865891567905,-9.811980958859955,1.50508211450511,2624.1973500000004,-10.066129414103647,-10.062973571551781,-10.072773004584999,-10.069592699628686,True
