plateifu,ok,why,mangaid,dapqual,drp3qual,reff_arcsec,ecoo_ell,ecoo_pa,frac_good_1Re,n_spx_1Re,sigma_e_tot_1Re,sigma_e_1Re,v_e_1Re,n_bins_1Re,sigma_e_tot_0p5Re,sigma_e_0p5Re,v_e_0p5Re,n_bins_0p5Re,sigma_e_tot_3kpc,sigma_e_3kpc,v_e_3kpc,n_bins_3kpc,sigma_e_tot_5kpc,sigma_e_5kpc,v_e_5kpc,n_bins_5kpc,Rmax_kpc,Rmax_Re,sigma_e,v_e,sigma_e_tot,vsigma_e,vsys_offset,dlogS_dlogAp,e_sigma_e_tot,med_sigma_astro,med_sigmacorr,frac_sigma_gt50,med_snr_1Re,A_kin,n_asym_pairs,pa_kin_star,n_gas_1Re,pa_kin_gas,v_e_gas
10217-1901,1,,1-458692,0,0,3.57024,0.116338,138.088,1.0,139,104.36571350823861,100.95366884103633,26.468073288739944,139,109.43624290137281,108.64662163539055,13.122609023534794,37.0,102.568780942894,97.10137425120664,33.040549974818504,269.0,102.49794097277373,96.29523079267841,35.11490324980279,309.0,3.6848378181457524,1.7655388116836548,100.95366884103633,26.468073288739944,104.36571350823861,0.2621804001043003,-1.7272506623366353,-0.06844277458644579,0.2554903101038869,97.47300733571588,54.8928337097168,1.0,26.099721908569336,0.02531057459252743,139.0,336.0,127.0,105.0,46.41766733214642
10217-6104,1,,1-458738,0,0,3.39097,0.082459,66.9888,1.0,133,234.19168405043905,233.99493345098506,9.597707937301497,76,235.9485952932711,235.84932526552274,6.843638846803904,35.0,236.80620650287807,236.72521777501427,6.192794817834829,23.0,234.41902227533416,234.2758278278612,8.192343992651766,63.0,16.76212583269392,2.4804751873016357,233.99493345098506,9.597707937301497,234.19168405043905,0.0410167339769001,4.442708642702418,-0.010782734634115523,0.883917134926278,233.7653831911726,39.62352752685547,1.0,16.826111793518066,0.005829296279748357,76.0,82.0,15.0,8.0,169.48784712724992
10218-3703,1,,1-383171,1,0,5.00103,0.3165,169.635,0.9569377990430622,209,147.20471198346092,124.25017047964577,78.93745857267412,200,150.95903475299184,144.21378868641943,44.62077236292267,53.0,146.72962794905914,122.43117240766856,80.87145195279388,221.0,144.40805401693,108.79470267403083,94.95998491483559,521.0,6.461078098842076,2.240558624267578,124.25017047964577,78.93745857267412,147.20471198346092,0.6353106661178012,22.98862397965684,-0.03633325092915362,0.1964661178681168,107.74654331909446,23.039634704589844,1.0,32.88305473327637,0.022219551244064897,200.0,5.0,200.0,8.0,84.78749848677234
10219-12701,1,,1-384262,0,0,12.9645,0.326926,137.174,0.9526501766784452,1415,63.77105011729241,49.87477581866303,39.73982347847466,381,58.122869871141475,51.931975863122126,26.102449789430622,296.0,60.79022841072962,51.98295288541712,31.515464133361302,349.0,66.48993106970491,50.55009141742196,43.19258259637172,385.0,6.228760991777693,1.4053138494491577,49.87477581866303,39.73982347847466,63.77105011729241,0.7967920221428666,-8.804238383756957,0.13379569909065658,1.0790090138797388,49.899560031540275,23.142858505249023,0.49868766404199477,11.42790699005127,0.05581340109835247,376.0,138.0,1415.0,133.0,44.63709677127524
10219-1901,1,,1-384189,0,0,3.68674,0.323042,113.06,1.0,118,53.86351992186381,53.36307237079162,7.325386373610328,97,53.48774824554228,53.13549377505883,6.128500114970601,28.0,57.75313822934795,56.79600644932363,10.470846515280412,138.0,57.75313822934795,56.79600644932363,10.470846515280412,138.0,2.1776512690952847,1.7219184637069702,53.36307237079162,7.325386373610328,53.86351992186381,0.13727444931787497,6.853749795973115,0.010100041804385916,0.5898558349678868,50.87337342616375,58.409610748291016,0.5154639175257731,16.4578857421875,0.03644695755912812,97.0,104.0,0.0,,
10220-3701,1,,1-201961,0,0,2.85817,0.434824,145.084,1.0,58,66.76699154430915,59.5364226016368,30.219952741147054,43,61.16681553876394,58.818720172048735,16.785037398689358,15.0,68.92031756395954,57.493944393586865,38.00600651455203,61.0,75.7884740244202,57.0378755223069,49.90564648265804,80.0,4.838249683380127,2.2052292823791504,59.5364226016368,30.219952741147054,66.76699154430915,0.5075876483770497,4.072290077396992,0.12638586668864582,1.1537692372688295,58.341613121576756,27.47964096069336,0.813953488372093,16.36957359313965,0.016998226775296815,43.0,155.0,58.0,163.0,7.028187777226417
10220-6104,1,,1-202008,0,0,5.14422,0.483491,148.354,1.0,170,122.13504637828804,101.31825998095317,68.20249077752625,146,112.90748163647346,105.96229109035748,38.988360780788625,43.0,116.18867841209308,102.70416814928585,54.32920794482468,90.0,125.94364580483236,100.6031362776803,75.7681390144139,185.0,10.150445529392789,2.5114641189575195,101.31825998095317,68.20249077752625,122.13504637828804,0.6731510271726701,10.04023665074089,0.11333615065233647,0.649808339695449,100.36088944919226,46.212608337402344,1.0,15.42838430404663,0.024928039930016157,146.0,330.0,170.0,327.0,101.51704154476982
10221-3701,1,,1-298596,0,0,2.77733,0.429391,38.2737,1.0,57,93.70649708228092,86.47123941894158,36.10584923227268,57,92.9066908482374,90.9418163974233,19.006294607505975,15.0,96.58019659709215,82.91065009799414,49.53340766655324,101.0,101.73368273104003,79.46380599926552,63.52358410961242,151.0,5.870639256068639,2.6755809783935547,86.47123941894158,36.10584923227268,93.70649708228092,0.4175474929571054,5.489402232224997,0.012366581007232862,0.3991109373729777,86.22856645471064,31.6000919342041,1.0,25.36315155029297,0.021680552648265274,57.0,38.0,57.0,37.0,44.78299317440234
10221-6104,1,,1-298693,1,64,6.24884,0.378616,132.457,1.0,305,93.99887772240787,83.27058842195885,43.6096103735509,305,98.99559284601938,96.09105449620199,23.80413091761134,79.0,94.30252262686555,84.50378186240172,41.85781438085501,280.0,93.29564184929636,73.97729320471295,56.84572875930177,675.0,7.220177650451661,2.305553436279297,83.27058842195885,43.6096103735509,93.99887772240787,0.523709645866401,1.8895279506476035,-0.07472076755699414,0.16009948055257794,73.14917706371143,45.379295349121094,0.9770491803278688,27.445751190185547,0.016012191807149065,305.0,291.0,305.0,213.0,57.59266296035562
10492-12701,1,,1-380045,0,0,20.4781,0.340492,121.978,0.7524666279744632,3446,121.46387243817463,99.09849987012585,70.23503136731574,1235,124.22918328256262,114.7806085775997,47.5215937612406,748.0,129.78985043372583,126.34657571796664,29.69761067751149,259.0,124.66045039917815,116.70882464407293,43.80956680823253,671.0,11.249446868896484,1.0247619152069092,99.09849987012585,70.23503136731574,121.46387243817463,0.7087396021066181,-3.2202773612414424,-0.032476853721593014,0.2924915296259939,90.67338651026273,30.524906158447266,0.977327935222672,12.608339309692383,0.03868004795777888,1219.0,281.0,2583.0,285.0,81.67197557591179
10492-3703,1,,1-380384,0,0,4.12668,0.509733,135.878,0.9813084112149533,107,61.90991082009186,47.1522804833917,40.118568057288456,48,51.58623527604335,45.670549485374835,23.986258142095185,25.0,62.452355464903775,47.84793640535839,40.13566599501589,51.0,73.79365839846598,47.24463366320238,56.68728790354407,62.0,3.711291721888951,1.645274043083191,47.1522804833917,40.118568057288456,61.90991082009186,0.8508298569232361,4.762476893912017,0.26318421755838906,1.289532535132093,47.04841592088367,25.682727813720703,0.3333333333333333,11.462585926055908,0.022244312175284116,48.0,311.0,103.0,310.0,33.007204973635574
10492-3704,1,,1-380299,0,0,3.81155,0.519054,3.06221,1.0,87,116.90950042912448,101.47767977797906,58.05266399972867,87,115.71073073619742,111.35006080062253,31.466445099541335,21.0,116.05124085718893,104.04332807618171,51.408913500727635,73.0,121.47898541183343,91.91408921650826,79.4288618840041,158.0,8.113179888044085,2.4429163932800293,101.47767977797906,58.05266399972867,116.90950042912448,0.572073229568718,-5.952108457796819,0.014869509779051951,0.42991585229812607,103.4174789556795,43.33447265625,1.0,20.443185806274414,0.01110843283913187,87.0,7.0,87.0,9.0,77.09914459500273
10492-9102,1,,1-380300,0,0,8.02411,0.364206,173.433,1.0,513,100.66450790912866,87.10015257604472,50.46688591360434,510,103.55830815077003,100.53500879192119,24.840193120388015,125.0,101.63502923368331,94.7582523417279,36.74986776130061,259.0,101.08610070520128,82.98857980031309,57.71737501402121,676.0,9.452736718314036,2.2199182510375977,87.10015257604472,50.46688591360434,100.66450790912866,0.5794121413225207,2.94406773224445,-0.040888190532307016,0.16532045385255364,79.62354361802183,24.282272338867188,0.9784313725490196,19.590765953063965,0.013530003570394772,510.0,338.0,513.0,334.0,76.23819448920197
10493-3704,1,,1-46056,0,0,2.50665,0.089663,51.7926,1.0,70,86.6040604688524,82.49178435062596,26.369846498272665,70,89.50285059349547,88.1285028603217,15.62457192885109,19.0,83.5276914199745,75.56243683803415,35.597659656901364,137.0,84.72961679001277,71.93857979854519,44.765485565899546,154.0,4.236548628125872,2.688666582107544,82.49178435062596,26.369846498272665,86.6040604688524,0.3196663365431562,-48.06339499468588,-0.047498963861282995,0.4637172142224197,81.04101933720179,35.33476257324219,1.0,26.174619674682617,0.02558195067240239,70.0,258.0,70.0,232.0,13.18151989886298
10493-6101,1,,1-351913,0,0,3.69954,0.293242,109.22,1.0,123,227.08898220902944,226.364748880766,18.12198402164146,99,228.1935464701349,227.95467595214288,10.438408028581152,28.0,228.56878208739388,228.32333946255955,10.589655404183496,33.0,227.513000145916,227.07608256394303,14.093188525273558,81.0,14.470505033220565,2.500704050064087,226.364748880766,18.12198402164146,227.08898220902944,0.08005656406858173,24.462971579005472,-0.007000279641812906,0.5948648498410284,226.27199446692802,34.684810638427734,1.0,19.018461227416992,0.009609258229481075,99.0,119.0,0.0,,
10497-12702,1,,1-383052,0,0,9.68438,0.223271,65.4909,1.0,913,264.0094388052737,260.5752231326316,42.44451516574082,78,240.47445538512903,240.11128411876743,13.211166928434544,67.0,228.93890347888785,228.874143262054,5.445004332075024,23.0,231.5683784619623,231.28183266081732,11.516413702030455,48.0,30.993818555559432,1.6741770505905151,260.5752231326316,42.44451516574082,264.0094388052737,0.16288776290958695,18.860322084622954,0.13470585885128544,6.6371226211428445,235.15801393023867,30.84746551513672,1.0,11.422264575958252,0.06546203884197832,70.0,192.0,143.0,311.0,135.24930146446567
10498-3702,1,,1-299570,0,2,6.98533,0.107748,66.5603,1.0,545,260.2614140763127,257.0837229648819,40.545814130656915,87,258.3656247810816,257.3213300116226,23.206231696857685,70.0,264.4915211333623,264.0765974912463,14.809301431402497,33.0,260.7474715454142,259.85667293545924,21.534935529050653,62.0,12.001777376447405,0.9607224464416504,257.0837229648819,40.545814130656915,260.2614140763127,0.15771443506050187,15.163105214692436,0.010547301979364133,3.8136644778079725,258.12708305382034,22.096498489379883,1.0,12.469876289367676,0.0331614231143621,86.0,244.0,112.0,254.00000000000003,109.96203754612529
10498-6104,1,,1-385828,0,0,3.45959,0.311108,131.192,1.0,101,114.9179751804705,103.13538952106663,50.687596588485974,101,113.780478066566,111.07892787285995,24.646885638398313,25.0,115.38920565241044,105.33028157907796,47.119004271805416,79.0,114.70914027578735,95.41282220025322,63.67558576560665,167.0,9.04134818485805,2.6391775608062744,103.13538952106663,50.687596588485974,114.9179751804705,0.4914665744112251,-8.231636805585328,0.014351430494148238,0.42189574336048363,100.41460904417319,47.277252197265625,1.0,21.874740600585938,0.022574721958432967,101.0,330.0,101.0,330.0,94.15654520995636
10502-12701,1,,1-230783,0,4096,4.06426,0.41634,74.7057,1.0,121,133.775439605423,111.65601485710698,73.68040843978596,121,130.37032105979569,122.98078505687647,43.26831542859685,31.0,134.65185798334778,105.44130022620531,83.74517935364933,212.0,135.88784607217235,97.5678989059282,94.58335907133444,359.0,10.95249857221331,4.858177661895752,111.65601485710698,73.68040843978596,133.775439605423,0.6598874994247222,-40.13698990546435,0.03719779394212252,0.33012422254272766,106.99641033378586,26.92884063720703,1.0,30.0544490814209,0.022998359449165257,121.0,255.00000000000003,121.0,248.0,70.59509972291524
10504-3701,1,,1-300675,0,0,4.38912,0.332961,19.5587,0.8363636363636363,165,40.22212880287193,38.140115107317726,12.773067957048296,56,42.920653828532174,41.98083981026121,8.932615176636736,32.0,38.49220852039544,36.19548340639846,13.097217175978159,65.0,38.49220852039544,36.19548340639846,13.097217175978159,65.0,2.8855626923697337,1.399957299232483,38.140115107317726,12.773067957048296,40.22212880287193,0.33489851619765043,1.6796371609785226,-0.09368261347334021,0.8259216790574841,40.29487147809746,28.86249351501465,0.017857142857142856,14.304426193237305,0.03165675769411905,56.0,23.0,5.0,,
10504-3704,1,,1-300695,0,0,3.97638,0.251421,47.1915,1.0,148,155.57026552879486,143.60520068065762,59.83020854190454,148,162.5754590237367,158.31052297643066,36.994029135898494,37.0,148.74696752673296,130.13074420932455,72.0531037494312,399.0,145.0775667455557,125.15674184893511,73.37090937537975,448.0,4.213704041072301,2.4431753158569336,143.60520068065762,59.83020854190454,155.57026552879486,0.4166298174322537,18.063418931408567,-0.06354315581874379,0.18837901707175425,126.2813650776491,38.939361572265625,1.0,34.98302459716797,0.007922254529459646,148.0,228.00000000000003,41.0,212.0,61.72862662626933
10504-6101,1,,1-300696,0,0,3.51782,0.495213,57.5512,1.0,78,48.68910330375525,45.113282331687,18.314489831421668,62,45.48996269576227,44.627159874865306,8.817783597086926,20.0,53.57701198813261,46.98479340350764,25.747337773179783,80.0,57.573365712850354,50.727834699699876,27.228279897664073,82.0,3.1037330627441406,1.9890503883361816,45.113282331687,18.314489831421668,48.68910330375525,0.40596668840825617,13.384076846290643,0.09805067952036997,0.8240938135401614,45.075746126016,39.38921356201172,0.1935483870967742,14.743882656097412,0.03453158150493443,62.0,59.99999999999999,8.0,,
10504-6104,1,,1-232100,0,0,6.36046,0.13202,74.9364,1.0,447,121.41376690251154,103.01642719301749,64.25666130326981,216,129.8141383301979,124.19683470907577,37.77375753957059,115.0,134.4578342235532,132.1487811470085,24.811465604606454,49.0,128.44636568975253,122.12522496070191,39.79821964866751,129.0,13.66438320704869,1.488120675086975,103.01642719301749,64.25666130326981,121.41376690251154,0.6237516001489242,7.115625523905363,-0.09651550320922309,0.5996962647008333,105.7685931947681,47.79045867919922,1.0,12.74025583267212,0.017706923968014286,216.0,76.0,447.0,77.0,89.11575708321223
10504-9101,1,,1-300699,0,64,7.63894,0.417281,153.73,0.9718969555035128,427,100.60830554310856,80.1060403008562,60.869150245202974,310,101.63867864741131,91.62203650056344,43.99799341653165,95.0,100.66069736661323,80.03535623729908,61.04848684694427,313.0,98.32323015056602,72.88969037973374,65.98901896215557,386.0,6.038293838500977,2.018171548843384,80.1060403008562,60.869150245202974,100.60830554310856,0.7598571845093732,-11.499841758273764,-0.014700115652484165,0.37686308109672817,74.48018677385937,26.8031005859375,0.9548387096774194,14.312782287597656,0.11097107564178918,310.0,334.0,402.0,334.0,59.861853632211634
10505-3702,1,,1-231866,0,0,4.20544,0.35036,124.45,1.0,144,60.57002637626974,53.842493744418285,27.743719336172095,102,58.58387435750928,56.58816501320938,15.160801930446157,35.0,63.83103436444147,54.109242219804486,33.86134749877854,123.0,66.95923071015653,57.2501987448429,34.72683862622623,131.0,3.319833278656006,1.7492910623550415,53.842493744418285,27.743719336172095,60.57002637626974,0.5152755269447046,16.71287115066756,0.048100432771422626,0.6268481708145933,54.665240826413594,27.391189575195312,0.7745098039215687,14.139705657958984,0.041407586788624745,102.0,304.0,1.0,,
10505-3704,1,,1-300680,0,0,2.80808,0.240161,30.3842,1.0,77,50.15534979481157,49.71147600792799,6.657947593147965,44,51.28781723883207,51.20776824441776,2.8643792608243808,19.0,57.94069441528768,56.017554613872655,14.803973939707658,59.0,57.94069441528768,56.017554613872655,14.803973939707658,59.0,2.4843432222093855,1.8662102222442627,49.71147600792799,6.657947593147965,50.15534979481157,0.1339318026301644,22.32127418953807,-0.03221257950446979,1.2347858627297505,47.801610455798325,40.46289825439453,0.36363636363636365,13.564750671386719,0.0388937845405605,44.0,82.0,4.0,,
10505-9102,1,,1-300676,0,0,3.63289,0.080633,116.468,1.0,151,49.730264432270346,49.208690564576436,7.183590566234939,96,52.00130559957439,51.77316051557908,4.865761429458889,39.0,49.14571991545275,48.021477982712895,10.451767236403127,116.0,50.76371275285021,49.56620794095113,10.961093139294112,119.0,3.049443108694894,1.9741675853729248,49.208690564576436,7.183590566234939,49.730264432270346,0.14598215241691773,4.382526044154669,-0.06442374308242536,0.7597523941631925,48.27598450503521,16.43602752685547,0.3958333333333333,14.239484786987305,0.027636226102816807,96.0,113.0,0.0,,
10506-3704,1,,1-231847,0,0,4.93398,0.22117,6.07515,0.8,235,42.54057534249445,40.4057252035852,13.307062833052475,28,39.09984221454388,38.306927860745134,7.834343563687763,23.0,49.26711466607292,45.06736789813795,19.904294467623362,33.0,49.26711466607292,45.06736789813795,19.904294467623362,33.0,2.393171957560948,1.077284336090088,40.4057252035852,13.307062833052475,42.54057534249445,0.32933607220275163,3.6730872561700867,0.12167675962307523,4.422459577370018,39.04829542407634,48.945281982421875,0.14285714285714285,10.803556442260742,0.030807371735808074,26.0,167.0,0.0,,
10506-6101,1,,1-300672,0,0,6.43741,0.131768,108.346,1.0,453,85.4487907574916,71.13771950732398,47.33836398963191,375,87.37621796333757,81.23244869776053,32.185287697057774,115.0,85.79995747095842,71.71576564982678,47.10076070805438,366.0,85.10634356065452,64.96247561173068,54.981510316282304,427.0,5.0364548819405695,1.6148329973220825,71.13771950732398,47.33836398963191,85.4487907574916,0.6654467463601809,4.873142286883255,-0.032180585276045635,0.22358813594179308,63.34920650729114,48.109100341796875,0.8133333333333334,15.100852012634277,0.030381758796830537,375.0,285.0,453.0,286.0,56.57354034082919
10506-6102,1,,1-231892,0,0,6.80143,0.253899,9.69363,0.9379310344827586,435,63.543958513615465,56.58290998962544,28.91727789204974,121,60.609861076839586,57.78845902681977,18.277014610142608,84.0,63.543958513615465,56.58290998962544,28.91727789204974,121.0,68.05274129278317,55.936865060002724,38.7587760993755,132.0,4.230237007141113,1.3051984310150146,56.58290998962544,28.91727789204974,63.543958513615465,0.5110602812289393,-4.7475782342641715,0.06820243074280284,1.449870447880563,59.32141298466215,30.270841598510742,0.859504132231405,10.793460845947266,0.07897936367557919,121.0,165.0,435.0,173.0,34.386558123226294
10506-6104,1,,1-232171,0,0,3.97069,0.170201,119.181,0.7080745341614907,161,48.186577542000954,43.6752974047272,20.357176911838728,111,48.459124212624836,47.14192820114995,11.221645375444082,37.0,48.49874477288518,43.95601851858305,20.49382054521416,110.0,59.789672020811,54.023653045693834,25.61737285426913,147.0,6.643106596810478,2.183137893676758,43.6752974047272,20.357176911838728,48.186577542000954,0.4661027656708152,-6.023305353144267,-0.00813699451356029,0.7774601460797823,41.45759722985508,50.60247039794922,0.26126126126126126,15.511716842651367,0.05219940187081642,110.0,116.00000000000001,161.0,111.0,28.272411012366693
10507-12701,1,,1-174759,0,0,9.05447,0.201354,169.35,1.0,820,216.10924233699777,215.04461195344032,21.42474021465601,320,221.95432576060836,221.78156629238757,8.755545485094084,205.0,222.42064978943685,222.36859020975461,4.812020457306935,47.0,223.33021480635028,223.22587995913256,6.82578654233311,126.0,20.96087319510324,1.6485638618469238,215.04461195344032,21.42474021465601,216.10924233699777,0.09962928166409822,8.697292828075353,-0.03850205301445021,1.0115860549449833,220.26091551030532,24.080448150634766,1.0,13.906050205230713,0.02794290878480546,316.0,151.0,28.0,48.00000000000001,61.05231464295558
10507-1901,1,,1-175153,0,0,1.88082,0.290583,167.148,1.0,31,70.59442592778,69.77570666443181,10.720248670249362,31,69.78431982048261,69.6825855890008,3.7667702928345554,9.0,72.83570857287039,68.3177373139163,25.25326140558551,199.0,73.67527736144814,69.20602061502173,25.270006033230374,209.0,3.47834553037371,3.5989608764648438,69.77570666443181,10.720248670249362,70.59442592778,0.1536386972303358,-4.437339012101964,0.016651367437324583,0.437431515065771,69.26033602191039,50.686073303222656,1.0,48.54186248779297,0.00519202097924064,31.0,349.0,31.0,78.0,8.494375776122402
10507-3701,1,,1-280132,0,0,5.26245,0.465141,23.1462,1.0,184,131.67604614761723,113.53466338847123,66.69678656679014,182,127.13227653384631,120.30474790910891,41.10210903596221,46.0,132.4565978218116,113.10935964644824,68.92766546822529,201.0,140.88968473557583,115.44434821433957,80.7620314891612,326.0,6.613842419215612,2.346843957901001,113.53466338847123,66.69678656679014,131.67604614761723,0.5874574740102043,18.5346103290907,0.05066257111036817,0.3032638214143308,110.76136410835193,32.916282653808594,1.0,20.094919204711914,0.023984966121549905,182.0,202.0,183.0,201.0,92.9244522277901
10507-6102,1,,1-280245,0,0,5.59265,0.318122,94.7561,0.9924528301886792,265,74.91091154315329,63.418177973915604,39.87203745352,263,65.78291947874955,61.90055723012497,22.264624626246693,65.0,75.61427341315937,63.453202168852194,41.124317359912375,277.0,82.87283491370137,65.2184802917196,51.13175720696661,562.0,6.569222041538784,2.248746156692505,63.418177973915604,39.87203745352,74.91091154315329,0.628716225021786,3.6190392669521376,0.187462840211806,0.3988523125330869,62.64050409420305,36.5052604675293,0.8517110266159695,21.717674255371094,0.036055423386304145,263.0,269.0,265.0,273.0,49.70204440154894
