kind	value	source
mangaid	1-121784	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-121803	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-121851	runs/gravity/roadmap/item-02-manga-nonlocal-shape-v4-source/manga-sample-manifest.json
mangaid	1-121911	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-121959	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-121992	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-122054	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-122119	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-122141	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-122206	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-122361	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-122388	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-122507	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-122586	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-122611	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-122623	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-122711	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-122869	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-123021	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-123195	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-123312	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-131087	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-131263	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-131338	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-131378	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-132011	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-133948	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-133949	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-133972	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-133987	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-134004	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-134010	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-134239	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-134248	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-134271	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-134293	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-134308	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-134361	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-134964	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135055	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135057	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-135072	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135078	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135091	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-135093	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-135115	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135117	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135142	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135152	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-135163	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135207	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135239	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135244	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135371	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135502	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-135512	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135517	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135520	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135543	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135545	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-135551	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-135554	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135556	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135606	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135625	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-135767	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135794	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-135810	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-136120	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-136125	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-136450	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-137801	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-137844	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-137870	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-137890	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-137912	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-138102	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-138157	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-138164	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-14057	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-14092	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-14130	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-14152	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-145679	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-145771	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-145802	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-145806	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-145958	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-145978	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-145995	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-146266	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-146344	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-146408	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-146420	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-146432	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-146543	runs/gravity/roadmap/item-02-manga-nonlocal-shape-v4-source/manga-sample-manifest.json
mangaid	1-146605	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-147485	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-147488	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-147514	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-147521	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-147537	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-147546	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-147547	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-147548	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-147787	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-147863	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-148068	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-148489	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-148512	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-148530	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-148554	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-148581	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-148582	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-148596	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-148652	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-148653	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-148685	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-148907	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-148914	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-148949	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-149200	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-149228	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-149323	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-149454	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-149496	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-149536	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-149541	runs/gravity/roadmap/item-02-manga-nonlocal-shape-v4-source/manga-sample-manifest.json
mangaid	1-149556	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-149622	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-149650	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-149695	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-149720	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-149758	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-150173	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-150245	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-150286	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-150337	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-150387	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-150467	runs/gravity/roadmap/item-02-manga-nonlocal-shape-v4-source/manga-sample-manifest.json
mangaid	1-150962	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-150991	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-151019	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-151055	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-151202	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-151266	runs/gravity/roadmap/item-02-manga-nonlocal-shape-v4-source/manga-sample-manifest.json
mangaid	1-151780	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-151874	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-151896	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-151970	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-152018	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-152019	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-152028	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-152047	runs/gravity/roadmap/item-02-manga-nonlocal-shape-v4-source/manga-sample-manifest.json
mangaid	1-152056	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-152133	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-152201	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-152563	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-152566	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-152587	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-152632	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-152742	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-152770	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-153035	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-153082	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-153127	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-153153	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-153260	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-153263	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-153339	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-153360	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-153402	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-153556	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-153627	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-153942	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-155440	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-155463	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-155926	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-155978	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-156074	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-163516	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-163876	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-163908	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-163965	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-164053	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-164062	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-164064	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-164148	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-164244	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-164256	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-164367	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-166488	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-166600	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-166670	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-166691	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-166736	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-167075	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-167141	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-167242	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-167337	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-167342	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-167356	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-167380	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-167488	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-172987	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-173397	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-173446	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-173583	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-173592	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-173626	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-173872	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-173958	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-174124	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-174373	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-174618	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-174826	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-174904	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-174951	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-175184	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
mangaid	1-175187	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-175200	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-175928	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json
mangaid	1-175935	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json
mangaid	1-176142	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json
mangaid	1-176187	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json
