plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip
11979-12702	177.8838	0.9064544	-134.2913	108.9495
11983-9102	217.2686	0.9646376	-2.971132	45.17704
11984-3702	200.236	1.096358	-217.4049	211.832
12066-6102	200.8844	1.129872	-100.6465	52.44598
7443-6104	138.3847	0.9859253	-151.7757	134.9763
7961-9101	222.4874	0.9122308	-16.2104	28.60841
7962-3703	178.5773	1.417298	-181.4899	169.4771
7962-6103	223.8997	0.9356947	-49.62946	111.7405
7963-12704	117.4074	0.930241	-139.0435	116.2171
7963-12705	84.99747	0.9167263	-123.7392	108.5446
7963-3703	143.9774	1.229207	-171.7921	166.7582
7964-12702	164.5193	0.9087884	-198.8898	184.3927
7964-6104	168.975	1.011503	-155.6968	199.2868
7968-12704	188.7565	0.9121822	-146.9147	449.0662
7968-6101	96.45325	0.9931478	-84.52242	72.03136
7968-6102	129.6174	0.9774147	-112.7262	127.3631
7968-6104	198.1348	1.012075	-19.90967	50.70915
7975-9101	70.02174	0.9362783	-129.1082	134.7458
7979-6101	241.7851	1.034891	-23.76278	29.08299
7992-12705	205.0323	0.9408353	18.32284	48.66291
8079-6104	271.949	0.968574	-24.87732	52.12911
8085-3702	321.3796	1.05391	-0.8617631	60.40574
8091-12702	150.5907	0.8552354	-113.1678	363.7079
8091-3702	168.9823	1.014167	-137.727	125.3004
8097-6103	235.7893	1.011358	-70.43651	56.91917
8097-6104	220.2575	0.9711835	-96.41788	151.9791
8097-9102	169.5996	0.9794006	-174.9798	194.1444
8134-12704	93.67951	0.9192198	-119.6909	135.8394
8135-3703	206.7376	0.9548713	-9.250769	29.27964
8137-3704	68.2635	1.033833	-131.7262	117.6644
8138-3701	63.75367	0.9250757	-108.3028	78.33347
8138-3703	227.4616	1.123236	-21.63717	53.51112
8140-1902	63.66523	1.134497	-69.18057	33.91924
8143-12705	50.72006	0.9464636	-115.9534	96.40849
8144-6104	130.1357	0.9636611	-99.83249	113.7717
8146-3704	199.6952	1.115144	-23.7706	20.78092
8148-12702	269.5501	0.8734227	-39.0372	59.7928
8150-1901	300.2409	1.020189	-68.9281	40.01167
8150-3703	3.115719	1.172436	-51.99	14.61605
8153-3704	125.9787	1.369956	-153.4445	158.85
8153-6101	243.0847	1.063564	-37.90838	60.31672
8239-12702	157.8463	0.9091369	-220.4341	229.9945
8241-3702	223.1595	1.252164	-125.9043	139.1015
8241-9102	167.241	1.033794	-184.0386	178.5475
8245-12705	212.2159	0.9023125	-179.4912	158.9823
8245-6101	355.9389	1.037253	-1062.942	251.3057
8245-6103	49.8274	0.8443286	-35.17697	17.64044
8248-1902	202.216	1.232002	-66.19035	102.8826
8253-12705	171.2323	0.9116058	-397.4333	20.30218
8257-6103	121.2191	0.8990129	-124.7861	134.1198
8257-6104	297.5823	0.9587501	2.681408	493.4988
8258-12703	83.61098	0.8980922	-166.6446	179.4807
8258-3704	71.01273	1.04812	-101.4928	103.653
8258-6102	215.7643	0.9319953	-140.0553	128.0675
8259-3703	280.5053	0.9447704	-74.13181	87.9103
8259-3704	114.7458	1.154343	-33.59254	48.38272
8260-3702	178.1387	1.31895	-67.30717	102.2557
8261-3703	291.6165	0.9831886	8.763312	56.87108
8261-6101	257.459	0.9303335	-45.7935	68.33044
8274-12704	235.3582	0.9044088	-331.3334	5.922815
8274-6104	207.312	0.9530703	-112.1607	122.7952
8309-12703	189.672	0.9344358	-247.6912	156.5981
8309-12704	313.1164	0.9587803	-15.1026	59.92622
8309-6102	298.8046	0.959049	-36.45304	33.16357
8310-6101	240.1385	0.9841631	-32.72002	39.36275
8311-6101	238.1015	1.005979	-125.2687	128.788
8312-1902	162.8388	1.096627	-78.94055	116.949
8312-3703	69.45659	0.9141718	-72.90444	85.49396
8312-6104	38.56152	0.9229837	-83.83224	80.3859
8312-9101	148.4126	0.901625	-89.90083	127.6673
8313-3704	250.7146	1.105656	-5.011297	61.35069
8314-6103	287.2018	0.9172606	-179.1033	191.8422
8315-12702	247.4037	0.8789842	-2.076393	45.24813
8318-12701	207.3954	0.8927603	-120.3673	116.4948
8320-6102	105.3621	0.9535824	-60.0386	84.29969
8322-6102	91.20161	0.9590961	-71.26872	139.587
8323-12705	122.3766	0.9273311	-223.9769	208.6591
8323-6101	127.6824	0.9830011	-139.596	158.6982
8325-6102	223.1366	1.043966	-95.04483	88.59454
8325-9102	113.2433	0.9208255	-63.89558	31.26332
8326-3702	233.6701	0.9990702	-168.1265	159.5329
8326-3703	237.7509	1.163154	-62.88715	77.74158
8326-6101	172.6429	1.257162	-169.3024	180.8235
8326-9101	199.4539	0.9809604	-21.57986	11.72326
8327-3701	249.142	1.386514	-248.5802	270.5693
8327-3704	235.2237	0.9830369	-71.65923	10.46249
8327-6103	155.0273	0.9026906	-162.2331	173.8491
8327-6104	131.5527	1.013564	-123.0488	164.5136
8328-3702	195.3765	0.9359763	-0.1569632	29.10901
8328-6101	324.2031	1.000808	165.3638	875.1042
8328-6102	243.4031	0.9456246	-33.32275	82.46854
8329-12705	240.3382	0.9617622	-69.8709	49.36481
8329-3703	223.5628	0.9021067	-6.031245	23.24541
8331-12702	183.8561	0.928121	-104.8374	135.4904
8331-9101	262.3503	0.8681399	-17.02274	65.28915
8331-9102	241.1483	0.8734637	-22.66709	43.66403
8332-12702	140.019	0.8775573	-210.9908	247.2784
8332-6101	185.0343	1.068576	-191.6346	241.4935
8333-12701	250.9545	1.001684	-140.0969	64.63931
8333-12702	229.8763	0.8742468	-182.8523	55.28914
8333-12704	227.9154	0.9017901	-15.04867	26.74418
8333-3701	96.49951	0.9069987	-80.34501	130.423
8333-3703	300.2747	0.8730341	-82.54717	81.61111
8335-6104	167.9838	0.9838089	-86.68172	92.38345
8336-6103	297.2551	0.9391017	-99.21855	131.2115
8336-6104	263.7957	0.9400171	-21.79906	46.7106
8337-3702	305.1932	0.9622394	-4.31208	47.6157
8341-6103	77.97538	0.9911568	-115.4693	84.47228
8440-12702	231.9044	0.8839473	-30.38488	33.07751
8442-3704	110.3691	1.043779	-96.61685	104.3567
8442-6104	40.53505	0.9095584	-55.71484	47.2291
8444-12704	73.83259	0.8967767	-123.1075	101.5085
8444-3703	68.41502	0.9187315	-40.72723	40.39886
8444-9101	141.5686	0.9454803	-149.5299	168.3455
8445-6103	120.6991	0.9219614	-132.3497	162.7823
8446-6103	160.0435	0.9313257	-3.622342	29.26426
8447-3702	275.1413	1.006505	-34.47705	56.32568
8452-3702	286.5616	0.9804142	-64.66932	113.4653
8452-6103	218.0997	0.9055254	-20.83778	62.30181
8452-9101	269.964	0.9016626	-1.810241	52.279
8455-6103	256.0606	0.991828	-75.44782	39.48608
8458-9101	209.414	0.9667096	-22.24358	35.708
8459-6103	232.8231	0.9089881	-712.6438	337.3351
8461-3701	219.5852	1.079682	-30.6934	57.09527
8461-3703	242.4792	0.911146	-49.156	73.2347
8461-3704	142.3017	1.043709	-158.6756	137.3725
8465-12703	72.18954	0.8961374	-163.6408	156.812
