ra_deg	dec_deg	source	identity
2.485590000000e+00	-2.496313000000e+01	item12_legacy_predecessor_coordinate_union	legacy-32
2.485590000000e+00	-2.496313000000e+01	item12_legacy_predecessor_coordinate_union	legacy-522
2.485600000000e+00	-2.496310000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4508
2.513750000000e+00	2.814972222222e+01	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC91
2.577916666667e+00	2.913805555556e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
2.583300000000e+00	-4.641940000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3071
2.606250000000e+00	1.428972777778e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J001025.49+141723.0
2.607917000000e+00	2.583194400000e+01	runs/gravity/roadmap/item-28-periodic-gravity-v1-source/sample-manifest.json	UGC 94
2.636500000000e+00	2.899620000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4509
2.670300000000e+00	3.298310000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4506
2.695400000000e+00	3.335280000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4507
2.802500000000e+00	-3.357860000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3321
2.842875000000e+00	6.389400000000e+00	runs/gravity/roadmap/item-27-gravitational-memory-v1-source/sample-manifest.json	NGC0036
2.865833333333e+00	2.779027777778e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
3.037900000000e+00	1.204500000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5072
3.118916666667e+00	1.417773888889e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J001228.53+141039.8
3.262100000000e+00	-2.421470000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3705
3.362200000000e+00	1.748640000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4151
3.433416666667e+00	3.717944444444e-01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J001343.98+002218.2
3.462100000000e+00	3.599420000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5073
3.462210000000e+00	3.599350000000e+01	item12_legacy_predecessor_coordinate_union	legacy-96
3.503220000000e+00	1.296388000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2280
3.516250000000e+00	-2.318222222000e+01	item12_legacy_predecessor_coordinate_union	legacy-5905
3.516250000000e+00	-2.318222222000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	NGC0045
3.581370833333e+00	-3.039173333333e+01	runs/gravity/roadmap/item-15-accept-lc2-timescale-ratios-v2-source/sample-manifest.json	
3.723300000000e+00	-3.919660000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4510
3.723340000000e+00	-3.919663000000e+01	item12_legacy_predecessor_coordinate_union	legacy-33
3.723340000000e+00	-3.919663000000e+01	item12_legacy_predecessor_coordinate_union	legacy-523
3.785416670000e+00	-3.922027778000e+01	item12_legacy_predecessor_coordinate_union	legacy-5855
3.838625000000e+00	1.467806388889e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J001521.26+144040.9
3.880833330000e+00	-3.218000000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5880
3.880833330000e+00	-3.218000000000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	ESO410-005
4.004583333333e+00	1.602583333333e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
4.292500000000e+00	-1.930150000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3900
4.376250000000e+00	-6.824722222222e+00	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
4.376500000000e+00	-6.824600000000e+00	item12_legacy_predecessor_coordinate_union	legacy-4511
4.399500000000e+00	3.020500000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5074
4.402083333333e+00	2.262694444444e+01	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC103044
4.491666666667e+00	3.066111111111e+00	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC105447
4.498750000000e+00	2.456250000000e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
4.593750000000e+00	3.007944444444e+01	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC174
4.701330000000e+00	-1.900772000000e+01	item12_legacy_predecessor_coordinate_union	legacy-325
4.711100000000e+00	-8.458800000000e+00	item12_legacy_predecessor_coordinate_union	legacy-4456
4.744600000000e+00	-2.288040000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4512
4.750833333333e+00	1.939777777778e+01	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC181
4.752400000000e+00	2.347650000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5075
4.789000000000e+00	-2.452310000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3706
4.896300000000e+00	4.724100000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5076
4.989750000000e+00	1.509221944444e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J001957.54+150532.1
5.021500000000e+00	1.087931000000e+01	item12_legacy_predecessor_coordinate_union	legacy-97
5.021700000000e+00	1.088000000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5077
5.026000000000e+00	-5.452320000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2947
5.083700000000e+00	7.700500000000e+00	item12_legacy_predecessor_coordinate_union	legacy-4152
5.102083330000e+00	5.929166667000e+01	item12_legacy_predecessor_coordinate_union	legacy-6215
5.102083330000e+00	5.929166667000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	IC0010
5.136166666667e+00	1.534728333333e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J002032.65+152050.4
5.494708333333e+00	1.598111944444e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J002158.71+155851.8
5.521200000000e+00	2.373700000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5078
5.686083333333e+00	1.494968611111e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J002244.61+145659.1
5.739000000000e+00	-2.211860000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3901
5.972700000000e+00	2.833310000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5080
5.986300000000e+00	2.430570000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5079
6.011800000000e+00	1.648640000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4513
6.011820000000e+00	1.648639000000e+01	item12_legacy_predecessor_coordinate_union	legacy-34
6.161250000000e+00	3.325583333333e+01	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC232
6.354800000000e+00	-4.160240000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3185
6.448333333333e+00	-2.284444444444e+00	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
6.638750000000e+00	-4.185555556000e+01	item12_legacy_predecessor_coordinate_union	legacy-5846
6.638750000000e+00	-4.185555556000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	ESO294-010
6.692800000000e+00	-3.367710000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4514
6.692820000000e+00	-3.367710000000e+01	item12_legacy_predecessor_coordinate_union	legacy-524
6.809583333333e+00	2.007166666667e+01	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC265
6.957200000000e+00	-1.200000000000e+00	item12_legacy_predecessor_coordinate_union	legacy-5081
7.062200000000e+00	3.080320000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5082
7.069541666667e+00	1.382346111111e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J002816.68+134924.6
7.266666670000e+00	4.343166667000e+01	item12_legacy_predecessor_coordinate_union	legacy-6154
7.266666670000e+00	4.343166667000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	UGC00288
7.282375000000e+00	-9.306944444444e-01	runs/gravity/roadmap/item-17-slacs-running-strength-v1-source/sample-manifest.json	002907.77-005550.5
7.364110000000e+00	2.573383000000e+01	runs/gravity/roadmap/item-22-polarization-superposition-v1-source/sample-manifest.json	SDSSJ002927.38+254401.7
7.409583333333e+00	1.160027777778e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
7.410500000000e+00	-3.325972000000e+01	item12_legacy_predecessor_coordinate_union	legacy-525
7.410500000000e+00	-3.325972000000e+01	item12_legacy_predecessor_coordinate_union	legacy-526
7.472500000000e+00	3.139340000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5083
7.530458333333e+00	-1.111359722222e+01	runs/gravity/roadmap/item-27-gravitational-memory-v1-source/sample-manifest.json	MCG-02-02-030
7.591220000000e+00	-3.324535000000e+01	item12_legacy_predecessor_coordinate_union	legacy-527
7.591500000000e+00	-3.324400000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4515
7.624300000000e+00	-8.783300000000e+00	item12_legacy_predecessor_coordinate_union	legacy-4457
7.649000000000e+00	1.335940000000e+01	VizieR VII/26D/catalog	UGC00305
7.691300000000e+00	-2.934290000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3502
7.717400074005e+00	5.287589430809e-01	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json	1-31502
7.808333333333e+00	-7.840833333333e+00	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
7.808700000000e+00	-7.840800000000e+00	item12_legacy_predecessor_coordinate_union	legacy-4430
7.815100000000e+00	-2.255990000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4516
7.823800000000e+00	2.899370000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5084
7.837300000000e+00	3.079260000000e+01	VizieR VII/26D/catalog	UGC00311
7.843750000000e+00	-2.276583333000e+01	item12_legacy_predecessor_coordinate_union	legacy-5907
7.843750000000e+00	-2.276583333000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	ESO473-024
7.849666666667e+00	8.466697222222e+00	runs/gravity/roadmap/item-27-gravitational-memory-v1-source/sample-manifest.json	UGC00312
7.858560000000e+00	6.206740000000e+00	item12_legacy_predecessor_coordinate_union	legacy-2281
7.858560000000e+00	6.206740000000e+00	item12_legacy_predecessor_coordinate_union	legacy-2282
7.867400000000e+00	-1.976130000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3902
7.897916666667e+00	-1.050611111111e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
7.898800000000e+00	-1.050630000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4458
8.000458333333e+00	1.473815555556e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J003200.10+144417.3
8.009000000000e+00	-6.425340000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2851
8.061900000000e+00	-4.138390000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3186
8.135200000000e+00	2.339510000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5085
8.145583333333e+00	1.503611388889e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J003234.97+150210.4
8.185000000000e+00	3.075055555556e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
8.220416666667e+00	3.065083333333e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
8.292500000000e+00	-1.314611111111e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
8.292800000000e+00	-1.314620000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4459
8.401250000000e+00	2.340138888889e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
8.511600000000e+00	-9.705300000000e+00	item12_legacy_predecessor_coordinate_union	legacy-4518
8.564470000000e+00	-2.780355000000e+01	item12_legacy_predecessor_coordinate_union	legacy-530
8.564470000000e+00	-2.780355000000e+01	item12_legacy_predecessor_coordinate_union	legacy-531
8.564500000000e+00	-2.780360000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4517
8.564570000000e+00	-3.178600000000e+01	item12_legacy_predecessor_coordinate_union	legacy-528
8.564570000000e+00	-3.178600000000e+01	item12_legacy_predecessor_coordinate_union	legacy-529
8.733000000000e+00	3.194880000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5086
8.945583333333e+00	1.398374444444e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J003546.93+135901.5
9.036500000000e+00	-7.537300000000e+00	item12_legacy_predecessor_coordinate_union	legacy-4431
9.106300000000e+00	-5.700840000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4138
9.115751266479e+00	5.770024657249e-01	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json	1-107659
9.185833333333e+00	3.083111111111e+01	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC100336
9.214200000000e+00	-2.836620000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3503
9.275800000000e+00	-4.664410000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3072
9.306700000000e+00	-2.258700000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4519
9.309583333333e+00	-2.258472222222e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
9.316000000000e+00	-5.661630000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5420
9.399203300476e+00	2.806618511677e-01	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json	1-31788
9.471708333333e+00	-9.705583333333e+00	runs/gravity/roadmap/item-17-slacs-running-strength-v1-source/sample-manifest.json	003753.21-094220.1
9.490375000000e+00	8.635197222222e+00	runs/gravity/roadmap/item-27-gravitational-memory-v1-source/sample-manifest.json	NGC0180
9.510800000000e+00	-5.362980000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2948
9.617500000000e+00	2.962500000000e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
9.643800000000e+00	-5.546710000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5421
9.668750000000e+00	2.958611111111e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
9.680833333333e+00	2.848055555556e+01	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC102924
9.719500000000e+00	-5.548880000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2562
9.726666666667e+00	7.457500000000e+00	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
9.732083333333e+00	2.696611111111e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
9.735799789429e+00	2.992425858974e-01	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json	1-31801
9.741666670000e+00	4.833611111000e+01	item12_legacy_predecessor_coordinate_union	legacy-6181
9.741666670000e+00	4.833611111000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	NGC0185
9.805875000000e+00	8.641972222222e-01	runs/gravity/roadmap/item-27-gravitational-memory-v1-source/sample-manifest.json	NGC0192
9.826100000000e+00	-2.734930000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3504
9.856300000000e+00	-5.598450000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5422
9.889500000000e+00	-3.580340000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3322
9.890000000000e+00	-3.580527777778e+01	runs/gravity/roadmap/item-20-massive-phase-v1-source/sample-manifest.json	
9.893100000000e+00	-2.038350000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3903
9.895300000000e+00	2.887400000000e+00	item12_legacy_predecessor_coordinate_union	legacy-4520
1.009375000000e+01	4.168638889000e+01	item12_legacy_predecessor_coordinate_union	legacy-6142
1.009375000000e+01	4.168638889000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	NGC0205
1.010240000000e+01	-5.628060000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5423
1.011209774017e+01	-4.542275145650e-02	runs/gravity/roadmap/item-15-manga-timescale-ratios-v1-source/sample-manifest.json	1-31587
1.014580000000e+01	-1.387278000000e+01	item12_legacy_predecessor_coordinate_union	legacy-532
1.014580000000e+01	-1.387278000000e+01	item12_legacy_predecessor_coordinate_union	legacy-533
1.014580000000e+01	-1.387278000000e+01	item12_legacy_predecessor_coordinate_union	legacy-534
1.014580000000e+01	-1.387278000000e+01	item12_legacy_predecessor_coordinate_union	legacy-535
1.014580000000e+01	-1.387278000000e+01	item12_legacy_predecessor_coordinate_union	legacy-536
1.014840000000e+01	-2.544200000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3707
1.018535000000e+01	-6.344034000000e+01	item12_legacy_predecessor_coordinate_union	legacy-187
1.019812297821e+01	6.218806505203e-01	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json	1-107761
1.036202000000e+01	-2.104803000000e+01	item12_legacy_predecessor_coordinate_union	legacy-537
1.036680000000e+01	2.549940000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4521
1.040832901001e+01	2.576353549957e-01	runs/gravity/roadmap/item-12-manga-dynamical-age-v1-source/sample-manifest.json	1-32058
1.043983000000e+01	-1.686081000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2158
1.043983000000e+01	-1.686081000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2159
1.056120000000e+01	-1.816180000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3904
1.057451915741e+01	3.705488741398e-01	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json	1-32055
1.062541667000e+01	4.057583333000e+01	item12_legacy_predecessor_coordinate_union	legacy-6130
1.062541667000e+01	4.057583333000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	And IV
1.068541667000e+01	4.126916667000e+01	item12_legacy_predecessor_coordinate_union	legacy-6136
1.068541667000e+01	4.126916667000e+01	runs/gravity/roadmap/item-11-neargalcat-external-field-v1-source/sample-manifest.json	MESSIER031
1.085367083333e+01	-2.062363333333e+01	runs/gravity/roadmap/item-15-accept-lc2-timescale-ratios-v2-source/sample-manifest.json	
1.086595833333e+01	-1.247222222222e-01	runs/gravity/roadmap/item-27-gravitational-memory-v1-source/sample-manifest.json	NGC0237
1.090270000000e+01	-5.648740000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2661
1.093660000000e+01	-2.442140000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3708
1.101208333333e+01	1.220166666667e+00	runs/gravity/roadmap/item-17-slacs-running-strength-v1-source/sample-manifest.json	004402.90+011312.6
1.123666666667e+01	2.745027777778e+01	runs/gravity/roadmap/item-24-temporal-lapse-v1-source/galaxy-predictors.tsv	AGC100499
1.144341000000e+01	-1.559677000000e+01	item12_legacy_predecessor_coordinate_union	legacy-538
1.144341000000e+01	-1.559677000000e+01	item12_legacy_predecessor_coordinate_union	legacy-539
1.146500000000e+01	-3.119910000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3505
1.151417000000e+01	-1.150556000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2160
1.152580000000e+01	-4.252980000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3073
1.153760000000e+01	-5.556850000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2949
1.155482000000e+01	1.948990000000e+01	item12_legacy_predecessor_coordinate_union	legacy-2283
1.157010000000e+01	-2.427930000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4199
1.167950000000e+01	-3.579710000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3323
1.173330000000e+01	3.267530000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5087
1.173600000000e+01	-2.184750000000e+01	item12_legacy_predecessor_coordinate_union	legacy-3905
1.177625000000e+01	-3.158167000000e+01	item12_legacy_predecessor_coordinate_union	legacy-260
1.178458333000e+01	-2.076000000000e+01	item12_legacy_predecessor_coordinate_union	legacy-5912
1.178560000000e+01	-2.076040000000e+01	item12_legacy_predecessor_coordinate_union	legacy-4522
1.178564000000e+01	-2.076040000000e+01	item12_legacy_predecessor_coordinate_union	legacy-35
1.178564000000e+01	-2.076040000000e+01	item12_legacy_predecessor_coordinate_union	legacy-540
1.183082199097e+01	1.470348453522e+01	runs/gravity/roadmap/item-14-gz3d-resonance-coherence-v1-source/sample-manifest.json	1-39766
1.186517000000e+01	-3.142183000000e+01	item12_legacy_predecessor_coordinate_union	legacy-543
1.186517000000e+01	-3.142183000000e+01	item12_legacy_predecessor_coordinate_union	legacy-544
1.186517000000e+01	-3.142183000000e+01	item12_legacy_predecessor_coordinate_union	legacy-545
1.188806000000e+01	-2.528880000000e+01	item12_legacy_predecessor_coordinate_union	legacy-541
1.188806000000e+01	-2.528880000000e+01	item12_legacy_predecessor_coordinate_union	legacy-542
1.189291667000e+01	-2.529222222000e+01	item12_legacy_predecessor_coordinate_union	legacy-5901
1.189637500000e+01	1.415511666667e+01	runs/gravity/roadmap/item-21-mixed-modes-v1-source/sample-manifest.json	SDSS J004735.13+140918.4
1.194712000000e+01	-1.146870000000e+01	item12_legacy_predecessor_coordinate_union	legacy-546
1.194712000000e+01	-1.146870000000e+01	item12_legacy_predecessor_coordinate_union	legacy-547
1.194808000000e+01	-9.899530000000e+00	item12_legacy_predecessor_coordinate_union	legacy-2161
1.197486400604e+01	1.502491378784e+01	runs/gravity/roadmap/item-13-manga-relaxation-mergers-v1-source/sample-manifest.json	1-39627
