dy,dx,pairs,product
4,0,480,0.10246461828131072
4,1,460,0.09867985487455859
4,2,440,0.0840660777787748
4,3,420,0.058465789043301415
4,4,400,0.03333891084040718
4,5,380,0.0179707524690543
4,6,360,0.010335149722561087
4,7,340,0.008204789204475621
4,8,320,0.010685205109639205
4,9,300,0.01164289659556385
4,10,280,0.009115585061137464
4,11,260,0.007743377921077596
4,12,240,0.008504524895624515
5,-12,228,0.009133373743361047
5,-11,247,0.007400997428652506
5,-10,266,0.012602347711124893
5,-9,285,0.01934146360907698
5,-8,304,0.021827095448177243
5,-7,323,0.024791920850313603
5,-6,342,0.03554851810018912
5,-5,361,0.04916613207212186
5,-4,380,0.05779424027457273
5,-3,399,0.06146526812269811
5,-2,418,0.062356448586453776
5,-1,437,0.062431627811694645
5,0,456,0.06255409474129384
5,1,437,0.058679125574684875
5,2,418,0.04701386466933172
5,3,399,0.030404258677675138
5,4,380,0.016646608963572628
5,5,361,0.009273205874251282
5,6,342,0.005996601745515849
5,7,323,0.005904487983677126
5,8,304,0.00811708701079772
5,9,285,0.008862276532100744
5,10,266,0.008996038940818546
5,11,247,0.011770962029995316
5,12,228,0.013871301809313482
6,-12,216,0.008956056477180821
6,-11,234,0.005167183109474161
6,-10,252,0.008468476573324193
6,-9,270,0.01408619809743408
6,-8,288,0.015695491181152196
6,-7,306,0.016651980853658693
6,-6,324,0.023304952931996983
6,-5,342,0.032894572401862957
6,-4,360,0.04058853831387907
6,-3,378,0.046027316194743526
6,-2,396,0.048679374482474114
6,-1,414,0.04841586737763872
6,0,432,0.04546857781860792
6,1,414,0.03813293548312103
6,2,396,0.02749265150124413
6,3,378,0.017209056104226707
6,4,360,0.010216939635437282
6,5,342,0.006376869072666955
6,6,324,0.0036832545507262267
6,7,306,0.0016944209511200118
6,8,288,0.0012519497612142217
6,9,270,0.002860692457704398
6,10,252,0.008200719711045296
6,11,234,0.015813825837930617
6,12,216,0.018182606215705943
7,-12,204,0.006190334927680761
7,-11,221,0.0020657660530647706
7,-10,238,0.0030562870770028797
7,-9,255,0.0058903043344104115
7,-8,272,0.006321898413588717
7,-7,289,0.006517999662732436
7,-6,306,0.011027223453023795
7,-5,323,0.018658218741067906
7,-4,340,0.02612836883019998
7,-3,357,0.03348488341897526
7,-2,374,0.039487371274178396
7,-1,391,0.04058306906470512
7,0,408,0.035861149813340855
7,1,391,0.027256010795176137
7,2,374,0.017595952080247047
7,3,357,0.009697514506368476
7,4,340,0.004974765355256221
7,5,323,0.0014552079210343584
7,6,306,-0.002620896369549081
7,7,289,-0.005966898180494628
7,8,272,-0.006231625294558669
7,9,255,-0.0008653826995748399
7,10,238,0.01036300171754361
7,11,221,0.020551478701913983
7,12,204,0.02134396996534968
8,-12,192,0.002645224998532418
8,-11,208,-0.0015285816810485472
8,-10,224,-0.002125661552368692
8,-9,240,-0.001998497674385477
8,-8,256,-0.002545005021894458
8,-7,272,-0.0018107741982541176
8,-6,288,0.0018062392372202973
8,-5,304,0.007812422481025668
8,-4,320,0.01431815063238861
8,-3,336,0.02103444471046558
8,-2,352,0.026833691539703622
8,-1,368,0.027477047312321
8,0,384,0.02235893445801939
8,1,368,0.015936309449054564
8,2,352,0.00973150101613519
8,3,336,0.004602282484596933
8,4,320,0.0009217641258907589
8,5,304,-0.0038667283599947296
8,6,288,-0.009010704907947139
8,7,272,-0.010391087115309772
8,8,256,-0.006776849032782358
8,9,240,0.0025530873943039245
8,10,224,0.015331463298612222
8,11,208,0.02252908785345521
8,12,192,0.020128611395948542
9,-12,180,0.0011911514359229764
9,-11,195,-0.004651557012428758
9,-10,210,-0.006685182275241034
9,-9,225,-0.007669131986977309
9,-8,240,-0.008496249945859772
9,-7,255,-0.006645359538410269
9,-6,270,-0.002778212898488472
9,-5,285,0.0012657741043891788
9,-4,300,0.005372362191735897
9,-3,315,0.010555301628751663
9,-2,330,0.015526265039695258
9,-1,345,0.015800200815756806
9,0,360,0.011225528548855453
9,1,345,0.00731046574056926
9,2,330,0.004123259395158549
9,3,315,0.0010755474397692885
9,4,300,-0.002067684825561185
9,5,285,-0.00672090452251075
9,6,270,-0.009938801434997677
9,7,255,-0.007667326490840845
9,8,240,-0.0012516363839598951
9,9,225,0.007874999951437596
9,10,210,0.016300880469340303
9,11,195,0.01716582646118382
9,12,180,0.01223369267871534
10,-12,168,0.0018593609672190687
10,-11,182,-0.006090473559993538
10,-10,196,-0.010205470718921856
10,-9,210,-0.010583622215799176
10,-8,224,-0.01010260037025426
10,-7,238,-0.007819803131502493
10,-6,252,-0.004222483527118833
10,-5,266,-0.0017517005951567894
10,-4,280,0.0001202919240189311
10,-3,294,0.0035195577461867153
10,-2,308,0.006958381768593534
10,-1,322,0.00654908604303433
10,0,336,0.0027117115014622527
10,1,322,0.0003150193003714051
10,2,308,-0.0013224036169243098
10,3,294,-0.0025209634686020957
10,4,280,-0.0029980242649143523
10,5,266,-0.0032931706362848466
10,6,252,-0.0021255320171082647
10,7,238,0.0013217352358011983
10,8,224,0.005316823548615251
10,9,210,0.009327365079613036
10,10,196,0.01119374311778879
10,11,182,0.007864310637988587
10,12,168,0.0031986274773351826
11,-12,156,0.0034705541023778174
11,-11,169,-0.004714874430837219
11,-10,182,-0.010906938696077338
11,-9,195,-0.011438321169053767
11,-8,208,-0.009593036082479689
11,-7,221,-0.007118763683761971
11,-6,234,-0.003659843892128105
11,-5,247,-0.0007847021346010768
11,-4,260,0.0010578069608059813
11,-3,273,0.0028516808242009715
11,-2,286,0.003266598043846822
11,-1,299,0.001132616323148548
11,0,312,-0.0017692439647087064
11,1,299,-0.002516564166971075
11,2,286,-0.0029470485607103235
11,3,273,-0.002465054408454621
11,4,260,0.0003315875798260463
11,5,247,0.005037676034345237
11,6,234,0.009428898653544992
11,7,221,0.01095643599147182
11,8,208,0.009609494735300724
11,9,195,0.007582800766064488
11,10,182,0.004985202041987343
11,11,169,0.0012897903469830075
11,12,156,-0.0011075705040219696
12,-12,144,0.006195447995882478
12,-11,156,-0.0007781828193481269
12,-10,168,-0.0077506505854704
12,-9,180,-0.010584414985682458
12,-8,192,-0.010096554582830883
12,-7,204,-0.007654812051924453
12,-6,216,-0.002874292042343563
12,-5,228,0.0025540423376136812
12,-4,240,0.006440475408375382
12,-3,252,0.007961577678941305
12,-2,264,0.006403713358520937
12,-1,276,0.0034218884417255404
12,0,288,0.0017596603976283434
12,1,276,0.0021862277063635985
12,2,264,0.0014054158246616442
12,3,252,0.0005414348860626953
12,4,240,0.002522003484625916
12,5,228,0.008082770139841277
12,6,216,0.01316251926417443
12,7,204,0.012888198679763145
12,8,192,0.008259558266287683
12,9,180,0.0036541881719328786
12,10,168,0.0006535929219647703
12,11,156,-0.00121432221969454
12,12,144,-0.0013851200959891557
