axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	halpha_ew	hbeta	hdelta_a	hgamma_a	log_half_light_radius	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_size_crossing_proxy	plateifu	ra	redshift	sersic_index	sfr_1re	sfr_tot	snr_med_g	minimum_predecessor_separation_arcsec	stellar_mass_msun	half_light_radius_kpc	dimensionless_potential	log_dimensionless_potential	internal_acceleration_m_s2	mean_stellar_density_msun_kpc3	log_mean_stellar_density	gema_zcomp_1mpc_percent	gema_zcomp_5mpc_percent	gema_footprint_1mpc	gema_footprint_5mpc	gema_nneigh	gema_q_nn	gema_dnn_mpc	gema_q_lss	gema_eta_k	gema_dkn_mpc	mass_bin	sersic_bin	sample_cell	role	outer_fold	response_read	map_downloaded
7.167243000000e-01	1.508284000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.134619235992e+00	1.334785000000e+00	0.000000000000e+00	5.738100000000e-01	2.129145000000e+01	3.544855000000e+00	4.337190000000e+00	2.023152000000e+00	7.027655205620e-01	1.119579179703e+00	-1.070243849563e+01	9.700556447316e+00	-3.807051241647e-01	8.295025406192e+00	1-70172	-3.796129942815e+00	11835-3704	2.210571289062e+02	2.735140000000e-02	9.064215000000e-01	9.956758000000e-02	1.764232000000e-01	1.316980000000e+01	8.352624644766e+02	5.018298000001e+09	5.043889000000e+00	4.761128199683e-08	-7.322290124414e+00	2.749382826852e-11	9.336224286450e+06	6.970171276328e+00	5.000000000000e+01	6.735800170898e+01	1	1	152	-4.485751600000e+00	4.637307000000e-01	-4.042507200000e+00	-7.292166000000e-01	1.723439500000e+00	1	0	m1-n0	exploration	4	False	False
3.976023000000e-01	2.025090000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.292127370834e+00	1.778978000000e+00	0.000000000000e+00	7.134800000000e-01	5.357030000000e-02	2.011763000000e+00	4.047554000000e-01	-3.283537000000e+00	7.899424500385e-01	5.578046098145e-01	-1.313779940681e+01	9.429902561865e+00	-9.212391372568e-01	7.850017661788e+00	1-82673	-3.530037605875e+00	11835-6103	2.202617034912e+02	2.958624000000e-02	1.746956000000e+00	1.959310000000e-04	9.197548000000e-04	3.612473000000e+00	6.918557853704e+02	2.690931000000e+09	6.165133000000e+00	2.088714399034e-08	-7.680120939341e+00	9.867962064393e-12	2.741489598395e+06	6.437986602447e+00	6.842099761963e+01	5.329299926758e+01	1	1	104	-1.090206300000e+00	4.506150000000e-02	-9.474780000000e-01	8.847798000000e-01	4.993410000000e-01	0	1	m0-n1	reserved_confirmation		False	False
4.242437000000e-01	2.074119000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.385633468628e+00	1.789739000000e+00	0.000000000000e+00	8.987000000000e-01	3.520535000000e+00	2.346845000000e+00	1.477450000000e+00	-2.890528000000e+00	8.312970106999e-01	6.422348473375e-01	-1.168572431400e+01	9.603789162189e+00	-8.120116773847e-01	7.941195140789e+00	1-559745	-3.554949065045e+00	11835-6104	2.208599700928e+02	2.685686000000e-02	1.995126000000e+00	8.280658000000e-03	1.578578000000e-02	4.387679000000e+00	8.199728162665e+02	4.015958000001e+09	6.781051000001e+00	2.834073441897e-08	-7.547588899679e+00	1.217320540762e-11	3.074747951123e+06	6.487809520787e+00	3.750000000000e+01	5.785699844360e+01	1	1	187	1.796862500000e+00	1.452860000000e-02	1.796898100000e+00	5.872362000000e-01	6.274490000000e-01	0	1	m0-n1	exploration	0	False	False
4.884704000000e-01	1.435472000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.675008010864e+01	1.273850000000e+00	0.000000000000e+00	4.633100000000e-01	2.819293000000e+01	4.251211000000e+00	6.448553000000e+00	5.043862000000e+00	6.643517849533e-01	1.107343291160e+00	-1.055325055459e+01	9.258684205062e+00	-3.383010596329e-01	7.929980635155e+00	1-455658	-3.632814425101e+00	11871-3702	1.925846557617e+02	2.368702000000e-02	1.319033000000e+00	5.074972000000e-02	9.791373000000e-02	1.280393000000e+01	6.903760134388e+02	1.814196000002e+09	4.616914000000e+00	1.880404877178e-08	-7.725748631059e+00	1.186288839511e-11	4.400887237299e+06	6.643540240900e+00	4.166699981689e+01	6.244300079346e+01	1	1	383	-1.023707700000e+00	6.439430000000e-02	-1.014517900000e+00	7.096725000000e-01	5.711712000000e-01	0	0	m0-n0	reserved_confirmation		False	False
3.999262000000e-01	1.761073000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.110451126099e+01	1.542569000000e+00	0.000000000000e+00	9.683300000000e-01	8.628117000000e+00	2.804799000000e+00	2.207443000000e+00	-1.057212000000e+00	7.577552361070e-01	8.546644449682e-01	-1.130896736000e+01	9.925178120390e+00	-5.434657483049e-01	8.409667648176e+00	1-210399	-3.825956206035e+00	11942-6103	2.459183654785e+02	3.299037000000e-02	1.947248000000e+00	4.132480000000e-02	8.387512000000e-02	7.155903000000e+00	1.351585234677e+03	8.417402999992e+09	5.724733000000e+00	7.036259258339e-08	-7.152658166885e+00	3.579954093592e-11	1.071084668254e+07	7.029823802767e+00	6.250000000000e+01	5.150500106812e+01	1	1	185	-1.102148200000e+00	6.921390000000e-02	-1.097819300000e+00	1.113581000000e-01	9.040750000000e-01	1	1	m1-n1	reserved_confirmation		False	False
6.478556000000e-01	1.481060000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.699642372131e+01	1.295734000000e+00	0.000000000000e+00	3.675000000000e-01	3.916832000000e+01	3.555443000000e+00	5.794206000000e+00	3.137321000000e+00	6.636792572285e-01	5.751121833145e-01	-1.003238948208e+01	8.953838669143e+00	-8.916457481698e-01	7.626480154686e+00	1-325432	-3.481400448729e+00	11952-9102	2.533542022705e+02	3.392733000000e-02	2.394832000000e+00	8.345439000000e-02	1.035769000000e-01	3.759345000000e+00	3.272802909384e+03	8.991634999995e+08	4.609770000000e+00	9.334227051971e-09	-8.029921639253e+00	5.897798954661e-12	2.191352724817e+06	6.340712288155e+00	7.500000000000e+01	4.190900039673e+01	1	1	122	-1.667237600000e+00	2.528888000000e-01	-1.601261700000e+00	3.128756000000e-01	7.745188000000e-01	0	1	m0-n1	exploration	3	False	False
8.052254000000e-01	1.389767000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	8.927475929260e+00	1.223802000000e+00	0.000000000000e+00	4.142600000000e-01	3.272400000000e+01	4.280109000000e+00	6.216693000000e+00	4.367654000000e+00	7.691490399057e-01	6.711207057278e-01	-1.023700012605e+01	9.498243956863e+00	-7.880048066890e-01	7.959945877052e+00	1-336081	-3.595398418573e+00	11963-12704	2.339558715820e+02	4.383144000000e-02	1.155564000000e+00	1.824920000000e-01	4.172214000000e-01	4.689437000000e+00	1.565987139247e+03	3.149516999999e+09	5.876910000000e+00	2.564565914517e-08	-7.590986134211e+00	1.271029664111e-11	3.704317709081e+06	6.568708227843e+00	1.000000000000e+02	5.476200103760e+01	1	1	48	-1.843057000000e+00	2.301096000000e-01	-1.813915000000e+00	1.132093000000e-01	9.027914000000e-01	0	0	m0-n0	exploration	1	False	False
7.594610000000e-01	1.599097000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.551027297974e+01	1.403719000000e+00	0.000000000000e+00	6.911000000000e-01	1.031181000000e+01	3.226065000000e+00	3.485063000000e+00	9.716882000000e-01	9.175984501793e-01	9.472481512514e-01	-1.117619477685e+01	1.051240286722e+01	-7.647066912490e-01	8.677205966865e+00	1-548136	-3.879803758343e+00	8138-9101	1.173025894165e+02	5.320250000000e-02	1.849880000000e+00	2.168743000000e-01	4.403079000000e-01	8.856215000000e+00	1.751190898005e+02	3.253889999971e+10	8.271770000000e+00	1.882449636766e-07	-6.725276634127e+00	6.628507871112e-11	1.372520713564e+07	7.137518907380e+00	5.000000000000e+01	7.352899932861e+01	1	1	28	-5.168177100000e+00	1.430375900000e+00	-3.802146400000e+00	-1.024351600000e+00	2.161595100000e+00	1	1	m1-n1	exploration	4	False	False
3.959220000000e-01	2.127210000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.229376220703e+01	1.873664000000e+00	0.000000000000e+00	8.801000000000e-01	1.454718000000e+00	2.464297000000e+00	-1.171703000000e+00	-3.587860000000e+00	8.742231354153e-01	9.706977504108e-01	-1.209513637099e+01	1.080687090233e+01	-4.537218184809e-01	9.058424631501e+00	1-121236	-4.092100748043e+00	8139-6104	1.163741073608e+02	6.078580000000e-02	2.167200000000e+00	5.149138000000e-02	1.263772000000e-01	9.347549000000e+00	3.823830575131e+03	6.410189999979e+10	7.485539999999e+00	4.097950571559e-07	-6.387433284253e+00	1.594536411821e-10	3.648487702605e+07	7.562112886782e+00	6.000000000000e+01	5.000000000000e+01	1	1	25	-1.217900600000e+00	1.276923000000e-01	-1.215611800000e+00	-6.222415000000e-01	1.587587500000e+00	1	1	m1-n1	exploration	4	False	False
7.847460000000e-01	1.876136000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.690477371216e+01	1.692771000000e+00	0.000000000000e+00	5.757000000000e-01	-4.600175000000e-03	2.583269000000e+00	6.582259000000e-01	-1.628817000000e+00	5.718042962420e-01	6.974808642046e-01	-1.299469701555e+01	9.259070403509e+00	-7.622987078930e-01	8.115461811025e+00	1-456757	-3.771828757391e+00	8479-3703	1.941501312256e+02	2.633430000000e-02	1.478760000000e+00	1.838118000000e-04	8.634219000000e-04	4.982885000000e+00	4.785293920140e+02	1.815810000002e+09	3.730820000000e+00	2.329083485996e-08	-7.632814943901e+00	1.818325463238e-11	8.347739836225e+06	6.921568905481e+00	6.538500213623e+01	5.821300125122e+01	1	1	278	-5.122810400000e+00	3.101262000000e-01	-2.808119800000e+00	1.102335900000e+00	4.225504000000e-01	0	0	m0-n0	exploration	2	False	False
3.607620000000e-01	1.916627000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.440329742432e+01	1.668584000000e+00	0.000000000000e+00	7.824000000000e-01	4.213300000000e+00	2.638911000000e+00	1.493044000000e+00	-1.382342000000e+00	9.348896450327e-01	8.954476857684e-01	-1.168628405595e+01	1.018466588333e+01	-4.990657010483e-01	8.314886593267e+00	1-93835	-3.689998474117e+00	8484-6101	2.480557403564e+02	3.104840000000e-02	1.193250000000e+00	3.150517000000e-02	6.052417000000e-02	7.860455000000e+00	1.062158165219e+03	1.529909999993e+10	8.607750000000e+00	8.505408701134e-08	-7.070304812871e+00	2.878037197553e-11	5.726751508932e+06	6.757908338929e+00	3.750000000000e+01	4.703200149536e+01	1	1	116	-3.883472700000e+00	6.847415000000e-01	-3.443541500000e+00	-4.568742000000e-01	1.398347900000e+00	1	0	m1-n0	exploration	1	False	False
7.357980000000e-01	1.534264000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.782107543945e+01	1.348725000000e+00	0.000000000000e+00	5.486000000000e-01	1.511562000000e+01	3.348928000000e+00	4.005128000000e+00	2.214068000000e+00	5.092509239724e-01	9.494476322355e-01	-1.087174860451e+01	9.409622077400e+00	-5.441834082857e-01	8.391120229455e+00	1-247331	-3.940934652741e+00	8485-6101	2.325448913574e+02	3.636150000000e-02	9.658080000000e-01	3.450432000000e-02	8.856815000000e-02	8.901181000000e+00	2.863258857035e+03	2.568159999999e+09	3.230360000000e+00	3.804434420271e-08	-7.419709897740e+00	3.430283694250e-11	1.818782204045e+07	7.259780696180e+00	8.000000000000e+01	4.421099853516e+01	1	1	47	-3.426716100000e+00	2.769012000000e-01	-3.069104000000e+00	-5.945200000000e-02	1.030721100000e+00	0	0	m0-n0	exploration	4	False	False
8.095950000000e-01	1.506394000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.730084609985e+01	1.331838000000e+00	0.000000000000e+00	5.471000000000e-01	1.681441000000e+01	3.785814000000e+00	4.175681000000e+00	2.809214000000e+00	8.295584842190e-01	6.544848681528e-01	-1.092660055416e+01	9.858437936103e+00	-9.374394490154e-01	8.199320967665e+00	1-134400	-3.684881241723e+00	8487-12703	2.410696563721e+02	4.197240000000e-02	1.557490000000e+00	8.547466000000e-02	2.324363000000e-01	4.513203000000e+00	1.799511594619e+03	7.218350000000e+09	6.753959999999e+00	5.114443682054e-08	-7.291201599284e+00	2.205620436475e-11	5.593374190842e+06	6.747673874144e+00	8.000000000000e+01	4.434000015259e+01	1	1	53	-2.351899600000e+00	1.716316000000e-01	-2.276321900000e+00	-1.685955000000e-01	1.120785000000e+00	1	1	m1-n1	exploration	0	False	False
4.703060000000e-01	1.493207000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.696460723877e+01	1.306426000000e+00	0.000000000000e+00	4.985000000000e-01	2.220133000000e+01	3.825479000000e+00	5.289230000000e+00	4.290326000000e+00	6.942268909358e-01	8.847469490233e-01	-1.064473150369e+01	9.408353613450e+00	-6.632699669455e-01	8.019899831578e+00	1-209543	-3.662836470321e+00	8488-9102	2.353220672607e+02	3.840180000000e-02	1.338160000000e+00	5.802593000000e-02	1.239561000000e-01	7.669145000000e+00	3.734829836381e+03	2.560670000003e+09	4.945690000000e+00	2.477682602390e-08	-7.605954328654e+00	1.459182595856e-11	5.053407625267e+06	6.703584331340e+00	1.000000000000e+02	5.454499816895e+01	1	1	60	-3.419600700000e+00	6.202364000000e-01	-3.056283200000e+00	-5.794211000000e-01	1.536258100000e+00	0	0	m0-n0	exploration	3	False	False
6.581330000000e-01	2.112243000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.256769943237e+01	1.878699000000e+00	0.000000000000e+00	7.023000000000e-01	2.887870000000e-01	2.717009000000e+00	-9.479513000000e-02	-3.933589000000e+00	5.870191341628e-01	1.074982742125e+00	-1.273086270894e+01	1.062413249121e+01	-3.355996797197e-01	9.450094222886e+00	1-91135	-4.431537544362e+00	8546-6104	2.390693817139e+02	6.765660000000e-02	2.198150000000e+00	7.821135000000e-03	2.174358000000e-02	1.188455000000e+01	1.558208477557e+03	4.208549999987e+10	3.863840000000e+00	5.212334826769e-07	-6.282967694121e+00	3.929199067904e-10	1.741752647803e+08	8.240986479419e+00	1.000000000000e+02	4.375000000000e+01	1	1	30	-1.640415200000e+00	1.189611000000e-01	-1.636121700000e+00	-8.448411000000e-01	1.883378100000e+00	1	1	m1-n1	exploration	2	False	False
6.293070000000e-01	1.464456000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.376605606079e+01	1.286393000000e+00	0.000000000000e+00	5.429000000000e-01	2.487516000000e+01	3.962533000000e+00	4.979649000000e+00	3.124302000000e+00	6.645827495431e-01	9.880457939513e-01	-1.062902865174e+01	9.736409252019e+00	-5.331765524573e-01	8.407243752933e+00	1-245811	-3.871330501695e+00	8547-6103	2.159240875244e+02	4.239430000000e-02	1.465400000000e+00	1.280503000000e-01	2.763407000000e-01	9.728498000000e+00	2.549976117486e+03	5.450159999997e+09	4.619370000000e+00	5.646059509586e-08	-7.248254548692e+00	3.560029218441e-11	1.319995328071e+07	7.120572394087e+00	3.333300018311e+01	4.246599960327e+01	1	1	37	-5.058327200000e+00	8.486788000000e-01	-4.037014500000e+00	-1.000568800000e+00	2.122495400000e+00	1	0	m1-n0	exploration	4	False	False
7.639540000000e-01	1.515888000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.530576324463e+01	1.348336000000e+00	0.000000000000e+00	5.829000000000e-01	1.446808000000e+01	3.323338000000e+00	4.210191000000e+00	1.678023000000e+00	5.816459213210e-01	7.502874887491e-01	-1.093280848569e+01	9.426066980285e+00	-7.516777207804e-01	8.262775137643e+00	1-247858	-3.840564608161e+00	8551-12703	2.354743194580e+02	3.723920000000e-02	1.143760000000e+00	3.113569000000e-02	6.873135000000e-02	5.627137000000e+00	2.320425768349e+03	2.667270000000e+09	3.816330000000e+00	3.344567827266e-08	-7.475659992204e+00	2.552612826131e-11	1.145620053194e+07	7.059040607020e+00	6.000000000000e+01	6.492500305176e+01	1	1	99	-2.619348500000e+00	1.998600000000e-01	-2.512729400000e+00	4.710895000000e-01	6.859524000000e-01	0	0	m0-n0	exploration	4	False	False
3.386660000000e-01	2.008541000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.924982452393e+01	1.759363000000e+00	0.000000000000e+00	8.284000000000e-01	2.238328000000e+00	2.443533000000e+00	7.377828000000e-01	-2.951262000000e+00	9.469928314209e-01	9.807523948805e-01	-1.194945748265e+01	1.025369653800e+01	-4.310606021590e-01	8.359710875160e+00	1-594602	-3.706359021870e+00	8588-12701	2.494718170166e+02	3.090350000000e-02	1.954620000000e+00	2.014833000000e-02	5.365618000000e-02	9.566485000000e+00	8.444893395891e+02	1.793479999991e+10	8.851010000000e+00	9.696670883951e-08	-7.013377344589e+00	3.190955036480e-11	6.174892971493e+06	6.790629434435e+00	9.166699981689e+01	5.349700164795e+01	1	1	181	-4.585694300000e+00	5.028903000000e-01	-2.712308900000e+00	6.734760000000e-01	5.872619000000e-01	1	1	m1-n1	exploration	1	False	False
5.256670000000e-01	1.491778000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.569195938110e+01	1.320664000000e+00	0.000000000000e+00	7.022000000000e-01	2.429060000000e+01	3.909709000000e+00	5.430543000000e+00	3.182990000000e+00	9.132006407472e-01	5.550487182281e-01	-1.084459915357e+01	1.055574600617e+01	-7.677453625609e-01	8.729344724674e+00	1-131279	-3.908072041964e+00	8589-12702	2.258339233398e+02	6.492990000000e-02	5.000000000000e-01	5.142175000000e-01	9.193199000000e-01	3.589622000000e+00	2.897258597223e+03	3.595390000012e+10	8.188430000001e+00	2.101185108697e-07	-6.677535685745e+00	7.474024792555e-11	1.563347324131e+07	7.194055474626e+00	3.333300018311e+01	5.000000000000e+01	1	1	16	-4.144908400000e+00	9.868532000000e-01	-3.498168700000e+00	-7.084167000000e-01	1.696144100000e+00	1	0	m1-n0	exploration	0	False	False
